[00:00:03--00:00:05] 大家都知道图像是大自然创造的
[00:03:12--00:03:14] 比如说多摩泰有没有COT思维链
[00:03:14--00:03:17] 然后Long Context
[00:03:17--00:03:19] 希望这一期播客是关于多摩泰
[00:03:20--00:03:22] 我们先来个主题吧
[00:03:22--00:03:24] 祥宇先给听众朋友打个招呼
[00:03:24--00:03:24] Hello
[00:03:24--00:03:29] 我们了解祥宇你今天的论文赢赢数已经超过了37万
[00:03:29--00:03:35] 我们之前都从外界听过你的代表作ResNet
[00:03:35--00:03:36] 叫残差网络
[00:03:36--00:03:39] 之前在微软亚洲研究院的时候
[00:03:39--00:03:43] 跟何凯明 孙剑 任少卿你们几个一起完成的
[00:03:43--00:03:43] 对吧
[00:03:43--00:03:47] 跟我们展开讲讲你个人的学术经历
[00:03:47--00:03:49] 和你研究的主线
[00:03:49--00:03:50] 我当时在读国的时候
[00:03:50--00:03:52] 时间其实非常好
[00:03:52--00:03:53] 也赶到2012年
[00:03:53--00:03:54] 2012年大家都知道
[00:03:54--00:03:55] XNet
[00:03:55--00:03:56] 其实它的方法
[00:03:56--00:03:58] 跟之前的这个
[00:03:58--00:03:59] 深度学习框架
[00:03:59--00:04:00] 其实没有任何差别
[00:04:00--00:04:01] 但它最大的差别
[00:04:01--00:04:02] 就是它做了skilling
[00:04:02--00:04:03] 所以说呢
[00:04:03--00:04:04] 其实你可以看到
[00:04:04--00:04:05] 就是整个
[00:04:05--00:04:06] 就是影响这个
[00:04:06--00:04:07] 我们说深度学习
[00:04:07--00:04:08] 人工智能深度学习
[00:04:08--00:04:09] 它最大的一个动力
[00:04:09--00:04:11] 其实就是要做skilling
[00:04:11--00:04:13] 当时XNet非常成功
[00:04:13--00:04:15] 大家都知道非常成功
[00:04:15--00:04:16] 为什么呢
[00:04:16--00:04:17] 因为它刚好是
[00:04:17--00:04:19] 达到了那个时间的
[00:04:19--00:04:21] 就一个最佳的历史契机
[00:04:21--00:04:22] 我们说skilling
[00:04:22--00:04:23] 按今天的观点
[00:04:23--00:04:25] 你要同时skill
[00:04:25--00:04:26] 那个模型
[00:04:26--00:04:27] 数据
[00:04:27--00:04:28] 和这个算力
[00:04:28--00:04:30] 刚好在2012年那回
[00:04:30--00:04:30] 我们知道
[00:04:30--00:04:32] 我是搞CV出身
[00:04:32--00:04:33] 搞CV的话
[00:04:33--00:04:35] 就是在09年
[00:04:35--00:04:36] 像李卑微他们团队
[00:04:36--00:04:37] 就提出了这个Infinite
[00:04:37--00:04:39] 就是搞了一个
[00:04:39--00:04:40] 120多万的
[00:04:40--00:04:41] 这个数据集
[00:04:41--00:04:42] 当时你能跑完
[00:04:42--00:04:43] 就已经很不容易了
[00:04:43--00:04:45] 所以data skilling
[00:04:45--00:04:45] 可以认为
[00:04:45--00:04:47] 在那个时候已经不受问题
[00:04:47--00:04:48] 还有人给了一个
[00:04:48--00:04:49] 非常大的一个data
[00:04:49--00:04:49] 所以
[00:04:49--00:04:50] 那个算力
[00:04:50--00:04:52] 就因为大家都知道
[00:04:52--00:04:54] 在那个零几年就提出了库达
[00:04:54--00:04:56] 一开始都是为科学计算
[00:04:56--00:04:58] 但是到12年左右
[00:04:58--00:05:00] 那一回它那个库达的性能
[00:05:00--00:05:01] 已经非常好了
[00:05:01--00:05:04] 就是也有一些算力的支持
[00:05:04--00:05:05] 所以可以认为
[00:05:05--00:05:07] 在算力的这个skilling
[00:05:07--00:05:08] 已经解决了
[00:05:08--00:05:10] 所以到那个时间点
[00:05:10--00:05:11] 就最重要的一点
[00:05:11--00:05:13] 就是你要谁最先
[00:05:13--00:05:15] 或者说是谁能够把这个model
[00:05:15--00:05:17] 给skill up上去
[00:05:17--00:05:19] 像XNet它就成功了
[00:05:19--00:05:21] 之前我们做那些神经网络
[00:05:21--00:05:22] 也就几兆
[00:05:22--00:05:24] 它一下子搞到了700多兆
[00:05:24--00:05:26] 就是因为这样的一个契机
[00:05:26--00:05:28] 所以XNet成功
[00:05:28--00:05:29] 刚好我在那个时候读过
[00:05:29--00:05:31] 也是延续了相同的路线
[00:05:31--00:05:32] 所以我整个PhD节目
[00:05:32--00:05:35] 就是2012年到这个16年
[00:05:35--00:05:36] 我所做的事情
[00:05:36--00:05:38] 其实也就是在做model skilling
[00:05:38--00:05:40] 我想把模型做得更大
[00:05:40--00:05:41] 然后做下去
[00:05:41--00:05:43] 而把模型做得更大
[00:05:43--00:05:45] 无非就是更大的宽度
[00:05:45--00:05:46] 更大的深度
[00:05:46--00:05:46] 视觉信号来说
[00:05:46--00:05:48] 还有更大的分辨率
[00:05:48--00:05:49] 对
[00:05:49--00:05:52] 然后这块就是凯明老师
[00:05:52--00:05:55] 和陈念老师给我指导的非常多的
[00:05:55--00:05:56] 然后我们也一起提出了
[00:05:56--00:05:57] 很多种方法
[00:05:57--00:05:58] 比如在分辨率skill up
[00:05:58--00:06:00] 在那个宽度skilling上
[00:06:00--00:06:05] 它会遇到相当于梯度的爆炸
[00:06:05--00:06:07] 或者是Vanishing这些问题
[00:06:07--00:06:09] 所以我们提出了一种数据化策略
[00:06:09--00:06:10] MSRA
[00:06:10--00:06:12] 就比较好地解决了
[00:06:12--00:06:13] 这个宽度skilling
[00:06:13--00:06:17] 在那个就是深度方面
[00:06:17--00:06:18] 深度是最困难的
[00:06:19--00:06:22] 前面的一些模型基本上过了十几层
[00:06:22--00:06:24] 你看那个效果就会迅速下降
[00:06:24--00:06:26] 我们刚好在那个时候就主要提出了
[00:06:26--00:06:27] 这个Westline
[00:06:27--00:06:29] 也是现在影响力比较大的一个工作
[00:06:29--00:06:32] 可以把网络从十几层提到几十层
[00:06:32--00:06:33] 上百层
[00:06:33--00:06:35] 甚至愿意上千层也是可以的
[00:06:35--00:06:36] 当我们把这一系列做完以后
[00:06:36--00:06:37] 其实这样
[00:06:37--00:06:40] 我认为就是model skilling这一块
[00:06:40--00:06:41] 至少在那个时间点
[00:06:41--00:06:43] 我认为已经基本上解决了
[00:06:43--00:06:44] 所以在我毕业以后
[00:06:44--00:06:46] 其实导况是做小模型
[00:06:46--00:06:47] 对
[00:06:47--00:06:48] 因为那个时候
[00:06:48--00:06:49] 我继续把模型做大
[00:06:49--00:06:51] 因为没有特别大的收益了
[00:06:51--00:06:54] 因为这时候bond重新变成了数据和转换
[00:06:54--00:06:56] 从我16年17年加入矿事以后
[00:06:56--00:06:59] 其实我做的反而是那种小模型
[00:06:59--00:06:59] 而且呢
[00:06:59--00:07:00] 我也发现
[00:07:00--00:07:03] 就是说把模型从大做小
[00:07:03--00:07:07] 其实它的思路非常不一样
[00:07:07--00:07:10] 可能跟大家想象的不一样
[00:07:10--00:07:11] 觉得模型架构
[00:07:11--00:07:12] 这些设计细节非常关键
[00:07:12--00:07:15] 但实际上做过架构的同行
[00:07:15--00:07:15] 可能都知道
[00:07:15--00:07:17] 就是很多时候
[00:07:17--00:07:19] 我们发现架构是没有用的
[00:07:19--00:07:20] 就是架构设计
[00:07:20--00:07:21] 尤其是对于大模型
[00:07:21--00:07:24] 架构设计更多的是针对大方向
[00:07:24--00:07:25] 就大方向只要对了
[00:07:25--00:07:26] 比如说你只要用了resnet
[00:07:26--00:07:29] 那么至于它里面的那些
[00:07:29--00:07:30] 层间如何连接
[00:07:30--00:07:32] 其实差别是不大的
[00:07:32--00:07:34] 效果差别是不大的
[00:07:34--00:07:36] 它关键是它的大方向很重要
[00:07:36--00:07:37] 但是一旦你把这个
[00:07:37--00:07:39] 计算的quota变小
[00:07:39--00:07:40] 比如说放到端侧
[00:07:40--00:07:43] 这时候模型架构的细节设计
[00:07:43--00:07:44] 就会变得非常重要
[00:07:44--00:07:46] 尤其是对于不同的硬件设备
[00:07:46--00:07:47] 它的执行效果
[00:07:47--00:07:50] 它的效率都是有很大不同
[00:07:50--00:07:53] 所以我在做沙发奈的时候
[00:07:53--00:07:54] 也深刻地感受到
[00:07:54--00:07:56] 这件事非常困难
[00:07:56--00:07:57] 就是说你要把这个
[00:07:57--00:07:59] 在特定的硬件
[00:07:59--00:08:02] 要把一些特定任务的模型跑起来
[00:08:02--00:08:04] 要设计出效率最高
[00:08:04--00:08:06] 性能最高的这个模型
[00:08:06--00:08:08] 其实需要有大量的经验设计
[00:08:08--00:08:11] 所以一开始我们做了几个
[00:08:11--00:08:13] 小模型的工作以后
[00:08:13--00:08:15] 我的研究主要转向
[00:08:15--00:08:16] 就怎么通用了
[00:08:16--00:08:17] 或者自动化了
[00:08:17--00:08:19] 把这些小模型
[00:08:19--00:08:21] 很复杂的这些小模型设计出来
[00:08:21--00:08:23] 所以在1718年的时候
[00:08:23--00:08:25] 我就立了一个项目
[00:08:25--00:08:27] 就是搞神经网络架构搜索
[00:08:27--00:08:28] 就是NAS
[00:08:28--00:08:29] 就是利用自动化的模型
[00:08:29--00:08:31] 就是把这个
[00:08:31--00:08:33] 就是把我自动化的设计
[00:08:33--00:08:37] 设计能够在特定硬件上
[00:08:37--00:08:39] 能够高效地跑起来的这样的模型
[00:08:39--00:08:41] 19年提的那个叫SPOS这个工作
[00:08:41--00:08:43] 它可以用非常小的代价
[00:08:43--00:08:45] 对在特定硬件上
[00:08:45--00:08:47] 就针对给定的硬件
[00:08:47--00:08:49] 我去搜索一个在目标数据题上
[00:08:49--00:08:53] 这个效果最好的这样一个模型
[00:08:53--00:08:55] 就可以很大程度上解放这个人工
[00:08:55--00:08:57] 所以到19年底的时候
[00:08:57--00:08:59] 我的目标就是目光的这个模型
[00:08:59--00:09:01] 重新要做大模型
[00:09:01--00:09:03] 要做大
[00:09:03--00:09:05] 但到19年这回
[00:09:05--00:09:07] 其实把模型做大
[00:09:07--00:09:09] 和当时16年
[00:09:09--00:09:11] 它的难点已经很不一样了
[00:09:11--00:09:13] 16年那回
[00:09:13--00:09:15] 就是16年之前
[00:09:15--00:09:17] 主线的故事都是怎么把模型做大
[00:09:17--00:09:19] 就model skill
[00:09:19--00:09:21] 但是到19年
[00:09:21--00:09:23] 它最大的难点在于data skill
[00:09:23--00:09:25] 因为大家知道CVA发展这么多年
[00:09:25--00:09:27] 虽然自监督或者是
[00:09:27--00:09:29] 自监督或者就是这种label of reach的方法
[00:09:29--00:09:31] 但是一直以来就缺少一个
[00:09:31--00:09:35] 就像NLP里面的所谓的GPD时刻
[00:09:35--00:09:37] 或者BERT时刻这样的东西
[00:09:37--00:09:39] 其实在19年
[00:09:39--00:09:41] 就怎么说呢
[00:09:41--00:09:43] 在19年的时候
[00:09:43--00:09:45] 其实NLP里面进展非常大
[00:09:45--00:09:47] 很多人说这个进展大是因为揣测
[00:09:47--00:09:49] 但其实并不是
[00:09:49--00:09:51] 我前面也说了
[00:09:51--00:09:53] 架构在这里面不起主要作用
[00:09:53--00:09:55] 其主要作用是优化方法
[00:09:55--00:09:57] 之前NLP其实跟CVA是一样的
[00:09:57--00:09:59] 我来一批数据我去标准了
[00:09:59--00:10:01] 标一大批数据
[00:10:01--00:10:03] 标一大批label
[00:10:03--00:10:05] 但你只要依赖人工标注
[00:10:05--00:10:07] 那么你是永远skill up不起来的
[00:10:07--00:10:09] 但是NLP它就是
[00:10:09--00:10:11] 他们很幸运的
[00:10:11--00:10:13] 就是发现了
[00:10:13--00:10:15] 我通过一个特定的训练方式
[00:10:15--00:10:17] 比如BERT
[00:10:17--00:10:19] 就是用类似的
[00:10:19--00:10:21] 完形填空这样的方法
[00:10:21--00:10:23] 它就看起来这个task
[00:10:23--00:10:25] 跟我的下游要做的千千万万的task
[00:10:25--00:10:27] 可能没有关系
[00:10:27--00:10:29] 但是它通过这样的上游的task
[00:10:29--00:10:31] 首先它不需要label
[00:10:31--00:10:33] 它可以无限扩展
[00:10:33--00:10:35] 其次它发现数据越多
[00:10:35--00:10:37] 我通过上游这个task
[00:10:37--00:10:39] 我神经网络就可以学到更强的表征
[00:10:39--00:10:41] 我在下游任务就做得更好
[00:10:41--00:10:43] 而GBT这种decode only
[00:10:43--00:10:45] 就是Pretending max token
[00:10:45--00:10:47] 这种方式就更进一步
[00:10:47--00:10:49] 就是说我不需要label
[00:10:49--00:10:51] 并且它还可以
[00:10:51--00:10:53] 统一
[00:10:53--00:10:55] 通过in context建模的方式
[00:10:55--00:10:57] 还可以统一
[00:10:57--00:10:59] 很多下游的task
[00:10:59--00:11:01] 当然这里很多的inside
[00:11:01--00:11:03] 都是在GBT3出来的
[00:11:03--00:11:05] 20年GBT3出来之后才有了
[00:11:05--00:11:07] 至少NLP这条路是完全打通了
[00:11:07--00:11:09] 但在19年至少在19年
[00:11:09--00:11:11] CVA其实还
[00:11:11--00:11:13] 没有经历过这个时刻
[00:11:13--00:11:15] 当时19年的时候
[00:11:15--00:11:17] 尤其上半年
[00:11:17--00:11:21] Google有很多在半减度领域的一些突破
[00:11:21--00:11:23] 比如像UDA这些
[00:11:23--00:11:25] 这些东西
[00:11:25--00:11:27] 其实它指向了一个
[00:11:27--00:11:29] 就看起来不错的一个方法
[00:11:29--00:11:31] 我们叫对比学习
[00:11:31--00:11:33] 然后呢
[00:11:33--00:11:35] 到19年底
[00:11:35--00:11:37] 向Moco 向CMCR这类工作出来
[00:11:37--00:11:39] 让大家重新看到了希望
[00:11:39--00:11:41] 我通过对比学习是不是
[00:11:41--00:11:43] 对比学习是不是就是
[00:11:43--00:11:45] 类似NLP里的
[00:11:45--00:11:47] Bert GPT这个时刻
[00:11:47--00:11:49] 因为大家
[00:11:49--00:11:51] 尤其是看到它在
[00:11:51--00:11:53] 很多指标上信了
[00:11:53--00:11:55] 通过完全的这种
[00:11:55--00:11:57] 自检度的效果
[00:11:57--00:11:59] 它的学习Fisher的效果已经开始逼近
[00:11:59--00:12:01] 当时还有一定差距
[00:12:01--00:12:03] 但是已经快速逼近
[00:12:03--00:12:05] 像我们用Inlet这种全标注的数据去
[00:12:05--00:12:07] 就是给人很大的鼓舞
[00:12:07--00:12:09] 但是整个业界包括我们也是
[00:12:09--00:12:11] 花了很多精力在研究
[00:12:11--00:12:13] 结果发现了
[00:12:13--00:12:15] 很多这些方法它其实只在小模型上管
[00:12:15--00:12:17] 仍然没有skill up的特性
[00:12:17--00:12:19] 一旦skill up了它很大
[00:12:19--00:12:21] 然后发现
[00:12:21--00:12:23] 效果就快速完整
[00:12:23--00:12:25] 然后到了2020年
[00:12:25--00:12:27] 2020年其实CMU里面还有一个大事
[00:12:27--00:12:29] 就是说有人把这个Transformer
[00:12:29--00:12:31] 就是纯纯从我们架构在CV上
[00:12:31--00:12:33] 彻底做work了
[00:12:33--00:12:35] 其实就是VIT那个系列
[00:12:35--00:12:37] 一直用到今天
[00:12:37--00:12:39] 当时
[00:12:39--00:12:41] 好学术的人大家就自然想
[00:12:41--00:12:43] 那这太好了
[00:12:43--00:12:45] 我可以把NLP的方法
[00:12:45--00:12:47] 都搬到CV这里面来试试
[00:12:47--00:12:49] 所以产生了
[00:12:49--00:12:51] 很多类似的方法
[00:12:51--00:12:53] 比如说现在NLP里
[00:12:53--00:12:55] 叫做GPT
[00:12:55--00:12:57] 在CV里面它叫Igpt
[00:12:57--00:12:59] 就image GPT
[00:12:59--00:13:01] 在NLP里叫Bert
[00:13:01--00:13:03] 在CV里叫Bate
[00:13:03--00:13:05] 比较毕业
[00:13:05--00:13:07] 有一系列从NLP里接见的方法过来
[00:13:07--00:13:09] 但是呢
[00:13:09--00:13:11] 一开始它效果非常好
[00:13:11--00:13:13] 尤其是像这个
[00:13:13--00:13:15] 凯明提出的MAE系列
[00:13:15--00:13:17] 以后
[00:13:17--00:13:19] 可以看到它在自监督方上
[00:13:19--00:13:21] 性能
[00:13:21--00:13:23] 尤其在对于Fintune后的下游踏车
[00:13:23--00:13:25] 你不输
[00:13:25--00:13:27] 甚至略有超过
[00:13:27--00:13:29] 对应的带全监督的信号的模型
[00:13:29--00:13:31] 就再次让CV社区又活起来了
[00:13:31--00:13:33] 对
[00:13:33--00:13:35] 但是其实我对此
[00:13:35--00:13:37] 一直谨慎了
[00:13:37--00:13:39] 因为确实我做了很多事情
[00:13:39--00:13:41] 都是在小模型上
[00:13:41--00:13:43] 很多这些方法都是在小模型上
[00:13:43--00:13:45] 它一放到大的上面
[00:13:45--00:13:47] 你会发现它完全不像NLP
[00:13:47--00:13:49] 它有这个skill up的特性
[00:13:49--00:13:51] 然后
[00:13:51--00:13:53] 其实到
[00:13:53--00:13:55] 大概到21年底的时候
[00:13:55--00:13:57] 我仔细分析了
[00:13:57--00:13:59] 为什么早期大家做contrast learning
[00:13:59--00:14:01] work
[00:14:00--00:14:01] 就是放到大方向波
[00:14:01--00:14:04] MIM可能效果好一些
[00:14:04--00:14:06] 但是我依然不看好
[00:14:06--00:14:08] 我当时大概想明白了
[00:14:08--00:14:08] 这是为什么
[00:14:08--00:14:10] 原因是
[00:14:10--00:14:11] 这些
[00:14:11--00:14:13] 不管是Contrast Learning
[00:14:13--00:14:14] 还是MIM
[00:14:14--00:14:15] 它 somehow都在学
[00:14:15--00:14:16] 某种不变性
[00:14:16--00:14:18] 确实不变性
[00:14:18--00:14:19] 对于这个CV的
[00:14:19--00:14:21] 尤其是视觉的
[00:14:21--00:14:22] 这个Representation
[00:14:22--00:14:23] 说是非常关键的
[00:14:23--00:14:25] 但是问题是
[00:14:25--00:14:26] 这两种方法
[00:14:26--00:14:27] 它所学到的不变性
[00:14:27--00:14:29] 它并不是Data追问
[00:14:29--00:14:30] 而是完全的Handcraft
[00:14:30--00:14:32] 因为我们知道
[00:14:32--00:14:35] 对于Contrast Learning来说
[00:14:35--00:14:37] 它非常非常依赖
[00:14:37--00:14:38] 一个Augmentation
[00:14:38--00:14:40] 就是你这样的构造方法
[00:14:40--00:14:42] 它实际上是在鼓励
[00:14:42--00:14:43] 就它的负样本部分
[00:14:43--00:14:44] 你可以认为
[00:14:44--00:14:45] 它是一个Regulatory
[00:14:45--00:14:47] 它在鼓励一个最大商
[00:14:47--00:14:48] 就是防止信息坍缩
[00:14:48--00:14:50] 而它的那个分子部分
[00:14:50--00:14:54] 其实是在学习一种不变性
[00:14:54--00:14:55] 但这个不变性
[00:14:55--00:14:56] 不是数据赋予的
[00:14:56--00:14:58] 而是你通过
[00:14:58--00:14:59] 那个人工Design
[00:14:59--00:14:59] 的
[00:14:59--00:15:01] 那个Augmentation复原
[00:15:01--00:15:01] 对
[00:15:01--00:15:03] 但是这就其实又走到了
[00:15:03--00:15:04] 更早
[00:15:04--00:15:05] 我们之前就说
[00:15:05--00:15:07] 人工设计的这个老路上
[00:15:07--00:15:09] 你看那个NRP为啥
[00:15:09--00:15:09] 这么work
[00:15:09--00:15:10] 它是真正做到了
[00:15:10--00:15:11] Learn from Data
[00:15:11--00:15:13] 我有越高质量的语料
[00:15:13--00:15:15] 我这个模型就可以学习
[00:15:15--00:15:16] 这个语料中的
[00:15:16--00:15:17] 这个关联性
[00:15:17--00:15:19] 然后建模的量分布
[00:15:19--00:15:20] 通过压缩学习到
[00:15:20--00:15:21] 这种知识
[00:15:21--00:15:22] 但CV这个不行
[00:15:22--00:15:24] 你设计了一个
[00:15:24--00:15:24] 什么样的不变性
[00:15:24--00:15:26] 比如说对于旋转
[00:15:26--00:15:28] 比如说Color Augmentation
[00:15:28--00:15:29] 或者Multicrop
[00:15:29--00:15:29] 这个不行
[00:15:29--00:15:30] 这样的不变性
[00:15:30--00:15:31] 它最后学到的特征
[00:15:31--00:15:32] 就是满足你所设计的
[00:15:32--00:15:33] 那几个不变性
[00:15:33--00:15:35] 那它当然没有Skill Up效果
[00:15:35--00:15:37] 因为你只需要少量的Data
[00:15:37--00:15:39] 我就可以让这个模型学会
[00:15:39--00:15:40] 然后你就没有信息增量
[00:15:40--00:15:42] 当时呢
[00:15:42--00:15:44] MIM还是有非常多人
[00:15:44--00:15:46] 就一用来上去搞的
[00:15:46--00:15:49] 其实就是Label的那个方法
[00:15:49--00:15:51] 但是我也是很早就看到
[00:15:51--00:15:52] 这个方法的上限
[00:15:52--00:15:53] 也就是说
[00:15:53--00:15:54] 它学到了遮挡不变性
[00:15:54--00:15:56] 遮挡不变性确实很重要
[00:15:56--00:15:58] 比如说我们人类认识
[00:15:58--00:15:59] 这样一瓶水
[00:15:59--00:16:01] 我把这个水给挡住
[00:16:01--00:16:02] 它就漏一个头
[00:16:02--00:16:04] 但对于一个人类来说
[00:16:04--00:16:04] 我仍然能踩到
[00:16:04--00:16:05] 这后面水瓶水
[00:16:05--00:16:07] 它只要看到一个局部的时候
[00:16:07--00:16:08] 这就是人类认识的
[00:16:08--00:16:09] 遮挡不变性
[00:16:09--00:16:11] 但是呢
[00:16:11--00:16:13] 拥有遮挡不变性的特征
[00:16:13--00:16:14] 它只是一个必要条件
[00:16:14--00:16:15] 它不是充分条件
[00:16:15--00:16:16] 对
[00:16:16--00:16:18] 然后你做
[00:16:18--00:16:19] 比如说你做那个
[00:16:19--00:16:20] MIM的一个方法
[00:16:20--00:16:23] 就是你在数学上很小的时候
[00:16:23--00:16:24] 你通过这样
[00:16:24--00:16:26] 它的这种算法的设计
[00:16:26--00:16:27] 可以让你学出
[00:16:27--00:16:29] 这个拥有遮挡不变性的特征
[00:16:29--00:16:30] 这个非常好
[00:16:30--00:16:31] 这个特征非常有用
[00:16:31--00:16:33] 但是即使你的数据量再扩大
[00:16:33--00:16:37] 你学习的仍然只是这一种不变性
[00:16:37--00:16:38] 对
[00:16:38--00:16:41] 它并没有从数据中激发出
[00:16:41--00:16:42] 更多的不变性
[00:16:42--00:16:43] 这就是它博物的观点
[00:16:43--00:16:46] 所以当时在2022年初
[00:16:46--00:16:49] 我发了一篇观点的文章
[00:16:49--00:16:50] 观点文章
[00:16:50--00:16:53] 我就认为MIM其实是没有用的
[00:16:53--00:16:54] 没有较大的skin law
[00:16:54--00:16:56] 就没有明显的skin law
[00:16:56--00:16:57] 当然也受到了
[00:16:57--00:16:58] 就圈内不少人批评
[00:16:59--00:17:00] 但现在看来
[00:17:00--00:17:02] 确实这条路线走的人也很少
[00:17:02--00:17:04] 确实不是那么的优秀
[00:17:04--00:17:05] 对
[00:17:05--00:17:07] 其中最主要的原因就是
[00:17:07--00:17:08] 其实你看到它的本质
[00:17:08--00:17:09] 大概就可以意识到
[00:17:09--00:17:12] 它其实就是这样的一个问题
[00:17:12--00:17:15] 所以其实到2022年开始
[00:17:15--00:17:20] 我对单纯依靠视觉这个东西
[00:17:20--00:17:24] 尤其是依靠静态图像
[00:17:24--00:17:27] 可以学出智能
[00:17:27--00:17:29] CV领域的GPT时刻
[00:17:29--00:17:31] 这件事我是比较悲观的
[00:17:31--00:17:34] 就是这个时刻就怎么说呢
[00:17:34--00:17:36] 就怎么说呢
[00:17:36--00:17:38] 一个是也是大家演练了这么多年
[00:17:38--00:17:40] 搞出了各种各样的自建论的方法
[00:17:40--00:17:44] 但是似乎都没有取得像那个NRT领域
[00:17:44--00:17:48] 就这么容易的skilling的特性
[00:17:48--00:17:50] 尤其是当时在2022年
[00:17:50--00:17:52] 当我看了两篇paper以后
[00:17:52--00:17:54] 这两篇book刚好都是杰森卫的
[00:17:54--00:17:58] 一篇就是关于思维链的这个发现
[00:17:59--00:18:03] 另一篇就是关于这个永现性
[00:18:03--00:18:05] 然后这里面有一个永现性的推动
[00:18:05--00:18:06] 这两篇book刚好
[00:18:06--00:18:08] 我当时大受震撼
[00:18:08--00:18:11] 因为当我们我感觉我研究了这么多年
[00:18:11--00:18:14] 都还停留在表征这个层面
[00:18:14--00:18:17] 但是像做NRP的同行们
[00:18:17--00:18:18] 已经开始在研究推理
[00:18:18--00:18:21] 已经在研究更高级别的这个智能特性
[00:18:21--00:18:24] 我越来越解读纯视觉这个轮盘
[00:18:24--00:18:26] 可能是有问题
[00:18:26--00:18:27] 虽然它很重要
[00:18:27--00:18:29] 但它很有问题
