[00:00:02--00:00:06] 不能称作是AI Bubble
[00:00:06--00:00:07] 更像是AI War
[00:00:07--00:00:10] AI可能就是得看作
[00:06:33--00:06:36] 那你觉得为什么大家会谈论AI Bubble呢
[00:06:36--00:06:38] 这次AI Bubble的导火索是什么
[00:06:38--00:06:41] 我看你们前段时间也开了研讨会来讨论这个事儿
[00:06:41--00:06:44] 对主要原因还是10月份的时候
[00:06:44--00:06:46] Sam提了1.4个T那个问题嘛
[00:06:46--00:06:48] 30个G瓦的那个算力建设
[00:06:48--00:06:51] GPU都是按6年摊销嘛
[00:06:51--00:06:55] 那就意味着OpenAI平均每年要烧掉2000多亿美金
[00:06:55--00:06:58] 那OpenAI其实到2030年
[00:06:58--00:07:01] 你看它的公开的预测也就2000多亿美金的年营收
[00:07:01--00:07:02] 对吧
[00:07:02--00:07:06] 那未来5年累计加起来的营收大概五六千亿美金
[00:07:06--00:07:09] 其实从商业和现金流的视角
[00:07:09--00:07:11] 那短期前肯定是算不过账的
[00:07:11--00:07:14] 那也不知道怎么赚回那么多钱
[00:07:14--00:07:17] 说实话今天也不知道Sam为什么要花那么多钱
[00:07:17--00:07:18] 对吧
[00:07:18--00:07:20] 但我觉得有一个明确的是
[00:07:20--00:07:23] 未来两三年OpenAI的现金流是没啥问题的
[00:07:23--00:07:25] 就是你看最近有个新闻
[00:07:25--00:07:28] 那个按8000多亿美金估值再融1000亿美金
[00:07:28--00:07:29] 对吧
[00:07:29--00:07:32] 其实OpenAI自身的现金还是充裕的
[00:07:32--00:07:34] 但这1.4T呢就听着比较大
[00:07:34--00:07:37] 其实大部分的投入都是28年和之后的
[00:07:37--00:07:40] 一个多月以前就Sam上了一个播客
[00:07:41--00:07:45] 连续追问OpenAI如何为1.4万亿美元的承诺买单的时候
[00:07:45--00:07:47] 他那个问题回答的很不好
[00:07:47--00:07:49] 他说如果你想卖掉你的股份
[00:07:49--00:07:50] 我可以帮你找买家够了
[00:07:50--00:07:53] 这个也引发了大家对于OpenAI信心的波动
[00:07:53--00:07:56] 那你能不能拆解一下OpenAI的收入构成
[00:07:56--00:07:59] OpenAI有可以看得清的收入
[00:07:59--00:08:02] 也有看不清未来潜在的收入
[00:08:02--00:08:05] 如果看得清的收入我们就拆一下
[00:08:05--00:08:07] 就说订阅广告电商对吧
[00:08:07--00:08:10] 我们就比较乐观的假设2030年之前
[00:08:10--00:08:12] 他做到40亿的月货
[00:08:12--00:08:14] 25亿的周货
[00:08:14--00:08:16] 15亿的日货对吧
[00:08:16--00:08:20] 那假设他的订阅做到10%的付费率
[00:08:20--00:08:21] 那就是4亿用户
[00:08:21--00:08:22] 这个是非常合理的
[00:08:22--00:08:25] 就是因为对比office
[00:08:25--00:08:28] office应该也是3到4亿的付费用户
[00:08:28--00:08:30] 但很多是企业帮员工付费订阅嘛
[00:08:30--00:08:33] 那个4亿的付费用户每个用户
[00:08:33--00:08:36] 假设是200美金的年费
[00:08:36--00:08:37] 这其实是800亿美金
[00:08:37--00:08:40] 其实office也是几亿的付费订阅嘛
[00:08:40--00:08:42] 订阅用户几百亿美金的生意对吧
[00:08:42--00:08:46] 包括netflix也是几亿的付费订阅用户
[00:08:46--00:08:51] 其实我直观的感觉chat gpt应该比office和netflix要大
[00:08:51--00:08:54] 然后这是订阅
[00:08:54--00:08:57] 再算电商和广告
[00:08:57--00:09:00] 就假设不付费的用户就要看广告
[00:09:00--00:09:03] 那我们就假设每个周货他的up值
[00:09:03--00:09:06] 比如20美金50美金对吧
[00:09:06--00:09:10] 假设20多个亿的周货
[00:09:10--00:09:14] 那其实这也是500到1000亿美金的一个营收对吧
[00:09:14--00:09:17] 那第三个就是卖API
[00:09:17--00:09:20] 你拍脑袋也能做到500到1000亿美金
[00:09:20--00:09:21] 其实他们是很有规模效应的
[00:09:21--00:09:23] 其实模型就是新的云
[00:09:23--00:09:28] 这跟亚马逊当年有了电商业务自己做云是一样的逻辑
[00:09:28--00:09:30] 那其他的可能还有一些agent的其他的收入
[00:09:30--00:09:32] 我觉得这几块都看不见的
[00:09:32--00:09:35] 差不多做到两三千亿美金营收一年对吧
[00:09:35--00:09:39] 那其实相当于今天的买塔或者字节一样的
[00:09:40--00:09:42] 所以从这个角度看呢
[00:09:42--00:09:45] 就是只多了一个互联网平台其实也没啥意思
[00:09:45--00:09:48] 那肯定也是抢了一大块存量的生意的
[00:09:48--00:09:52] 那个但它很大的也是增量的东西啊对
[00:09:52--00:09:55] 你刚才说的这几个是看得清的收入
[00:09:55--00:09:57] 那看不清的潜在的未来的收入会有什么
[00:09:57--00:09:59] 对我觉得这个是比较有意思的
[00:09:59--00:10:02] 就是我们总是缺乏想象力的
[00:10:02--00:10:06] 就是再让我们回到AWS诞生的头几年
[00:10:06--00:10:08] 抖音诞生的头几年
[00:10:08--00:10:09] 其实大家都不会觉得
[00:10:09--00:10:11] 这俩能做到千亿美金营收对吧
[00:10:11--00:10:14] 包括再让我们回到2023年
[00:10:14--00:10:17] 也不会想到OpenAI和AnswerPick估值能涨这么快
[00:10:17--00:10:19] 哪怕就回到今年年初
[00:10:19--00:10:21] 当时咱们播客提了那个coding
[00:10:21--00:10:23] coding agent是今年主题
[00:10:23--00:10:26] 就十个月前看AI coding
[00:10:26--00:10:29] 这个单一行业大家也不会觉得一年能涨十倍
[00:10:29--00:10:32] 硬生生涨出来一百亿美金对吧
[00:10:32--00:10:35] 我觉得AI的潜在的看不见的营收规模是很大的
[00:10:35--00:10:37] 我觉得是会有惊喜的
[00:10:37--00:10:38] 因为因为
[00:10:38--00:10:41] 因为这可是全世界最聪明的一批人
[00:10:41--00:10:44] 这个最牛的科技公司和最厉害的大佬
[00:10:44--00:10:46] 都在努力搞这个市场对吧
[00:10:46--00:10:47] 那如果具体来说
[00:10:47--00:10:49] 我觉得OpenAI真的想赚钱
[00:10:49--00:10:52] 有两种演绎的潜在方向
[00:10:52--00:10:55] 一种是Agent真的开始work了对吧
[00:10:55--00:10:57] 真的端到端替代劳动力了
[00:10:57--00:10:59] 赚到这个工资的预算
[00:10:59--00:11:01] 不再只是一个工具
[00:11:01--00:11:03] 比如说全球白领有十个亿
[00:11:03--00:11:06] OpenAI就这个靠输出十亿白领的价值
[00:11:06--00:11:08] 这个自动化白领的价值
[00:11:08--00:11:09] 这种工作
[00:11:09--00:11:11] 那每个Agent白领这个工资
[00:11:11--00:11:14] 比如说一千美金或者到一万美金之间对吧
[00:11:14--00:11:16] 那就是一个T到十个T的营收
[00:11:16--00:11:17] 这个这就很大了
[00:11:17--00:11:20] 那其实你看白领里面
[00:11:20--00:11:23] 最快的还是软件开发市场
[00:11:23--00:11:25] 全球软件开发市场大概一千五百亿美金对吧
[00:11:25--00:11:28] 今年AI coding其实只有一百多亿美金
[00:11:28--00:11:29] 还不到百分之十
[00:11:29--00:11:32] 那未来几年涨到百分之三十或四十的渗透率
[00:11:32--00:11:34] 我觉得未来肯定还会更高对吧
[00:11:34--00:11:37] 那另外还有一个比较兴盛大海的就是
[00:11:37--00:11:41] 叫大规模做人做不了的增量的高价值内容
[00:11:41--00:11:44] 比如说coding可以重新写CUDA对吧
[00:11:44--00:11:48] 这个科学发现这个治愈人类所有疾病对吧
[00:11:48--00:11:51] 帮我们研究比如说室温超导的材料对吧
[00:11:51--00:11:55] 这个AI做AI的科学家
[00:11:55--00:11:56] 技术物理很多东西
[00:11:56--00:11:59] 我觉得这些潜在价值都是非常非常高的
[00:11:59--00:12:02] 那这里的前提也是模型更加可靠
[00:12:02--00:12:03] 端到端能力更强对吧
[00:12:03--00:12:06] 也需要比如说online learning这个本质上的突破
[00:12:06--00:12:07] 所以
[00:12:07--00:12:10] 我们现在只能解释AI这件事说
[00:12:10--00:12:13] 更像国防或者战争的军备竞赛
[00:12:13--00:12:15] 这个未来的潜力巨大
[00:12:15--00:12:16] 每个人都输不起
[00:12:16--00:12:20] 所以那我们就说巨头每个都不会放弃
[00:12:20--00:12:24] 都会投光自己有的最后一分钱对吧
[00:12:24--00:12:28] 那个其实我觉得这个一定程度上是超越了商业回报
[00:12:28--00:12:30] 输了就有被颠覆的风险
[00:12:30--00:12:32] 正因为这个太重要
[00:12:32--00:12:35] 所以大家不会让Google一家独大
[00:12:35--00:12:36] 也不会让Open一家独大
[00:12:36--00:12:40] 所以英文达也好微软也好亚马逊也好对吧
[00:12:40--00:12:43] 会继续支持OpenAI和Anthropic对吧
[00:12:43--00:12:46] Anthropic这个就很像一个巨头的妻子的价值
[00:12:46--00:12:48] 这个因为任何一家都很大
[00:12:48--00:12:51] 都可能会对其他家造成威胁
[00:12:51--00:12:55] 所以这里面有很多这个巨头博弈的一个平衡
[00:12:55--00:12:58] 但我感觉就是商业上长期对AI的商业模式
[00:12:58--00:13:01] 还是要抱着一个乐观的态度吧
[00:13:01--00:13:03] 那个比如agent真的落地后
[00:13:03--00:13:05] 我就对传统流量平台
[00:13:05--00:13:07] 生意还是会有很大影响的
[00:13:07--00:13:09] 就刚才提到那个流量短路的问题
[00:13:09--00:13:12] 你说Anthropic有巨头的妻子价值
[00:13:12--00:13:14] 那你觉得中国的这些公司有巨头的
[00:13:14--00:13:17] 在巨头间博弈的这种妻子价值吗
[00:13:17--00:13:20] 好像中国的巨头都很强
[00:13:20--00:13:22] 独立的模型公司呢
[00:13:22--00:13:26] 没有显著的比巨头领先对吧
[00:13:26--00:13:28] 那字节和阿里好像都很强
[00:13:28--00:13:30] 腾讯也在catch up
[00:13:30--00:13:32] 挖去的大神
[00:13:32--00:13:34] 你刚才说OpenAI有几块收入
[00:13:34--00:13:38] 你觉得它做起来广告和电商的速度会乐观吗
[00:13:38--00:13:39] 我觉得长期乐观
[00:13:39--00:13:40] 其实就是时间问题
[00:13:40--00:13:44] 历史上只要是大流量有粘性的平台
[00:13:44--00:13:46] 最终都是能变现的
[00:13:46--00:13:50] 这个速度我觉得就取决于优先级的问题
[00:13:50--00:13:52] 可能广告和电商
[00:13:52--00:13:54] 今天还不是最高优先级问题
[00:13:54--00:13:56] 我理解的最高优先级问题
[00:13:56--00:13:59] 是2020年底之前先做到10个亿的日货
[00:13:59--00:14:01] 我觉得这个是更重要的
[00:14:01--00:14:03] 我觉得OpenAI今天是被低估的
[00:14:03--00:14:07] 就像当年很多人都觉得手机和短视频
[00:14:07--00:14:09] 是没法做太多广告的
[00:14:09--00:14:11] 屏幕太小什么的
[00:14:11--00:14:14] 如果AI抢广告是一场存量的竞争
[00:14:14--00:14:17] 长期是要靠替代劳动力带来的收入
[00:14:17--00:14:18] 那这部分的gap
[00:14:18--00:14:22] 本质上是AI能力是否能顺利的抢夺到劳动力市场
[00:14:22--00:14:24] 你怎么看这个问题
[00:14:24--00:14:27] 我觉得核心取决于AI的能力边界走到哪
[00:14:27--00:14:30] 到时候是AI便宜还是人便宜
[00:14:30--00:14:33] AI便宜其实本质上是电费
[00:14:33--00:14:34] 是不是自务便宜
[00:14:34--00:14:37] 我觉得现有的范式现有的路径
[00:14:37--00:14:41] 还是有机会让模型比绝大多数的白领
[00:14:41--00:14:43] 或者知识工作者聪明的
[00:14:43--00:14:45] 我觉得这个确定性是非常高的
[00:14:45--00:14:49] 湾区你看朱涅的程序员已经找不到工作了
[00:14:49--00:14:51] 假如说你是一个A轮的创业公司
[00:14:51--00:14:53] 你要招一个马农
[00:14:53--00:14:55] 只要你抛出去这个岗位很多人看到
[00:14:55--00:14:58] 我觉得是轻轻松松收到几百个甚至上千个简历的
[00:14:58--00:15:00] 其实这个已经在发生了
[00:15:00--00:15:03] 就是工资劳动力的预算
[00:15:03--00:15:06] 你上面提到一个概念就是AI war
[00:15:06--00:15:07] 就是AI的战争
[00:15:07--00:15:09] 这是一场全球巨头都说不起的战争
[00:15:09--00:15:11] 那现在纵观全局
[00:15:11--00:15:14] 你觉得这场战役的主要推动方有哪些
[00:15:14--00:15:16] 他们现在分成了哪些阵营
[00:15:16--00:15:18] 我们可以来做一个概览
[00:15:18--00:15:21] 简单的分就是两大阵营
[00:15:21--00:15:25] 就是英伟达的GPU和Google的TPU
[00:15:25--00:15:30] 你看Google首次推出真正的Solta的model
[00:15:30--00:15:32] 模型 芯片 云
[00:15:32--00:15:34] 云产品端到端基层
[00:15:34--00:15:36] 其实Google更像是AI时代的苹果
[00:15:36--00:15:40] 上一期播客咱们专门花了一部分讲Google被低估了
[00:15:40--00:15:42] 我觉得Google长期确实会很强
[00:15:42--00:15:46] 不过英伟达生态下支持的OpenAI和Anthropic
[00:15:46--00:15:48] 依然是优等生
[00:15:48--00:15:51] 我感觉这两家相比Google在人才密度上
[00:15:51--00:15:53] 还是会更优质一些的
[00:15:53--00:15:56] 其实英伟达更像是AI时代的安卓的位置
[00:15:56--00:15:58] 在这个生态下
[00:15:58--00:16:02] 这两大阵营可能是未来一段时间的主线
[00:16:02--00:16:04] 就是大家想研究AI的进展
[00:16:04--00:16:05] 还是围绕这两大阵营
[00:16:05--00:16:08] 围绕最领先的这两三家模型
[00:16:08--00:16:11] 我觉得很多投资机会都是围绕这两条主线
[00:16:11--00:16:13] 去延展的
[00:16:13--00:16:15] 那你从硬件的角度看
[00:16:15--00:16:18] 只要是需求远远的大于供给
[00:16:18--00:16:21] 那英伟达和Google两家都应该配置
[00:16:21--00:16:25] 其实这两家不管说势均力低或者其他的
[00:16:25--00:16:28] 我们的一个感受叫交替领先
[00:16:28--00:16:31] 哪一边跌了其实都是加仓的时候
[00:16:31--00:16:33] 其实是应该有一些逆向的思考
[00:16:33--00:16:37] 今天这个时候就是英伟达和欧盘被低估了
[00:16:37--00:16:39] 因为什么呢
[00:16:39--00:16:43] 因为GPU综合还是对比TPU是更好的
[00:16:43--00:16:44] 缺点就是贵了
[00:16:44--00:16:46] 但你也没办法
[00:16:46--00:16:48] 就是台积电产能就这么多
[00:16:48--00:16:50] 那英伟达和欧盘这条线
[00:16:50--00:16:52] 其实还是被低估的
[00:16:52--00:16:56] 包括英伟达Ruby那一代卡
[00:16:56--00:17:00] 应该是能甩开TPU V8
[00:17:00--00:17:02] 一个代际的声位的
[00:17:02--00:17:07] 而且英伟达已经提前占了台积电1.6nm的未来的产能
[00:17:07--00:17:10] 其实长期GPU的优势还是会很强的
[00:17:10--00:17:13] 你看你分成了硬件层之争和应用层之争
[00:17:13--00:17:15] 硬件层之争是英伟达和Google
[00:17:15--00:17:18] 应用层之争是OpenAI和Google
[00:17:18--00:17:20] 那如果再往后推演
[00:17:20--00:17:21] 你觉得会有什么样的走势
[00:17:21--00:17:23] 你看Google越强
[00:17:23--00:17:25] 越会形成一个反Google联盟
[00:17:25--00:17:28] OpenAI越强也会形成一个反OpenAI联盟
[00:17:28--00:17:30] 其实你看OpenAI诞生的初步
[00:17:30--00:17:32] 初中不就是为了挑战Google吗
[00:17:32--00:17:34] 马斯克当年提的
[00:17:34--00:17:37] 所以AGA这个事儿
[00:17:37--00:17:40] 不能只在极少数的一家或两家公司手中
[00:17:40--00:17:42] 也不能只在美国手中
[00:17:42--00:17:44] 这样世界才会更平衡一些
[00:17:44--00:17:47] 接下来我们依照全球大模型机包的惯例
[00:17:47--00:17:50] 我们来梳理一下现在的模型格局
[00:17:50--00:17:52] 有没有一些比较重要的观察
[00:17:52--00:17:55] 闭上眼睛最想传递几个关键词吧
[00:17:55--00:17:58] 第一个就是叫交替领先
[00:17:58--00:18:00] 第二个就是
[00:18:00--00:18:02] Google和OpenAI的市值
[00:18:02--00:18:04] 两家公司总和能到10万亿美金
[00:18:04--00:18:06] 第三个就是
[00:18:06--00:18:09] 2026年能看到下一代新范式的信号
[00:18:09--00:18:11] 第四个可能就是
[00:18:11--00:18:13] AGA是马拉松
[00:18:13--00:18:14] 现金流之战
[00:18:14--00:18:16] 这个待会可以展开讲讲
[00:18:16--00:18:18] 第五个我们可以聊聊就是AGA时代的
[00:18:18--00:18:20] 投资和创意的策略
[00:18:20--00:18:25] 就是叫压住到技术成长的最陡峭的之处
[00:18:25--00:18:27] 就是最领先的模型
[00:18:27--00:18:29] 最领先模型技术溢出的红利
[00:18:29--00:18:31] 最领先模型需要的算力
[00:18:31--00:18:36] 我觉得这几个是最强烈的几个关键词的感受吧
[00:18:36--00:18:38] 我们可以一个个展开聊一下
[00:18:38--00:18:41] 你看今天全球这几个top的模型
[00:18:41--00:18:43] 包括HPT Cloud Gemini
[00:18:43--00:18:46] 它的格局似乎依然没有稳定下来
[00:18:46--00:18:48] 你刚才也说一个判断是交替领先
[00:18:48--00:18:50] 这个能不能展开讲讲
[00:18:50--00:18:52] 这会是一个常态吗
[00:18:52--00:18:54] 我觉得未来的一年
[00:18:54--00:18:57] 模型层面的交替领先
[00:18:57--00:18:59] 应该会是一个竞争常态
[00:18:59--00:19:04] 这里指的模型还是全球最领先的三家模型
[00:19:04--00:19:06] GPT Cloud Gemini
[00:19:06--00:19:08] 你看这三家
[00:19:08--00:19:10] 你从它的营收角度看
[00:19:10--00:19:13] 年底差不多分别是
[00:19:13--00:19:17] 210亿美金 90到100亿美金 50亿美金
[00:19:17--00:19:20] 总计差不多360亿美金的年化收入
[00:19:20--00:19:25] 占了全球AI Native营收的80%到90%
[00:19:25--00:19:28] 我们预估全球其他所有大模型原生的收入差不多
[00:19:28--00:19:30] 400多亿美金出头
[00:19:30--00:19:34] XCI的Grog可能3到10亿美金之间
[00:19:34--00:19:36] 其实还是很小的
[00:19:36--00:19:40] 所以还是叫最领先的三家模型拿走了绝大部分
[00:19:40--00:19:44] 因为这三家的技术和品牌都是有很强的溢价的
[00:19:44--00:19:47] 哪怕你领先3% 5% 10%
[00:19:47--00:19:49] 那你可以放放大效应
[00:19:49--00:19:50] 可以多赚很多钱
[00:19:50--00:19:54] 其实这个就很像体育里面的球员
[00:19:54--00:19:58] 为什么C楼梅西能力上没有比其他球员有
[00:19:58--00:20:00] 这个强恶几十倍
[00:20:00--00:20:03] 但他赚的钱几下球员强恶几十倍
[00:20:03--00:20:06] 我觉得这里面最关键的一个判断就是
[00:20:06--00:20:10] 最领先的三个技术模型GBT Cloud Gemini
[00:20:10--00:20:12] 未来一段时间还是会交替领先
[00:20:12--00:20:16] 本质的原因就是在现有的范式下
[00:20:16--00:20:18] 就是预训练加强化学习
[00:20:18--00:20:21] 这里大家的know how大家的方法
[00:20:21--00:20:22] 彼此是甩不开的
[00:20:22--00:20:24] 人才也在流动信息也在流动
[00:20:24--00:20:27] 想甩开就得新的范式了
[00:20:27--00:20:30] 其实我觉得内心认为
[00:20:30--00:20:32] Google还没有显著领先
[00:20:32--00:20:37] 但是XCI和Meta还没有真正上第一梯队的牌桌
[00:20:37--00:20:42] 因为这两个战略Bat还没有那么清楚
[00:20:42--00:20:46] 其实XCI和Meta这事也有一个启发
[00:20:46--00:20:49] 你会发现模型公司不是叫护城河很高
[00:20:49--00:20:51] 而是进入门槛非常高
[00:20:51--00:20:54] 因为要靠资本人才
[00:20:54--00:20:56] 其实前三家
[00:20:56--00:20:58] 因为做得早
[00:20:58--00:21:01] 人才和资本的门槛比较高
[00:21:01--00:21:04] 那你觉得交替领先的模型格局
[00:21:04--00:21:06] 这个现象本身它说明了什么呢
[00:21:06--00:21:09] 就是现有的两个范式拉拔差距
[00:21:09--00:21:12] 大家只能在战略定位上有差异化
[00:21:12--00:21:15] 上一期博客主题其实叫模型在分化
[00:21:15--00:21:18] 这一次模型的主题叫做交替领先
[00:21:18--00:21:21] 你觉得这两个观点是替代关系还是递进关系
[00:21:21--00:21:23] 这两个不矛盾
[00:21:23--00:21:25] 应该是一个递进关系
[00:21:25--00:21:27] 因为过去五到六个月
[00:21:27--00:21:29] 其实模型分化更明显了
