[00:00:00 - 00:00:02] 原来你做DeepResearch单独做的
[00:02:56 - 00:02:57] 做一些
[00:02:57 - 00:02:59] 就是相对来说
[00:02:59 - 00:02:59] 比较
[00:02:59 - 00:03:02] 假设更强的这种
[00:03:02 - 00:03:03] 这种实验控制
[00:03:03 - 00:03:04] 就是二三年之后
[00:03:04 - 00:03:05] 我们就发现有更好的机会
[00:03:05 - 00:03:07] 去做这种更真实的场景
[00:03:07 - 00:03:08] 所以说对我们来说
[00:03:08 - 00:03:10] 这是一个很自然的全贼行
[00:03:10 - 00:03:13] 就是从最早的这个70%
[00:03:13 - 00:03:14] 进入到后面的这个
[00:03:14 - 00:03:16] computer user agent
[00:03:16 - 00:03:17] 库埃这个领域
[00:03:17 - 00:03:18] 对所以就是
[00:03:18 - 00:03:19] 其实我们是就是一个
[00:03:19 - 00:03:20] 一以贯之的一个
[00:03:20 - 00:03:21] 就是研究路线
[00:03:21 - 00:03:23] 目前我们也是在继续就是
[00:03:23 - 00:03:25] 推进这方向的研究
[00:03:25 - 00:03:27] 我和这个古宇老师
[00:03:27 - 00:03:28] 其实就比较像
[00:03:28 - 00:03:29] 叫名字最好
[00:03:29 - 00:03:31] 对对对
[00:03:31 - 00:03:32] 和古语其实比较像
[00:03:32 - 00:03:36] 然后其实我一开始研究方向也是算怎么的parting
[00:03:36 - 00:03:37] 然后但其实这个
[00:03:38 - 00:03:41] 方向现在其实很少有人提这个词了
[00:03:41 - 00:03:43] 所以大家可能会把它变成说
[00:03:43 - 00:03:44] code generation
[00:03:44 - 00:03:46] 然后比如说agent的这些概念
[00:03:46 - 00:03:49] 但其实本质上我们也都是说单步或者多步的
[00:03:49 - 00:03:51] 把自然语言去拆解成这种
[00:03:51 - 00:03:53] symbolic的这种或者code
[00:03:53 - 00:03:55] 或者function function call这种表示
[00:03:56 - 00:03:58] 那其实最早我们对
[00:03:58 - 00:03:59] 就比如追溯到更早
[00:03:59 - 00:04:00] 其实可以非常早
[00:04:00 - 00:04:02] 然后我们完成大概这个切换
[00:04:02 - 00:04:04] 我觉得可能是在二十三年左右
[00:04:04 - 00:04:07] 对二十三年年初左右
[00:04:07 - 00:04:09] 然后我们我觉得最大的变化
[00:04:09 - 00:04:09] 还是说从
[00:04:09 - 00:04:12] 可能跟物理这边不太一样
[00:04:12 - 00:04:14] 就是说他们是KG嘛
[00:04:14 - 00:04:14] 对吧
[00:04:14 - 00:04:16] 所以说你KG其实是在一个图上
[00:04:16 - 00:04:18] 然后像一个东西游走一样来回走
[00:04:18 - 00:04:21] 其实当时有钱飞飞给我印象非常大
[00:04:21 - 00:04:23] 对就是说就是在这上面去游走
[00:04:23 - 00:04:25] 去找那个你哪个实体
[00:04:25 - 00:04:26] 就是比如说什么
[00:04:26 - 00:04:28] 姚明的这个老婆叫什么
[00:04:28 - 00:04:29] 姚明的女儿叫什么
[00:04:29 - 00:04:30] 找他的老婆
[00:04:30 - 00:04:31] 再找他女儿这种东西
[00:04:31 - 00:04:32] 对来回走
[00:04:32 - 00:04:34] 他们这个天生就是多步的
[00:04:34 - 00:04:35] 然后我们一开始搞这个
[00:04:35 - 00:04:36] 比如Test to SQL
[00:04:36 - 00:04:37] 或者Code Generation
[00:04:37 - 00:04:39] 它天生就是一段嘛
[00:04:39 - 00:04:40] 所以它不是多步的
[00:04:40 - 00:04:41] 不像现在比如说做Suite
[00:04:41 - 00:04:41] 它可能是多步
[00:04:41 - 00:04:42] 当时是单步的
[00:04:42 - 00:04:44] 所以它一下子分支成
[00:04:44 - 00:04:45] 单步深入的研究
[00:04:45 - 00:04:46] 能被scaling的
[00:04:46 - 00:04:47] 以及多步深入的研究
[00:04:47 - 00:04:49] 那当时我们可能就觉得
[00:04:49 - 00:04:51] 从formulation上来讲
[00:04:51 - 00:04:52] 可能多步的
[00:04:52 - 00:04:54] 它带来的上限会更高
[00:04:54 - 00:04:55] 那当时有很多paper
[00:04:55 - 00:04:55] 来互相影响
[00:04:55 - 00:04:57] 比如说当年的那个Suite branch
[00:04:57 - 00:04:59] 就当时刚推出来的时候
[00:04:59 - 00:05:01] 其实很那已经是二十三年年年底了
[00:05:01 - 00:05:02] 应该对就是
[00:05:02 - 00:05:04] 呃其实一开始 iClear 评分很低
[00:05:04 - 00:05:06] 然后包括二十三年年初那些比如说
[00:05:07 - 00:05:09] 呃赵岩阳顺宇的那些早期的 paper
[00:05:09 - 00:05:11] 就是在 switch 之前的那个 intercode
[00:05:12 - 00:05:14] 对其实也是在一些比如说 ctf 啊
[00:05:14 - 00:05:15] 或者在一些什么
[00:05:15 - 00:05:16] 呃
[00:05:16 - 00:05:19] 呃更简单的那种 code 或者那个呃
[00:05:19 - 00:05:20] database 那种上面做
[00:05:20 - 00:05:22] 其实跟你之前做那个 agent bench
[00:05:22 - 00:05:23] 有一点相关
[00:05:23 - 00:05:25] 对然后切换成多步
[00:05:25 - 00:05:27] 那其实就是 seven parsing
[00:05:27 - 00:05:28] 然后变成多步的 seven parsing
[00:05:28 - 00:05:31] 再变成多步的multimodal的
[00:05:31 - 00:05:32] 但只是大家把这个词变了
[00:05:32 - 00:05:33] 然后变成agent
[00:05:33 - 00:05:34] 其实我们觉得
[00:05:34 - 00:05:36] 其实这个事情还是挺相关的
[00:05:36 - 00:05:37] 然后刚才正好也聊到了
[00:05:37 - 00:05:39] 其实有很多可以去
[00:05:39 - 00:05:41] 我们再就聊一聊一点
[00:05:41 - 00:05:42] 其实可以我们可以
[00:05:42 - 00:05:44] 借一些history的事情
[00:05:44 - 00:05:45] 然后来回来看一看
[00:05:45 - 00:05:47] 其实我觉得这个话题也蛮好的
[00:05:47 - 00:05:48] 就是说我们可以
[00:05:48 - 00:05:49] 往下接着再聊一聊
[00:05:49 - 00:05:50] OK
[00:05:50 - 00:05:53] 然后我可能跟大家背景
[00:05:53 - 00:05:54] 会有点不太一样
[00:05:54 - 00:05:55] 我是从21年开始创业
[00:05:55 - 00:05:57] 然后就一直希望
[00:05:57 - 00:05:58] 就是做出一个这样的产品
[00:05:58 - 00:06:01] 那个产品是他可以替我去操作电脑
[00:06:01 - 00:06:01] 对
[00:06:01 - 00:06:02] 然后现在就是
[00:06:02 - 00:06:05] 有一个比较明确的概念叫GIAgent
[00:06:05 - 00:06:05] 对
[00:06:05 - 00:06:07] 然后从20年开始到现在
[00:06:07 - 00:06:09] 其实技术上的路线
[00:06:09 - 00:06:11] 其实我们探索也蛮多的
[00:06:11 - 00:06:12] 就是最早的时候
[00:06:12 - 00:06:14] 其实当时
[00:06:14 - 00:06:15] 那会儿就硅谷有一个公司
[00:06:15 - 00:06:16] Adapt
[00:06:16 - 00:06:17] 后面是比较科比
[00:06:17 - 00:06:18] 所以当时其实是
[00:06:18 - 00:06:19] 想着用一个端端端
[00:06:19 - 00:06:20] 多么太磨心了
[00:06:20 - 00:06:21] 去做这样的事情
[00:06:21 - 00:06:25] 然后当时我们做的产品也很不一样
[00:06:25 - 00:06:26] 产品当时说的就是
[00:06:26 - 00:06:30] 其实是用在2B的这种用户引导里面
[00:06:30 - 00:06:31] 其实就是说
[00:06:31 - 00:06:32] 你不会用这个软件
[00:06:32 - 00:06:34] 可能老奶奶不会用一个网易
[00:06:34 - 00:06:36] 我现在给你高量提示出来
[00:06:36 - 00:06:39] 你一句话我就能知道你想干嘛
[00:06:39 - 00:06:39] 不是像以前
[00:06:39 - 00:06:42] 可能就是老奶奶就打电话问客服
[00:06:42 - 00:06:43] 客服再去找
[00:06:43 - 00:06:45] 我觉得这个是我们当时找到的一个场地
[00:06:45 - 00:06:45] 这样的一个产品
[00:06:45 - 00:06:48] 这一部分感觉当时做的就
[00:06:48 - 00:06:50] 没有太规模化
[00:06:50 - 00:06:52] 然后也没有太这个推广起来
[00:06:52 - 00:06:54] 然后一方面是
[00:06:54 - 00:06:56] 我觉得当时的技术没有那么的成熟
[00:06:56 - 00:06:57] 而且这个方向的技术路线
[00:06:57 - 00:06:59] 可能现在也被判了死刑了
[00:06:59 - 00:07:00] 至少不是现在大家
[00:07:00 - 00:07:02] 在继续往GIA这方向
[00:07:02 - 00:07:03] 探索一种技术
[00:07:03 - 00:07:04] 然后另一方面
[00:07:04 - 00:07:05] 可能这种产品本身
[00:07:05 - 00:07:06] 它也不是个很规模化的一个场景
[00:07:06 - 00:07:09] 到了这个2024年的时候
[00:07:09 - 00:07:11] 这个时候开始的话
[00:07:11 - 00:07:12] 其实就有明确一种
[00:07:12 - 00:07:13] WebAgent的概念
[00:07:13 - 00:07:14] 然后这个时候
[00:07:14 - 00:07:15] 大家也更倾向于
[00:07:15 - 00:07:16] 用大元模型来去做
[00:07:16 - 00:07:18] 我们当时主要是做的
[00:07:18 - 00:07:19] 这个Web这个场景
[00:07:19 - 00:07:20] 就是相比这个
[00:07:20 - 00:07:21] 用多模态
[00:07:21 - 00:07:22] 直接用视觉
[00:07:22 - 00:07:24] 我们会更关注
[00:07:24 - 00:07:25] 就是背后的这个DomeTree
[00:07:25 - 00:07:28] 然后它也更接近这个三年
[00:07:28 - 00:07:30] 然后就在这里面
[00:07:30 - 00:07:32] 我们就开始做很多这种工程的优化
[00:07:32 - 00:07:35] 然后最早也是想做一个通用的
[00:07:35 - 00:07:36] 然后一个浏览器里面的
[00:07:36 - 00:07:38] 一个这种这样的一个产品
[00:07:38 - 00:07:40] 对这样一个web agent产品
[00:07:40 - 00:07:43] 但是就是这里面又有一个
[00:07:43 - 00:07:44] 比较大的一个变化
[00:07:44 - 00:07:47] 就是到了这个25年的时候
[00:07:47 - 00:07:48] 就是我们也看到其实
[00:07:48 - 00:07:51] 有很多就是开始做通用的新产品
[00:07:51 - 00:07:53] 出现像OpenAI的operator
[00:07:53 - 00:07:54] 但在那个时候
[00:07:54 - 00:07:56] 就是我们已经做了一年的通用产品
[00:07:56 - 00:07:57] 我们自己心态又有一个变化
[00:07:57 - 00:07:58] 我们当时就想就是
[00:07:58 - 00:08:01] 感觉它还是稳定性很差
[00:08:01 - 00:08:03] 而且各个的场景里面
[00:08:03 - 00:08:04] 需要的这个数据也很不一样
[00:08:04 - 00:08:07] 我们我自己还是一个
[00:08:07 - 00:08:09] 非常想把它做成一个产品化
[00:08:09 - 00:08:10] 商业化的一个人
[00:08:10 - 00:08:11] 所以我就在想
[00:08:11 - 00:08:12] 我要不就再做一个简化
[00:08:12 - 00:08:16] 去再找一个更能够去商业化一个domain
[00:08:16 - 00:08:17] 所以其实从25年开始到现在
[00:08:17 - 00:08:18] 主要在做的是一款
[00:08:18 - 00:08:21] 这个AI旅行的一个产品
[00:08:21 - 00:08:23] 然后背后用到了这种
[00:08:23 - 00:08:25] GIA的很多的技术
[00:08:25 - 00:08:26] 但它被封装起来
[00:08:26 - 00:08:27] 用户可能感知上
[00:08:27 - 00:08:29] 它就是一个专门帮你去做旅行的
[00:08:29 - 00:08:31] 一个这样的赋能的一个计算品
[00:08:31 - 00:08:33] 大概可能就是我的一个
[00:08:33 - 00:08:35] 怎么去进入GIA是这样的一个经历
[00:08:35 - 00:08:37] 下一个话题
[00:08:37 - 00:08:38] 就是这个其实
[00:08:38 - 00:08:40] 现在是一个非常好的时间
[00:08:40 - 00:08:42] 我觉得就是是二五年的收官的时间
[00:08:42 - 00:08:44] 我最近也看到了很多
[00:08:44 - 00:08:46] 就是很多这个人
[00:08:46 - 00:08:47] 在写自己二五年的一个总结
[00:08:47 - 00:08:49] 对就是我相信大家
[00:08:49 - 00:08:49] 可能也有一些
[00:08:49 - 00:08:51] 就是对二五年的一些感受
[00:08:51 - 00:08:54] 还有对26年的一些期待和展望
[00:08:54 - 00:08:55] 我们可能下一个话题
[00:08:55 - 00:08:57] 想问问大家
[00:08:57 - 00:08:59] 过去一年发生了啥
[00:08:59 - 00:09:01] 要不这次先从业余开始
[00:09:01 - 00:09:02] 我觉得
[00:09:02 - 00:09:05] 我觉得25年对我来说
[00:09:05 - 00:09:07] 我自己个人最大的变化
[00:09:07 - 00:09:08] 也就是
[00:09:08 - 00:09:10] 我有个比较
[00:09:10 - 00:09:12] 算是引路人般的
[00:09:12 - 00:09:13] 对我的评价就是说
[00:09:13 - 00:09:15] 你终于开始做产品了
[00:09:15 - 00:09:16] 以前老是一个技术视角
[00:09:16 - 00:09:18] 我觉得对我来说
[00:09:18 - 00:09:20] 可能也是我自己观察到的
[00:09:20 - 00:09:21] 可能最大的一个变化
[00:09:21 - 00:09:22] 然后所以二五年
[00:09:22 - 00:09:26] 我觉得在产品视角上
[00:09:26 - 00:09:27] 我还是更务实了
[00:09:27 - 00:09:28] 就是二五年
[00:09:28 - 00:09:29] 其实我做了很多
[00:09:29 - 00:09:30] 去聆听用户声音的事情
[00:09:30 - 00:09:32] 就因为更早以前
[00:09:32 - 00:09:33] 就是当时一直想做一个
[00:09:33 - 00:09:34] 通用的外配人的时候
[00:09:34 - 00:09:36] 其实当时也不是说
[00:09:36 - 00:09:37] 我不想去聆听用户的声音
[00:09:37 - 00:09:39] 就是用户的声音太多太杂了
[00:09:39 - 00:09:40] 搜集不过来
[00:09:40 - 00:09:41] 对但现在就是
[00:09:41 - 00:09:43] 有了一个具体产品
[00:09:43 - 00:09:44] 然后在这个里面
[00:09:44 - 00:09:46] 又是一个过去存在的行业
[00:09:46 - 00:09:48] 我能够去接触到
[00:09:48 - 00:09:49] 以前的从业者
[00:09:49 - 00:09:50] 然后以前的用户
[00:09:50 - 00:09:53] 然后他们以前要么可能是用OTA订票的
[00:09:53 - 00:09:53] 用补品啊
[00:09:53 - 00:09:57] 要么可能他是喜欢自由行的
[00:09:57 - 00:10:01] 然后要么就是他可能找旅行社旅行代理
[00:10:01 - 00:10:04] 然后他们的心态是什么
[00:10:04 - 00:10:06] 他们为什么是属于不同的消费的模式里面
[00:10:06 - 00:10:08] 这种消费模式里面可能我能做什么
[00:10:08 - 00:10:11] 所以这个是我觉得对我来说影响比较大的一个改变
[00:10:11 - 00:10:13] 就是当然对我来说最惊喜的一件事情
[00:10:13 - 00:10:14] 其实是Openshop Operator
[00:10:14 - 00:10:16] 因为那个时候其实相当于对我个人来说
[00:10:16 - 00:10:19] 其实可能我坚持了蛮久的一个技术方向
[00:10:19 - 00:10:21] 好像能够被这个
[00:10:21 - 00:10:23] 现在时代可能最重要的一个机构
[00:10:23 - 00:10:25] 也认可呼应了
[00:10:25 - 00:10:28] 就是说我们也做的是个好的方向
[00:10:28 - 00:10:29] 对这个可能解决了很多
[00:10:29 - 00:10:31] 我自己以前的一个
[00:10:31 - 00:10:32] 信心上的一个问题
[00:10:32 - 00:10:34] 但解决这个问题以后呢
[00:10:34 - 00:10:36] 就是我更务实的就是后面
[00:10:36 - 00:10:38] 其实是在探索怎么去商业化产品
[00:10:38 - 00:10:40] 然后所以明年的一个期待
[00:10:40 - 00:10:41] 其实对我来说我还是
[00:10:41 - 00:10:43] 一直想做一个
[00:10:43 - 00:10:46] 就是为什么选旅行
[00:10:46 - 00:10:47] 这个场景也是我觉得
[00:10:47 - 00:10:49] 是一个做过大的场景
[00:10:49 - 00:10:50] 就是每个普通人
[00:10:50 - 00:10:51] 都能用起来的
[00:10:51 - 00:10:52] 我一直想做一个
[00:10:52 - 00:10:52] 每个普通的
[00:10:52 - 00:10:54] 社交用户都能用起来的
[00:10:54 - 00:10:56] 一个好的一个产品
[00:10:56 - 00:10:56] 这个是可能
[00:10:56 - 00:10:58] 我最大的一个愿望吧
[00:10:58 - 00:10:58] 对2600
[00:10:58 - 00:11:00] 所以燕宜
[00:11:00 - 00:11:02] 就是OpenAI发布operator之后
[00:11:02 - 00:11:03] 产品层面
[00:11:03 - 00:11:04] 你是怎么看待operator
[00:11:04 - 00:11:04] 你会觉得
[00:11:04 - 00:11:05] 它是一个好的产品吗
[00:11:05 - 00:11:07] 我觉得它不是一个好的产品
[00:11:07 - 00:11:08] 就是那个
[00:11:08 - 00:11:09] 特别搞笑就是那个
[00:11:09 - 00:11:11] 我记得我们在
[00:11:11 - 00:11:13] OpenAI发布operator之前
[00:11:13 - 00:11:14] 几个月
[00:11:14 - 00:11:15] 有一个产品的版本
[00:11:15 - 00:11:17] 就和它的交互是一样
[00:11:17 - 00:11:18] 用户能看到一个小电脑
[00:11:18 - 00:11:20] 然后在里面动来动去
[00:11:20 - 00:11:21] 然后那个产品
[00:11:21 - 00:11:22] 因为OpenOffice发布以后
[00:11:22 - 00:11:23] 我们也有了个
[00:11:23 - 00:11:24] 一两个月的用户了
[00:11:24 - 00:11:25] 看到我们的用户
[00:11:25 - 00:11:26] 其实看到那个
[00:11:26 - 00:11:28] 小电脑窗口是很迷茫的
[00:11:28 - 00:11:29] 他一会点进去
[00:11:29 - 00:11:30] 一会又退出来
[00:11:30 - 00:11:31] 然后点进去发现以后
[00:11:31 - 00:11:32] 还能操控我们的电脑
[00:11:32 - 00:11:34] 然后用户就操控两下
[00:11:34 - 00:11:34] 然后就更迷茫
[00:11:34 - 00:11:35] 然后一会他又
[00:11:35 - 00:11:36] 他就关的是
[00:11:36 - 00:11:38] 我们那个电脑里面的关掉
[00:11:38 - 00:11:39] 关的不是他自己的
[00:11:39 - 00:11:40] 浏览器上的关掉
[00:11:40 - 00:11:41] 他就退不出去了
[00:11:41 - 00:11:42] 就好多这种情况
[00:11:42 - 00:11:43] 就出现了
[00:11:43 - 00:11:46] 然后就是我们当时就想的就是
[00:11:46 - 00:11:47] 我靠
[00:11:47 - 00:11:49] 就是我自己去booking上买票
[00:11:49 - 00:11:51] 可能点五秒钟搞定了
[00:11:51 - 00:11:52] 然后在我这里
[00:11:52 - 00:11:53] 看着一个AI
[00:11:53 - 00:11:54] 五秒钟才能点一下
[00:11:54 - 00:11:55] 然后点半天
[00:11:55 - 00:11:57] 还不一定搞得定
[00:11:57 - 00:11:58] 就是当时就觉得
[00:11:58 - 00:11:59] 这个体验糟糕透了
[00:11:59 - 00:12:00] 我觉得
[00:12:00 - 00:12:00] OpenAuto
[00:12:00 - 00:12:02] 让我很惊喜的方面
[00:12:02 - 00:12:03] 是我觉得
[00:12:03 - 00:12:05] 我有种我被认可的感觉
[00:12:05 - 00:12:06] 对 但是
[00:12:06 - 00:12:08] 那个产品
[00:12:08 - 00:12:09] 我觉得其实还
[00:12:09 - 00:12:12] 离那个用户真的喜欢的产品
[00:12:12 - 00:12:13] 还有很大的差距
[00:12:13 - 00:12:14] 我觉得这里面应该是有
[00:12:14 - 00:12:15] 新的交互应该被定
[00:12:15 - 00:12:18] 尤其是我觉得在一个 ai 定义交互的一个时辰
[00:12:18 - 00:12:19] 嗯
[00:12:19 - 00:12:20] 对我其实很多
[00:12:20 - 00:12:23] 就是比较值得记忆的瞬间
[00:12:23 - 00:12:24] 和言语老师是一样的
[00:12:24 - 00:12:26] 就是其实我
[00:12:27 - 00:12:28] 对对对 ok 好的
[00:12:28 - 00:12:30] 就是其实当时年初嘛
[00:12:30 - 00:12:32] 也是其实前一年10月份相当于
[00:12:32 - 00:12:33] 安放配个 cloud
[00:12:34 - 00:12:35] 用了我们当时一个文创
[00:12:36 - 00:12:37] 然后叫 os word
[00:12:37 - 00:12:40] 然后后面 operator 也在用这个文创
[00:12:40 - 00:12:42] 然后后面就所有人都在刷这个文创
[00:12:42 - 00:12:42] 甚至很多
[00:12:42 - 00:12:46] 组里把这个作为他们唯一的一个signal
[00:12:46 - 00:12:47] 去刷这个东西
[00:12:47 - 00:12:49] 那这个整个在了解到之后
[00:12:49 - 00:12:50] 对我的认可很大
[00:12:50 - 00:12:52] 然后对到2025年
[00:12:52 - 00:12:55] 我其实主要做的事情是说
[00:12:55 - 00:12:56] 去几个方面吧
[00:12:56 - 00:12:59] 一个方面是做大规模的数据合成
[00:12:59 - 00:13:02] 因为当时其实我们也能看到
[00:13:02 - 00:13:02] 在24年的时候
[00:13:02 - 00:13:04] 其实没有就哪怕在25年年初
[00:13:04 - 00:13:05] 或者25年年中吧
[00:13:05 - 00:13:07] 其实都没有什么像样的模型
[00:13:07 - 00:13:08] 真的做肯定的use
[00:13:08 - 00:13:10] 除了那几个比如说cloud
[00:13:10 - 00:13:12] 或者做这个或者operator
[00:13:12 - 00:13:13] 对吧
[00:13:13 - 00:13:14] 其实Operator最早出来
[00:13:14 - 00:13:15] 刷到38分
[00:13:15 - 00:13:17] 其实还挺惊艳的
[00:13:17 - 00:13:17] 它至少这个事
[00:13:17 - 00:13:19] 你看着它像能做的
[00:13:19 - 00:13:20] 但其实除此以外
[00:13:20 - 00:13:21] 所有的模型
[00:13:21 - 00:13:22] 比如说千万VL系列模型
[00:13:22 - 00:13:24] 或者其他的模型
[00:13:24 - 00:13:25] 没有一个能做的
[00:13:25 - 00:13:25] 你看它
[00:13:25 - 00:13:26] 就你跟它说一个东西
[00:13:26 - 00:13:27] 它点都点不准
[00:13:27 - 00:13:29] 所以就是纯视觉
[00:13:29 - 00:13:30] 这个事情就一塌糊涂
[00:13:30 - 00:13:31] 当我了解之后
[00:13:31 - 00:13:32] 我进去之后
[00:13:32 - 00:13:33] 确实发现这个Domain
[00:13:33 - 00:13:35] 就是Multimodal的agent
[00:13:35 - 00:13:37] 或者Multimodal的模型
[00:13:37 - 00:13:38] VL模型
[00:13:38 - 00:13:39] 在这一年
[00:13:39 - 00:13:41] 也发生了翻天覆地的变化
[00:13:41 - 00:13:45] 从原来的纯概念变成了就是基本可用
[00:13:45 - 00:13:46] 基本能商用
[00:13:46 - 00:13:47] 然后基本的能在一些
[00:13:47 - 00:13:50] 比如像GUI这种东西能放话这个路上
[00:13:50 - 00:13:52] 然后其实当时我们可能上半年
[00:13:52 - 00:13:53] 做了非常多数据合成
[00:13:53 - 00:13:56] 比如说怎么样让他能真的去点对
[00:13:56 - 00:13:57] 比如说你说你想
[00:13:57 - 00:13:59] 就是像刚才说close的那个
[00:13:59 - 00:14:01] 右上角点那个X
[00:14:01 - 00:14:02] 然后把它关掉
[00:14:02 - 00:14:04] 然后其实一开始他做不太对这种东西
[00:14:04 - 00:14:05] 然后现在我们能让他说
[00:14:05 - 00:14:08] 他可能中间有个banner有个横幅
[00:14:08 - 00:14:09] 然后我跟他说点banner这个X
[00:14:09 - 00:14:10] 他也能点对
[00:14:10 - 00:14:12] 原来可能它这俩分不开的
[00:14:12 - 00:14:15] 然后比如说我中间比如说调音量调到80%
[00:14:15 - 00:14:15] 能不能调对
[00:14:15 - 00:14:19] 然后比如把这个名字从托马斯改成什么Jerry
[00:14:19 - 00:14:21] 那这个现在也能这么精细的东西能点对
[00:14:21 - 00:14:24] 然后我们做了很多合成数据工作来做这一点
[00:14:24 - 00:14:25] 调音量调80%这件事
