[00:00:06--00:00:07] 开了一扇窗户
[00:10:24--00:10:27] 当时其实在实验室里面
[00:10:27--00:10:28] 没那么复杂
[00:10:28--00:10:29] 都比较简单
[00:10:29--00:10:31] 你比如说像几位教授
[00:10:31--00:10:32] 唐老师 李老师 薛老师
[00:10:32--00:10:33] 他们主要是做科研
[00:10:33--00:10:36] 做研究核心的技术的突破
[00:10:36--00:10:37] 带着学生一起做研究
[00:10:37--00:10:38] 写paper
[00:10:38--00:10:39] 然后做一些事情
[00:10:39--00:10:42] 然后我会带着工程师团队们
[00:10:42--00:10:44] 一起去把这些东西承接下来
[00:10:44--00:10:45] 做一些系统
[00:10:45--00:10:47] 做一些product
[00:10:47--00:10:51] 然后去交付一些客户的需求
[00:10:51--00:10:53] 所以当时我们还能挣外国人的钱
[00:10:53--00:10:55] 像德宾他也是做知识产权出身
[00:10:55--00:10:56] 他博士毕业以后
[00:10:56--00:10:58] 他高文院士的学生
[00:10:58--00:11:01] 毕业以后在做知识产权专利相关的事情
[00:11:01--00:11:02] 做了一段时间
[00:11:02--00:11:04] 所以他在这一块比较熟悉
[00:11:04--00:11:05] 成果的转化
[00:11:05--00:11:06] 怎么去做IP
[00:11:06--00:11:07] 怎么去做这个推广
[00:11:07--00:11:10] 技术的推广合作
[00:11:10--00:11:12] 然后三门是后来加入我们实验室之后
[00:11:12--00:11:14] 就是我们总裁王绍兰
[00:11:14--00:11:17] 他是因为在一个上市公司的北京这边
[00:11:17--00:11:19] 中国区这边当老大
[00:11:19--00:11:21] 就市场他非常熟悉
[00:11:21--00:11:22] 而且他也是工科出身
[00:11:22--00:11:24] 做芯片的企业出身
[00:11:24--00:11:27] 所以他也非常熟悉我们这个行业
[00:11:27--00:11:28] 要帮助我们去做一些推广
[00:11:28--00:11:31] 做一些联合生态这些事情
[00:11:31--00:11:32] 所以其实他这个分工
[00:11:32--00:11:35] 就跟我们现在基本上是很类似的
[00:11:35--00:11:36] 所以很自然的
[00:11:36--00:11:38] 我们组合到一起来做这件事情
[00:11:38--00:11:40] 当时要负责工程转化
[00:11:40--00:11:42] 你当时想认知智能应该怎么转化
[00:11:42--00:11:43] 其实这里边有一些
[00:11:43--00:11:45] 讨论出来的一些结论
[00:11:45--00:11:48] 就是首先第一个工程转化这件事情
[00:11:48--00:11:52] 除了你要把原来的pro type
[00:11:52--00:11:56] 变成一个生产环境里边可用的产品
[00:11:56--00:11:58] 这个相当于是一个software的东西
[00:11:58--00:12:02] 第二个你还要去真正的逻辑去结合
[00:12:02--00:12:05] 真正的实际生产场景里边的
[00:12:05--00:12:08] 各种各样的硬件软件各种条件
[00:12:08--00:12:11] 所以这是一个适配性的问题
[00:12:11--00:12:13] 更复杂的就是你要真正的推到市场上去
[00:12:13--00:12:16] 跟客户去售卖这些东西的话
[00:12:16--00:12:19] 它还有一个商业的问题
[00:12:19--00:12:20] 就是你的成本
[00:12:20--00:12:23] 你的收益之间怎么样去平衡的问题
[00:12:23--00:12:26] 所以这些事情就是在那几年里边
[00:12:26--00:12:29] 或者说那十几年里边慢慢的去学会的
[00:12:29--00:12:31] 我也不是干这个出身
[00:12:31--00:12:32] 比如说尤其商务那一套东西
[00:12:32--00:12:33] 商务
[00:12:33--00:12:35] 那一套东西你怎么跟大家报价
[00:12:35--00:12:37] 你报什么样的价格是合适的
[00:12:37--00:12:39] 你的成本该怎么核算
[00:12:39--00:12:42] 这些事情其实以前你在学校实验室里面
[00:12:42--00:12:43] 肯定是不太考虑这些东西的
[00:12:43--00:12:46] 但是你真正面临商业客户的时候
[00:12:46--00:12:49] 肯定就会人家说那你报个价格给我
[00:12:49--00:12:50] 第一次报价紧张吗
[00:12:50--00:12:52] 其实挺紧张的心里没啥底
[00:12:52--00:12:54] 因为那个时候也不像在公司里面
[00:12:54--00:12:56] 有这么完整的财务什么之类的
[00:12:56--00:12:59] 你能知道说我每个人花多少钱
[00:12:59--00:13:00] 对吧
[00:13:00--00:13:01] 我每天的办公费用是多少
[00:13:01--00:13:03] 其实也没有什么太大的概念
[00:13:03--00:13:06] 所以很多时候就拍脑袋拍大概估了一个
[00:13:06--00:13:09] 对所以早期的时候其实很多的项目
[00:13:09--00:13:12] 大概大家就是收了点新户钱
[00:13:12--00:13:13] 对挣了点成本
[00:13:13--00:13:17] 发了点学生们老师们发了点奖金
[00:13:17--00:13:18] 也就那样了
[00:13:18--00:13:20] 16年还没有想过要创业
[00:13:20--00:13:21] 16年其实在考虑这个问题
[00:13:21--00:13:22] 已经开始考虑了
[00:13:22--00:13:23] 已经在考虑这个问题
[00:13:23--00:13:25] 真正我们开始行动是17年
[00:13:25--00:13:29] 17年我就尝试在学校体制底下
[00:13:29--00:13:30] 科研院所体制底下
[00:13:30--00:13:33] 怎么去把商业化转化路径走通
[00:13:33--00:13:39] 因为那个时候其实学校里面的体制内人员
[00:13:39--00:13:42] 去开公司这个事其实是不允许的
[00:13:42--00:13:42] 敏感
[00:13:42--00:13:43] 对
[00:13:43--00:13:44] 实际上是不允许的
[00:13:44--00:13:45] 之前没有先例吗
[00:13:45--00:13:46] 有
[00:13:46--00:13:46] 在职人员
[00:13:46--00:13:47] 有
[00:13:47--00:13:51] 但是大家都是不是这种正式的官方的渠道
[00:13:51--00:13:54] 就是你一个老师在外面开公司
[00:13:54--00:13:56] 好像你没人举报你什么的
[00:13:56--00:13:58] 你也就过去了
[00:13:58--00:13:59] 但是严格来讲
[00:13:59--00:14:02] 这个事情是需要跟学校去包备批准的
[00:14:02--00:14:02] 对吧
[00:14:02--00:14:04] 或者是不是可能公司如果开的好的话
[00:14:04--00:14:06] 就慢慢就离职了从学校
[00:14:06--00:14:07] 严格来讲
[00:14:07--00:14:09] 这两件事情它不能联系起来
[00:14:09--00:14:10] 它是并行的两条线
[00:14:10--00:14:13] 但学校这个事情发生多了之后
[00:14:13--00:14:15] 像这种学校它会有些考量
[00:14:15--00:14:17] 它会有一些管理规定出现
[00:14:17--00:14:19] 说不允许或者什么你报备什么的
[00:14:19--00:14:21] 就出现这件事情
[00:14:21--00:14:23] 所以在1617年的时候开始做这件事情
[00:14:23--00:14:25] 我们就想找一个官方的路径
[00:14:25--00:14:27] 就专门做这件事情的路径
[00:14:27--00:14:28] 正式的
[00:14:28--00:14:30] 没有想过先悄悄的做
[00:14:30--00:14:33] 然后被发现了再说
[00:14:33--00:14:35] 这个总会留下一些守卫
[00:14:35--00:14:38] 我们还是希望说这个事情走得比较顺畅
[00:14:38--00:14:40] 不要给自己留下一些守卫
[00:14:40--00:14:41] 一些问题
[00:14:41--00:14:43] 所以1617年的时候其实要找这个路径
[00:14:43--00:14:45] 学校其实也想干这个事
[00:14:45--00:14:46] 他想做一些
[00:14:46--00:14:49] 比如说学校那个时候成立了一些
[00:14:49--00:14:51] 产业转化的一些机构
[00:14:51--00:14:53] 像数据科学研究院
[00:14:53--00:14:56] 像巴拉巴拉的一些机构二级机构
[00:14:56--00:14:57] 其实他就想做这个事
[00:14:57--00:14:59] 而且请来的负责的人
[00:14:59--00:15:01] 都是原来在产业界待过的
[00:15:01--00:15:04] 你看这个意图就很明显
[00:15:04--00:15:07] 他学校也觉得我有很好的这种科研成果
[00:15:07--00:15:09] 那为什么不能把它转化成商业价值呢
[00:15:09--00:15:11] 对但这个路径怎么做呢
[00:15:11--00:15:12] 也在探索
[00:15:13--00:15:15] 这个契机是到18年的时候
[00:15:15--00:15:17] 国家包括教育部
[00:15:17--00:15:22] 包括几个部委联合给了一个意见
[00:15:22--00:15:25] 就给了一个专门针对这种事情的一个意见
[00:15:25--00:15:26] 一个办法
[00:15:26--00:15:31] 就允许科研院所的在职人员
[00:15:31--00:15:36] 用已有的研究成果做科技成果转化
[00:15:36--00:15:38] 然后规定了说怎么分配
[00:15:38--00:15:41] 一部分给到原来科研院所
[00:15:41--00:15:43] 一部分给到
[00:15:43--00:15:45] 创始的团队或者研究团队
[00:15:45--00:15:47] 他们自由支配
[00:15:47--00:15:49] 这是开了一个窗户
[00:15:49--00:15:50] 这个分配比例好吗
[00:15:50--00:15:51] 条件好吗
[00:15:51--00:15:54] 当时的分配比例其实没有特别明确的说
[00:15:54--00:15:55] 到底这个比例是多少
[00:15:55--00:15:56] 我印象当中
[00:15:56--00:15:58] 没有白纸黑字的写下来
[00:15:58--00:15:59] 是要谈的
[00:15:59--00:16:00] 是要聊的
[00:16:00--00:16:03] 好像是定了一个底线还是什么
[00:16:03--00:16:05] 我忘记了这个细节有点记不太清楚了
[00:16:05--00:16:08] 如果学校把自己的比例抬得过高的话
[00:16:08--00:16:09] 对创业公司也不好
[00:16:09--00:16:10] 不是很有利嘛对吧
[00:16:10--00:16:12] 所以那个时候其实当然这个事情
[00:16:12--00:16:13] 我就跟说了
[00:16:13--00:16:14] 开了一扇窗户
[00:16:14--00:16:15] 就大家看到了
[00:16:15--00:16:17] 外面还可以有这一条路
[00:16:17--00:16:19] 他并不是开了一个很敞开很大的一个门
[00:16:19--00:16:20] 说你随便走吧
[00:16:20--00:16:22] 他也没有那么方便
[00:16:22--00:16:24] 所以出了这个意见之后
[00:16:24--00:16:25] 他怎么执行
[00:16:25--00:16:26] 这个比例到底定多少
[00:16:26--00:16:27] 谁拿多少
[00:16:27--00:16:28] 谁拿什么分
[00:16:28--00:16:29] 怎么约定
[00:16:29--00:16:31] 怎么评估这个成果
[00:16:31--00:16:33] 其实这些细节都没有
[00:16:33--00:16:35] 所以我们是首先吃螃蟹的人
[00:16:35--00:16:36] 我们就拿这个东西
[00:16:36--00:16:37] 你看国家给了这个东西
[00:16:37--00:16:38] 跟学校谈说
[00:16:38--00:16:39] 学校怎么办
[00:16:39--00:16:41] 我想办怎么办
[00:16:41--00:16:42] 这个事情
[00:16:42--00:16:43] 你负责谈吗
[00:16:43--00:16:44] 这个当时还不是我
[00:16:44--00:16:45] 就我们董事长去谈的
[00:16:45--00:16:46] 他对这块比较熟悉
[00:16:46--00:16:47] 我刚才讲了
[00:16:47--00:16:49] 他做IP什么相关这些事情
[00:16:49--00:16:51] 然后就跟学校去沟通这个事
[00:16:51--00:16:52] 学校这边其实也挺马爪的
[00:16:52--00:16:54] 他说我只有这个文件底下
[00:16:54--00:16:55] 这个操作细节是什么
[00:16:55--00:16:56] 我也不知道
[00:16:56--00:16:57] 你们是第一个
[00:16:57--00:16:59] 或者说你们是最先开始
[00:16:59--00:17:01] 来聊这个事情的人
[00:17:01--00:17:03] 我们就一起来聊这个事
[00:17:03--00:17:04] 所以学校到
[00:17:04--00:17:05] 我还特别记得
[00:17:05--00:17:07] 当时科研院的院长
[00:17:07--00:17:08] 金院长
[00:17:08--00:17:12] 还有当时管成果转化复化
[00:17:12--00:17:14] 也是我们的一个师姐
[00:17:14--00:17:16] 叫志鹏
