page	asset	title	status	reason
43	slides-images/slide-43.jpg	LMSYS leaderboard	include	Provides the contemporary comparison snapshot.
44	slides-images/slide-44.jpg	Evaluating a Chatbot: reward-model step	include	Adds reward-model ranking diagnostics.
45	slides-images/slide-45.jpg	Benchmarking Reward Models	include	Shows the benchmark gap and model table.
46	slides-images/slide-46.jpg	Evaluating a Chatbot: red-teaming step	include	Adds vulnerability-oriented evaluation.
47	slides-images/slide-47.jpg	Red Teaming Large Language Models	include	Connects the framework to H4 practice.
48	slides-images/slide-48.jpg	SFT Results	omit	Pure section divider with no teaching content.
49	slides-images/slide-49.jpg	SFT Results: Open LLM Leaderboard	include	Compares human-curated SFT datasets.
50	slides-images/slide-50.jpg	SFT Results: MT-Bench	include	Shows a conflicting ranking signal.
51	slides-images/slide-51.jpg	SFT Results: response-length table	include	Links dataset length to judge behavior.
52	slides-images/slide-52.jpg	SFT Results: prompt length	include	Tests prompt-length correlations.
53	slides-images/slide-53.jpg	SFT Results: MT-Bench by prompt length	include	Shows the metric-specific response.
54	slides-images/slide-54.jpg	SFT Results: dataset-size ablation	include	Tests diminishing returns with more data.
55	slides-images/slide-55.jpg	SFT Results: MT-Bench by dataset size	include	Shows the judge-specific size trend.
56	slides-images/slide-56.jpg	Distillation Results	include	Separates synthetic-alignment results from SFT.
57	slides-images/slide-57.jpg	Zephyr-7B on MT-Bench and AlpacaEval	include	Shows model-level leaderboard evidence.
58	slides-images/slide-58.jpg	Zephyr-7B ablations	include	Separates dSFT, chosen-only SFT, and dDPO.
59	slides-images/slide-59.jpg	Quirks of using GPT-4 as Evaluator	omit	Pure section divider with no teaching content.
60	slides-images/slide-60.jpg	GPT-4 positional bias	include	Shows left-position skew versus humans.
61	slides-images/slide-61.jpg	Prompted debiasing flips the bias	include	Shows overcorrection rather than removal.
62	slides-images/slide-62.jpg	Scoring versus ranking	include	Shows partial mitigation through independent scores.
63	slides-images/slide-63.jpg	Training-evaluation doping	include	Shows preference for GPT-4-generated training data.
64	slides-images/slide-64.jpg	Length and diversity preference	include	Shows verbosity/style bias.
65	slides-images/slide-65.jpg	Task-dependent human correlation	include	Contrasts low- and high-entropy tasks.
66	slides-images/slide-66.jpg	Takeaways	include	Provides the speaker's final synthesis.
67	slides-images/slide-67.jpg	New York Times coverage	include	Documents the public labor/alignment context.
68	slides-images/slide-68.jpg	UN AI Advisory Body	include	Records the speaker's closing institutional context.
69	slides-images/slide-69.jpg	Hugging Face H4 resources	include	Provides the lecture's official follow-up resources.
70	slides-images/slide-70.jpg	H4 Team	include	Credits the team behind the reported work.
71	slides-images/slide-71.jpg	Thanks for listening	omit	Closing pleasantry with no substantive teaching content.
