order	rank	timestamp	asset	title	status	reason
20	26	12:33	slides-images/slide-20-socratic-questioning.jpg	Socratic Questioning	include	Shows recursive divide-and-conquer reasoning.
21	27	13:09	slides-images/slide-21-pal.jpg	Program-Aided Language Models	include	Separates natural-language planning from program execution.
22	28	13:51	slides-images/slide-22-program-of-thoughts.jpg	Program of Thoughts	include	Shows program synthesis as an intermediate representation.
23	31	14:33	slides-images/slide-23-faith-and-fate.jpg	Faith and Fate computation graphs	include	Connects structured computation to compositional reasoning.
24	32	15:15	slides-images/slide-24-babylm-challenge.jpg	BabyLM Challenge	include	Starts the sample-efficient pretraining unit.
25	33	15:48	slides-images/slide-25-what-is-babylm.jpg	What is BabyLM?	include	Defines the developmentally plausible data budget.
26	34	17:00	slides-images/slide-26-why-babylm.jpg	Why BabyLM?	include	Covers efficiency, access, interpretability, and cognitive science.
27	39	19:09	slides-images/slide-27-babylm-data.jpg	BabyLM pretraining data	include	Final data-composition state with speech, books, subtitles, and encyclopedic text.
28	41	19:51	slides-images/slide-28-agent-introduction.jpg	Agent lecture outline	include	Defines the second half's teaching sequence.
29	44	20:30	slides-images/slide-29-building-ai-agents.jpg	Building AI agents	include	Frames why, how, and ingredients.
30	49	22:24	slides-images/slide-30-agent-stack.jpg	AI agent stack	include	Shows model, memory, planning, tools, reflection, and environment.
31	50	23:03	slides-images/slide-31-multion-api.jpg	MultiOn action API	include	Introduces the classroom prototype.
32	52	23:30	slides-images/slide-32-flight-demo-start.jpg	Flight demo starting state	include	Shows the target task before autonomous execution.
33	54	23:36	slides-images/slide-33-flight-demo-code.jpg	Flight demo command/control	include	Shows the action request entering the agent.
34	72	24:33	slides-images/slide-34-flight-demo-results.jpg	Flight search results	include	Shows browser navigation and result selection.
35	76	24:51	slides-images/slide-35-flight-demo-checkout.jpg	Flight checkout step	include	Shows a high-stakes irreversible-action boundary.
36	82	25:15	slides-images/slide-36-flight-demo-itinerary.jpg	Flight itinerary confirmation	include	Shows the claimed completed outcome.
37	84	25:21	slides-images/slide-37-mobile-platform.jpg	MultiOn mobile platform	include	Introduces a device-level natural-language interface.
38	90	25:39	slides-images/slide-38-mobile-message.jpg	Mobile messaging action	include	Shows a simple personal-device action.
39	95	26:03	slides-images/slide-39-mobile-web-search.jpg	Mobile web search	include	Shows transition from chat intent to browser interaction.
40	101	26:21	slides-images/slide-40-mobile-food-result.jpg	Mobile food ordering result	include	Shows search and item selection.
41	103	26:30	slides-images/slide-41-mobile-delivery-limit.jpg	Mobile delivery-area failure	include	Preserves an environment constraint rather than only successes.
42	105	26:36	slides-images/slide-42-driving-test.jpg	Online driving-test demo	include	Documents another classroom capability claim.
43	111	28:27	slides-images/slide-43-human-like-agents.jpg	Why human-like AI agents?	include	Motivates hands, eyes, and interactive boundaries.
44	112	28:45	slides-images/slide-44-autonomy-levels.jpg	Five levels of autonomy	include	Provides a staged autonomy taxonomy.
45	115	31:06	slides-images/slide-45-computer-interaction.jpg	Agent computer-interaction routes	include	Contrasts APIs with direct keyboard/mouse control.
46	116	32:18	slides-images/slide-46-action-api-overview.jpg	Action API overview	include	Introduces a universal natural-language action layer.
47	117	32:21	slides-images/slide-47-action-api-code.jpg	Action API code entry	include	Shows the developer-side invocation.
48	121	32:33	slides-images/slide-48-action-api-chat.jpg	Action API communication demo	include	Shows interaction with an application/service.
49	124	32:42	slides-images/slide-49-action-api-control.jpg	Action API browser/computer control	include	Shows the agent controlling a computer surface.
50	129	33:06	slides-images/slide-50-action-api-result.jpg	Action API completion	include	Closes the live developer demo.
51	138	35:15	slides-images/slide-51-neural-compute-unit.jpg	AI model as neural compute unit	include	Builds the model/CPU analogy and surrounding abstractions.
52	140	35:33	slides-images/slide-52-long-term-memory.jpg	Long-term memory	include	Contrasts context-window memory with persistent stores.
53	141	37:39	slides-images/slide-53-personalization.jpg	Personalization	include	Connects memory to user preferences and irreversible actions.
54	142	39:54	slides-images/slide-54-agent-challenges.jpg	Memory and personalization challenges	include	Covers preference collection, feedback, safety, and privacy.
55	144	43:00	slides-images/slide-55-multi-agent-system.jpg	Multi-agent autonomous systems	include	Introduces multiple specialized agents.
56	150	45:39	slides-images/slide-56-why-multi-agent.jpg	Why multi-agent systems?	include	Explains parallelism, scaling, and specialization.
57	154	47:30	slides-images/slide-57-agent-communication-overview.jpg	Manager-worker communication	include	Shows hierarchy and message flow.
58	158	49:00	slides-images/slide-58-agent-communication-task.jpg	Task assignment and worker state	include	Shows a successful task path.
59	163	49:51	slides-images/slide-59-agent-communication-redo.jpg	Task failure and re-do	include	Shows correction after an incorrect worker result.
60	165	50:30	slides-images/slide-60-key-agent-issues.jpg	Key issues with autonomous agents	include	Lists reliability, looping, testing, and oversight.
61	167	53:09	slides-images/slide-61-plan-divergence.jpg	Plan divergence	include	Visualizes the gap between intended and actual trajectories.
62	168	53:33	slides-images/slide-62-llm-os.jpg	Karpathy LLM OS	include	Introduces the operating-system abstraction.
63	171	58:51	slides-images/slide-63-generalized-ai-systems.jpg	Building generalized AI systems	include	Shows interface, rules, task engine, router, tools, and reflection.
64	173	60:06	slides-images/slide-64-future-needs.jpg	Future needs for AI agents	include	Closes with error correction, security, permissions, and sandboxing.

# Omitted candidate groups
# 1-3, 5, 18, 32-38, 40, 42-43, 45-48, 51, 53, 55-71, 73-75, 77-81, 83, 85-89, 91-94, 96-100, 102, 104, 106-110, 113-114, 118-120, 122-123, 125-128, 130-137, 139, 143, 145-149, 151-153, 155-157, 159-162, 164, 166, 169-170, 172, 174 are splash screens, section dividers, duplicate progressive states, speaker overlays, transitional frames, or live-demo steps superseded by the retained milestones.
