[00:00:03--00:00:10] Hello 大家好,欢迎收听张小俊商业访谈录,我是小俊
[00:00:10--00:00:14] 这是一档由语言级世界工作室出品的深度访谈节目
[00:01:59--00:02:02] 就是那时候是大概是2009年
[00:02:02--00:02:06] 然后就是苹果其实除了iPhone之后的第二年
[00:02:06--00:02:08] 对,然后那时候对我来说
[00:02:08--00:02:08] 有一个很大的改变
[00:02:08--00:02:09] 就是iPhone
[00:02:09--00:02:10] 就是App Store出现了
[00:02:10--00:02:13] App Store我觉得是对我来说是特别重要的一个转折点
[00:02:13--00:02:15] 因为在App Store之前
[00:02:15--00:02:18] 其实世界上很多人像我一样就喜欢自己捣鼓软件或做东西
[00:02:18--00:02:21] 但是你其实缺乏一个很好的全球化变现的一个能力
[00:02:21--00:02:23] 但这时候对于高中生来说
[00:02:23--00:02:26] 就如果你只是在瞎捣鼓一些课外的东西的话
[00:02:26--00:02:27] 这个东西其实是比较离经叛道的
[00:02:27--00:02:28] 你知道吧
[00:02:28--00:02:30] 就是你没有一个很好的第三方指标来证明说
[00:02:30--00:02:32] 我的这个爱好其实是有价值的
[00:02:32--00:02:34] 而App Store当时的出现给了我一个契机
[00:02:34--00:02:37] 就是说我可以向我的父母同学
[00:02:37--00:02:38] 乃至于老师证明说
[00:02:38--00:02:41] 我瞎搞的这个东西是能产生经济价值的
[00:02:41--00:02:44] 所以我就算是中国第一代软件出海的创业者
[00:02:44--00:02:45] 对 当时那时候还在上高中
[00:02:45--00:02:48] 然后我是做了一个第三方的iOS浏览器
[00:02:48--00:02:50] 叫做MandSquare Browser蒙骂浏览器
[00:02:50--00:02:52] 当年小小火锅一点吧
[00:02:52--00:02:54] 然后用的是最朴素的那种叫Buy Copy
[00:02:54--00:02:57] 就是每卖一份就赚一份固定的销售额的这种模式
[00:02:57--00:02:59] 然后所以就是很幸运
[00:02:59--00:03:01] 就很早的时候就有了比较稳定的现金流
[00:03:01--00:03:02] 对
[00:03:02--00:03:03] 这个有多稳定啊 现金流
[00:03:03--00:03:05] 那个软件从第一个版本到最后
[00:03:05--00:03:06] 我大概赚了30多万美金
[00:03:06--00:03:09] 当时我觉得那个对于高二高三的学生来说
[00:03:09--00:03:10] 已经算是挺开心的一个事
[00:03:10--00:03:14] 而且关键是就是它的销售的模式很清晰嘛对吧
[00:03:14--00:03:15] 我不需要去考虑太多的
[00:03:15--00:03:17] 比如说这个In-App Purchase
[00:03:17--00:03:20] 就是应用内付款或者提供一些增值的这种模式
[00:03:20--00:03:22] 我只是非常老实的卖一份copy
[00:03:22--00:03:23] 然后你给我一份钱
[00:03:23--00:03:25] 所以其实对于我就是怎么说呢
[00:03:25--00:03:27] 我就是维护的成本是比较低的
[00:03:27--00:03:30] 是一个当时还成立的一种商业模式
[00:03:30--00:03:31] 但是后来大家都知道就是
[00:03:31--00:03:35] 移动端软件已经不太在支持这样特别朴素的商业模式了
[00:03:35--00:03:35] 嗯
[00:03:35--00:03:36] 因为大家都要写免费
[00:03:36--00:03:40] 对或者就说当时是一个很好玩的情况
[00:03:40--00:03:43] 因为那个时候从桌面互联网到移动互联网
[00:03:43--00:03:44] 我觉得是有一次平台或者
[00:03:44--00:03:47] 简单来说就有一个硬件媒介的变化
[00:03:47--00:03:47] 对吧
[00:03:47--00:03:49] 所以就是你有一个新的一个媒介出来
[00:03:49--00:03:51] 即使你是传统的大厂
[00:03:51--00:03:52] 比如说国内当时的BAT
[00:03:52--00:03:53] 然后海外这些公司
[00:03:53--00:03:56] 其实大家都是跟开发者一样众生平等
[00:03:56--00:03:57] 都在做一个全新的一个尝试
[00:03:57--00:03:59] 然后那个时候其实就会有一段
[00:03:59--00:04:01] 在我看来可能是蛮荒期的一个阶段
[00:04:01--00:04:03] 所以你有很多的机会去做这样的事
[00:04:03--00:04:05] 大家还没有反映过来
[00:04:05--00:04:06] 后来的这个诸多的商业模式
[00:04:06--00:04:06] 对吧
[00:04:06--00:04:08] 但你看反过来现在AI
[00:04:08--00:04:09] 我可能就聊到哪说到哪
[00:04:09--00:04:11] 你就觉得很难的一点就是
[00:04:11--00:04:13] AI虽然是一个新的一个技术突破
[00:04:13--00:04:15] 但是实际上没有一个全新的一个平台出现
[00:04:15--00:04:16] 所以你看这回的话
[00:04:16--00:04:18] 我觉得没有存在那个蛮荒期
[00:04:18--00:04:20] 就是无论是巨头还是创业公司
[00:04:20--00:04:21] 还是个人开发者
[00:04:21--00:04:23] 大家的反应都一样快
[00:04:23--00:04:25] 做的都非常的干脆的利索
[00:04:25--00:04:26] 对所以
[00:04:26--00:04:28] 我觉得我算是赶上了一个好时代吧当时
[00:04:28--00:04:30] 这段创业怎么结束的呀
[00:04:30--00:04:32] 这段创业其实我觉得
[00:04:32--00:04:33] 没有一个明确的结束的那一刻
[00:04:33--00:04:35] 其实它是我创业的一个起点
[00:04:35--00:04:36] 那时候我觉得
[00:04:36--00:04:36] 它不能严格
[00:04:36--00:04:38] 意义上来说称为创业
[00:04:38--00:04:39] 因为我只是一个学生个人开发者
[00:04:39--00:04:41] 用一个最朴素的商业模式
[00:04:41--00:04:43] 去获得了一定的现金流
[00:04:43--00:04:44] 但当时的话
[00:04:44--00:04:45] 你有一定的现金流
[00:04:45--00:04:47] 同时你要做一定的marketing对吧
[00:04:47--00:04:48] 当时我也没有团队
[00:04:48--00:04:49] 就一个人就自己在
[00:04:49--00:04:51] 比如说在国内外的论坛上发帖
[00:04:51--00:04:53] 然后当时国内没有很成熟的那种
[00:04:53--00:04:53] 就是支付渠道
[00:04:53--00:04:55] 因为你知道现在App Store
[00:04:55--00:04:55] 你可以用
[00:04:55--00:04:57] 比如说像那个支付宝微信
[00:04:57--00:04:59] 或者那种那个credit card
[00:04:59--00:04:59] 你可以去付款
[00:04:59--00:05:00] 但当时我记得
[00:05:00--00:05:02] 其实只能支持国际credit card
[00:05:02--00:05:03] 所以中国国内
[00:05:03--00:05:05] 基本是没有什么付费的
[00:05:05--00:05:05] 哎呀
[00:05:05--00:05:07] 这感觉跟现在AI也挺像的
[00:05:07--00:05:07] 对
[00:05:07--00:05:08] 反正当时呢
[00:05:08--00:05:09] 我就想那既然国内
[00:05:09--00:05:10] 我很难去获得现金流
[00:05:10--00:05:12] 那我在国内就只能赚吆喝
[00:05:12--00:05:14] 所以我那时候会破解自己的软件
[00:05:14--00:05:15] 然后在国内论坛上发
[00:05:15--00:05:16] 就是你没钱
[00:05:16--00:05:17] 你就给我捧个人场
[00:05:17--00:05:17] 对
[00:05:17--00:05:19] 然后你在这样做的同时期
[00:05:19--00:05:20] 你就获得了一些来自于
[00:05:20--00:05:22] 比如说资本界的关注
[00:05:22--00:05:23] 所以那时候也很好玩
[00:05:23--00:05:25] 就是我当时高二高三的时候
[00:05:25--00:05:27] 然后当时就是在参加一个
[00:05:27--00:05:29] 当时感觉还是
[00:05:29--00:05:31] 比较有创业氛围吧
[00:05:31--00:05:32] 那时候中文村
[00:05:32--00:05:33] 然后我应该就在中文村
[00:05:33--00:05:34] 参加了一个创业活动
[00:05:34--00:05:35] 我就想不起来是哪一个了
[00:05:35--00:05:38] 然后当时的话就认识了真哥基金
[00:05:38--00:05:39] 对
[00:05:39--00:05:41] 然后这个故事就非常简单
[00:05:41--00:05:42] 就是当时徐老师
[00:05:42--00:05:42] 徐老师
[00:05:42--00:05:43] 对
[00:05:43--00:05:44] 徐老师问我小伙不错
[00:05:44--00:05:45] 你想创业吗
[00:05:45--00:05:46] 然后我当然不想创业了
[00:05:46--00:05:47] 对吧
[00:05:47--00:05:48] 因为我既然有一个稳定的
[00:05:48--00:05:50] 我可以边上学边躺着赚钱的一个
[00:05:50--00:05:51] 现金流
[00:05:51--00:05:52] 那我何必要创业呢
[00:05:52--00:05:52] 对
[00:05:52--00:05:53] 然后但是我觉得
[00:05:53--00:05:55] 就是毕竟这个徐老师对吧
[00:05:55--00:05:56] 这个大家可能当时都是
[00:05:56--00:05:57] 都是比较熟悉的
[00:05:57--00:06:00] 因为他应该也是北大那个体系出来的
[00:06:00--00:06:01] 然后当时我回家
[00:06:01--00:06:02] 跟我父母提一下这个事
[00:06:02--00:06:04] 然后我这方面确实感谢我父母
[00:06:04--00:06:07] 他们就说这个你是值得去好好考虑一下的
[00:06:07--00:06:08] 然后我觉得
[00:06:08--00:06:09] 那个时候对我来说
[00:06:09--00:06:11] 也是陷入一个纠结
[00:06:11--00:06:12] 就是我可以有几个选择对吧
[00:06:12--00:06:14] 我也许可以我申请学校
[00:06:14--00:06:15] 去上一个好的大学
[00:06:15--00:06:16] 走现在跟大多数人一样的一条路
[00:06:16--00:06:17] 但另外一点就是
[00:06:17--00:06:19] 我觉得App Store给了我一个
[00:06:19--00:06:19] 特别好的一个正反馈
[00:06:19--00:06:21] 就是你只要创新
[00:06:21--00:06:22] 也许就能有回报
[00:06:22--00:06:24] 当时想的会比较天真
[00:06:24--00:06:25] 就是说我好像做出一个好东西
[00:06:25--00:06:26] 自然就会有一个好的结果
[00:06:26--00:06:28] 然后当时其实我渐渐意识到
[00:06:28--00:06:29] 这个不是一个常态
[00:06:29--00:06:31] 我是很幸运地
[00:06:31--00:06:32] 踩中了一个时代的机遇
[00:06:32--00:06:34] 那好 其实我也许
[00:06:34--00:06:35] 我什么时候都能继续去读书
[00:06:35--00:06:36] 所以我就想
[00:06:36--00:06:38] 那我其实现在优先考虑的
[00:06:38--00:06:39] 应该是一个机会成本
[00:06:39--00:06:40] 对 所以就是
[00:06:40--00:06:42] 我当时就拿了term sheet
[00:06:42--00:06:44] 然后决定这大学我不上了
[00:06:44--00:06:45] 我要去创业
[00:06:45--00:06:46] 对 但是当时的话
[00:06:46--00:06:48] 就是为什么接受真格的offer
[00:06:48--00:06:50] 其实也是他们给了我一个承诺
[00:06:50--00:06:51] 而且我觉得一直是
[00:06:51--00:06:53] 就是这个承诺兑现至今
[00:06:53--00:06:55] 就是他们不会管我干什么
[00:06:55--00:06:56] 我爱干嘛干嘛
[00:06:56--00:06:57] 对 所以我觉得这个
[00:06:57--00:06:58] 其实对于一个学生来说
[00:06:58--00:06:59] 我觉得我能
[00:06:59--00:07:00] 有了一个最好的一个选择
[00:07:00--00:07:02] 所以当时的话
[00:07:02--00:07:03] 我就拉上另外几个同学
[00:07:03--00:07:04] 比我大两届
[00:07:04--00:07:06] 他们已经保送去北大了
[00:07:06--00:07:07] 然后但是又被我忽悠出来
[00:07:07--00:07:08] 但当时我们其实已经意识到
[00:07:08--00:07:10] 就是你如果还在做
[00:07:10--00:07:11] 这样朴素的一个
[00:07:11--00:07:13] 按哪一个copy去赚钱的
[00:07:13--00:07:14] 这个模式已经不太work了
[00:07:14--00:07:15] 那个时候已经感觉到不work了
[00:07:15--00:07:16] 很明显
[00:07:16--00:07:16] 因为当时的话
[00:07:16--00:07:17] 已经又过了两年了
[00:07:17--00:07:19] 然后这个时候你会发现
[00:07:19--00:07:20] 无论是国内还国外
[00:07:20--00:07:21] 尤其像第三方
[00:07:21--00:07:22] iPhone浏览器的
[00:07:22--00:07:22] 这个市场里头
[00:07:22--00:07:23] 其实已经出现
[00:07:23--00:07:24] 很多不同的玩家了
[00:07:24--00:07:26] 巨头已经回过味来了
[00:07:26--00:07:27] 所以我们就觉得
[00:07:27--00:07:29] 这个东西一定一定会走向一个
[00:07:29--00:07:31] 免费或者免费加增值的这条路
[00:07:31--00:07:32] 但当时我们还做了一点
[00:07:32--00:07:33] 最后的一个尝试
[00:07:33--00:07:35] 这也其实后面一切的起点
[00:07:35--00:07:36] 就是我们觉得
[00:07:36--00:07:37] 我们既然要卖一款
[00:07:37--00:07:38] 付费的浏览器
[00:07:38--00:07:39] 我们应该在功能上
[00:07:39--00:07:41] 有比较大的一个跃进
[00:07:41--00:07:41] 首先一点
[00:07:41--00:07:43] 当时Namesquare Browser
[00:07:43--00:07:45] 它的交互田确实比较好的
[00:07:45--00:07:46] 但当时其实还有另外一个背景
[00:07:46--00:07:47] 就是那时候
[00:07:47--00:07:48] 无论是国内还国外
[00:07:48--00:07:50] 都是3G初期的一个阶段
[00:07:50--00:07:51] 那时候其实移动互联网
[00:07:51--00:07:52] 原来没有像现在这样
[00:07:52--00:07:53] 就这么流畅
[00:07:53--00:07:54] 那时候可能大家还会
[00:07:54--00:07:56] 更多关注就是说
[00:07:56--00:07:57] 比如说网速慢的时候怎么办
[00:07:57--00:07:58] 弱网环境怎么办
[00:07:58--00:08:00] 所以当时我就提出
[00:08:00--00:08:01] 要解决一个问题
[00:08:01--00:08:02] 就是我们能不能去预测
[00:08:02--00:08:03] 用户的下一次点击
[00:08:03--00:08:04] 比如说那时候
[00:08:04--00:08:05] 我还记得大家用Facebook
[00:08:05--00:08:07] 国内应该是用人人网
[00:08:07--00:08:10] 校内的改名叫人人网
[00:08:10--00:08:10] 我记得
[00:08:10--00:08:11] 那时候大家很多人都觉得
[00:08:11--00:08:12] 好像Web版
[00:08:12--00:08:14] 就是移动端的网页
[00:08:14--00:08:15] 似乎比当时那些
[00:08:15--00:08:16] 比较初期的客户端要好用
[00:08:16--00:08:18] 所以很多人其实是在用
[00:08:18--00:08:19] 就是移动浏览器
[00:08:19--00:08:20] 去进行一些社交媒体的使用
[00:08:20--00:08:22] 所以你会经常有那种
[00:08:22--00:08:23] 翻页下页这个操作
[00:08:23--00:08:25] 然后后来有更多人
[00:08:25--00:08:26] 在手机上开始看新闻
[00:08:26--00:08:27] 其实我当时就觉得
[00:08:27--00:08:28] 如果我能准确预测
[00:08:28--00:08:29] 用户的下一次点击的话
[00:08:29--00:08:30] 我可以进行Preloading
[00:08:30--00:08:32] 就是提前加载下页的内容
[00:08:32--00:08:34] 让它的这个响应会更加的快
[00:08:34--00:08:35] 然后这个其实就
[00:08:35--00:08:36] 机缘巧合之下
[00:08:36--00:08:38] 让我进入了NLP
[00:08:38--00:08:39] 就Natural Language Processing
[00:08:39--00:08:40] 的这一个领域
[00:08:40--00:08:42] 就是自然源处理
[00:08:42--00:08:43] 当然现在大家可能
[00:08:43--00:08:44] 不太提这个词了
[00:08:44--00:08:44] 因为大模型
[00:08:44--00:08:45] 已经把这一切给统一了
[00:08:45--00:08:46] 对 然后那时候
[00:08:46--00:08:48] 大概2011年开始
[00:08:48--00:08:49] 就是我因为这一个需求
[00:08:49--00:08:51] 所以开始研究这一个方向
[00:08:51--00:08:53] 好 那真的是太早了
[00:08:53--00:08:53] 对
[00:08:53--00:08:54] 这我就就很
[00:08:54--00:08:55] 我很幸运点
[00:08:55--00:08:55] 就是我感觉一直
[00:08:55--00:08:56] 我在学习的东西
[00:08:56--00:08:59] 都是因为具体的需求在牵引
[00:08:59--00:09:00] 对 所以刚好也就
[00:09:00--00:09:01] 跟自己兴趣的会比较align
[00:09:01--00:09:02] 所以就接触了这个行当
[00:09:02--00:09:03] 开始做
[00:09:03--00:09:04] 所以那个浏览器
[00:09:04--00:09:05] 其实真正意义上
[00:09:05--00:09:07] 到后来它的结束是什么
[00:09:07--00:09:09] 是我发现了更好玩的东西
[00:09:09--00:09:10] 就是自然源处理
[00:09:10--00:09:12] 所以因为它的模式
[00:09:12--00:09:13] 一直是很单纯的
[00:09:13--00:09:13] mine for copy
[00:09:13--00:09:14] mine for copy
[00:09:14--00:09:15] 它就渐渐就变成了一个
[00:09:15--00:09:17] 没有人去维护的一个状态
[00:09:17--00:09:18] 然后随着比如说
[00:09:18--00:09:19] 到最后应该是
[00:09:19--00:09:20] IOS系统不断更新
[00:09:20--00:09:21] 它的那个兼容的版本
[00:09:21--00:09:23] 已经就是跟IOS不兼容了
[00:09:23--00:09:24] 所以你自然而然
[00:09:24--00:09:25] 就被从App Store下架了
[00:09:25--00:09:26] 所以这是一个
[00:09:26--00:09:27] 自然死亡的一个过程
[00:09:27--00:09:28] 当然我觉得
[00:09:28--00:09:29] 这还是很幸运的
[00:09:29--00:09:30] 就是让我人生的第一个产品
[00:09:30--00:09:31] 就同时满足了
[00:09:31--00:09:33] 出海加AI
[00:09:33--00:09:35] 加上变现这件事
[00:09:35--00:09:36] 所以有一个很好的开始
[00:09:36--00:09:38] 现在反过去说的话
[00:09:38--00:09:39] 浏览器这个事情
[00:09:39--00:09:40] 当时怎么做
[00:09:40--00:09:42] 有可能后来摸到
[00:09:42--00:09:43] 移动互联网的大牌吗
[00:09:43--00:09:44] 有这种可能性吗
[00:09:44--00:09:45] 我觉得当时的话
[00:09:45--00:09:47] 我其实收到过
[00:09:47--00:09:48] 一些收购的offer
[00:09:48--00:09:50] 我觉得也许卖的也挺好的
[00:09:50--00:09:51] 因为我觉得其实
[00:09:51--00:09:51] 浏览器
[00:09:51--00:09:53] 谁的offer
[00:09:53--00:09:53] 这个就不要说了
[00:09:53--00:09:55] 不能点具体的名
[00:09:55--00:09:56] 但我觉得就是浏览器
[00:09:56--00:09:57] 可能从古至今
[00:09:57--00:09:58] 包括今天
[00:09:58--00:09:59] 包括很多个团队
[00:09:59--00:09:59] 也在做AI浏览器
[00:09:59--00:10:00] 待会儿我们会聊到
[00:10:00--00:10:02] 我觉得一直都是有一个点
[00:10:02--00:10:05] 就是它其实不是特别适合
[00:10:05--00:10:06] 以一个创业者
[00:10:06--00:10:08] 或者说一个颠覆者的形态来做
[00:10:08--00:10:10] 它其实更像是巨头
[00:10:10--00:10:12] 你已经有了分发的渠道之后
[00:10:12--00:10:13] 去挤上天花这个事
[00:10:13--00:10:15] 所以我如果回看当时的话
[00:10:15--00:10:16] 我不认为
[00:10:16--00:10:18] 以现在的我的经验或者阅历
[00:10:18--00:10:20] 我能做出什么更好的选择
[00:10:20--00:10:20] 第二段创业呢
[00:10:20--00:10:21] 第二段创业的方向
[00:10:21--00:10:22] 第二段创业的方向
[00:10:22--00:10:24] 其实应该刚才讲的
[00:10:24--00:10:25] 第一次真正的创业
[00:10:25--00:10:26] 就是因为在做这个浏览器的时候
[00:10:26--00:10:27] 意识到就是
[00:10:27--00:10:28] NLP这个领域真的非常有意思
[00:10:28--00:10:30] 但那时候其实也是很有趣
[00:10:30--00:10:32] 就是2011年
[00:10:32--00:10:34] 距离一个识破天惊的paper
[00:10:34--00:10:35] 我说的不是transformer
[00:10:35--00:10:36] 其实2013年是
[00:10:36--00:10:37] T.Mikulov
[00:10:37--00:10:39] 当时Google推出一篇paper
[00:10:39--00:10:39] 叫Word2Vec
[00:10:39--00:10:41] 就是第一次能够把
[00:10:41--00:10:42] 也不是第一次
[00:10:42--00:10:44] 就是较为可靠且高效的
[00:10:44--00:10:45] 能够把自然语言文本
[00:10:45--00:10:46] 离散化的自然语言文本
[00:10:46--00:10:48] 变成稠密向量
[00:10:48--00:10:50] 这个其实对我来说是
[00:10:50--00:10:51] 我认为我心中最
[00:10:51--00:10:52] 识破天惊的一个转折点
[00:10:52--00:10:54] 因为它头一次
[00:10:54--00:10:55] 能让我们比较方便的
[00:10:55--00:10:56] 把一些源自其他
[00:10:56--00:10:58] 技学系和深度学习领域的方法
[00:10:58--00:10:59] 应用在自然语言处理领域
[00:10:59--00:11:01] 像当时比如2011年前后
[00:11:01--00:11:02] 大家做自然语言处理
[00:11:02--00:11:03] 可能关注几件事
[00:11:03--00:11:04] 比如说你要进行
[00:11:04--00:11:05] 比较复杂的分析的话
[00:11:05--00:11:06] 可能会有一个技术
[00:11:06--00:11:07] 叫做dependency parsing
[00:11:07--00:11:08] 叫依存句法分析
[00:11:08--00:11:09] 当然现在可能这个词
[00:11:09--00:11:10] 已经死透了
[00:11:10--00:11:11] 可能新一代做AI的人
[00:11:11--00:11:12] 都不知道这个词了
[00:11:12--00:11:13] 然后中文的话
[00:11:13--00:11:14] 那时候我们还会关注
[00:11:14--00:11:16] 额外的就所谓的tokenization
[00:11:16--00:11:18] 当然跟现在的大模型的tokenize
[00:11:18--00:11:19] 相比可能会更原始一点
[00:11:19--00:11:20] 因为中文本身
[00:11:20--00:11:22] 它会有这个要切分这个问题
[00:11:22--00:11:23] 当然不止中文
[00:11:23--00:11:25] 就是中文日语
[00:11:25--00:11:26] 然后其实德语
[00:11:26--00:11:28] 德语叫decomposition
[00:11:28--00:11:29] 就是拆词这个问题
[00:11:29--00:11:30] 所以那时候做的
[00:11:30--00:11:32] 还是一些比较怎么说呢
[00:11:32--00:11:34] 为了自然语言处理
[00:11:34--00:11:34] 而做的一些比较
[00:11:34--00:11:35] 专有的解决方案
[00:11:35--00:11:37] 它按现在话说
[00:11:37--00:11:38] 是不太scale的
[00:11:38--00:11:39] 因为其实你需要
[00:11:39--00:11:40] 很重的标注才能做好
[00:11:40--00:11:41] 而且你本身的模型
[00:11:41--00:11:42] 也没有那么的强大
[00:11:42--00:11:43] 所以当时
[00:11:43--00:11:43] 当时的话
[00:11:43--00:11:45] 我觉得给我最大的一个触动
[00:11:45--00:11:47] 是2013年的
[00:11:47--00:11:47] 那个Word2Vac
[00:11:47--00:11:48] 这个paper出来
[00:11:48--00:11:49] 然后我觉得
[00:11:49--00:11:51] 这一下新世界的大门就打开了
[00:11:51--00:11:52] 然后这个让我真正意识到
[00:11:52--00:11:54] 我的兴趣可能
[00:11:54--00:11:55] 其实是在NLP
[00:11:55--00:11:57] 而不是在继续做浏览器
[00:11:57--00:11:58] 然后也很感谢
[00:11:58--00:11:59] 就当时珍格
[00:11:59--00:12:00] 备献他的承诺
[00:12:00--00:12:02] 我说我不想做浏览器了
[00:12:02--00:12:02] 然后珍格说随便
[00:12:02--00:12:04] 对
[00:12:04--00:12:05] 然后当时的话
[00:12:05--00:12:06] 我就看中了NLP
[00:12:06--00:12:07] 但是其实也是看中
[00:12:07--00:12:07] 另外一个
[00:12:07--00:12:08] 一个市场机遇
[00:12:08--00:12:10] 当然回过头看
[00:12:10--00:12:11] 我觉得是错的
[00:12:11--00:12:12] 这是怎么回事呢
[00:12:12--00:12:13] 就是当时
[00:12:13--00:12:14] 2013年
[00:12:14--00:12:15] 其实已经开始有传闻
[00:12:15--00:12:17] 就说苹果在筹备一款
[00:12:17--00:12:18] 可穿戴式设备
[00:12:18--00:12:20] 其实也就是后来的Apple Watch
[00:12:20--00:12:21] 然后这个当时给了我
[00:12:21--00:12:22] 特别大的想象空间
[00:12:22--00:12:24] 因为我当时觉得
[00:12:24--00:12:25] 那个时候的搜索
[00:12:25--00:12:27] 还是你输入一个问题
[00:12:27--00:12:27] 一个Query
[00:12:27--00:12:29] 然后它给你十个蓝色的链接
[00:12:29--00:12:31] 这个东西能够Work的根本原因
[00:12:31--00:12:32] 是我们在与电脑
[00:12:32--00:12:33] 这样一个大屏幕进行交互
[00:12:33--00:12:34] 那假设未来
[00:12:34--00:12:36] 比如可穿戴式设备
[00:12:36--00:12:37] 或者说语音的界面
[00:12:37--00:12:38] 就是Voice Interface
[00:12:38--00:12:39] 更加成熟的话
[00:12:39--00:12:40] 那这一个交互模式
[00:12:40--00:12:41] 可能就不Work了
[00:12:41--00:12:43] 所以当时我想解决的
[00:12:43--00:12:43] 一个问题是什么
[00:12:43--00:12:44] 就是说我能不能
[00:12:44--00:12:46] 以一种更结构化
[00:12:46--00:12:47] 且更紧凑的形式
[00:12:47--00:12:50] 把知识跟用户之间的交互
[00:12:50--00:12:51] 进行一次革命
[00:12:51--00:12:53] 然后这个当时就引向了
[00:12:53--00:12:53] 一个方向
[00:12:53--00:12:54] 就现在可能叫
[00:12:54--00:12:55] 语音搜索
[00:12:55--00:12:56] 叫Semantic Search
[00:12:56--00:12:56] 这个东西
[00:12:56--00:12:57] 我当时会觉得
[00:12:57--00:12:59] 这就是下一代的Google
[00:12:59--00:13:01] 我作为一个创意者
[00:13:01--00:13:02] 我会不会是当年的Google
[00:13:02--00:13:03] 像当年的Google
[00:13:03--00:13:04] 颠覆Yahoo那样的
[00:13:04--00:13:04] 所以我们团队
[00:13:04--00:13:05] 大家都很兴奋
[00:13:05--00:13:07] 然后我们想解决的
[00:13:07--00:13:07] 这个问题
[00:13:07--00:13:08] 逐渐也就细化了下来
[00:13:08--00:13:09] 这其实是一个
[00:13:09--00:13:10] 非常技术驱动的问题
[00:13:10--00:13:11] 我当时在想
[00:13:11--00:13:12] 如果你想用一个
[00:13:12--00:13:13] 更紧凑的结构
[00:13:13--00:13:14] 去回答用户的
[00:13:14--00:13:15] 任意问题的话
[00:13:15--00:13:16] 那其实你需要的
[00:13:16--00:13:18] 不能是网页的原始信息
[00:13:18--00:13:19] 因为大家都知道
[00:13:19--00:13:20] 其实搜索引擎的工作原理
[00:13:20--00:13:21] 当时可能就使用
[00:13:21--00:13:21] 倒排索引
[00:13:21--00:13:23] 就是说你输入一个关键词
[00:13:23--00:13:24] 它会把所有
[00:13:24--00:13:25] 包含这个关键词的网页
[00:13:25--00:13:26] 通过一些排序算法
[00:13:26--00:13:27] 进行排序
[00:13:27--00:13:28] 把Top10给你
[00:13:28--00:13:29] 所以你用户输入的问题
[00:13:29--00:13:30] 最后获得的东西
[00:13:30--00:13:31] 仍然是原文
[00:13:31--00:13:32] 是自由文本
[00:13:32--00:13:33] 但这个东西自由文本
[00:13:33--00:13:34] 你想象一下
[00:13:34--00:13:35] 如果你用Apple Watch
[00:13:35--00:13:35] 你不可能在上面
[00:13:35--00:13:37] 就反复滚动去读完
[00:13:37--00:13:37] 对吧
[00:13:37--00:13:38] 如果你是车机
[00:13:38--00:13:39] 或者像Siri
[00:13:39--00:13:40] 这种interface的话
[00:13:40--00:13:41] 你也不能让它去
