[00:00:12--00:00:15] 我可以这么说吗
[00:15:45--00:15:57] 我们大幅扩建了北京的研发中心,建了一座全新的大楼,招收了更多的人才和工程师。
[00:15:57--00:15:59] 几年前,我们又增设了一个新的大楼。
[00:15:59--00:16:01] 我们又增设了一个研发中心,位于上海。
[00:16:01--00:16:07] 在那里,你可以接触到上海及周边地区的整个技术集群。
[00:16:07--00:16:15] 我们挖掘了一些非常优秀,非常聪明的人才,正在进行技术攻坚。
[00:16:15--00:16:20] 中国区的研发中心担任着不同的角色。
[00:16:20--00:16:23] 他们与德国总部相连。
[00:16:23--00:16:25] 德国是研发的中心。
[00:16:25--00:16:27] 但现在,我们在世界各地拥有研发中心。
[00:16:27--00:16:28] 就像我们在中国的研发中心。
[00:16:28--00:16:31] 就像一个全球化的研发网络。
[00:16:31--00:16:37] 几乎24小时,不间断地协同工作。
[00:16:37--00:16:46] 中国区的自主决策机制如何有效地与全球研发体系保持一致?
[00:16:46--00:16:53] 在过去,主要是有人在德国总部做出决定,然后在世界其他地方执行。
[00:16:53--00:16:55] 我们已经改变了这种模式。
[00:16:55--00:16:57] 很多行动实际上都从中国开始。
[00:16:57--00:17:00] 我们在中国的工作成果也为全世界服务。
[00:17:00--00:17:02] 举两个简单的例子。
[00:17:02--00:17:07] 我们最新的智能泊车系统,我只需按一下按钮,就会自动停车。
[00:17:07--00:17:10] 这是中国研发团队开发的。
[00:17:10--00:17:13] 我们将这项技术推向世界市场。
[00:17:13--00:17:18] 明年,我们将推出一款全新的后座娱乐系统。
[00:17:18--00:17:21] 我们的很多车型客户会选择坐在后座。
[00:17:21--00:17:26] 也许你想要看电影,也许你在玩游戏,也许你正在听音乐。
[00:17:27--00:17:29] 也许你想开一个视频会议。
[00:17:29--00:17:32] 这是中国团队开发的另一项新技术。
[00:17:32--00:17:34] 我们将把它推向世界。
[00:17:34--00:17:51] 所以现在,越来越多的决策不仅仅是在中国为中国,更多则是在中国为世界。
[00:17:51--00:17:55] 所以在过去的三年里,中国研发中心扮演着一个重要的角色。
[00:17:55--00:17:56] 这就是我们的最新的一个新技术。
[00:17:57--00:18:00] 我们的研发团队发挥了更大的作用。
[00:18:00--00:18:02] 我可以看到这种增长。
[00:18:02--00:18:07] 因为我们的研发团队素质一流,而且他们工作非常有动力。
[00:18:07--00:18:09] 所以我觉得还可以做得更多。
[00:18:09--00:18:13] 是否会出现完全由中国团队来设计的产品?
[00:18:13--00:18:15] 你永远不要说永远。
[00:18:15--00:18:16] 我们还没有这样做过。
[00:18:16--00:18:18] 但你永远不要说永远。
[00:18:18--00:18:20] 永远不要说永远。
[00:18:20--00:18:22] 我们还没有这样做过。
[00:18:22--00:18:24] 但永远不要说永远不会。
[00:18:24--00:18:26] 接下来,我们要谈谈这个问题。
[00:18:27--00:18:29] 接下来,我们来聊聊新技术。
[00:18:29--00:18:32] 外界对奔驰的批评主要是与电动车有关。
[00:18:32--00:18:35] 他们说特斯拉比你们领先10年。
[00:18:35--00:18:37] 对此,你如何回应?
[00:18:37--00:18:48] 如果你了解这款全新CLA的效率,它的最高里程版本已经获得了认证。
[00:18:48--00:18:52] CLTC续航达到866公里。
[00:18:52--00:18:55] 每100公里的耗电量约为11000瓦时。
[00:18:55--00:18:56] 800瓦时。
[00:18:56--00:18:58] 800伏的充电架构。
[00:18:58--00:19:00] 充电10分钟可以行驶300多公里。
[00:19:00--00:19:02] 重点在于充电效率。
[00:19:02--00:19:08] 在这个细分市场,它可能击败了现有的任何汽车。
[00:19:08--00:19:11] 无论是传统车企还是新势力。
[00:19:11--00:19:18] 与此同时,你会得到奔驰75年对于安全研发的历史经验。
[00:19:18--00:19:24] 这种车身结构的每一个部分都经过了优化,确保现实生活中的驾驶安全。
[00:19:24--00:19:29] 测试里程方面,它可能比同领域的任何其他汽车时间都要长。
[00:19:29--00:19:34] 车身内部美观,高品质,高价值。
[00:19:34--00:19:37] 所以,你买一款奔驰,两者都拥有了。
[00:19:37--00:19:41] 尽管我们必须认识到,汽车行业有新的竞争对手。
[00:19:41--00:19:43] 我们也非常重视这种竞争。
[00:19:43--00:19:46] 但是不必恐慌。
[00:19:46--00:19:52] 专注于提供我们的客户想要的东西,并将其提升到一个新的水平。
[00:19:52--00:20:01] 只要我们这样做了,我们自然会获得更多的市场份额。
[00:20:01--00:20:10] 技术方面,哪些事情是奔驰一定会做的,哪些事情是奔驰不会做的?
[00:20:10--00:20:16] 我们一定会做我们认为能够改善客户生活的创新。
[00:20:16--00:20:18] 或与合作伙伴合作。
[00:20:18--00:20:20] 我们一定会做我们认为能够改善客户生活的创新。
[00:20:20--00:20:21] 或与合作伙伴合作。
[00:20:21--00:20:23] 或与合作伙伴联合合作的程度。
[00:20:23--00:20:27] 对于我们的内部创新,我们保持开放。
[00:20:27--00:20:34] 但如果你无法控制所有的技术,你们能控制自己的豪华质感吗?
[00:20:34--00:20:35] 当然。
[00:20:35--00:20:42] 如果你用烹饪的例子,你可以从不同的地方获得材料。
[00:20:42--00:20:44] 但是你必须是烹饪的。
[00:20:44--00:20:45] 当然。
[00:20:45--00:20:49] 如果你用做菜来比喻,你可以从不同的地方选择各种食材。
[00:20:49--00:20:50] 但你本人必须是烹饪的。
[00:20:50--00:20:53] 但你本人必须是掌管的厨师。
[00:20:53--00:20:57] 现在我们正在推出这款全新CLA。
[00:20:57--00:20:59] MBOS全新架构就是这个。
[00:21:00--00:21:05] 这就是智能驾驶的领域
[00:21:05--00:21:08] MBOS是一个整体操作系统
[00:21:08--00:21:10] 可以在里面集成合作伙伴的软件
[00:21:10--00:21:12] 也可以自己开发
[00:21:12--00:21:18] 比如控制电池的管理系统
[00:21:18--00:21:21] 这属于汽车的核心功能
[00:21:21--00:21:24] 所有软件都是我们自己编写的
[00:21:24--00:21:26] 并且我们有20多年的经验
[00:21:26--00:21:29] 我们推出的第一款电动车
[00:21:29--00:21:32] 是2007年推出的Smart车型
[00:21:32--00:21:35] 这款车大约在20年前就推出了
[00:21:35--00:21:36] 所以我们研究了很久
[00:21:36--00:21:39] 如何在不同方面使用这些软件
[00:21:39--00:21:43] 现在它整合在MBOS的一个整体堆载中
[00:21:43--00:21:51] 我真的很想和你讨论一个话题
[00:21:51--00:21:54] 在过去豪华意味着拥有最好的性能和功能
[00:21:54--00:21:57] 但现在随着汽车行业转向电动化
[00:21:57--00:21:58] 和更多的依赖于
[00:21:58--00:21:59] 电动车的转向电动化
[00:21:59--00:22:00] 软件的智能驾驶
[00:22:00--00:22:03] 奔驰并没有完全引领这些新技术
[00:22:03--00:22:06] 奔驰如何确保提供真正豪华的汽车呢
[00:22:06--00:22:17] 如果使用我们的MBOS
[00:22:17--00:22:20] 我们就已经控制了自己的数字未来
[00:22:20--00:22:23] 我们是操作系统的架构师
[00:22:23--00:22:24] 在域的许多部分
[00:22:24--00:22:26] 我们自己编程并编写代码
[00:22:26--00:22:28] 有些情况下
[00:22:28--00:22:29] 我们可以用这些技术来制作车车
[00:22:29--00:22:30] 我们会与科技公司合作
[00:22:30--00:22:34] 将他们的技术整合到我们的操作系统中
[00:22:34--00:22:36] 但我们仍然是它的架构师
[00:22:36--00:22:39] 我们通过MBOS的设计
[00:22:39--00:22:42] 确保客户的驾乘体验
[00:22:42--00:22:44] 这就像一种开源哲学
[00:22:44--00:22:47] 我们几乎可以将任何东西整合到其中
[00:22:47--00:22:51] 因此我们在很大程度上控制着我们的数字命运
[00:22:51--00:22:54] 并且将人工智能应用于汽车
[00:22:54--00:22:57] 但我们不会受到自身资源的限制
[00:22:57--00:22:59] 我们可以用我们的资源来制作车车
[00:22:59--00:23:00] 并且邀请任何人来共同开发
[00:23:00--00:23:03] 所以我认为从这个意义上说
[00:23:03--00:23:06] 我们可以实现两全其美
[00:23:06--00:23:09] 特斯拉的垂直整合模式
[00:23:09--00:23:12] 与奔驰的豪华模式截然不同
[00:23:12--00:23:15] 你认为哪一个更适合未来十年
[00:23:15--00:23:19] 没有一刀切的办法
[00:23:19--00:23:20] 在过去
[00:23:20--00:23:21] 供应商只管供应
[00:23:21--00:23:22] 不负责其他
[00:23:22--00:23:24] 你买一个ECU
[00:23:24--00:23:26] 同时也要买一个软件包
[00:23:26--00:23:27] 然后进行集成
[00:23:27--00:23:28] 有的时候
[00:23:28--00:23:28] 我们会有一个软件包
[00:23:29--00:23:31] 你的汽车里可能有100多个ECU
[00:23:31--00:23:34] 如果采用我们的MBOS全新架构
[00:23:34--00:23:36] 就需要增加垂直整合
[00:23:36--00:23:40] 于是我们招了几千名软件工程师
[00:23:40--00:23:43] 在公司内部负责完成这项任务
[00:23:43--00:23:45] 这是汽车智能
[00:23:45--00:23:48] 大脑和中枢神经系统的一个领域
[00:23:48--00:23:52] 我认为汽车制造商
