[00:00:04--00:00:06] 我觉得给通用Editor换个描述方式
[00:02:20--00:02:22] 是本次对话的目的
[00:02:22--00:02:35] 我们接下来做一轮
[00:02:35--00:02:37] Long Contest长文本对话
[00:02:37--00:02:39] 假设你是一个大模型
[00:02:39--00:02:42] 你现在能支持的上下文窗口有多大
[00:02:42--00:02:43] 你看Google和OpenAI
[00:02:43--00:02:45] 现在都能支持的是100万个Token
[00:02:45--00:02:45] 那你呢
[00:02:45--00:02:48] 我觉得人类的整个的生理的特点
[00:02:48--00:02:51] 然后和人工智能是有本质的差别的
[00:02:51--00:02:54] 人类并不擅长处理特别复杂的信息
[00:02:54--00:02:56] 所以呢我们经常讲
[00:02:56--00:02:57] 人类要做伤减
[00:02:57--00:02:58] 而不要去做伤增
[00:02:58--00:03:00] 那我觉得人工智能
[00:03:00--00:03:01] 非常擅长处理够大的信息
[00:03:01--00:03:03] 包括今天预训练的规模
[00:03:03--00:03:05] 这个数据规模已经不是15T了
[00:03:05--00:03:07] 现在已经开始有30T了
[00:03:07--00:03:09] 到最新的拉玛斯这样的
[00:03:09--00:03:10] 所以我说这是一个本质的差异
[00:03:10--00:03:11] 所以从这个角度而言
[00:03:11--00:03:13] 包括人类发明方法论
[00:03:13--00:03:15] 人类使用各种工具
[00:03:15--00:03:17] 都是为了减少能量的消耗
[00:03:17--00:03:19] 因为大脑也要消耗能量的
[00:03:19--00:03:21] 所以我说这是人类的一个特点
[00:03:21--00:03:22] 所以从某种程度上而言
[00:03:22--00:03:25] 人类应该和AI是个非常好的友好关系
[00:03:25--00:03:27] 各自做各自擅长的事情
[00:03:27--00:03:29] 总体来说你是觉得人不像模型
[00:03:29--00:03:31] 人可能像更小的模型
[00:03:31--00:03:33] 我们去读很多书
[00:03:33--00:03:34] 去学习很多知识
[00:03:34--00:03:37] 其实某种程度上也像是预训练
[00:03:37--00:03:39] 我们把这些知识能够变成业务去做
[00:03:39--00:03:41] 然后本身也像推理
[00:03:41--00:03:43] 并通过推理去调用各种工具
[00:03:43--00:03:44] 然后去实现
[00:03:44--00:03:47] 我觉得人类可能像一个更小的模型
[00:03:47--00:03:50] 而且上完了不同的专业的学习之后
[00:03:50--00:03:51] 不同的人进入了不同的领域
[00:03:51--00:03:54] 所以它不是一个巨大的机座大模型
[00:03:54--00:03:55] 对
[00:03:55--00:03:58] 就像今天人工智能也是一样的
[00:03:58--00:04:01] 那处理一些通用信息还很好
[00:04:01--00:04:01] 但一到现在
[00:04:01--00:04:02] 一个专业领域里面
[00:04:02--00:04:05] 往往其实有很多时候明显不如人了
[00:04:05--00:04:06] 因为这个领域里边
[00:04:06--00:04:08] 然后它需要更高质量的数据
[00:04:08--00:04:11] 它需要更专业的COT
[00:04:11--00:04:13] 那我觉得这个其实都是
[00:04:13--00:04:14] 接下来人工智能下一步发展的
[00:04:14--00:04:17] 然后要去解决的挑战和价值所在
[00:04:17--00:04:19] 距离上次的AirTag过去了130天
[00:04:19--00:04:20] 你最大的进步是什么
[00:04:20--00:04:22] 你有成为一个更智能的理想吗
[00:04:22--00:04:24] 这130天
[00:04:24--00:04:27] 我觉得更高兴看到的是整个中国的进步
[00:04:27--00:04:28] 我觉得包括DeepSeek
[00:04:28--00:04:30] 包括签问在内的
[00:04:30--00:04:31] 可以让人们
[00:04:31--00:04:33] 中国的无论是机座模型
[00:04:33--00:04:36] 还是Rezeny的推理的这个模型
[00:04:36--00:04:37] 还是后边的多模态
[00:04:37--00:04:41] 我觉得已经跟美国距离基本上拉近了
[00:04:41--00:04:43] 或者基本上在一个水平线上了
[00:04:43--00:04:44] 而且呢
[00:04:44--00:04:47] 中国的企业做出来这些模型效率更高
[00:04:47--00:04:48] 无论是在训练的层面
[00:04:48--00:04:50] 还是在后边的整个推理层面
[00:04:50--00:04:53] 我们做了很多的深层的工程的
[00:04:53--00:04:55] 这样的一个改造
[00:04:55--00:04:56] 对
[00:04:56--00:04:57] 然后我觉得也让整个的
[00:04:57--00:04:59] 中国的人工智能领域
[00:04:59--00:05:00] 然后其实更有信心
[00:05:00--00:05:01] 包含后边的话
[00:05:01--00:05:04] 我觉得我看到一些比较欣喜的
[00:05:04--00:05:06] 在Agen在上面的一些突破
[00:05:06--00:05:08] 无论是Manus还是G-Spark
[00:05:08--00:05:09] 对
[00:05:09--00:05:11] 我觉得其实这些方面做的都非常的好
[00:05:11--00:05:11] 对
[00:05:11--00:05:13] 我是这个其实看到非常惊喜的
[00:05:13--00:05:14] 我觉得这也树立了我们
[00:05:14--00:05:16] 其实把AI做得更好的这个信心
[00:05:16--00:05:18] 今天大家在讲语言模型语言模型
[00:05:18--00:05:20] 但我还认为语言模型只是世界的
[00:05:20--00:05:21] 一个重要的组成部分
[00:05:21--00:05:22] 但并不是全部
[00:05:22--00:05:25] 我们要想去理解物理世界
[00:05:25--00:05:25] 对
[00:05:25--00:05:27] 然后我们要想让一个终端
[00:05:27--00:05:28] 或者一个机器人
[00:05:28--00:05:30] 能够在物理世界和数字世界里
[00:05:30--00:05:31] 来运行
[00:05:31--00:05:33] 其实要做的工作还有非常多
[00:05:33--00:05:33] 对
[00:05:33--00:05:35] 我觉得这个其实是更加坚信
[00:05:35--00:05:37] 然后这条路走下去是对的
[00:05:37--00:05:39] 那你有变成一个更智能的理想吗
[00:05:39--00:05:42] 我觉得没有那么大的变化
[00:05:42--00:05:44] 然后如果从实际的角度而言
[00:05:44--00:05:44] 对
[00:05:44--00:05:45] 人工智能发展这么好
[00:05:45--00:05:47] 但我每天工作时间并没有减少
[00:05:47--00:05:48] 还是在增加
[00:05:48--00:05:48] 是啊
[00:05:48--00:05:49] 这是为什么
[00:05:49--00:05:51] 身边的所有的这些同事啊
[00:05:51--00:05:52] 朋友啊
[00:05:52--00:05:52] 对
[00:05:52--00:05:54] 然后大家都讲人工智能怎么好
[00:05:54--00:05:54] 人工智能怎么好
[00:05:54--00:05:57] 但大家工作时间并没有减少
[00:05:57--00:05:59] 工作成果也基本上没有什么实质性的改善
[00:05:59--00:06:00] 那我觉得这时候
[00:06:00--00:06:01] 我们得思考一下
[00:06:01--00:06:03] 这样一个新的技术的发展阶段的
[00:06:03--00:06:03] 一个问题
[00:06:03--00:06:06] 那如果其实从今天这种chatbot啊
[00:06:06--00:06:08] 或者这种对话的这种方式
[00:06:08--00:06:10] 包括后来大家普遍也会把
[00:06:10--00:06:13] 整个的resonate推理都用上以后
[00:06:13--00:06:14] 然后能够
[00:06:14--00:06:16] 做一些更长链条的这种思考
[00:06:16--00:06:19] 这和这种推理的任务的时候
[00:06:19--00:06:21] 但是你也能看到
[00:06:21--00:06:22] 它一些这个严重的一个问题
[00:06:22--00:06:25] 就是它大部分人在使用
[00:06:25--00:06:26] 或者说我见的几乎所有人使用
[00:06:26--00:06:29] 其实还是在把它当成一个信息工具来使用
[00:06:29--00:06:30] 对
[00:06:30--00:06:30] 那
[00:06:30--00:06:33] 如果是信息工具的话
[00:06:33--00:06:35] 其实AI作为一个信息工具不是完美的
[00:06:35--00:06:38] 因为它最后一定要给你一个next token
[00:06:38--00:06:40] 一定要给你一个结果
[00:06:40--00:06:43] 而且大家今天使用的时候会先点上联网搜索
[00:06:43--00:06:45] 通过reg做联网的搜索一些索引信息
[00:06:45--00:06:47] 但往往其实索引的信息源
[00:06:47--00:06:49] 就已经是真和不准确了
[00:06:49--00:06:51] 所以最后推理的过程
[00:06:51--00:06:52] 很认真在做推理
[00:06:52--00:06:53] 但是呢
[00:06:53--00:06:55] 你明显都看到这个过程和结果
[00:06:55--00:06:56] 已经开始有问题了
[00:06:56--00:06:58] 所以某种程度而言
[00:06:58--00:07:00] 不对这套机制进行一个改造的话
[00:07:00--00:07:01] 它某种程度而言是在做商增
[00:07:01--00:07:04] 在增加大量的无效信息
[00:07:04--00:07:05] 无效结果
[00:07:05--00:07:06] 无效的结论
[00:07:06--00:07:08] 而且这个世界上充满了幻觉
[00:07:08--00:07:09] 遍布了有幻觉的信息
[00:07:09--00:07:10] 对
[00:07:10--00:07:11] 然后包含你看非常有意思
[00:07:11--00:07:12] 比如说
[00:07:12--00:07:14] 其实DeepSeek刚推出的时候
[00:07:14--00:07:17] 我们能看到很多人会把DeepSeek的一个推理过程
[00:07:17--00:07:19] 然后转成了图片
[00:07:19--00:07:19] 放在小红书上
[00:07:19--00:07:20] 很多人去看
[00:07:20--00:07:20] 对
[00:07:20--00:07:22] 那今天没人发这些东西了
[00:07:22--00:07:23] 也发了没任何人看了
[00:07:23--00:07:25] 因为这些东西都是千篇一律的
[00:07:25--00:07:27] 那我觉得这是一个很大的挑战
[00:07:27--00:07:27] 所以呢
[00:07:27--00:07:29] 我就在思考一个问题
[00:07:29--00:07:29] 因为
[00:07:29--00:07:31] 还是要站在真正的用户的价值的角度
[00:07:31--00:07:34] 如果大家在拼命的使用AI
[00:07:34--00:07:35] 大家在AI做投资
[00:07:35--00:07:37] 然后我的工作时长并没有减少
[00:07:37--00:07:39] 我的工作结果也没有变好
[00:07:39--00:07:40] 那这个问题到底在哪里
[00:07:40--00:07:41] 对
[00:07:41--00:07:42] 所以我觉得这是
[00:07:42--00:07:43] 也是过去几个月
[00:07:43--00:07:44] 我跟很多人在聊啊
[00:07:44--00:07:46] 在思考我们内部的讨论
[00:07:46--00:07:47] 非常多的一个问题
[00:07:47--00:07:47] 所以呢
[00:07:47--00:07:48] 我觉得很多时候
[00:07:48--00:07:49] 不要把东西缠绕到一起
[00:07:49--00:07:50] 我们可以先做一个分类
[00:07:50--00:07:51] 对吧
[00:07:51--00:07:52] 因为人类历史上
[00:07:52--00:07:53] 也会有类似这些的分类
[00:07:53--00:07:55] 那今天的话
[00:07:55--00:07:56] 通过一个对话的方式
[00:07:56--00:07:58] 无论文本多么长
[00:07:58--00:07:59] 其实它都是个信息
[00:07:59--00:08:01] 然后我觉得信息工具的话
[00:08:01--00:08:02] 对大家而言
[00:08:02--00:08:05] 更重要的其实是一个参考作用
[00:08:05--00:08:06] 为什么呢
[00:08:06--00:08:07] 因为你拿出了这个
[00:08:07--00:08:09] 给你一个股票投资的结论
[00:08:09--00:08:11] 或者给你一个职业生涯决策的结论
[00:08:11--00:08:12] 或者给你一个工作的结论
[00:08:12--00:08:14] 但是你真正在工作的时候
[00:08:14--00:08:16] 你每天八小时的
[00:08:16--00:08:17] 这个工作的时候
[00:08:17--00:08:19] 你还是优先会去完成
[00:08:19--00:08:20] 公司给你的KPI
[00:08:20--00:08:22] 公司给你的OKR
[00:08:22--00:08:24] 那其实如果你没有改变这些东西
[00:08:24--00:08:25] 其实其他的东西
[00:08:25--00:08:27] 并没有改变
[00:08:27--00:08:28] 它的整个工作效率和工作成果
[00:08:28--00:08:29] 嗯
[00:08:29--00:08:29] 对吧
[00:08:29--00:08:30] 只是给了一个建议
[00:08:30--00:08:32] 或者在脑子里轰转了一圈
[00:08:32--00:08:35] 那所以我这是信息工具一个状况
[00:08:35--00:08:36] 那再往下呢
[00:08:36--00:08:37] 其实AI变好了以后
[00:08:37--00:08:39] 它会变成一些辅助工具
[00:08:39--00:08:41] 比如我们今天做的辅助驾驶
[00:08:41--00:08:42] 大家在我们车上
[00:08:42--00:08:44] 在用人工智能语音的方式
[00:08:44--00:08:45] 来进行导航
[00:08:45--00:08:47] 来查找美团
[00:08:47--00:08:48] 来调取音乐
[00:08:48--00:08:50] 它会让我们的效率更高
[00:08:50--00:08:52] 但它会仍然离不开我们
[00:08:52--00:08:53] 所以呢这时候
[00:08:53--00:08:54] 这种角色比较像什么呢
[00:08:54--00:08:56] 它确实比原来的使用体验会更好了
[00:08:56--00:08:57] 它是个辅助的一个工具
[00:08:57--00:08:58] 嗯
[00:08:58--00:08:58] 那我觉得
[00:08:58--00:09:00] 什么时候才能真正改善
[00:09:00--00:09:01] 我们的工作的成果
[00:09:01--00:09:03] 以及减少我们的工作市场
[00:09:03--00:09:04] 我觉得它必须变成生产工具
[00:09:04--00:09:05] 嗯
[00:09:05--00:09:06] 而且呢我自己认为
[00:09:06--00:09:09] agent最重要的评判条件
[00:09:09--00:09:10] 就是它是否是个生产工具
[00:09:10--00:09:11] 嗯
[00:09:11--00:09:13] 它是否真正能替代
[00:09:13--00:09:15] 我去完成专业的工作
[00:09:15--00:09:18] 它是否真的在产生有效的生产力
[00:09:18--00:09:18] 嗯
[00:09:18--00:09:21] 或者它是否真的在解决
[00:09:21--00:09:24] 我工作中那最重要的八小时的时间
[00:09:24--00:09:25] 对
[00:09:25--00:09:26] 我觉得这个其实是我认为
[00:09:26--00:09:28] 接下来对agent最重要的一个衡量
[00:09:28--00:09:28] 也是
[00:09:28--00:09:29] agent的意义所在
[00:09:29--00:09:31] 这是你对于工具的三个分级
[00:09:31--00:09:32] 信息工具
[00:09:32--00:09:33] 辅助工具和生产工具
[00:09:33--00:09:34] 对
[00:09:34--00:09:35] 对
[00:09:35--00:09:36] 我觉得人工智能变成生产工具
[00:09:36--00:09:38] 然后才是
[00:09:38--00:09:39] 真正人工智能爆发的时刻
[00:09:39--00:09:41] 我也有这种感觉啊
[00:09:41--00:09:42] 就是AI来的以后越来越卷
[00:09:42--00:09:43] 嗯
[00:09:43--00:09:45] 就是大家的时间全部都在加班
[00:09:45--00:09:46] 嗯
[00:09:46--00:09:47] 你觉得到今天为止
[00:09:47--00:09:49] 没有任何一个AI产品满足了
[00:09:49--00:09:51] 这个成为生产工具的基础条件
[00:09:51--00:09:52] 对吗
[00:09:52--00:09:54] 嗯
[00:09:54--00:09:55] 有一个
[00:09:55--00:09:57] 两个产品
[00:09:57--00:09:58] 就是它可能已经
[00:09:58--00:09:59] 挨上了
[00:09:59--00:10:00] 生产工具的边没有
[00:10:00--00:10:03] 我经常问我们的同事
[00:10:03--00:10:04] 对
[00:10:04--00:10:05] 我说一个信息工具
[00:10:05--00:10:07] 宝宝你并不愿意付钱
[00:10:07--00:10:08] 嗯
[00:10:08--00:10:08] 一个辅助工具
[00:10:08--00:10:10] 你认为是一个产品应该带的
[00:10:10--00:10:11] 对吧
[00:10:11--00:10:11] 因为
[00:10:11--00:10:13] 辅助工具就是只是提升了
[00:10:13--00:10:15] 现有的产品的竞争力
[00:10:15--00:10:17] 生产工具一个很重要的衡量特点
[00:10:17--00:10:18] 就是
[00:10:18--00:10:20] 你愿意为它付钱
[00:10:20--00:10:22] 我觉得这才是生产工具
[00:10:22--00:10:23] 反正我目前
[00:10:23--00:10:24] 从同事身边
[00:10:24--00:10:26] 听到的真正的有效的
[00:10:26--00:10:29] 他们认为算一个初级的生产工具的
[00:10:29--00:10:29] 一个是
[00:10:29--00:10:30] Cursor
[00:10:30--00:10:30] 嗯
[00:10:30--00:10:31] 然后一个是
[00:10:31--00:10:32] Opai的Deep Research
[00:10:32--00:10:33] 嗯
[00:10:33--00:10:34] 然后Cursor主要是我们的
[00:10:34--00:10:35] 编程的同事们都在使用
[00:10:35--00:10:38] 然后Deep Research是我们的商分
[00:10:38--00:10:40] 和我们的战略团队在使用
[00:10:40--00:10:41] 他们是自己付费的
[00:10:41--00:10:43] 并没有花公司的钱
[00:10:43--00:10:44] 就这很有意思啊
[00:10:44--00:10:45] 就是为什么到今天
[00:10:45--00:10:46] 就是所有的AI产品
[00:10:46--00:10:48] 还没有成为生产工具呢
[00:10:48--00:10:49] 你觉得是因为智能水平不够吗
[00:10:49--00:10:50] 我觉得生产工具的话
[00:10:50--00:10:51] 比如说
[00:10:51--00:10:52] 生产工具的要素是什么呢
[00:10:52--00:10:54] 怎么样能够成为一个生产工具
[00:10:54--00:10:56] 我是必须有action
[00:10:56--00:10:58] 不能只是知
[00:10:58--00:10:58] 必须行
[00:10:58--00:10:59] 嗯
[00:10:59--00:11:00] 对
[00:11:00--00:11:01] 然后知行合一才可以
[00:11:01--00:11:03] 就是今天你用
[00:11:03--00:11:04] O2 O3
[00:11:04--00:11:05] 多么聪明
[00:11:05--00:11:06] 然后你用DeepSeq R1
[00:11:06--00:11:08] 这些都多么聪明
[00:11:08--00:11:09] 但其实它并没有真正的去行动
[00:11:09--00:11:11] 它只是给出来你策略
[00:11:11--00:11:13] 并做策略的推演
[00:11:13--00:11:14] 我工作的时候
[00:11:14--00:11:16] 我还是要通过操作电脑
[00:11:16--00:11:17] 然后去处理很多工作
[00:11:17--00:11:19] 或者通过一个物理世界东西
[00:11:19--00:11:19] 去处理工作
[00:11:19--00:11:20] 嗯
[00:11:20--00:11:21] 所以我觉得它必须得有行动
[00:11:21--00:11:22] 行动才能产生价值
[00:11:22--00:11:23] 对
[00:11:23--00:11:24] 所以呢像Mindless
[00:11:24--00:11:26] 其实它就已经在行动上
[00:11:26--00:11:27] 做了很多的工作了
[00:11:27--00:11:28] 嗯
[00:11:28--00:11:28] 其实包括自动驾驶
[00:11:28--00:11:29] 是控制一个机器的
[00:11:29--00:11:29] 嗯
[00:11:29--00:11:30] 在物理世界
[00:11:30--00:11:31] 然后去行动
[00:11:31--00:11:33] 我觉得必须得能够行动
[00:11:33--00:11:34] 然后才可以
[00:11:34--00:11:35] 你怎么看Mindless这个产品
[00:11:35--00:11:38] 我自己觉得它是往生产工具
[00:11:38--00:11:39] 对
[00:11:39--00:11:41] 然后就是从整个产品的创意上
[00:11:41--00:11:43] 是往生产工具走的最大的一步
[00:11:43--00:11:44] 对
[00:11:44--00:11:46] 然后包括他们通过建虚拟机
[00:11:46--00:11:46] 包括去调用工具
[00:11:46--00:11:48] 比如今天有一个挺大的一个问题
[00:11:48--00:11:51] 就是至少很长一段时间
[00:11:51--00:11:52] 所有的模型公司都认为
[00:11:52--00:11:53] 其实不需要软件
[00:11:53--00:11:53] 不需要工具
[00:11:53--00:11:54] 嗯
[00:11:54--00:11:54] 对
[00:11:54--00:11:56] 然后做模型都能够去替代掉
[00:11:56--00:11:56] 对
[00:11:56--00:11:58] 那我拿人举个例子
[00:11:58--00:11:59] 你比我聪明十倍
[00:11:59--00:11:59] 然后
[00:11:59--00:12:00] 你拿勺挖一个坑
[00:12:00--00:12:01] 嗯
[00:12:01--00:12:02] 我拿铲子去挖一个坑
[00:12:02--00:12:03] 对
[00:12:03--00:12:04] 我再笨
[00:12:04--00:12:04] 我效率都比你高
[00:12:04--00:12:06] 我要是比你聪明十倍
[00:12:06--00:12:08] 我不会拿手去挖呀
[00:12:08--00:12:09] 但是因为你没有工具
[00:12:09--00:12:10] 而且呢
[00:12:10--00:12:11] 工具意味着
[00:12:11--00:12:12] 其实更高的确定性
[00:12:12--00:12:14] 然后更低的这种能量啊
[00:12:14--00:12:16] 和头库的一个消耗
[00:12:16--00:12:16] 嗯
[00:12:16--00:12:17] 很多时候
[00:12:17--00:12:18] 就这两个并不冲突
[00:12:18--00:12:19] 就更好的大脑
[00:12:19--00:12:21] 和使用更好的工具并不冲突
[00:12:21--00:12:22] 嗯
[00:12:22--00:12:23] 而且由于脑子变强以后
[00:12:23--00:12:24] 工具可以变得更强
[00:12:24--00:12:25] 其实Mindless
[00:12:25--00:12:27] 从调用工具的角度
[00:12:27--00:12:28] 去完成各种工作
[00:12:28--00:12:29] 比如分析特斯拉股票
[00:12:29--00:12:31] 去浏览SEC的网站
[00:12:31--00:12:33] 去浏览特斯拉的投资者的
[00:12:33--00:12:33] 关系的网站
[00:12:33--00:12:36] 直接去阅读最top的
[00:12:36--00:12:37] 各个投行的分析师
[00:12:37--00:12:39] 关注特斯拉这些人的分析报告
[00:12:39--00:12:41] 而不是只是简单通一个reg
[00:12:41--00:12:43] 然后就作为信息的索引
[00:12:43--00:12:45] 我觉得这个更像是真正的
[00:12:45--00:12:46] 专业的工作人员和生产工具
[00:12:46--00:12:47] 要做的一个方式
[00:12:47--00:12:47] 嗯
[00:12:47--00:12:49] 只是他们作为一个通用agent
[00:12:49--00:12:50] 覆盖的面太广了
[00:12:50--00:12:51] 这就是个很大的挑战
[00:12:51--00:12:51] 是
[00:12:51--00:12:53] 为什么这样的一个agent
[00:12:53--00:12:54] 可能是一个创业公司做出来的
[00:12:54--00:12:55] 你有想过吗
[00:12:55--00:12:57] 我个人感觉哈
[00:12:57--00:12:59] 就是如果在一个新技术产生的时候
[00:12:59--00:13:01] 反而会造成
[00:13:01--00:13:03] 过去的这些大公司
[00:13:03--00:13:05] 或者创业公司里的这些大公司
[00:13:05--00:13:07] 会把分工分的太精细了
[00:13:07--00:13:09] 但往往其实产品是
[00:13:09--00:13:11] 多个东西的组合
[00:13:11--00:13:13] 才能变成一个好的产品
[00:13:13--00:13:13] 嗯
[00:13:13--00:13:15] 那如果模型的人认为
[00:13:15--00:13:16] 我就要做好模型
[00:13:16--00:13:17] 我要用模型解决一些问题
[00:13:17--00:13:18] 一切问题
[00:13:18--00:13:19] 对吧
[00:13:19--00:13:20] 那其实这个就会变成
[00:13:20--00:13:21] 非常大的一个挑战
[00:13:21--00:13:23] 我刚才跟你们聊的是
[00:13:23--00:13:25] 就是过去130天理想的进步是什么
[00:13:25--00:13:27] 那你回答了我很多
[00:13:27--00:13:27] 就是
[00:13:27--00:13:28] 关于你的最新的思考
[00:13:28--00:13:30] 那你觉得过去130天理想
[00:13:30--00:13:32] 这家公司最大的进步是什么呢
[00:13:32--00:13:34] 它有成为一个更智能的组织吗
[00:13:34--00:13:37] 我觉得我们没有那么快的变化
[00:13:37--00:13:38] 对
[00:13:38--00:13:39] 就刚刚才讲的
[00:13:39--00:13:41] 其实这是一些重要的一些突破
[00:13:41--00:13:42] 然后我们要想
[00:13:42--00:13:43] 我们作为一个
[00:13:43--00:13:44] 其实三万多人的企业
[00:13:44--00:13:47] 那我们如果想要发生
[00:13:47--00:13:48] 很多重要的一个变化
[00:13:48--00:13:50] 还是得围绕真正的用户价值
[00:13:50--00:13:51] 能够发生的变化
[00:13:51--00:13:52] 去产生变化
[00:13:52--00:13:53] 不能只是说
[00:13:53--00:13:54] 技术发生了一些变化
[00:13:54--00:13:56] 我就去改变我的组织
[00:13:56--00:13:58] 我自己来看
[00:13:58--00:13:59] 所有的变化之间的关系
[00:13:59--00:14:00] 第一
[00:14:00--00:14:00] 我会把什么
[00:14:00--00:14:02] 把规模放到一个中心
[00:14:02--00:14:03] 对
[00:14:03--00:14:04] 因为规模是个确定性的
[00:14:04--00:14:05] 我做1000亿收入
[00:14:05--00:14:06] 还做2000亿的收入
[00:14:06--00:14:06] 第二呢
[00:14:06--00:14:07] 是在围绕这个规模
[00:14:07--00:14:09] 外边其实有三个动态的变量
[00:14:09--00:14:11] 我觉得一个是
[00:14:11--00:14:12] 用户需求会发生的变化
[00:14:12--00:14:14] 然后我觉得一个是
[00:14:14--00:14:15] 技术产品发生的变化
[00:14:15--00:14:17] 然后一个是组织发生的变化
[00:14:17--00:14:18] 然后这三个之间的变化
[00:14:18--00:14:19] 我会相互诊断
[00:14:19--00:14:22] 如果只是技术产品发生变化
[00:14:22--00:14:23] 但用户需求没发生变化
[00:14:23--00:14:24] 对
[00:14:24--00:14:27] 其实我并不会上来就去调组织的
[00:14:27--00:14:28] 很多时候是当我看到
[00:14:28--00:14:30] 用户需求在发生变化的时候
[00:14:30--00:14:32] 产品技术的变化
[00:14:32--00:14:32] 和用户需求变化
[00:14:32--00:14:33] 产生了结合的时候
[00:14:33--00:14:35] 组织变化就必须跟上
[00:14:35--00:14:37] 所以我说这是我们来看的
[00:14:37--00:14:38] 否则我们不能因为
[00:14:38--00:14:40] 任何今天出了个东西
[00:14:40--00:14:40] 我们就调整一下
[00:14:40--00:14:41] 明天出的东西调整一下
[00:14:41--00:14:42] 这肯定是有问题的
[00:14:42--00:14:44] 所以过去130年
[00:14:44--00:14:45] 其实最大的变化
[00:14:45--00:14:46] 是外部的环境
[00:14:46--00:14:46] 对
[00:14:46--00:14:47] 过去国际环境
[00:14:47--00:14:48] 在发生重大的变化
[00:14:48--00:14:50] 本身的技术也在发生变化
[00:14:50--00:14:51] 但技术最大的变化
[00:14:51--00:14:53] 还是中国带来的变化
[00:14:53--00:14:54] 就中国在人工智能方面
[00:14:54--00:14:55] 带来的变化
[00:14:55--00:14:57] 然后美国的变化
[00:14:57--00:14:58] 反而没那么大
[00:14:58--00:15:01] 你从DeepSeek上学到了什么
[00:15:01--00:15:04] 我觉得DeepSeek
[00:15:04--00:15:06] 我能学到最好的一个方式
[00:15:06--00:15:07] DeepSeek运用了
[00:15:07--00:15:08] 人类的最佳实践
[00:15:08--00:15:10] 它极简地运用了
[00:15:10--00:15:11] 人类的最佳实践
[00:15:11--00:15:12] 比如说其实
[00:15:12--00:15:14] 它在做DeepSeek V3的时候
[00:15:14--00:15:17] 其实V3是一个MOE的
[00:15:17--00:15:19] 6710亿的一个模型
[00:15:19--00:15:20] 对啊
