[00:00:00--00:00:02] 就是蒋曾国藩从二十多岁
[00:01:28--00:01:30] 这也许是某种信号
[00:01:30--00:01:32] 高继扬告诉我
[00:01:32--00:01:33] 做机器人行业
[00:01:33--00:01:35] 就是一个链条极长的行业
[00:01:35--00:01:37] 有时候你就是要把你的头
[00:01:37--00:01:38] 伸到图里
[00:01:38--00:01:41] 那接下来就是我对
[00:01:41--00:01:43] 星海图创始人高继扬的访谈
[00:01:43--00:01:50] Hello继扬
[00:01:50--00:01:51] 你的实际年龄好像比你
[00:01:51--00:01:54] 真实看起来要年轻很多
[00:01:54--00:01:56] 我一直默认你是80后
[00:01:56--00:01:57] 直到我们见面之前
[00:01:57--00:01:59] 我看你资料才发现你是92的
[00:01:59--00:02:00] 所以你是经历了什么
[00:02:00--00:02:02] 同龄人没有经历过的事情吗
[00:02:02--00:02:04] 你说的这个实际年龄
[00:02:04--00:02:06] 指的是看上去
[00:02:06--00:02:08] 比其实要老一些
[00:02:08--00:02:09] 是吧 还是怎么样
[00:02:09--00:02:12] 对 看上去比实际生命年龄要老一些
[00:02:12--00:02:14] 我觉得这可能是
[00:02:14--00:02:15] 也跟创业有关系
[00:02:15--00:02:19] 创业确实需要一个人
[00:02:19--00:02:20] 更早的进入到一个
[00:02:20--00:02:21] 我觉得成熟的一个状态吧
[00:02:21--00:02:22] 而且是各方各面的
[00:02:22--00:02:25] 因为每天可能也跟不同类型的人打交道
[00:02:25--00:02:27] 然后需要这个人整体来说
[00:02:27--00:02:30] 是比较符合的一个状态
[00:02:30--00:02:32] 我觉得可能跟这个创业有关系
[00:02:32--00:02:35] 再加上可能我这个面相也就是偏老一些吧
[00:02:35--00:02:37] 你是一个什么样的小孩从小
[00:02:37--00:02:38] 你是怎么长大的
[00:02:38--00:02:43] 小时候我觉得就比较正常吧
[00:02:43--00:02:43] 比较正常
[00:02:43--00:02:46] 小学的时候学习成绩还可以
[00:02:46--00:02:48] 然后呢可能前几名
[00:02:48--00:02:50] 前五名但也不是那个最好的
[00:02:50--00:02:50] 年级前五
[00:02:50--00:02:52] 不是班级前五吧
[00:02:52--00:02:54] 班级前五或者前十这个样子
[00:02:54--00:02:57] 然后我那小学也不是那种
[00:02:57--00:02:58] 就是特别好的小学吧
[00:02:58--00:02:59] 就是正常好
[00:02:59--00:03:00] 正常好的小学
[00:03:00--00:03:01] 在石家庄
[00:03:01--00:03:02] 在石家庄
[00:03:02--00:03:05] 对 我是河北石家庄人
[00:03:05--00:03:06] 就是一个正常的小学
[00:03:06--00:03:08] 然后呢反正就正常的上学
[00:03:08--00:03:10] 然后小学的时候呢
[00:03:10--00:03:11] 学过一段时间的
[00:03:11--00:03:13] 就是那个时候反正都上什么奥赛啊
[00:03:13--00:03:15] 数学奥林匹克嘛
[00:03:15--00:03:16] 然后学了一段时间
[00:03:16--00:03:18] 但其实学的也不是特别好
[00:03:18--00:03:21] 所以其实我的小学还过得比较轻松吧
[00:03:21--00:03:23] 就是后来也就不学那些了
[00:03:23--00:03:24] 就正常上课
[00:03:24--00:03:27] 然后等到六年级的时候
[00:03:27--00:03:30] 就是突然发现还是得考虑初中的这个问题
[00:03:30--00:03:33] 然后当时我父母也比较
[00:03:33--00:03:35] 就是开始关注这个问题了
[00:03:35--00:03:37] 五年级六年级的时候
[00:03:37--00:03:39] 然后所以那个时候就是努力了一段时间
[00:03:39--00:03:43] 然后尤其是我记得就是六年级那暑假
[00:03:43--00:03:46] 这个是我应该是第一次用功
[00:03:46--00:03:48] 六年级的暑假不都毕业了吗
[00:03:48--00:03:52] 对 因为我要准备就是初一的那个分班考试
[00:03:52--00:03:55] 就想上那个重点班而不是普通班
[00:03:55--00:03:59] 对 所以那个我觉得是我考试生涯当中第一次还不错
[00:03:59--00:04:02] 应该是当时考了年级第三名
[00:04:02--00:04:05] 然后后来就初一初二
[00:04:05--00:04:09] 就又比较正常吧 比较普通
[00:04:09--00:04:12] 然后到初三那会儿
[00:04:12--00:04:14] 就又开始好好学习
[00:04:14--00:04:16] 就初一初二反正成绩也还行吧
[00:04:16--00:04:18] 几十名 年级几十名的样子
[00:04:18--00:04:20] 你在石家庄哪个学校
[00:04:20--00:04:22] 初中是二十七中
[00:04:22--00:04:24] 然后小学是玉东小学
[00:04:24--00:04:26] 我高中还不错
[00:04:26--00:04:28] 高中我是那个石家庄二中
[00:04:28--00:04:30] 然后是那个生理科实验班
[00:04:30--00:04:33] 也正是因为考上这个班了
[00:04:33--00:04:37] 所以后面才有机会学这个竞赛
[00:04:37--00:04:38] 就是我是学物理竞赛嘛
[00:04:38--00:04:40] 哦 你是高中才竞赛的
[00:04:40--00:04:42] 对 我是高中开始学物理竞赛
[00:04:42--00:04:44] 然后学物理竞赛
[00:04:44--00:04:47] 然后当时也是尝试学了一下其他几门
[00:04:47--00:04:50] 发现这个还是物理竞赛感觉学的明白一些
[00:04:50--00:04:53] 然后所以高一高二就是在学物理竞赛
[00:04:53--00:04:55] 就是正常的文化课
[00:04:55--00:04:56] 我们那学校就是这样
[00:04:56--00:04:58] 就是你要是选择物理竞赛
[00:04:58--00:05:00] 正常的那个课程就可以少上一些
[00:05:00--00:05:03] 嗯 然后所以我就是后来就是
[00:05:03--00:05:05] 就是没有高考就是竞赛
[00:05:05--00:05:07] 物理竞赛保送上清华
[00:05:07--00:05:09] 哦 你是竞赛的能力很强
[00:05:09--00:05:10] 是有天赋吗
[00:05:10--00:05:11] 我觉得不是
[00:05:11--00:05:14] 我觉得我见过真正有天赋的人
[00:05:14--00:05:16] 然后跟真正有天赋的人比
[00:05:16--00:05:18] 我觉得我主要是靠勤奋
[00:05:18--00:05:19] 靠努力
[00:05:19--00:05:21] 然后物理竞赛其实也
[00:05:21--00:05:23] 我觉得我也不笨啊首先
[00:05:23--00:05:26] 但确实是有的时候解题啊这方面的
[00:05:26--00:05:29] 有些同学就是能够想到
[00:05:29--00:05:30] 那个解法
[00:05:30--00:05:32] 然后我可能就是想不到
[00:05:32--00:05:35] 那我的办法呢反正就是说
[00:05:35--00:05:36] 这个所以从那时候开始练
[00:05:36--00:05:37] 就归纳总结
[00:05:37--00:05:40] 然后呢把不同的这个题型
[00:05:40--00:05:41] 对吧
[00:05:41--00:05:42] 然后从那时候开始
[00:05:42--00:05:43] 就开始定设到什么样的考点
[00:05:43--00:05:44] 开始归纳
[00:05:44--00:05:46] 然后呢就是就是靠勤奋吧
[00:05:46--00:05:47] 所以其实我最后
[00:05:47--00:05:49] 我觉得当时我运气也不错
[00:05:49--00:05:51] 因为那个物理竞赛在这样
[00:05:51--00:05:53] 它是省一等奖的话
[00:05:53--00:05:55] 你就有保送资格
[00:05:55--00:05:56] 然后但是呢
[00:05:56--00:05:58] 你得参加那个当时叫保送生考试
[00:05:58--00:06:00] 那保送生考试又要
[00:06:00--00:06:01] 又要把什么数学啊
[00:06:01--00:06:02] 什么英语啊
[00:06:02--00:06:03] 语文啊
[00:06:03--00:06:04] 这些全考一遍
[00:06:04--00:06:06] 对 然后我呢就比较幸运
[00:06:06--00:06:07] 就正好进了省队
[00:06:07--00:06:10] 然后进了省队之后呢去参加全国赛
[00:06:10--00:06:11] 然后在全国赛呢
[00:06:11--00:06:13] 也也不是特别好吧
[00:06:13--00:06:14] 就是不是全国一等奖
[00:06:14--00:06:15] 我正好全国二等奖
[00:06:15--00:06:18] 然后那年的清华反正全国二等奖
[00:06:18--00:06:20] 也是让你可以挑专业的
[00:06:20--00:06:23] 所以当时我们那年是在厦门
[00:06:23--00:06:24] 当时我记得
[00:06:24--00:06:27] 2010年的
[00:06:27--00:06:30] 11月份应该是
[00:06:30--00:06:31] 2010年11月份
[00:06:31--00:06:33] 当时在厦门考了两三天
[00:06:33--00:06:35] 然后考试的最后一天
[00:06:35--00:06:37] 我现在都还记得
[00:06:37--00:06:39] 那个清华招生的老师
[00:06:39--00:06:40] 因为大家都记得
[00:06:40--00:06:42] 他都在一个宾馆里面住着
[00:06:42--00:06:45] 然后他就直接给宾馆那个房间打电话
[00:06:45--00:06:48] 说通知你这房间里边谁谁谁
[00:06:48--00:06:50] 去哪个房间
[00:06:50--00:06:52] 然后当时就我被通知到了
[00:06:52--00:06:53] 然后一去那边
[00:06:53--00:06:56] 然后就可能有几十个人在那边排着队
[00:06:56--00:06:57] 然后排队干什么呢
[00:06:57--00:06:59] 就是问你俩问题
[00:06:59--00:07:02] 你现在反正有这个机会
[00:07:02--00:07:04] 你要不要上清华
[00:07:04--00:07:06] 要上清华你先选个专业
[00:07:06--00:07:09] 然后当时我就是选了电子工程
[00:07:09--00:07:10] 电子系
[00:07:10--00:07:12] 为什么当时选这个专业
[00:07:12--00:07:14] 当时大家有什么认知吗
[00:07:14--00:07:17] 当时就是觉得做芯片这个事
[00:07:17--00:07:19] 是可能是有前途的
[00:07:19--00:07:21] 所以当时去电子系
[00:07:21--00:07:23] 因为电子系是做芯片的
[00:07:23--00:07:24] 那个集中电路
[00:07:24--00:07:26] 所以就往这个方向
[00:07:26--00:07:28] 但当时其实也没有
[00:07:28--00:07:30] 特别特别好的思考
[00:07:30--00:07:33] 但是知道这个东西应该是有前途的
[00:07:33--00:07:34] 方向没问题
[00:07:34--00:07:37] 然后我就写了电子系
[00:07:37--00:07:38] 然后电子系也是
[00:07:38--00:07:39] 也没错
[00:07:39--00:07:41] 也是清华很好的系
[00:07:41--00:07:42] 清华第一大系
[00:07:42--00:07:43] 然后那个
[00:07:43--00:07:46] 可能摇板可能更好一些吧
[00:07:46--00:07:49] 然后对人的这个要求会更高一些
[00:07:49--00:07:50] 电子系其实
[00:07:50--00:07:53] 电子系也都还挺不错的了
[00:07:53--00:07:55] 你当时属于很勤奋的
[00:07:55--00:07:56] 你是有多勤奋
[00:07:56--00:07:58] 你是显著比其他人更勤奋
[00:07:58--00:08:00] 我是当我发现我需要勤奋的时候
[00:08:00--00:08:02] 我是非常勤奋的
[00:08:02--00:08:03] 然后但是
[00:08:03--00:08:04] 当不需要的时候就不勤奋
[00:08:04--00:08:05] 当不需要的时候
[00:08:05--00:08:06] 对我也不是很勤奋
[00:08:06--00:08:08] 所以我感觉你的人生好像是
[00:08:08--00:08:10] 意识到这个时间段对你很重要
[00:08:10--00:08:11] 然后你就会突击一下
[00:08:11--00:08:13] 然后你意识到这一段可能
[00:08:13--00:08:14] 我轻松也没事
[00:08:14--00:08:15] 你也会放轻松
[00:08:15--00:08:16] 所以你是一段一段的是不是
[00:08:16--00:08:18] 对至少我觉得上大学之前吧
[00:08:18--00:08:19] 是这样的
[00:08:19--00:08:22] 就上大学之后呢也有过这样的
[00:08:22--00:08:24] 然后但是大学毕业之后
[00:08:24--00:08:25] 我觉得我就
[00:08:25--00:08:27] 就是就变了一个状态
[00:08:27--00:08:29] 就是一直就保持比较勤奋的状态了
[00:08:29--00:08:30] 为什么
[00:08:30--00:08:31] 目标感更强了吧
[00:08:31--00:08:33] 我觉得上大学那会儿
[00:08:33--00:08:34] 刚上大学
[00:08:34--00:08:37] 其实就开始想就是说未来
[00:08:37--00:08:39] 要干点啥嘛
[00:08:39--00:08:41] 然后我忘了是什么大二还是大三嘛
[00:08:41--00:08:42] 反正想好
[00:08:42--00:08:43] 就是还是要创业
[00:08:43--00:08:45] 我那时候就确定你觉得要创业
[00:08:45--00:08:48] 对那时候我就想好是要创业
[00:08:48--00:08:50] 那时候怎么看当时的创业环境
[00:08:50--00:08:52] 你当时有试水什么的东西吗
[00:08:52--00:08:53] 没有
[00:08:53--00:08:56] 当时是参加过一些就是学校里面的
[00:08:56--00:08:57] 什么科创的这种比赛
[00:08:57--00:08:58] 挑战杯什么之类的
[00:08:58--00:09:00] 是那种就是科创类的竞赛
[00:09:00--00:09:02] 就是反正你有一个好的想法
[00:09:02--00:09:03] 然后你把它实现出来
[00:09:03--00:09:05] 就是科创类的
[00:09:05--00:09:07] 然后但是没有这个
[00:09:07--00:09:08] 你要做什么
[00:09:08--00:09:10] 就是可能事实上的创业的这种动作吧
[00:09:10--00:09:12] 然后当时我上大学那会儿
[00:09:12--00:09:16] 是2011年到15年这个时间段嘛
[00:09:16--00:09:19] 然后就发现就是那个会儿
[00:09:19--00:09:21] 最火的是就是移动互联网
[00:09:21--00:09:22] 对
[00:09:22--00:09:25] 这块我记得就是15年那会儿就是外卖
[00:09:25--00:09:27] 然后之前是11年那会儿
[00:09:27--00:09:28] 可能是校内网
[00:09:28--00:09:29] 对
[00:09:29--00:09:30] 然后中间有一些什么
[00:09:30--00:09:32] 那个打车呀什么之类的
[00:09:32--00:09:33] 对
[00:09:33--00:09:34] 然后后面就是网站车
[00:09:34--00:09:35] 到一轮的一切
[00:09:35--00:09:36] 对对对是的
[00:09:36--00:09:37] 然后我当时也感觉
[00:09:37--00:09:39] 就是哎呀这事挺厉害的
[00:09:39--00:09:41] 但我觉得跟我好像没啥关系
[00:09:41--00:09:43] 对那时候就隐约感觉到
[00:09:43--00:09:45] 这个就是大机会
[00:09:45--00:09:46] 然后但是跟我没关系
[00:09:46--00:09:48] 为什么跟你没关系
[00:09:48--00:09:49] 我太年轻了
[00:09:49--00:09:50] 然后我这个啥也不懂
[00:09:50--00:09:51] 啥也不会
[00:09:51--00:09:54] 然后现在做这件事的人
[00:09:54--00:09:57] 都是可能20多岁30来岁的人
[00:09:57--00:09:59] 可能是现在的
[00:09:59--00:10:01] 就当时那波的主力的创业者嘛
[00:10:01--00:10:03] 那时候最红的创业者
[00:10:03--00:10:05] 90后创业者是戴威
[00:10:05--00:10:06] 是
[00:10:06--00:10:07] 1617了
[00:10:07--00:10:08] 是的
[00:10:08--00:10:10] 对对当时就开始读博了
[00:10:10--00:10:14] 我记得我读本科那会主要就是
[00:10:14--00:10:15] 王兴
[00:10:15--00:10:16] 星哥
[00:10:16--00:10:17] 还有程维
[00:10:17--00:10:19] 他们这一波就是
[00:10:19--00:10:20] 对我觉得
[00:10:20--00:10:21] 对我就感觉
[00:10:21--00:10:23] 这个应该不是我的机会
[00:10:23--00:10:25] 你觉得不一样在哪里
[00:10:25--00:10:26] 我觉得就还是一代人
[00:10:26--00:10:27] 肯定有一代人机会
[00:10:27--00:10:29] 对人家累积了
[00:10:29--00:10:30] 之前学了很多东西
[00:10:30--00:10:31] 也做了很多事
[00:10:31--00:10:34] 所以到这个机会出现的时候
[00:10:34--00:10:36] 就是他的机会轮到他了
[00:10:36--00:10:38] 但是我觉得我们
[00:10:38--00:10:39] 其实我就那时候就是大学生
[00:10:39--00:10:40] 啥也不懂
[00:10:40--00:10:41] 啥也不会
[00:10:41--00:10:42] 那肯定
[00:10:42--00:10:44] 我想干也没法干
[00:10:44--00:10:45] 也不可能
[00:10:45--00:10:46] 我也不可能赢
[00:10:46--00:10:47] 不可能能达到这个机会
[00:10:47--00:10:49] 所以当时就开始去想
[00:10:49--00:10:52] 就是说那创业到底做什么
[00:10:52--00:10:54] 然后很巧
[00:10:54--00:10:56] 大四的时候
[00:10:56--00:10:58] 其实我大三的时候选专业嘛
[00:10:58--00:11:00] 我就选到那个威纳电子
[00:11:00--00:11:02] 还是秉承着想做集成电路的这个什么
[00:11:02--00:11:03] 初心
[00:11:03--00:11:05] 然后去选到威纳电子了
[00:11:05--00:11:07] 那是选专业不是换专业是不是
[00:11:07--00:11:08] 不是
[00:11:08--00:11:09] 电子系是这样
[00:11:09--00:11:10] 他是说到那个大三的时候
[00:11:10--00:11:11] 你可以选一个方向
[00:11:11--00:11:14] 然后我当时就选威纳电子了
[00:11:14--00:11:16] 然后选完之后呢
[00:11:16--00:11:20] 发现今天学那些
[00:11:20--00:11:21] 就是跟物理
[00:11:21--00:11:23] 很多物理啊材料啊
[00:11:23--00:11:24] 固体物理什么之类的
[00:11:24--00:11:28] 就感觉学的不是很带劲
[00:11:28--00:11:30] 然后呢
[00:11:30--00:11:31] 磁晶贝的东西特别多
[00:11:31--00:11:33] 我都发现
[00:11:33--00:11:34] 然后同时我也感觉
[00:11:34--00:11:36] 这事拿芯片创业
[00:11:36--00:11:38] 那时候还没有国产替代的这一波
[00:11:38--00:11:40] 然后我就感觉拿芯片创业
[00:11:40--00:11:43] 又看不到路径
[00:11:43--00:11:44] 看不到路径
[00:11:44--00:11:47] 所以很巧就是
[00:11:47--00:11:49] 那你那时候还是想要创业的
[00:11:49--00:11:50] 想
[00:11:50--00:11:51] 是想的
[00:11:51--00:11:52] 然后也很巧
[00:11:52--00:11:54] 大四那会儿
[00:11:54--00:11:55] 正好有一个
[00:11:55--00:11:57] 正好有一个那个机会
[00:11:57--00:11:58] 就是
[00:11:58--00:11:59] 当然是商汤
[00:11:59--00:12:01] 在那个汤老师
[00:12:01--00:12:03] 在学校有一个小范围的交流
[00:12:03--00:12:04] 汤小
[00:12:04--00:12:05] 欧老师
[00:12:05--00:12:06] 对对汤小欧老师汤老师
[00:12:06--00:12:07] 然后呢
[00:12:07--00:12:09] 我就是有机会去跟汤老师交流了一下
[00:12:09--00:12:11] 然后那个就是知道
[00:12:11--00:12:12] 做深度学习
[00:12:12--00:12:14] 那是我第一次就知道深度学习
[00:12:14--00:12:15] 之前只是就听说过
[00:12:15--00:12:16] Deep learning
[00:12:16--00:12:17] Deep learning
[00:12:17--00:12:19] 对这是我第一次好好的去
[00:12:19--00:12:20] 去认知这个概念
[00:12:20--00:12:21] 嗯
[00:12:21--00:12:23] 然后那个汤老师也特别好
[00:12:23--00:12:24] 就是给了我一个实习的机会
[00:12:24--00:12:25] 我啥也不会那时候啊
[00:12:25--00:12:28] 就是从来没去过神经网络
[00:12:28--00:12:29] 什么也没有
[00:12:29--00:12:30] 对然后我就
[00:12:30--00:12:32] 我就我就大四的那个
[00:12:32--00:12:33] 大四的
[00:12:33--00:12:35] 应该是那个那个
[00:12:35--00:12:36] 十二月份吧
[00:12:36--00:12:37] 二五年的年初
[00:12:37--00:12:38] 二十年年底
[00:12:38--00:12:40] 我就去商汤开实习
[00:12:40--00:12:41] 训第一个神经网络
[00:12:41--00:12:43] 就是开始接触AI
[00:12:43--00:12:44] 相当于是
[00:12:44--00:12:45] 当时这个吸引的是什么呢
[00:12:45--00:12:46] 既然你都没有接触过
[00:12:46--00:12:49] 为什么汤老师说了你马上就去了
[00:12:49--00:12:50] 对对对
[00:12:50--00:12:51] 这之前还有一个事
[00:12:51--00:12:52] 这之前还有一个事
[00:12:52--00:12:54] 就是大三暑假的时候呢
[00:12:54--00:12:56] 其实我是有一个机会
[00:12:56--00:12:58] 就是说去那个
[00:12:58--00:13:00] 当时散服有一个
[00:13:00--00:13:02] 那个暑期实习的项目
[00:13:02--00:13:03] 叫UGC
[00:13:03--00:13:04] 然后我就去
[00:13:04--00:13:05] 我就去那边去实习了
[00:13:05--00:13:06] 那当时去实习的时候
[00:13:06--00:13:08] 还不是做的AI这个方向
[00:13:08--00:13:10] 做的一些什么图像啊
[00:13:10--00:13:11] 医疗什么之类的
[00:13:11--00:13:13] 对也挺杂的
[00:13:13--00:13:15] 然后做完之后呢
[00:13:15--00:13:17] 那个不知道为什么
[00:13:17--00:13:18] 到现在我也不知道为什么
[00:13:18--00:13:21] 然后那老师反正没给我写强推
[00:13:21--00:13:22] 然后就导致呢
[00:13:22--00:13:23] 我想上的学校
[00:13:23--00:13:24] 就是反正他给我写推荐信的
[00:13:24--00:13:27] 都都都没都没都没上去
[00:13:27--00:13:29] 然后最后当时就是有几个
[00:13:29--00:13:30] 我没让他写的
[00:13:30--00:13:31] 因为我觉得这些学校
[00:13:31--00:13:33] 应该都很很轻松很随意的
[00:13:33--00:13:36] 那包括UC UCSD
[00:13:36--00:13:38] 还有一两个吧
[00:13:38--00:13:40] 反正就最后只有这几个
[00:13:40--00:13:41] 没让他写的
[00:13:41--00:13:42] 然后给了我offer
[00:13:42--00:13:44] 那当时那段时间呢
[00:13:44--00:13:46] 也是一个算是小打击吧
[00:13:46--00:13:47] 第五期
[00:13:47--00:13:48] 对是个小打击
[00:13:48--00:13:50] 然后当时就开始反思
[00:13:50--00:13:52] 反思我这哪做错了
[00:13:52--00:13:53] 哪做错了
[00:13:53--00:13:55] 然后然后也看了很多书
[00:13:55--00:13:57] 我一直也比较喜欢看书
[00:13:57--00:13:58] 看什么书
[00:13:58--00:13:59] 因为喜欢看历史
[00:13:59--00:14:00] 看历史
[00:14:00--00:14:01] 那段时间呢
[00:14:01--00:14:02] 我就是反正看了很多吧
[00:14:02--00:14:03] 那时候呢
[00:14:03--00:14:04] 但是我记得住的
[00:14:04--00:14:05] 现在记得住的
[00:14:05--00:14:07] 就是看到曾国藩
[00:14:07--00:14:08] 曾国藩就是
[00:14:08--00:14:09] 就是蒋曾国藩
[00:14:09--00:14:11] 这个从20多岁
[00:14:11--00:14:13] 是一个这个无家轻留
[00:14:13--00:14:15] 哎怎么到40岁
[00:14:15--00:14:16] 变成一个
[00:14:16--00:14:19] 就是特别有这个事工的一个人
[00:14:19--00:14:21] 就是他特别会在
[00:14:21--00:14:22] 这个现实世界当中去
[00:14:22--00:14:24] 带领这个一个打的团队
[00:14:24--00:14:26] 而且当那个时候的困难也很多呀
[00:14:26--00:14:27] 他一个汉人
[00:14:27--00:14:29] 在这个清朝末年
[00:14:29--00:14:31] 然后抵抗太平天国
[00:14:31--00:14:32] 就在这
[00:14:32--00:14:34] 然后去这个建立军队
[00:14:34--00:14:35] 他训练军
[00:14:35--00:14:37] 一个文人出身的
[00:14:37--00:14:38] 他要去训练军队
[00:14:38--00:14:40] 他要怎么从一个儒家清流
[00:14:40--00:14:42] 变成了一个这样的一个人
[00:14:42--00:14:44] 然后他当时自己的一个
[00:14:44--00:14:46] 当然也是那本书对他的一个描述
[00:14:46--00:14:47] 他的一个顿悟就是说
[00:14:47--00:14:49] 他发现最重要的还是
[00:14:49--00:14:51] 当你要做一件事的时候
[00:14:51--00:14:52] 你到底能有
[00:14:52--00:14:53] 能拉动多少资源
[00:14:53--00:14:54] 有多少人
[00:14:54--00:14:55] 多少资源
[00:14:55--00:14:57] 愿意跟你一块去做这件事
[00:14:57--00:14:58] 并且最后把这事做成
[00:14:58--00:15:00] 他发现这件事是最重要的
[00:15:00--00:15:02] 你当时是申请学校不如意
[00:15:02--00:15:03] 去看管理
[00:15:03--00:15:05] 怎么调度军队
[00:15:05--00:15:06] 不不不
[00:15:06--00:15:07] 其实就是因为
[00:15:07--00:15:09] 我大概有这样一个习惯
[00:15:09--00:15:12] 其实从很小的时候就是这样
[00:15:12--00:15:14] 有一些比如说
[00:15:14--00:15:15] 那个不顺利
[00:15:15--00:15:17] 对吧我就反思
[00:15:17--00:15:19] 但反思我得需要那个
[00:15:19--00:15:20] 思考的来源吧
[00:15:20--00:15:21] 养料啊
[00:15:21--00:15:23] 然后我就是看书
[00:15:23--00:15:24] 反正就是看传记啊
[00:15:24--00:15:25] 看历史啊
[00:15:25--00:15:26] 就乱七八糟的看
[00:15:26--00:15:28] 然后呢就是通过看别人
[00:15:28--00:15:29] 在可能一些困难
[00:15:29--00:15:30] 一些什么的
[00:15:30--00:15:32] 给自己来点灵感吧
[00:15:32--00:15:33] 来点灵感
[00:15:33--00:15:34] 然后
[00:15:34--00:15:36] 所以那时候就是刚好看到他
[00:15:36--00:15:37] 刚好看到他
[00:15:37--00:15:38] 然后
[00:15:38--00:15:39] 我都发现这事儿
[00:15:39--00:15:40] 值得参考
[00:15:40--00:15:42] 值得参考就是说
[00:15:42--00:15:45] 这个虽然我这件事儿
[00:15:45--00:15:46] 没做好
[00:15:46--00:15:47] 失败了
[00:15:47--00:15:48] 就像他
[00:15:48--00:15:49] 发现他这个儒家清流
[00:15:49--00:15:50] 这条路走不下去了
[00:15:50--00:15:51] 对
[00:15:51--00:15:52] 但是他还是就是说
[00:15:52--00:15:53] 能够去
[00:15:53--00:15:54] 建立另外一个
[00:15:54--00:15:55] 这个轨迹
[00:15:55--00:15:56] 这轨迹就是说
[00:15:56--00:15:57] 我要去
[00:15:57--00:15:58] 真正的去
[00:15:58--00:16:00] 在这个现实世界当中去做事儿
[00:16:00--00:16:01] 然后呢
[00:16:01--00:16:02] 去拿到结果
[00:16:02--00:16:03] 对
[00:16:03--00:16:04] 这事儿很重要
[00:16:04--00:16:05] 然后我就觉得
[00:16:05--00:16:06] 这跟我想的其实是一样的
[00:16:06--00:16:08] 因为我本来就想创业嘛
[00:16:08--00:16:09] 只不过可能
[00:16:09--00:16:10] 那我在学校这条路上
[00:16:10--00:16:12] 确实去不了最好的学校了
[00:16:12--00:16:13] 那就是像那儒家清流
[00:16:13--00:16:14] 做不了了
[00:16:14--00:16:15] 对吧
[00:16:15--00:16:16] 那我能干点啥
[00:16:16--00:16:17] 那我就觉得
[00:16:17--00:16:18] 那我要去
[00:16:18--00:16:20] 真正的从底层思考
[00:16:20--00:16:22] 我未来到底要做什么
[00:16:22--00:16:23] 然后以及
[00:16:23--00:16:24] 我要为做这件事儿
[00:16:24--00:16:25] 做什么准备
[00:16:25--00:16:26] 所以我当时
[00:16:26--00:16:28] 我也就是系统性的开始看
[00:16:28--00:16:29] 各种各样的方向
[00:16:29--00:16:30] 嗯
[00:16:30--00:16:31] 然后看到
[00:16:31--00:16:32] 唐老师
[00:16:32--00:16:34] 给我的这机会
[00:16:34--00:16:35] 然后我觉得这事儿好
[00:16:35--00:16:37] 这事儿应该是有前途的
[00:16:37--00:16:39] 然后我就去尝试一下
[00:16:39--00:16:40] 嗯
[00:16:40--00:16:41] 对
[00:16:41--00:16:42] 然后
[00:16:42--00:16:43] 而且一去
[00:16:43--00:16:44] 我就训练了这个神经网络
[00:16:44--00:16:45] 我发现
[00:16:45--00:16:46] 这是一个事儿
