[00:00:02--00:00:04] 就在京都在鸭川边上
[00:05:11--00:05:13] 坦白说要面对一些转型
[00:05:13--00:05:15] 在19年初的时候
[00:05:15--00:05:18] 我看到了一款日本的游戏
[00:05:18--00:05:20] 叫做早安少年
[00:05:20--00:05:20] 早安我的少年
[00:05:20--00:05:22] 英文名叫SEIC
[00:05:22--00:05:25] 这个东西非常的有情怀了
[00:05:25--00:05:26] 我当时看到这个东西之后
[00:05:26--00:05:28] 是我第一次看到
[00:05:28--00:05:29] Live2D这个
[00:05:29--00:05:31] 这个技术被用的比较好
[00:05:31--00:05:32] Live2D这个技术
[00:05:32--00:05:34] 就是让纸片动起来
[00:05:34--00:05:35] 这个在游戏行业非常常见
[00:05:35--00:05:37] 但那个时候是刚刚出来不久
[00:05:37--00:05:38] 那个游戏特别简单
[00:05:38--00:05:39] 你遇到了一个
[00:05:39--00:05:40] 你买了一个机器人
[00:05:40--00:05:42] 那这个机器人坏了
[00:05:42--00:05:43] 因为一些原因
[00:05:43--00:05:44] 他这个记忆系统出现问题
[00:05:44--00:05:46] 他就会作为你的助手
[00:05:46--00:05:47] 在你的手机里
[00:05:47--00:05:50] 你每天跟他通过一些对话和选择
[00:05:50--00:05:51] 他会逐渐恢复记忆
[00:05:51--00:05:52] 恢复一些能力
[00:05:52--00:05:54] 直到最后由于你的选择不同
[00:05:54--00:05:56] 会导致这个机器人的性格不一样
[00:05:56--00:05:56] 你戳他的话
[00:05:56--00:05:58] 他就会做一些动作并且说话
[00:05:58--00:06:01] 你可以理解为一种Live2D版的汤姆猫
[00:06:01--00:06:03] 对 我看到当时就很喜欢
[00:06:03--00:06:05] 基于这个我们当时做了一个
[00:06:05--00:06:07] 把这个做成了一个换装系统
[00:06:07--00:06:10] 我们允许用户自己给自己换装捏脸
[00:06:10--00:06:12] 做一个这种Live2D的形象
[00:06:12--00:06:14] 去跟别人连麦 社交
[00:06:14--00:06:15] 这个产品
[00:06:15--00:06:17] 在第二年做的这个产品
[00:06:17--00:06:18] 其实当时还是做得挺不错的
[00:06:18--00:06:20] 我们很快就做到了
[00:06:20--00:06:21] 大几万的DAU
[00:06:21--00:06:24] 可能最高的分数接近10万用户了
[00:06:24--00:06:25] 就10万DAU了
[00:06:25--00:06:26] 也有一些用户
[00:06:26--00:06:26] 真的
[00:06:26--00:06:27] 在往里面充钱
[00:06:27--00:06:28] 因为商业模式也很简单
[00:06:28--00:06:30] 买皮肤 买装扮
[00:06:30--00:06:33] 所以当时这个产品我做的时候
[00:06:33--00:06:35] 还是很开心的
[00:06:35--00:06:38] 因为我第一次真正的感受到了用户
[00:06:38--00:06:40] 你知道原来在大厂做产品
[00:06:40--00:06:42] 你更多看到的是数据
[00:06:42--00:06:44] 用户在你眼里是很抽象的
[00:06:44--00:06:45] 坦白说是很抽象
[00:06:45--00:06:48] 比如说字节做红包这个项目
[00:06:48--00:06:51] 我看到一天后台新增500万用户
[00:06:51--00:06:52] 一天有500万新增
[00:06:52--00:06:53] 很开心 所有人都很兴奋
[00:06:53--00:06:55] 但其实它只是个数字而已
[00:06:55--00:06:56] 原因就是
[00:06:56--00:06:57] 那个产品叫原因
[00:06:57--00:06:58] 我当时创业那个产品叫原因
[00:06:58--00:06:59] 原因
[00:06:59--00:07:00] 就是元气的元
[00:07:00--00:07:02] 就是主因的原因
[00:07:02--00:07:04] 你就会看到这些人
[00:07:04--00:07:05] 真的就很活生生的
[00:07:05--00:07:07] 在你的QQ群里面
[00:07:07--00:07:08] 现在非常热情的讨论你的产品
[00:07:08--00:07:11] 最让我印象深刻的是
[00:07:11--00:07:13] 当我决定不再进行这次创业的时候
[00:07:13--00:07:14] 决定把这个产品关掉了
[00:07:14--00:07:17] 那些用户就自发发起首页的活动
[00:07:17--00:07:18] 我们那个产品决定
[00:07:18--00:07:20] 夜里12点停服
[00:07:20--00:07:22] 所有的用户就在群里非常活跃
[00:07:22--00:07:25] 一起首页一起熬到12点等官服
[00:07:25--00:07:26] 真的关了服之后
[00:07:26--00:07:27] 所有人又跑到应用商店里
[00:07:27--00:07:28] 去写小写作文
[00:07:28--00:07:30] 来纪念这个产品
[00:07:30--00:07:33] 这个产品是针对男生还是女生
[00:07:33--00:07:33] 女性的
[00:07:33--00:07:35] 对 这个也很有意思
[00:07:35--00:07:37] 我觉得我做大部分产品
[00:07:37--00:07:38] 都是给女生做的
[00:07:38--00:07:38] 对
[00:07:38--00:07:40] 所以那个时候
[00:07:40--00:07:43] 你会感受到一个活生生的用户
[00:07:43--00:07:43] 就很活生生
[00:07:43--00:07:45] 你知道他们每个人多大
[00:07:45--00:07:46] 年龄多大
[00:07:46--00:07:47] 他在说些什么
[00:07:47--00:07:48] 为什么喜欢你
[00:07:48--00:07:48] 甚至你也知道
[00:07:48--00:07:50] 他们每个人捏的形象长啥样
[00:07:50--00:07:52] 所以在大厂的前面的
[00:07:52--00:07:54] 这些工作的那种感受
[00:07:54--00:07:56] 和这个段的工作感受在一起
[00:07:56--00:07:58] 就比较构成了我的一个
[00:07:58--00:08:00] 做产品的底层动力
[00:08:00--00:08:02] 我觉得我希望能做一些
[00:08:02--00:08:04] 真的让用户感动的产品
[00:08:04--00:08:05] 当然最终也要说
[00:08:05--00:08:08] 两者是需要兼得的
[00:08:08--00:08:09] 对 其实一会也会聊到
[00:08:09--00:08:10] 很多人也都知道
[00:08:10--00:08:11] 我这一次创业
[00:08:11--00:08:13] 其实又做了一款AI的姨女游戏
[00:08:13--00:08:14] 其实有一个重要的原因
[00:08:14--00:08:17] 就是上次做原因的情怀的延续
[00:08:17--00:08:19] 我们又做了一个Live2D的
[00:08:19--00:08:20] 因为我当时第一次看到
[00:08:20--00:08:22] 早安少年这个产品的时候
[00:08:22--00:08:24] 我当时脑子里就冒出了一个想法
[00:08:24--00:08:26] 就真的是19年就冒出一个想法
[00:08:26--00:08:28] 然后自由对话就好了
[00:08:28--00:08:29] 就因为它是固定的
[00:08:29--00:08:31] 你点一下它就会固定出那几句话
[00:08:31--00:08:33] 它会给几个选择
[00:08:33--00:08:35] 你选了之后就有一些分支
[00:08:35--00:08:35] 我当时想这个东西
[00:08:35--00:08:37] 我能随便跟它聊
[00:08:37--00:08:38] 这多好
[00:08:38--00:08:40] 所以我出来当时
[00:08:40--00:08:42] 我这公司成立的第一天
[00:08:42--00:08:43] 我就开始干姨女游戏这个事情
[00:08:43--00:08:44] 我们现在做的这个事情
[00:08:44--00:08:45] 我们做的第一个产品
[00:08:45--00:08:48] 我们现在内测的新编这个产品
[00:08:48--00:08:51] 因为它其实是19年的小时候的想法
[00:08:51--00:08:52] 我当时就想
[00:08:52--00:08:54] 我靠 我就当时的一个幻想
[00:08:54--00:08:55] 居然真的实现了
[00:08:55--00:08:56] 原因这个产品
[00:08:56--00:08:57] 后来怎么样了
[00:08:57--00:08:59] 随着决定关掉公司
[00:08:59--00:09:01] 回到阿里就把它关闭掉了
[00:09:01--00:09:03] 为啥要做这个决定
[00:09:03--00:09:05] 因为当时决定停止创业
[00:09:05--00:09:07] 有两个核心理由
[00:09:07--00:09:08] 第一个我觉得最重要的理由
[00:09:08--00:09:10] 还是自己心力的消耗
[00:09:10--00:09:13] 坦白说我觉得创业挺消耗心力的
[00:09:13--00:09:13] 到最后有点困
[00:09:13--00:09:15] 上次创业到最后挺困惑的
[00:09:15--00:09:16] 就不知道自己为什么要创业
[00:09:16--00:09:17] 创了多久
[00:09:17--00:09:19] 两年多的时间
[00:09:19--00:09:20] 创到最后很困惑
[00:09:20--00:09:21] 不知道为什么要创业
[00:09:21--00:09:22] 你发现自己
[00:09:22--00:09:25] 到底为什么会开始这次创业
[00:09:25--00:09:26] 我觉得上次
[00:09:26--00:09:28] 真实的内心目的是不纯的
[00:09:28--00:09:29] 当时是怎么想的
[00:09:29--00:09:30] 今天回过头去看
[00:09:30--00:09:32] 我觉得更多就是想证明自己
[00:09:32--00:09:33] 我觉得我很牛
[00:09:33--00:09:34] 那个时候我觉得我很牛
[00:09:34--00:09:36] 所以我觉得我一定能做一个
[00:09:36--00:09:36] 很牛的东西
[00:09:36--00:09:37] 就出来创业
[00:09:37--00:09:39] 你会发现很快
[00:09:39--00:09:41] 结果就会直接打你的脸
[00:09:41--00:09:42] 你不牛
[00:09:42--00:09:44] 我没有觉得自己很牛
[00:09:44--00:09:45] 所以做到两年多之后
[00:09:45--00:09:47] 我发现好像并没有很能证明自己
[00:09:47--00:09:48] 你当时从阿里出来
[00:09:48--00:09:50] 是一个什么样的状态
[00:09:50--00:09:51] 你是从阿里出来的
[00:09:51--00:09:52] 上次是从字节出来的
[00:09:52--00:09:53] 18年是从字节出来的
[00:09:53--00:09:55] 经过阿里和字节之后
[00:09:55--00:09:56] 出来创伙业
[00:09:56--00:09:57] 对 再回到阿里
[00:09:57--00:09:59] 而且18年出来的时候
[00:09:59--00:10:00] 我觉得字节是非常好
[00:10:00--00:10:01] 那个时候的字节
[00:10:01--00:10:02] 是状态特别好的公司
[00:10:02--00:10:04] 我没有觉得字节有任何的问题
[00:10:04--00:10:06] 非常完美的公司
[00:10:06--00:10:08] 对 所以当时我要走的时候
[00:10:08--00:10:08] 我就找陈琳聊
[00:10:08--00:10:09] 我说我要走了
[00:10:09--00:10:11] 她就非常不能理解
[00:10:11--00:10:11] 我就说我要创业
[00:10:11--00:10:12] 我要干这个那个
[00:10:12--00:10:13] 她就说那你把人招进来
[00:10:13--00:10:15] 让人在里面搞这个东西
[00:10:15--00:10:17] 你当时在字节负责什么
[00:10:17--00:10:20] 我在字节有两段经历
[00:10:20--00:10:22] 第一段经历是在一个叫做
[00:10:22--00:10:23] 图形图像的部门
[00:10:23--00:10:25] 这个部门主要的产品是一款相册
[00:10:25--00:10:26] 叫时光相册
[00:10:26--00:10:27] 这个产品也已经关停了
[00:10:27--00:10:29] 对 它其实就是一个
[00:10:29--00:10:30] Google Photos类的产品
[00:10:30--00:10:31] 但实际上这是一个
[00:10:31--00:10:32] 半研究型的部门
[00:10:32--00:10:34] 早先整个AI的
[00:10:34--00:10:35] 就AI Lab里面的视觉的部分
[00:10:35--00:10:36] 实际上是在这个部门
[00:10:36--00:10:37] 后来才被整合成了
[00:10:37--00:10:38] 字节的AI Lab
[00:10:38--00:10:40] 当然其实我去字节的原因
[00:10:40--00:10:42] 就是因为我想去做AI
[00:10:42--00:10:43] 就是说图形
[00:10:43--00:10:45] 是视觉AI
[00:10:45--00:10:46] 你去字节是想做AI
[00:10:46--00:10:47] 对 对
[00:10:47--00:10:48] 16年的时候实际上
[00:10:48--00:10:50] 我很想找一个做
[00:10:50--00:10:51] 因为16年那个时候
[00:10:51--00:10:52] 就是上一波
[00:10:52--00:10:54] 视觉四小龙那个时代
[00:10:54--00:10:55] CV那个时代
[00:10:55--00:10:55] 刚刚起来
[00:10:55--00:10:55] 对
[00:10:55--00:10:57] 我就很想去看
[00:10:57--00:10:58] 视觉AI这个事
[00:10:58--00:10:59] 但是我就想
[00:10:59--00:11:01] 找一个做C端的公司
[00:11:01--00:11:02] 因为四小龙都是做2B的
[00:11:02--00:11:02] 对
[00:11:02--00:11:04] 结果我就找到了字节
[00:11:04--00:11:06] 当时有一个部门在招人
[00:11:06--00:11:07] 是用CV
[00:11:07--00:11:09] 做一些图像特效
[00:11:09--00:11:10] 相册工具
[00:11:10--00:11:10] 这样的事情
[00:11:10--00:11:11] 所以我就去了
[00:11:11--00:11:12] 对
[00:11:12--00:11:13] 所以我去字节
[00:11:13--00:11:15] 其实是为了做图像AI去的
[00:11:15--00:11:15] 不是去做
[00:11:15--00:11:17] 当时其实主要的产品
[00:11:17--00:11:18] 是精神头条
[00:11:18--00:11:19] 我并不是因为精神头条去的
[00:11:19--00:11:20] 后来因为
[00:11:20--00:11:22] 这个部门在做了很长时间
[00:11:22--00:11:24] 后来抖音出现了
[00:11:24--00:11:25] 就整个字节决定
[00:11:25--00:11:27] 抖音短视频
[00:11:27--00:11:29] 就把很多的部门做了整合
[00:11:29--00:11:30] 包括图形图像的部门
[00:11:30--00:11:30] 做了整合
[00:11:30--00:11:33] 研究部门被合并成了AI Lab
[00:11:33--00:11:34] 这边里面的很多人
[00:11:34--00:11:35] 也都拆开了
[00:11:35--00:11:37] 我后来调到了
[00:11:37--00:11:38] 精神头条这个大团队
[00:11:38--00:11:39] 但坦白说
[00:11:39--00:11:40] 我一天精神头条的产品
[00:11:40--00:11:41] 都没做过
[00:11:41--00:11:42] 对
[00:11:42--00:11:43] 我调过去之后
[00:11:43--00:11:44] 就开始做专项
[00:11:44--00:11:47] 我先发起了一个红包的项目
[00:11:47--00:11:48] 春节的增长的项目
[00:11:48--00:11:50] 做专项做了几个月之后
[00:11:50--00:11:52] 18年做到
[00:11:52--00:11:53] 18年春节之后
[00:11:53--00:11:54] 我又发起了一个
[00:11:54--00:11:55] 字节的小程序品牌的项目
[00:11:55--00:11:56] 小程序品牌做到一半
[00:11:56--00:11:58] 我就创业了
[00:11:58--00:11:59] 所以有两段经历
[00:11:59--00:12:00] 大概第一段
[00:12:00--00:12:01] 就是在做图形图像
[00:12:01--00:12:02] 相关的事情
[00:12:02--00:12:03] 第二段实际上
[00:12:03--00:12:04] 都是在做一些
[00:12:04--00:12:05] 零到一的大专项
[00:12:05--00:12:06] 字节待了多久
[00:12:06--00:12:07] 不到两年
[00:12:07--00:12:09] 之前在阿里呢
[00:12:09--00:12:10] 也差不多不到两年
[00:12:10--00:12:12] 所以你之前
[00:12:12--00:12:13] 大概工作了差不多四年
[00:12:13--00:12:14] 不不
[00:12:14--00:12:15] 更早的时间
[00:12:15--00:12:17] 我在一个师兄的SaaS公司
[00:12:17--00:12:17] 碰到以前
[00:12:17--00:12:18] 就那个时期是
[00:12:18--00:12:20] 微博刚出来不久的时候
[00:12:20--00:12:21] 你还做过SaaS
[00:12:21--00:12:23] 现在叫SaaS了
[00:12:23--00:12:24] 那时候没有这个概念
[00:12:24--00:12:24] 对
[00:12:24--00:12:25] 那个产品
[00:12:25--00:12:26] 就是一个管理工具
[00:12:26--00:12:28] 那种可以在很多个平台
[00:12:28--00:12:29] 同时多发微博
[00:12:29--00:12:30] 收集一些素材
[00:12:30--00:12:31] 就帮你自动去
[00:12:31--00:12:33] 帮你找图找素材
[00:12:33--00:12:34] 帮你拼一些微博
[00:12:34--00:12:35] 定时发送
[00:12:35--00:12:36] 什么批量发送
[00:12:36--00:12:37] 批量回私信
[00:12:37--00:12:38] 就这样的一个
[00:12:38--00:12:39] 社交媒体管理工具
[00:12:39--00:12:40] 那是很早年
[00:12:40--00:12:41] 一二年的时候的事情
[00:12:41--00:12:42] 所以你是一二年
[00:12:42--00:12:43] 开始工作的
[00:12:43--00:12:43] 对对对
[00:12:43--00:12:44] SaaS公司叫什么
[00:12:44--00:12:46] 这个公司叫孔明
[00:12:46--00:12:47] 叫孔明科技
[00:12:47--00:12:48] 但我待的时间确实不久
[00:12:48--00:12:49] 待的时间没有很久
[00:12:49--00:12:50] 所以是从孔明
[00:12:50--00:12:51] 后来到珠宝
[00:12:51--00:12:52] 再到字节
[00:12:52--00:12:53] 再到创业
[00:12:53--00:12:54] 很能折腾
[00:12:55--00:12:56] 每个人经历都不差
[00:12:56--00:12:58] 而且我记得
[00:12:58--00:12:58] 你好像是学
[00:12:58--00:12:59] AI相关的专业的
[00:12:59--00:13:00] 我是基层机器的
[00:13:00--00:13:01] 我是情况基层机器的
[00:13:01--00:13:03] 但我学的确实不是AI
[00:13:03--00:13:05] 我在差不多到大三的时候
[00:13:05--00:13:06] 就决定不coding了
[00:13:06--00:13:07] 就已经决定
[00:13:07--00:13:08] 我不走coding这条路
[00:13:08--00:13:09] 你要做产品
[00:13:09--00:13:10] 其实没决定要做产品
[00:13:10--00:13:11] 我只是觉得
[00:13:11--00:13:12] 我走不了这条路了
[00:13:12--00:13:13] 为什么
[00:13:13--00:13:15] 就有一次我看
[00:13:15--00:13:16] Azos有一个视频
[00:13:16--00:13:16] 挺有名的
[00:13:16--00:13:18] 他说他原来是学物理的
[00:13:18--00:13:19] 后来决定不干这个
[00:13:19--00:13:20] 因为他有一次
[00:13:20--00:13:21] 遇到了一个
[00:13:21--00:13:22] 一条题
[00:13:22--00:13:23] 一条偏微分方程
[00:13:23--00:13:24] 就解不出来
[00:13:24--00:13:25] 然后死活了
[00:13:25--00:13:25] 然后解不出来之后
[00:13:25--00:13:27] 他就问了一个他的同学
[00:13:27--00:13:28] 这个同学很快
[00:13:28--00:13:29] 就这样这样这样
[00:13:29--00:13:30] 就直接给他解出来
[00:13:30--00:13:31] 最后得到了一个
[00:13:31--00:13:32] 完美的解释
[00:13:32--00:13:34] 是个派还是什么东西
[00:13:34--00:13:34] 我忘了
[00:13:34--00:13:35] 他就OK
[00:13:35--00:13:36] 非受打击
[00:13:36--00:13:36] OK
[00:13:36--00:13:38] 我不在这条路上跟你卷了
[00:13:38--00:13:39] 其实我当时真的很像
[00:13:39--00:13:40] 因为基层机器
[00:13:40--00:13:41] 它比较特别
[00:13:41--00:13:43] 里面有很多竞赛出来的同学
[00:13:43--00:13:44] 你能想象
[00:13:44--00:13:45] 我们的第一门专业课
[00:13:45--00:13:46] 就C++程序设计入门这门课
[00:13:46--00:13:48] 你的同班同学
[00:13:48--00:13:49] 就是你的助教
[00:13:49--00:13:50] 他们不仅免考
[00:13:50--00:13:51] 而且是给你出
[00:13:51--00:13:52] 作业和考试题的人
[00:13:52--00:13:54] 从大一开始
[00:13:54--00:13:55] 就是这样的状态
[00:13:55--00:13:56] 到大三的时候
[00:13:56--00:13:58] 也是有遇到了一个大作业
[00:13:58--00:13:59] 我印象蛮深的
[00:13:59--00:13:59] 那个大作业
[00:13:59--00:14:00] 应该是一个
[00:14:00--00:14:02] 文本剧类类的任务
[00:14:02--00:14:03] 人工智能方向的
[00:14:03--00:14:04] 一个专业课
[00:14:04--00:14:06] 做一个K-Means算法的
[00:14:06--00:14:08] 这种文本剧类类的东西
[00:14:08--00:14:09] 我拿到那个数据集之后
[00:14:09--00:14:11] 写了那个code
[00:14:11--00:14:12] 就跑这个东西
[00:14:12--00:14:13] 我跑了一天都没跑完
[00:14:13--00:14:15] 这个代码就没结束
[00:14:15--00:14:16] 到最后还挂了
[00:14:16--00:14:18] 最后那个程序还跑挂了
[00:14:18--00:14:19] 我就问我的
[00:14:19--00:14:21] 从宿舍的另外一个人
[00:14:21--00:14:22] 我说你那个咋样了
[00:14:22--00:14:23] 那个哥们做的那个东西
[00:14:23--00:14:24] 二十分钟就跑完了
[00:14:24--00:14:26] 我就觉得OK
[00:14:26--00:14:27] 我不想在这条路上卷了
[00:14:27--00:14:28] 我卷不过你们
[00:14:28--00:14:29] 对
[00:14:29--00:14:30] 所以我当时比较明确的
[00:14:30--00:14:31] 知道一点
[00:14:31--00:14:33] 我不想在这条路上去竞争了
[00:14:33--00:14:34] 因为对
[00:14:34--00:14:35] 我觉得天赋没在这里
[00:14:35--00:14:36] 我的天赋没在这里
[00:14:36--00:14:38] 我今天回头去看的话
[00:14:38--00:14:39] 我觉得我的天赋
[00:14:39--00:14:41] 可能更多是一半理性
[00:14:41--00:14:41] 一半感性的部分
[00:14:41--00:14:43] 而不是纯理性的部分
[00:14:43--00:14:44] 所以你当时想
[00:14:44--00:14:44] 你要卷什么呢
[00:14:44--00:14:45] 还是你不卷
[00:14:45--00:14:47] 我觉得骨子里
[00:14:47--00:14:48] 还肯定是个卷的人
[00:14:48--00:14:49] 没有办法不卷
[00:14:49--00:14:50] 对
[00:14:50--00:14:52] 但是其实在早期的时候
[00:14:52--00:14:53] 也很混沌
[00:14:53--00:14:53] 我觉得早期的时候
[00:14:53--00:14:54] 没有什么想法
[00:14:54--00:14:55] 让你干什么就干什么
[00:14:55--00:14:57] 包括后来到珠宝去
