[00:00:04--00:00:06] Hello 大家好,我是小骏
[00:00:06--00:00:10] 春节前后,一款AI Native的产品Elise
[00:00:10--00:00:12] 引起了小圈层人的关注
[00:08:04--00:08:06] 本身它比较适合
[00:08:06--00:08:06] 小团队去做
[00:08:06--00:08:08] 因为当时我也没有
[00:08:08--00:08:09] 再去融更多的钱
[00:08:09--00:08:10] 其实就是我们一个
[00:08:10--00:08:10] 很小的团队在搞
[00:08:10--00:08:13] 那我觉得我们能做什么
[00:08:13--00:08:14] 好像能做这个
[00:08:14--00:08:15] 并且这个杠杆
[00:08:15--00:08:15] 可能是最大的
[00:08:15--00:08:17] 所以当时就去选择了
[00:08:19--00:08:20] 就不需要融资
[00:08:20--00:08:21] 对
[00:08:21--00:08:23] 反正就是靠自己的钱
[00:08:23--00:08:24] 然后十个人以内的
[00:08:24--00:08:25] 一个小工作室
[00:08:25--00:08:26] 再去搞这款游戏
[00:08:26--00:08:28] 你是做的是男性向的游戏
[00:08:28--00:08:29] 还是女性向的游戏
[00:08:29--00:08:31] 当时做的是男性向的
[00:08:31--00:08:33] 就当时还没有女性向
[00:08:33--00:08:35] 因为当时直觉是觉得
[00:08:35--00:08:36] 男生更爱玩游戏
[00:08:36--00:08:36] 对吧
[00:08:36--00:08:37] 女生不玩游戏
[00:08:37--00:08:39] 一个是当时确实是
[00:08:39--00:08:40] 男生玩游戏的多
[00:08:40--00:08:41] 现在可能比例
[00:08:41--00:08:42] 已经接近于五五开了
[00:08:42--00:08:43] 但当时的话确实还是
[00:08:43--00:08:45] 男生是明显偏多
[00:08:45--00:08:47] 并且当时
[00:08:47--00:08:48] 市面上还没有
[00:08:48--00:08:49] 女性向游戏的概念
[00:08:49--00:08:50] 因为当时是
[00:08:50--00:08:51] 一五年左右
[00:08:51--00:08:52] 并且当时
[00:08:52--00:08:54] 你顺推过来的一个逻辑是
[00:08:54--00:08:56] 传统的PC游戏
[00:08:56--00:08:58] 的一个品类叫Gal Game
[00:08:58--00:08:59] 从日本开始起源
[00:08:59--00:09:00] 一个很久远的
[00:09:00--00:09:01] 一个经典品类
[00:09:01--00:09:02] 这个品类呢
[00:09:02--00:09:03] 当然也有很多日本艺游
[00:09:03--00:09:04] 但确实是以男性向为主
[00:09:04--00:09:05] 所以你顺推过来
[00:09:05--00:09:07] 一定是先做男性向
[00:09:07--00:09:08] 虽然本身我自己是男生
[00:09:08--00:09:09] 对
[00:09:09--00:09:11] 所以你从你第二段创业里面
[00:09:11--00:09:12] 学到了什么
[00:09:12--00:09:15] 我觉得我学会了做内容吧
[00:09:15--00:09:18] 学会了做更多的游戏化设计
[00:09:18--00:09:19] 就学会了
[00:09:19--00:09:20] 做游戏这件事情
[00:09:20--00:09:22] 它跟做产品
[00:09:22--00:09:23] 做一个互联网产品
[00:09:23--00:09:24] 其实还是很不一样的
[00:09:24--00:09:25] 对
[00:09:25--00:09:26] 游戏我做的还是
[00:09:26--00:09:27] 一款内容向游戏
[00:09:27--00:09:27] 所以第一
[00:09:27--00:09:29] 我知道了游戏的循环
[00:09:29--00:09:31] 应该怎么做
[00:09:31--00:09:32] 然后第二就是
[00:09:32--00:09:33] 我知道了
[00:09:33--00:09:34] 做内容应该怎么做
[00:09:34--00:09:35] 因为很多东西
[00:09:35--00:09:37] 都是我要自己去写
[00:09:37--00:09:38] 自己去构建
[00:09:38--00:09:39] 连美术的审美
[00:09:39--00:09:41] 我要去如何去判断
[00:09:41--00:09:42] 对
[00:09:42--00:09:43] 我觉得还是
[00:09:43--00:09:44] 有很大的帮助
[00:09:44--00:09:45] 对
[00:09:45--00:09:45] 相当于我从一个
[00:09:45--00:09:46] 纯语言模型
[00:09:46--00:09:47] 变成一个多么态模型
[00:09:47--00:09:49] 你第三段
[00:09:49--00:09:50] 创业是从哪一年
[00:09:50--00:09:50] 到哪一年
[00:09:50--00:09:52] 第三段创业
[00:09:52--00:09:53] 就这次吗
[00:09:53--00:09:54] 你不是说从
[00:09:54--00:09:56] 打两段工出来
[00:09:56--00:09:58] 又做了一个游戏公司吗
[00:09:58--00:09:59] 那这个游戏公司
[00:09:59--00:10:00] 就是现在的幻境游戏
[00:10:00--00:10:01] 然后这个公司
[00:10:01--00:10:01] 其实现在也还在
[00:10:01--00:10:02] 正常的运行
[00:10:02--00:10:03] 我们还有一个
[00:10:03--00:10:04] 在线上的游戏
[00:10:04--00:10:04] 还在跑着
[00:10:04--00:10:06] 20年中开始做
[00:10:06--00:10:08] 然后一直做到现在
[00:10:08--00:10:09] 对
[00:10:09--00:10:10] 它中间一个很大的节点
[00:10:10--00:10:10] 是二三年
[00:10:10--00:10:12] 上半年的时候
[00:10:12--00:10:13] 我们上线了
[00:10:13--00:10:14] 七点时代那款游戏
[00:10:14--00:10:15] 在当时
[00:10:15--00:10:16] 跟当时所有
[00:10:16--00:10:18] 同期上线的一些游戏
[00:10:18--00:10:18] 相比
[00:10:18--00:10:19] 我们还算是
[00:10:19--00:10:19] 可以的
[00:10:19--00:10:20] 因为那一年
[00:10:20--00:10:21] 是一个手游集中
[00:10:21--00:10:22] 上线的爆发的年
[00:10:22--00:10:23] 但是
[00:10:23--00:10:25] 到现在还在
[00:10:25--00:10:26] 持续运营的
[00:10:26--00:10:26] 可能
[00:10:26--00:10:27] 5%都不到
[00:10:27--00:10:28] 对
[00:10:28--00:10:30] 我们算是那5%吧
[00:10:30--00:10:32] 这个游戏挣钱吗
[00:10:32--00:10:33] 这个挣钱
[00:10:33--00:10:34] 我们团队
[00:10:34--00:10:35] 这些年也是
[00:10:35--00:10:36] 在被这款游戏养活
[00:10:36--00:10:36] 对
[00:10:36--00:10:37] 一直到现在
[00:10:37--00:10:40] 所以你有过
[00:10:40--00:10:42] 一次内容平台的经历
[00:10:42--00:10:44] 然后多款游戏的
[00:10:44--00:10:45] 开发经历
[00:10:45--00:10:47] 是的
[00:10:47--00:10:49] 这是你开始
[00:10:49--00:10:49] 开始
[00:10:49--00:10:51] 在AI创业之前的过往
[00:10:51--00:10:51] 对吧
[00:10:51--00:10:52] 对 是的
[00:10:52--00:10:54] 所以22年底
[00:10:54--00:10:55] 拆GPT出来之后
[00:10:55--00:10:56] 对你的影响是什么
[00:10:56--00:10:58] 对 我
[00:10:58--00:11:00] 我应该是在GPT
[00:11:00--00:11:01] GPT 3.5出来的时候
[00:11:01--00:11:02] 我当时就很惊讶
[00:11:02--00:11:04] 我当时有做这些测试
[00:11:04--00:11:05] 但是可能还没有
[00:11:05--00:11:06] 完全达到我的预知
[00:11:06--00:11:08] 我觉得真正达到了
[00:11:08--00:11:09] 我所期望的那个点的时候
[00:11:09--00:11:10] 还是GPT 4
[00:11:10--00:11:12] 那GPT 4出来的时候
[00:11:12--00:11:13] 因为我要的点
[00:11:13--00:11:15] 其实是我需要用它来去
[00:11:15--00:11:15] 塑造一个灵魂
[00:11:15--00:11:17] 因为你知道
[00:11:17--00:11:18] 之前做恋爱游戏
[00:11:18--00:11:19] 我们其实也是在塑造一个灵魂
[00:11:19--00:11:20] 各种各样的灵魂
[00:11:20--00:11:21] 所以说各种各样的人设
[00:11:21--00:11:22] 但是那些人设
[00:11:22--00:11:23] 都是我们写死的剧本
[00:11:23--00:11:26] 那如果有一天
[00:11:26--00:11:27] 我们能让这个灵魂
[00:11:27--00:11:28] 真的活起来
[00:11:28--00:11:29] 这个人设真的活起来
[00:11:29--00:11:30] 那就是必须得用AI
[00:11:30--00:11:31] 来去做它的灵魂
[00:11:31--00:11:33] 那GPT 4让我看到了
[00:11:33--00:11:35] 确实AI能不足到这一点
[00:11:35--00:11:36] 所以当时其实
[00:11:36--00:11:37] 我是极度兴奋的
[00:11:37--00:11:39] 而且基本上是毫不犹豫地去
[00:11:39--00:11:41] 新成立一家AI公司
[00:11:41--00:11:42] 也是毫不犹豫地来去
[00:11:42--00:11:44] 做了EVE这个产品
[00:11:44--00:11:45] 因为在我看来
[00:11:45--00:11:46] 它就是一个
[00:11:46--00:11:49] 我过去所有经验的
[00:11:49--00:11:49] 一个
[00:11:49--00:11:49] 一个综合
[00:11:49--00:11:51] 它有互联网产品的部分
[00:11:51--00:11:53] 然后它有游戏化的部分
[00:11:53--00:11:54] 它有做内容的部分
[00:11:54--00:11:55] 做人设的部分
[00:11:55--00:11:56] 然后我们能够通过AI
[00:11:56--00:11:57] 把它全部都串起来
[00:11:57--00:11:58] 所以
[00:11:58--00:12:00] 对
[00:12:00--00:12:01] 应该是在GPT 4之后
[00:12:01--00:12:04] 你没有AI的背景
[00:12:04--00:12:05] 为什么会关注AI的发展
[00:12:05--00:12:07] 因为在我看来
[00:12:07--00:12:08] 关注AI的这一拨人
[00:12:08--00:12:09] 应该也是之前
[00:12:09--00:12:11] 做移动互联网那拨人
[00:12:11--00:12:12] 相当于科技圈的这拨人
[00:12:12--00:12:14] 有些人可能已经
[00:12:14--00:12:16] 所谓的现在成为了
[00:12:16--00:12:16] 中灯或者老灯
[00:12:16--00:12:18] 看他可能就无所谓了
[00:12:18--00:12:19] 但有些人可能
[00:12:19--00:12:19] 还是在做互联网
[00:12:19--00:12:19] 在持续关注
[00:12:19--00:12:21] 新出来的东西
[00:12:21--00:12:22] 因为大家之前都会
[00:12:22--00:12:23] 或多或少有很多想法
[00:12:23--00:12:24] 我是在翻我之前的知乎
[00:12:24--00:12:26] 我发现好多东西
[00:12:26--00:12:28] 很多年前写的文字
[00:12:28--00:12:28] 某一段
[00:12:28--00:12:29] 其实它就是现在
[00:12:29--00:12:31] 反映到了现在的产品上
[00:12:31--00:12:32] 现在eve也好
[00:12:32--00:12:33] 现在elise也好
[00:12:33--00:12:34] 那就是之前
[00:12:34--00:12:35] 我说的某一段话
[00:12:35--00:12:36] 对
[00:12:36--00:12:36] 所以我觉得大家都是
[00:12:36--00:12:38] 内心中有很多思考
[00:12:38--00:12:39] 在等待一些东西降临的
[00:12:39--00:12:40] 那AI的降临呢
[00:12:40--00:12:42] 就会点燃很多人的
[00:12:42--00:12:42] 很多东西
[00:12:42--00:12:44] 那其实我可能也是
[00:12:44--00:12:45] 其中一个被点燃的
[00:12:45--00:12:45] 产品经理
[00:12:45--00:12:46] 所以时间线
[00:12:46--00:12:47] 已经拉到了
[00:12:47--00:12:49] 2022年
[00:12:49--00:12:50] 你的公司是哪一年成立的
[00:12:50--00:12:51] 2023年
[00:12:51--00:12:52] 自然选择是
[00:12:52--00:12:54] 24年的年初成立的
[00:12:54--00:12:55] 但是23年的下半年
[00:12:55--00:12:55] 我们在准备
[00:12:55--00:12:56] 对
[00:12:56--00:12:58] 那时间集中地学了
[00:12:58--00:12:59] 学了一段时间AI
[00:12:59--00:12:59] 对
[00:12:59--00:13:01] 当时好像
[00:13:01--00:13:02] 就有在听你的播客
[00:13:02--00:13:03] 你的播客当时出了吧
[00:13:03--00:13:04] 对
[00:13:04--00:13:04] 我记得
[00:13:04--00:13:05] 23年的下半年
[00:13:05--00:13:05] 有
[00:13:05--00:13:06] 你听哪一期
[00:13:06--00:13:07] 对
[00:13:07--00:13:08] 当时应该还是有一些
[00:13:08--00:13:10] 是跟大模型相关的
[00:13:10--00:13:10] 当时应该是听了一些
[00:13:10--00:13:11] 你的播客
[00:13:11--00:13:13] 你最早预期
[00:13:13--00:13:14] 你会创业
[00:13:14--00:13:15] 做一家什么样的公司
[00:13:15--00:13:17] 因为当时的叙事
[00:13:17--00:13:18] 还是一个模型的叙事
[00:13:18--00:13:19] 你觉得
[00:13:19--00:13:20] AI时代的产品
[00:13:20--00:13:21] 跟模型的关系
[00:13:21--00:13:22] 是什么样的
[00:13:22--00:13:23] 当时说实话
[00:13:23--00:13:24] 我那个项目本身
[00:13:24--00:13:25] 也叫Project HER
[00:13:25--00:13:27] 其实就是
[00:13:27--00:13:28] 要把电影里面的
[00:13:28--00:13:28] HER做出来
[00:13:28--00:13:29] 但是
[00:13:29--00:13:30] 现在这个东西
[00:13:30--00:13:31] 我也不敢讲了
[00:13:31--00:13:31] 就是因为
[00:13:31--00:13:32] 这个HER这个词
[00:13:32--00:13:34] 其实已经脏掉了
[00:13:34--00:13:35] 因为太多人说要做
[00:13:35--00:13:35] 对吧
[00:13:35--00:13:37] 但当时的初心
[00:13:37--00:13:38] 确实也是做这件事情
[00:13:38--00:13:38] 并且我认为
[00:13:38--00:13:40] 这件事情确实是
[00:13:40--00:13:40] AI时代
[00:13:40--00:13:41] 你肉眼可见的一个
[00:13:41--00:13:44] 最高叙事的事情之一
[00:13:44--00:13:44] 对
[00:13:44--00:13:45] 为什么是
[00:13:45--00:13:47] 肉眼可见的
[00:13:47--00:13:47] AI时代
[00:13:47--00:13:49] 最高叙事之一
[00:13:49--00:13:50] 因为ChatGPT
[00:13:50--00:13:51] 也要做HER
[00:13:51--00:13:51] 然后
[00:13:51--00:13:53] 现在豆包也要做HER
[00:13:53--00:13:53] 那其实本质上
[00:13:53--00:13:55] 大家都想成为
[00:13:55--00:13:56] 你身边
[00:13:56--00:13:58] 陪你过去
[00:13:58--00:13:58] 面对世界的
[00:13:58--00:14:00] AI Agent
[00:14:00--00:14:02] 然后它里面
[00:14:02--00:14:03] 存储了
[00:14:03--00:14:04] 你的所有的记忆
[00:14:04--00:14:05] 它最了解你
[00:14:05--00:14:06] 外界世界的
[00:14:06--00:14:07] 所有的东西
[00:14:07--00:14:07] 都要经过它
[00:14:07--00:14:08] 这个入口
[00:14:08--00:14:10] 才能到你这儿
[00:14:10--00:14:10] 那你的东西
[00:14:10--00:14:11] 会经过它
[00:14:11--00:14:12] 来分发到外面
[00:14:12--00:14:13] 所以这件事情
[00:14:13--00:14:14] 显然它是一个
[00:14:14--00:14:14] 终极的入口
[00:14:14--00:14:16] 所以应该没有人
[00:14:16--00:14:17] 会不认为
[00:14:17--00:14:17] 这是一个
[00:14:17--00:14:18] AI时代最大的叙事
[00:14:19--00:14:20] 之一
[00:14:20--00:14:21] 对
[00:14:21--00:14:21] 我觉得这个说法
[00:14:21--00:14:23] 应该是没有问题的
[00:14:23--00:14:24] 为什么是HER
[00:14:24--00:14:26] 不是一个男他
[00:14:26--00:14:27] 因为HER
[00:14:27--00:14:29] 主要是那个电影叫HER
[00:14:29--00:14:30] 当然它也可以是HIM
[00:14:30--00:14:30] 对吧
[00:14:30--00:14:31] 主要大家说HER
[00:14:31--00:14:33] 主要是因为那个电影嘛
[00:14:33--00:14:34] 所以你最早想做一个
[00:14:34--00:14:35] AI时代的HER
[00:14:35--00:14:37] 然后开始了这个创业
[00:14:37--00:14:39] 是的
[00:14:39--00:14:40] 你决定创业以后
[00:14:40--00:14:41] 做的头几件事情是什么
[00:14:41--00:14:44] 你的团队是怎么搭起来的呀
[00:14:44--00:14:46] 我觉得首先是学习吧
[00:14:46--00:14:47] 首先就要学习AI
[00:14:47--00:14:48] 当然我觉得那段时间
[00:14:48--00:14:49] 应该大家都在学
[00:14:49--00:14:50] 二三年
[00:14:50--00:14:51] 应该在GPT-4左右的时候
[00:14:51--00:14:53] 大家都在开始疯狂地学习
[00:14:53--00:14:54] 那我也一样
[00:14:54--00:14:55] 那就从最底层
[00:14:55--00:14:57] 从最底层的Transformer开始
[00:14:57--00:14:59] 再到各种上层
[00:14:59--00:15:00] 再到所有的周边
[00:15:00--00:15:00] 那这些东西
[00:15:00--00:15:02] 全部都要去搞清楚
