[00:00:01--00:00:03] 为什么你做这件事情比大部分人都早
[00:13:39--00:13:43] 其实15年的时候就有一个非常好的工作叫word of bits
[00:13:43--00:13:44] 当时的idea就是说我们应该把电脑或者互联网作为一个环境的项目
[00:13:44--00:13:48] 当时的idea就是说我们应该把电脑或者互联网作为一个环境的项目
[00:13:48--00:13:51] 这个环境比比游戏更exciting
[00:13:51--00:13:54] 但是当时由于各种技术的局限性
[00:13:54--00:13:57] 这个东西没有做的特别好
[00:13:57--00:14:01] 然后21年的时候我和导师在讨论
[00:14:01--00:14:05] 就是说现在可能是一个很自然的重新做这个事情的时候
[00:14:05--00:14:07] 当然当时我觉得技术也还没有成熟
[00:14:07--00:14:10] 当时大多数人还是在研究
[00:14:10--00:14:12] 比如说这个A能不能导致B
[00:14:12--00:14:14] 或者翻译
[00:14:14--00:14:18] 或者我能不能从这个文章中回答问题
[00:14:18--00:14:22] 当时想去做互联网的agent还是
[00:14:22--00:14:23] 我觉得技术还没有完全成熟
[00:14:23--00:14:26] 但是可能正因为技术没有成熟
[00:14:26--00:14:28] 所以是一个好的时候开始做了
[00:14:28--00:14:33] 然后做到22年我们做了webshop这个environment
[00:14:33--00:14:36] 然后22年的时候就是GBD3
[00:14:36--00:14:39] 包括后来chain of thought的出现
[00:14:39--00:14:42] 我觉得是带来了新的方法上的机会
[00:14:42--00:14:44] 然后我们做了react
[00:14:44--00:14:48] 我现在还是觉得就是我可能我自己最喜欢的工作
[00:14:48--00:14:49] 还是react
[00:14:49--00:14:52] 之后的话就是基于这两个线
[00:14:52--00:14:54] 就是很自然的去做更多的方法
[00:14:54--00:14:55] 还有task
[00:14:55--00:15:03] 但我觉得可能我的研究就是一方面是怎么去做一些有价值的
[00:15:03--00:15:07] 然后更基于现实世界的任务和环境
[00:15:07--00:15:11] 另一方面就是说怎么去做一些简单并且通用的方法
[00:15:11--00:15:14] react提出它有标志一个范式的变化吗
[00:15:14--00:15:18] 我觉得这个事情需要可能比如10年后
[00:15:18--00:15:19] 或者5年后再去看
[00:15:19--00:15:23] 很多时候一个东西刚提出的时候是很难看出来的
[00:15:23--00:15:26] 当时的学术圈还是不太能接受
[00:15:26--00:15:28] 就是说我去做一个prompting
[00:15:28--00:15:31] 然后去把它作为一个research
[00:15:31--00:15:36] 就是传统意义上你需要去提出一些fancy的
[00:15:36--00:15:38] 就是你需要提出一些数学公式
[00:15:38--00:15:40] 你需要去训练一个模型
[00:15:40--00:15:43] 你需要去证明你做了很多理论
[00:15:43--00:15:45] 或者做了很多工程上的事情
[00:15:45--00:15:48] 但是如果你只是去
[00:15:48--00:15:51] 比如说使用一个模型感觉这个太软了
[00:15:51--00:15:56] 不过我觉得从某种程度上来说
[00:15:56--00:15:58] 当时最有价值的事情就是去研究怎么去使用模型
[00:15:58--00:16:00] 因为如果你是想训练模型
[00:16:00--00:16:06] 那实际上你是落后OpenAI或者落后这些公司好几年了
[00:16:06--00:16:07] 对吧
[00:16:07--00:16:10] 然后你做的事情很有可能几年前别人已经发现了
[00:16:10--00:16:11] 那如果你想要做些不一样的事情
[00:16:11--00:16:15] 那可能怎么去使用模型是更有价值的
[00:16:15--00:16:17] 为什么你做这件事情比大部分人都早
[00:16:17--00:16:18] 你觉得是为什么
[00:16:18--00:16:19] 我觉得有幸运的部分
[00:16:19--00:16:22] 就是说我PhD做第一个事情
[00:16:22--00:16:25] 其实就是基于语言模型去做agent
[00:16:25--00:16:28] 然后这个事情我觉得当时做的人很少
[00:16:28--00:16:31] 因为这个事情我觉得可能太难了
[00:16:31--00:16:34] 或者说不是一个被不是一个共识类的事情
[00:16:34--00:16:35] 就是当时共识类的事情
[00:16:35--00:16:38] 就是说我去做问答
[00:16:38--00:16:39] 或者我去做翻译
[00:16:39--00:16:45] 或者我去做一些已经被已经被社区接受的一些任务
[00:16:45--00:16:46] 就是说
[00:16:48--00:16:50] 我觉得我一直有这个非共识
[00:16:50--00:16:53] 就是说我想要去做agent
[00:16:53--00:16:57] 然后另一个点就是说我一直想做简单
[00:16:57--00:16:59] 并且通用的东西
[00:16:59--00:17:00] 就我不想做一个很复杂
[00:17:00--00:17:04] 但是只能在一个领域奏效的东西
[00:17:04--00:17:08] 就比如说当时有很多人就是说我去做
[00:17:08--00:17:10] 比如问答我会设计很复杂的架构
[00:17:10--00:17:13] 然后把这些retrieval
[00:17:13--00:17:18] 就是说我怎么把这些上下文放到你的模型里面去做很多东西
[00:17:18--00:17:21] 但是你最后发现这事情可能只能做一个任务
[00:17:21--00:17:27] 我觉得我一直还是想做简单又通用的东西
[00:17:27--00:17:31] 然后这个事情我觉得传统意义上是很难被接受的
[00:17:31--00:17:33] 因为大家已经习惯了
[00:17:33--00:17:35] 就是说ai就是说你把问题不停的细分
[00:17:35--00:17:39] 然后你去做很多细分的这些方法
[00:17:39--00:17:44] 就是大家可能并没有想要去做一个很简单很通用的事情
[00:17:44--00:17:46] 或者认为这个事情是可能的
[00:17:46--00:17:48] 在
[00:17:48--00:17:51] 比如说20年之前或者
[00:17:51--00:17:53] 今天我们的话题是agent和强化学习
[00:17:53--00:17:55] 这也是你现在的研究方向
[00:17:55--00:17:58] 我们很好奇你会怎么定义agent
[00:17:58--00:18:01] 这是一个很好的问题
[00:18:01--00:18:06] 我觉得这个事情是基于你的context
[00:18:06--00:18:09] 就是基于你的讨论的背景了
[00:18:09--00:18:12] 对就是从历史的角度来说
[00:18:12--00:18:15] 我觉得从自然语言处理的角度来说
[00:18:15--00:18:17] agent是相对于
[00:18:18--00:18:25] 一个产生文章或者产生对话的系统而言
[00:18:25--00:18:29] 我能够去和外界进行交互
[00:18:29--00:18:32] 比如说使用计算器或者使用互联网
[00:18:32--00:18:34] 或者使用这些这些tool
[00:18:34--00:18:38] 我觉得从自然语言处理的角度来说
[00:18:38--00:18:45] agent其实就是我不仅能够产生新的文章或者新的思考
[00:18:45--00:18:47] 我还能够和外界进行交互
[00:18:47--00:18:48] 但是
[00:18:48--00:18:51] 从AI的更大的这个背景来说
[00:18:51--00:18:53] 就agent是一个非常古老的概念
[00:18:53--00:18:57] 就是说任何你可以去做自我决策和环境交互
[00:18:57--00:19:01] 然后这个optimize reward
[00:19:01--00:19:04] 就是让他的这个奖励变大的这样的系统
[00:19:04--00:19:06] 就都是agent
[00:19:06--00:19:07] 从这个角度来说
[00:19:07--00:19:11] 今天的agent的这个词的这个含义
[00:19:11--00:19:12] 可能更多的是说
[00:19:12--00:19:15] 我怎么基于像语言模型这样大模型
[00:19:15--00:19:18] 能够去做自我决策
[00:19:18--00:19:20] 的这样的agent的系统
[00:19:20--00:19:21] 而不是传统的
[00:19:21--00:19:25] 比如说单纯基于规则
[00:19:25--00:19:27] 或者基于在一个领域做强化学习
[00:19:27--00:19:29] 所获得的这样的agent
[00:19:29--00:19:33] 因为agent这个词在不同的年代
[00:19:33--00:19:35] 有很多不同的形式
[00:19:35--00:19:35] 对吧
[00:19:35--00:19:37] 你也可以说alpha go是一个agent
[00:19:37--00:19:39] 你也可以说vimo是一个agent
[00:19:39--00:19:41] 你可以说这个robot是一个agent
[00:19:41--00:19:44] 我觉得这个词很基于你的情境
[00:19:44--00:19:45] 对
[00:19:45--00:19:46] 你提出这个语言agent
[00:19:46--00:19:47] 它和其他之前的传统语言系统是一样的
[00:19:47--00:19:48] 传统的agent
[00:19:48--00:19:49] 它的本质区别是什么
[00:19:49--00:19:51] 为什么语言agent更本质
[00:19:51--00:19:53] 我觉得本质区别是可以推理
[00:19:53--00:19:55] 因为推理才可以犯话
[00:19:55--00:19:57] 就举个简单的例子
[00:19:57--00:19:59] 我觉得我做react
[00:19:59--00:20:01] 一个很强的motivation
[00:20:01--00:20:03] 就是说我做完com
[00:20:03--00:20:05] 就是我的第一个工作之后
[00:20:05--00:20:06] 就是我在思考一个事情
[00:20:06--00:20:09] 就是说为什么我可以
[00:20:09--00:20:11] 一下子就去玩一个新的游戏
[00:20:11--00:20:14] 但是现在这些系统或者AI
[00:20:14--00:20:16] 需要比如说几十万步
[00:20:16--00:20:16] 或者几万步
[00:20:16--00:20:17] 或者几百万步的训练
[00:20:17--00:20:19] 你才能去做这个事情
[00:20:19--00:20:23] 然后我就发现
[00:20:23--00:20:24] 好像是因为我可以思考
[00:20:24--00:20:24] 对吧
[00:20:24--00:20:26] 就是说我看到一个全新的环境
[00:20:26--00:20:27] 我会思考
[00:20:27--00:20:30] 就是说这个灯是黑的
[00:20:30--00:20:31] 那可能有危险
[00:20:31--00:20:33] 然后基于这个常识
[00:20:33--00:20:34] 可能会有怪兽
[00:20:34--00:20:36] 那可能我现在最重要的事情
[00:20:36--00:20:37] 是要点亮灯
[00:20:37--00:20:40] 然后基于之前的上下文
[00:20:40--00:20:41] 灯在我后面
[00:20:41--00:20:43] 那我应该先向后走
[00:20:43--00:20:45] 那如果我没有这样的一个思考能力
[00:20:45--00:20:47] 我直接从这样一个复杂的
[00:20:47--00:20:49] 这个语言
[00:20:49--00:20:51] 直接去预测
[00:20:51--00:20:52] 我要去往后走
[00:20:52--00:20:53] 这个事情很难
[00:20:53--00:20:57] 就是没有推理是做不到的
