[00:00:03--00:00:04] Hello 大家好,我是小骏
[00:00:04--00:00:07] 2026年除了嘉宾访谈
[00:02:13--00:02:14] 然后呢
[00:02:14--00:02:16] 与这个很多我觉得在科技圈
[00:02:16--00:02:19] 尤其是在巨深圈创业的leader不一样
[00:02:19--00:02:23] 我其实刚毕业了以后的经历有一些复杂
[00:02:23--00:02:27] 那我其实在这个电商做过这个动态定价的
[00:02:27--00:02:29] 这个AI算法的这个负责人
[00:02:29--00:02:30] 电商哪家公司
[00:02:30--00:02:32] 其实当时叫J.com
[00:02:32--00:02:35] 那它是一个希望去颠覆亚马逊的一家
[00:02:35--00:02:37] 这个新兴的创业的公司
[00:02:37--00:02:39] 然后很迅速的去融了很多钱
[00:02:39--00:02:40] 最后
[00:02:41--00:02:42] 其实被沃尔玛收购了
[00:02:42--00:02:44] 那当然在这个之后
[00:02:44--00:02:47] 其实我还做过这个产品经理
[00:02:47--00:02:48] 就也负责过产品
[00:02:48--00:02:53] 所以其实我一直是在算法以及落地之间
[00:02:53--00:02:55] 就再去思考我的下一步
[00:02:55--00:02:57] 那直到2018年的时候
[00:02:57--00:02:59] 我特别幸运去了硅谷
[00:02:59--00:03:00] 加入了Cruze
[00:03:00--00:03:03] 那是当时可能最领先的
[00:03:03--00:03:05] 或者最领先的V2的两家
[00:03:05--00:03:06] 一家是vimo
[00:03:06--00:03:09] 一家是Cruze的L4的自动驾驶公司
[00:03:09--00:03:10] 去Cruze
[00:03:10--00:03:12] 去负责自动驾驶的仿真
[00:03:12--00:03:15] 那这也是我第一次在整个行业
[00:03:15--00:03:19] 真正的去验证了仿真以及合成数据
[00:03:19--00:03:21] 它们并不是一个玩具
[00:03:21--00:03:25] 它们真正可以有效的去支持到算法的眼睛
[00:03:25--00:03:27] 在这个之后呢
[00:03:27--00:03:29] 我去了这个英伟达
[00:03:29--00:03:31] 在英伟达负责自动驾驶仿真
[00:03:31--00:03:34] 其实也就是在英伟达的时间
[00:03:34--00:03:36] 也就是2021年
[00:03:36--00:03:36] 我刚加入
[00:03:36--00:03:39] 我就发现了一个可能很颠覆我的一个认知
[00:03:40--00:03:42] 我发现在英伟达
[00:03:42--00:03:45] 他们就是在车端的这个芯片
[00:03:45--00:03:49] Aurene最大的客户不是vimo和Cruze
[00:03:49--00:03:51] 而是魏小李
[00:03:51--00:03:53] 那这个给我的一个很大的一个震撼
[00:03:53--00:03:56] 让我意识到可能自动驾驶的下一代
[00:03:56--00:03:57] 不会在美国
[00:03:57--00:03:58] 不会在硅谷
[00:03:58--00:03:59] 而会在中国
[00:03:59--00:04:01] 那我必须要回国
[00:04:01--00:04:04] 所以其实刚刚加入英伟达六个月的时间
[00:04:04--00:04:07] 我就携家带口回国
[00:04:07--00:04:08] 加入了蔚来
[00:04:08--00:04:09] 到蔚来去负责他的自动驾驶的时间
[00:04:09--00:04:11] 在这儿呢
[00:04:11--00:04:13] 我也特别感谢我的太太
[00:04:13--00:04:16] 她当时给我很大的一个支持
[00:04:16--00:04:20] 就抛弃了可能在美国的很多的工作朋友经历
[00:04:20--00:04:22] 然后和我一块回国
[00:04:22--00:04:24] 那当然就是说
[00:04:24--00:04:25] 回国了以后
[00:04:25--00:04:27] 我在蔚来真正的去
[00:04:27--00:04:30] 从一个主机场的角度去实践这个仿真
[00:04:30--00:04:33] 把它搭建成了一套的这个数据闭环
[00:04:33--00:04:39] 可以支持到比方说自动驾驶算法的合成数据训练
[00:04:39--00:04:41] 以及大规模的评测和落地
[00:04:41--00:04:44] 那当然这个时候我也产生了很多的一个思考
[00:04:44--00:04:45] 就是说
[00:04:45--00:04:48] 仿真它到底只是一个加速器的一个作用
[00:04:48--00:04:50] 是一个锦上添花的一个作用
[00:04:50--00:04:54] 还是说它是一个更加偏第一性的
[00:04:54--00:04:58] 它是一个更加偏一个前提条件
[00:04:58--00:05:00] 我那个时候就越来越感觉到
[00:05:00--00:05:04] 自动驾驶可能仿真更多的是一个加速器
[00:05:04--00:05:06] 而对于机器人
[00:05:06--00:05:07] 巨神智能
[00:05:07--00:05:08] 它可能更会是一个
[00:05:08--00:05:09] 先决条件
[00:05:09--00:05:11] 有了这个思考了以后
[00:05:11--00:05:14] 特别是赶上了大模型的这个演进
[00:05:14--00:05:16] 那么在2023年
[00:05:16--00:05:18] 我和我的连创严海波
[00:05:18--00:05:20] 一起决定成立光轮智能
[00:05:20--00:05:24] 那其实出发点就是希望用这个仿真
[00:05:24--00:05:27] 用合成数据来加速机器人这个产业
[00:05:27--00:05:31] 为什么你刚毕业的工作经历会相对其他人更杂一些
[00:05:31--00:05:32] 你当时在寻找什么
[00:05:32--00:05:34] 很好的问题
[00:05:34--00:05:36] 我觉得其实我个人也在寻找
[00:05:36--00:05:37] 就是说
[00:05:37--00:05:38] 我能够对哪一个机器人的目标
[00:05:38--00:05:39] 一个行业
[00:05:39--00:05:40] 对哪一件事
[00:05:40--00:05:42] 能够产生最大的一个贡献
[00:05:42--00:05:45] 这个贡献可能不是一个锦上添花
[00:05:45--00:05:45] 而是说
[00:05:45--00:05:50] 我真正可以成为一个前提条件
[00:05:50--00:05:51] 来真正改变一个行业
[00:05:51--00:05:52] 那我呢
[00:05:52--00:05:54] 其实本科是学物理的
[00:05:54--00:05:55] 物理其实很难
[00:05:55--00:05:57] 我刚加入北大物理的时候
[00:05:57--00:05:58] 是年纪110名
[00:05:58--00:06:01] 我可能花了三年的时间
[00:06:01--00:06:04] 每天晚上可能两点钟睡觉
[00:06:04--00:06:06] 包括这个寒暑假都没有回过家
[00:06:06--00:06:08] 都在学校
[00:06:08--00:06:08] 那最后可能
[00:06:08--00:06:09] 是进了年纪前五
[00:06:09--00:06:12] 那这个经历给我的感受
[00:06:12--00:06:13] 就是说第一
[00:06:13--00:06:15] 确实是这个通过努力
[00:06:15--00:06:18] 你确实是可以去做得更好
[00:06:18--00:06:20] 但是第二的话呢
[00:06:20--00:06:22] 其实天赋还是最关键的
[00:06:22--00:06:24] 那我觉得我可能还是缺少了
[00:06:24--00:06:25] 对于物理的天赋
[00:06:25--00:06:26] 后来去金融呢
[00:06:26--00:06:27] 也是看到了
[00:06:27--00:06:29] 当时可能从物理
[00:06:29--00:06:31] 从数学走得最好的这些同学
[00:06:31--00:06:33] 可能都去了金融这个行业
[00:06:33--00:06:35] 但是真正去读了博士了以后
[00:06:35--00:06:36] 才发现
[00:06:36--00:06:38] 这个行业其实开始欠缺了
[00:06:38--00:06:39] 一些创新
[00:06:39--00:06:41] 且对这个社会可能没有太大的一个
[00:06:41--00:06:43] 从我角度来讲
[00:06:43--00:06:44] 真正的一个贡献
[00:06:44--00:06:46] 那我希望更加投身到一个科技行业
[00:06:46--00:06:49] 那么去了科技行业了以后呢
[00:06:49--00:06:50] 其实我也是在寻找
[00:06:50--00:06:52] 我最有价值的地方
[00:06:52--00:06:54] 我认为从产品端来讲的话呢
[00:06:54--00:06:56] 我特别希望去做一件事
[00:06:56--00:06:57] 真正能让它有效的去落地
[00:06:57--00:07:00] 就是给用户来提升价值
[00:07:00--00:07:01] 但是呢
[00:07:01--00:07:02] 其实做了一段时间
[00:07:02--00:07:03] 又发现
[00:07:03--00:07:06] 这件事可能缺少了一些技术的难度
[00:07:06--00:07:08] 一些实质的挑战
[00:07:08--00:07:10] 不够颠覆性
[00:07:10--00:07:13] 所以确实是抱着这些的这个想法
[00:07:13--00:07:15] 我在不断的去寻找
[00:07:15--00:07:17] 那当然我觉得我最幸运的就是可能
[00:07:17--00:07:19] 从18年开始
[00:07:19--00:07:20] 我真正的找到了
[00:07:20--00:07:22] 我觉得最有意义的事情
[00:07:22--00:07:24] 且我认为它可能能够成为一个产品
[00:07:24--00:07:26] 能够成为一个商业模式
[00:07:26--00:07:28] 那这个就是仿真
[00:07:28--00:07:31] 我记得我好像见过你的某一个师兄弟
[00:07:31--00:07:32] 应该也是北大物理系的
[00:07:32--00:07:33] 然后他说你是很少见的
[00:07:33--00:07:35] 在北大物理系读了本科
[00:07:35--00:07:38] 然后很快就去哥伦比亚读商学院的
[00:07:38--00:07:40] 那你的特质跟你的同龄人有什么不一样
[00:07:40--00:07:44] 我觉得我的特质的话就是说
[00:07:44--00:07:46] 我可能希望做一件事
[00:07:46--00:07:47] 要不然就不做
[00:07:47--00:07:49] 要做就能够做到最好
[00:07:49--00:07:51] 这个最好
[00:07:51--00:07:55] 是一个可能在国际上能够做到第一名
[00:07:55--00:07:55] 第二名
[00:07:55--00:07:56] 或者说
[00:07:56--00:07:57] 除了我之外
[00:07:57--00:07:58] 就没有人能够做得更好
[00:07:58--00:08:00] 这样一个级别
[00:08:00--00:08:01] 另外呢
[00:08:01--00:08:01] 就是说
[00:08:01--00:08:03] 我觉得还有一个特质就是
[00:08:03--00:08:05] 我比较希望去找一个区分度
[00:08:05--00:08:08] 去哥伦比亚大学商学院
[00:08:08--00:08:08] 其实一方面
[00:08:08--00:08:09] 是因为我的学习
[00:08:09--00:08:12] 各方面可能确实是比较好
[00:08:12--00:08:14] 但是其实最主要的原因是
[00:08:14--00:08:16] 我想清了我不适合做物理
[00:08:16--00:08:18] 那我其实觉得在那个时间点
[00:08:18--00:08:20] 和我的同龄人比的话
[00:08:20--00:08:22] 我觉得可能我的思考会更多一些
[00:08:22--00:08:24] 因为我不断地在去找
[00:08:24--00:08:24] 就是说
[00:08:24--00:08:26] 我在哪一个方面
[00:08:26--00:08:27] 可能能够有真正的一个优势
[00:08:27--00:08:29] 能够与别人不一样
[00:08:29--00:08:30] 你找到了吗
[00:08:30--00:08:33] 我认为其实当时是没有找到
[00:08:33--00:08:35] 那我认为现在我找到了
[00:08:35--00:08:37] 其实我没有讲的是
[00:08:37--00:08:38] 我在本科的时候
[00:08:38--00:08:39] 也创过业
[00:08:39--00:08:41] 我在博士的时候也创过业
[00:08:41--00:08:42] 我在本科其实
[00:08:42--00:08:44] 经历更加复杂一些
[00:08:44--00:08:46] 在大三的时候
[00:08:46--00:08:47] 到了年纪前五了以后
[00:08:47--00:08:48] 我就开始放飞了
[00:08:48--00:08:50] 因为我觉得就是这个
[00:08:50--00:08:51] 大三到了年纪前五
[00:08:51--00:08:51] 对
[00:08:51--00:08:53] 这个成绩足够
[00:08:53--00:08:55] 我来去出国申请一个名校
[00:08:55--00:08:58] 那后面的成绩就没有那么关键了
[00:08:58--00:09:00] 那这个时候我就在想
[00:09:00--00:09:01] 那我缺失的是什么
[00:09:01--00:09:03] 我缺失的可能是
[00:09:03--00:09:06] 真正的这种社团的体验
[00:09:06--00:09:06] 国际的经历
[00:09:06--00:09:07] 因为
[00:09:08--00:09:11] 我可能寒窗苦读了这个三年的时间
[00:09:11--00:09:13] 而我的同学们可能
[00:09:13--00:09:16] 就都有各种各样的这个不一样的经历
[00:09:16--00:09:17] 那所以呢
[00:09:17--00:09:20] 我就当时就申请去哥伦比亚大学
[00:09:20--00:09:22] 去交换了一年
[00:09:22--00:09:25] 那在那一年其实是给我感受很深
[00:09:25--00:09:27] 当时是金融危机
[00:09:27--00:09:29] 那我08年的时候
[00:09:29--00:09:31] 那我确实也是这个
[00:09:31--00:09:33] 感受到了很多不一样的这个世界
[00:09:33--00:09:35] 学到了很有意思的课程
[00:09:35--00:09:36] 交了很多的朋友
[00:09:36--00:09:38] 同时呢也让我看到像我这个人呢
[00:09:38--00:09:38] 同时呢也让我看到像我这个人呢
[00:09:38--00:09:40] 这样的人很希望去
[00:09:40--00:09:42] 有这种在本科出国的经历
[00:09:42--00:09:44] 那很有可能北大
[00:09:44--00:09:46] 清华很多这种高校的
[00:09:46--00:09:48] 同学们他们也都希望
[00:09:48--00:09:49] 有这样一个经历
[00:09:49--00:09:52] 能够在本科的时候更好的就感受一个
[00:09:52--00:09:53] 这个世界
[00:09:53--00:09:55] 找到他们下一步的方向
[00:09:55--00:09:57] 所以我当时就组织了这样一个
[00:09:57--00:10:00] 学习团 交流团
[00:10:00--00:10:02] 那么等于是在
[00:10:02--00:10:03] 北大的时候当时就办了几次
[00:10:03--00:10:06] 那带了很多的这个同学们
[00:10:06--00:10:08] 当时这个出国到美国
[00:10:08--00:10:10] 包括其实在博士的时候
[00:10:10--00:10:12] 我当时也有点闲不住
[00:10:12--00:10:14] 也创了个业
[00:10:14--00:10:16] 那在博士的时候呢
[00:10:16--00:10:18] 当时就是我养了一只狗
[00:10:18--00:10:20] 它的名字叫土豆
[00:10:20--00:10:23] 它是一个特别可爱的一只八哥
[00:10:23--00:10:25] 在它三个月的时候
[00:10:25--00:10:26] 被查出来有这个心脏病
[00:10:26--00:10:28] 让我就很伤心
[00:10:28--00:10:30] 由于对它的这个爱
[00:10:30--00:10:32] 然后也由于就是说
[00:10:32--00:10:34] 跟很多的狗友去交流
[00:10:34--00:10:36] 我发现可能一方面为了土豆
[00:10:36--00:10:38] 一方面为了狗友这个社区
[00:10:38--00:10:40] 可能需要一个应用
[00:10:40--00:10:41] 移动应用
[00:10:41--00:10:43] 来帮助大家更好的去维系
[00:10:43--00:10:44] 大家之间的关系
[00:10:44--00:10:47] 也让大家更好的去维系他们跟狗
[00:10:47--00:10:48] 这样的一个连接
[00:10:48--00:10:51] 所以我当时就下载了很多的APP
[00:10:51--00:10:53] 可能下载了有500多个APP
[00:10:53--00:10:54] 在我的手机上
[00:10:54--00:10:56] 然后一个一个的去尝试
[00:10:56--00:10:57] 自学设计
[00:10:57--00:10:59] 自学写代码
[00:10:59--00:11:01] 然后把这个APP给开发出来
[00:11:01--00:11:02] 第一次科技创业
[00:11:02--00:11:04] 第一次科技创业
[00:11:04--00:11:05] 对然后做了一个狗友的应用
[00:11:05--00:11:08] 当时这个狗友应用其实还在
[00:11:08--00:11:10] 在北美是排名
[00:11:10--00:11:13] 可能是前三的狗友的社交应用
[00:11:13--00:11:15] 基本上都是五分的这个review
[00:11:15--00:11:16] 其实还是比较火的
[00:11:16--00:11:19] 但是我觉得一个问题就是
[00:11:19--00:11:21] 我当时其实没有去思考商业模式
[00:11:21--00:11:24] 所以做完了以后其实也很难去商业化
[00:11:24--00:11:26] 其实当时有几个硅谷的VC
[00:11:26--00:11:28] 给我这个term sheet
[00:11:28--00:11:30] 希望给我这个投资
[00:11:30--00:11:33] 但是当时我也接近博士的毕业
[00:11:33--00:11:35] 我想了想觉得还是算了
[00:11:35--00:11:37] 因为可能这个确实也不是我
[00:11:38--00:11:39] 刚希望去
[00:11:39--00:11:40] 追求的一个方向
[00:11:40--00:11:42] 同时呢我觉得没有一个商业模式
[00:11:42--00:11:44] 我也不希望去
[00:11:44--00:11:45] 拿投资人的钱
[00:11:45--00:11:46] 去浪费他们的钱
[00:11:46--00:11:47] 也浪费自己的时间
[00:11:47--00:11:49] 所以我后来就把这个
[00:11:49--00:11:50] 公司给关掉了
[00:11:50--00:11:51] 做了多长时间啊这个公司
[00:11:51--00:11:53] 这个公司大概做了三年的时间
[00:11:53--00:11:54] 三年到博士毕业
[00:11:54--00:11:56] 到博士毕业
[00:11:56--00:11:57] 你前面
[00:11:57--00:12:00] 工作经历非常的窄是不是因为你一直在pass很多事情
[00:12:00--00:12:02] 你发现很多事情其实不适合自己
[00:12:02--00:12:02] 没错
[00:12:02--00:12:03] 其实我觉得
[00:12:03--00:12:06] 不同的人不一样我举个例子
[00:12:06--00:12:07] 我觉得可能巴菲特
[00:12:07--00:12:08] 和朗朗
[00:12:08--00:12:10] 他们很幸运
[00:12:10--00:12:12] 一方面我觉得他们很棒他们能力很强
[00:12:12--00:12:16] 一方面他们很幸运他们可能在10岁的时候
[00:12:16--00:12:18] 就找到了他们擅长什么
[00:12:18--00:12:20] 可能巴菲特在10岁的时候发现
[00:12:20--00:12:21] 他特别喜欢股票
[00:12:21--00:12:23] 他也擅长投资
[00:12:23--00:12:26] 朗朗可能在10岁的时候发现他擅长弹钢琴
[00:12:26--00:12:31] 我觉得我其实花了很多的时间发现自己不擅长什么
[00:12:31--00:12:34] 我必须得去通过试错才能知道自己不擅长什么
[00:12:34--00:12:36] 但是我可能就没有那么幸运
[00:12:36--00:12:37] 我可能花了很长的时间
[00:12:37--00:12:40] 才真正发现自己擅长什么
[00:12:40--00:12:41] 擅长的是
[00:12:41--00:12:43] 我认为我擅长的是
[00:12:43--00:12:47] 基于一个更加颠覆性的技术科技
[00:12:47--00:12:49] 打造一个产品
[00:12:49--00:12:52] 并且用这个产品去真正的支撑一个产业
[00:12:52--00:12:54] 我觉得这个是我擅长的
[00:12:54--00:12:57] 为什么你最后选择在仿真这个领域
[00:12:57--00:12:58] 算是深耕吧
[00:12:58--00:13:00] 而且很快从去了英伟达只有六个月
[00:13:00--00:13:02] 然后就加入了蔚来
[00:13:02--00:13:04] 其实你后面换的其实也挺快的
[00:13:04--00:13:06] 就是在每个公司工作时间都不久
[00:13:06--00:13:07] 是的我觉得
[00:13:07--00:13:10] 首先是我相信仿真的魔力
[00:13:10--00:13:14] 这个其实是我当时去Cruise的时候发现的
[00:13:14--00:13:18] 在我去领导Cruise的仿真之前
[00:13:18--00:13:20] 实话实说仿真是一个玩具
[00:13:20--00:13:23] 或者说它更多的是Cruise
[00:13:23--00:13:24] 给投资人
[00:13:24--00:13:25] 展示的一个demo tool
[00:13:25--00:13:28] 那么它其实是用这个游戏引擎
[00:13:28--00:13:32] 用这个比较传统的这套的技术美术
[00:13:32--00:13:35] 去打造了这个看起来很真的一个世界
[00:13:35--00:13:36] 车
[00:13:36--00:13:37] 然后用它去生成了
[00:13:37--00:13:38] 很大量的数据
[00:13:38--00:13:40] 但是这个数据其实
[00:13:40--00:13:41] 算法的团队
[00:13:41--00:13:43] 比方说当时感知的团队
[00:13:43--00:13:46] 并没有办法有效的去用到它
[00:13:46--00:13:48] 或者说其实用了以后其实效果
[00:13:48--00:13:50] 训练出来的模型的效果是降低的
[00:13:50--00:13:51] 而不是升高的
[00:13:51--00:13:53] 其实CEO也比较卷的一个人
[00:13:53--00:13:54] 他叫Cal
[00:13:54--00:13:55] 他比较卷的一个人
[00:13:55--00:13:56] 他拉我过来就是
[00:13:56--00:13:59] 希望让我去解决这个问题
[00:13:59--00:14:02] 当时给我的时间可能是三个月的时间
[00:14:02--00:14:04] 那当时其实压力也比较大
[00:14:04--00:14:06] 第一步其实
[00:14:06--00:14:07] 我可能跟别人不一样
[00:14:07--00:14:09] 就是说我的背景比较复杂一些
[00:14:09--00:14:10] 我既有物理的背景
[00:14:10--00:14:11] 我有量化
[00:14:11--00:14:12] 我还有AI的背景
[00:14:12--00:14:15] 所以我第一步做的事其实不是去提升仿真
[00:14:15--00:14:17] 而是去评价仿真
[00:14:17--00:14:19] 得到了一套评价的准则了以后
[00:14:19--00:14:20] 第二步才真正的用
[00:14:20--00:14:22] 生成式AI
[00:14:22--00:14:23] 以及仿真的一个结合
[00:14:23--00:14:24] 真正的去提升它
[00:14:24--00:14:27] 那同时与算法有效的去迭代
[00:14:27--00:14:28] 真正的去
[00:14:28--00:14:30] 把这个数据喂到了算法了以后
[00:14:30--00:14:32] 真正看到了一个提升
[00:14:32--00:14:35] 这个点是我真正的看到的一个
[00:14:35--00:14:37] 很特殊的一个时间点
[00:14:37--00:14:40] 它让我真正的相信了这件事
[00:14:40--00:14:40] 那当然
[00:14:40--00:14:43] 我当时为什么去英伟达是因为
[00:14:43--00:14:48] 当然一方面就是说英伟达老黄他们确实看到了我在
[00:14:48--00:14:49] 自动现场仿真做的不错
[00:14:49--00:14:52] 那他们确实在找这样一个负责人
[00:14:52--00:14:54] 但是第二呢就是说
[00:14:54--00:14:56] 从我的角度其实我也在
[00:14:56--00:14:57] 我也在不断的给自己
[00:14:57--00:15:00] 抛反力也在challenge自己
[00:15:00--00:15:03] 就是凭什么我就认为我是仿真做的最好的
[00:15:03--00:15:05] 因为其实当时那个阶段
[00:15:05--00:15:07] 威某有威某自己的做法
[00:15:07--00:15:09] Krus有Krus自己的做法
[00:15:09--00:15:11] 整个行业还没有完全收敛
[00:15:11--00:15:13] 所以也很难说谁对谁错
[00:15:13--00:15:17] 那我觉得英伟达他的优势就是他作为一个供应商
[00:15:17--00:15:19] 那我认为我应该从一个
[00:15:19--00:15:21] 我认为我已经具备了
[00:15:21--00:15:22] L4的这个角度了
[00:15:22--00:15:24] 我再去威某可能意义不大
[00:15:24--00:15:28] 但是呢我如果去一个供应商我能够从供应商的角度
[00:15:28--00:15:30] 去看应该怎么去做仿真
[00:15:30--00:15:32] 那时候英伟达多大
[00:15:32--00:15:34] 21年的时候那个时候
[00:15:34--00:15:36] 可能一万人
[00:15:36--00:15:41] 但是他的这个自动驾驶团队已经发展了几年的时间了
[00:15:41--00:15:44] 其实英伟达在自动驾驶上投入还是比较高的
[00:15:44--00:15:49] 那时候从Krus跳槽到英伟达是一个主流选择吗
[00:15:49--00:15:52] 其实当时我觉得很多人还没有看懂英伟达
[00:15:52--00:15:54] 实话实说
[00:15:54--00:15:56] 我当时也没有那么看懂
[00:15:56--00:15:58] 直到我进入了英伟达我才看懂他
[00:15:58--00:15:59] 现在后悔离职吗
[00:15:59--00:16:01] 没有后悔离职
[00:16:01--00:16:05] 对但是就是说我确实当时在英伟达内部的时候
[00:16:05--00:16:06] 当时真正让我感觉到
[00:16:06--00:16:09] 英伟达是一家极其硬科技的公司
[00:16:09--00:16:11] 我当时记得我跟我太太说
[00:16:11--00:16:11] 我说
[00:16:11--00:16:13] 其实不要小看英伟达
[00:16:13--00:16:15] 他不是一个游戏卡的公司
[00:16:15--00:16:16] 他不只是一个GPU的公司
[00:16:16--00:16:17] 他是一个
[00:16:17--00:16:19] 加速计算的平台的公司
[00:16:19--00:16:21] 他是一个全站的一个公司
[00:16:21--00:16:23] 这个是我当时真正在内部的时候看到的
[00:16:23--00:16:24] 那当然就是说
[00:16:24--00:16:26] 我觉得在英伟达其实让我看到了
[00:16:26--00:16:29] 从供应商角度应该如何去做仿真
[00:16:29--00:16:31] 但是我为什么去未来
[00:16:31--00:16:33] 一方面我觉得是回国
[00:16:33--00:16:34] 另外一方面呢
[00:16:34--00:16:36] 我觉得我希望从一个客户角度
[00:16:36--00:16:39] 从一个因为如果说我认为将来
[00:16:39--00:16:40] 最大的
[00:16:40--00:16:43] 仿真的需求会是来自于主机厂
[00:16:43--00:16:44] 因为他们都会自研自己的
[00:16:44--00:16:45] 自动驾驶
[00:16:45--00:16:47] 那么我应该从一个主机厂角度
[00:16:47--00:16:49] 真正看
[00:16:49--00:16:50] 应该如何去利用仿真
[00:16:50--00:16:51] 同时我觉得
[00:16:51--00:16:55] 我也很难去回答我自己另外一个问题就是
[00:16:55--00:16:57] 为什么这件事一定要出来做
[00:16:57--00:16:59] 是不是在里头做就够了
[00:16:59--00:17:01] 所以我觉得我需要从多方的视角
[00:17:01--00:17:03] 真正让我自己
[00:17:03--00:17:04] 真正的理解透
[00:17:04--00:17:05] 这件事
[00:17:05--00:17:06] 真正在
[00:17:06--00:17:08] 不做有这么一个机会
[00:17:08--00:17:09] 你说仿真不是玩具
[00:17:09--00:17:10] 那仿真是什么呢
[00:17:10--00:17:12] 这是一个很好的问题
[00:17:12--00:17:14] 实话是说我最早的时候
[00:17:14--00:17:16] 我一直管仿真叫时间机器
[00:17:16--00:17:18] 假如说没有仿真可能
[00:17:18--00:17:20] 自动驾驶要花
[00:17:20--00:17:21] 15年的时间有了仿真
[00:17:21--00:17:23] 每周五年的时间可以达到
[00:17:23--00:17:25] 我认为它是一个加速器
[00:17:25--00:17:26] 为什么这么说因为
[00:17:26--00:17:28] 自动驾驶最主要的数据来源
[00:17:28--00:17:32] 还是来自于真实世界来自于车开回来的数据
[00:17:32--00:17:33] 它的数据好采集
[00:17:33--00:17:34] 它的数据很好采集
[00:17:34--00:17:36] 它其实本质上来讲是一个
[00:17:36--00:17:38] 一个被动的因为都是
[00:17:38--00:17:40] 买了车的司机
[00:17:40--00:17:41] 对吧然后开回来的数据
[00:17:41--00:17:42] 它其实更加
[00:17:42--00:17:44] 希望通过仿真做的是两件事
[00:17:44--00:17:47] 一件事是补充一些边角的场景
[00:17:47--00:17:49] 就是俗称的corner case
[00:17:49--00:17:51] 那么可能是路上的一些
[00:17:51--00:17:52] 比较偶发的事件
[00:17:52--00:17:54] 还有一个是用仿真
[00:17:54--00:17:56] 去做一些评测因为
[00:17:56--00:17:58] 在仿真里头
[00:17:58--00:18:00] 可以有更好的一个重复性
[00:18:00--00:18:02] 那么可以重复的去验证
[00:18:02--00:18:04] 他们算法的有效性
[00:18:04--00:18:06] 做回归的测试但是呢
[00:18:06--00:18:07] 我当时的想法是
[00:18:07--00:18:08] 仿真难道
[00:18:08--00:18:10] 只可以作为一个时间机器吗
[00:18:10--00:18:12] 有没有可能它对于AI
[00:18:12--00:18:14] 对于后面AI的发展
[00:18:14--00:18:16] 会类似于英伟达的卡一样
[00:18:16--00:18:17] 没有英伟达
[00:18:17--00:18:18] AI就不会发展
[00:18:18--00:18:19] 而不是说
[00:18:19--00:18:20] 有了它
[00:18:20--00:18:22] 它只会发展的更快
[00:18:22--00:18:24] 那在这个时间点上呢我就开始去
[00:18:24--00:18:26] 看机器人这个产业
