[00:00:00--00:00:08] 那接下来我们把时间交给马晓彤博士,来给我们分享他们在这个方向上最新的观点。
[00:04:11--00:04:14] 然后形成一个很好的大的rl loop,
[00:04:14--00:04:17] 然后这是我们公司的一些background,
[00:04:17--00:04:22] 然后接下来就是我会分享一些我们在research上面做的一些东西,
[00:04:22--00:04:27] 然后我们公司整体就是我们lab这个团队整体关注的一个核心的topic,
[00:04:27--00:04:29] 就是做lora rl,
[00:04:29--00:04:35] 然后去年其实thinking machine在9月发布了一个关于lora rl的工作以后,
[00:04:35--00:04:41] 可能lora作为一个很早的这样的一个paths的方法,
[00:04:41--00:04:44] 然后又重新回到了整个大众的视野里面来,
[00:04:44--00:04:49] 核心其实就是因为r大型的很大的moe,
[00:04:49--00:04:51] 它是非常适合用lora rl去做的,
[00:04:51--00:04:53] 然后这个我待会可以展开一下,
[00:04:53--00:04:57] 然后我们是第一个在万一参数模型上面,
[00:04:57--00:05:01] 就是实现了lora rl的一个团队,
[00:05:01--00:05:05] 然后当时还是有不小的一些业界的影响,
[00:05:05--00:05:11] 然后NVIDIA也把我们做的工作挂到他们的官网上面,
[00:05:11--00:05:17] 然后之所以我们会选择去做lora rl是因为有四个核心的判断,
[00:05:17--00:05:19] 然后第一就是当我们去做rl的时候,
[00:05:19--00:05:23] 其实更大的base带来更好的一些pray,
[00:05:23--00:05:27] 然后右下角其实是我们做的一个实验,
[00:05:27--00:05:31] 就是在不同尺度的base model上面我们来做rl,
[00:05:31--00:05:36] 然后都是用就是微调或者是全量微调的方法,
[00:05:36--00:05:39] 然后就是这样的话我们会发现就是在更大的base上,
[00:05:39--00:05:41] 然后调更少参数,
[00:05:41--00:05:43] 其实带来的提升是更大的,
[00:05:43--00:05:45] 其实我算的是它headroom的提升,
[00:05:45--00:05:49] 就是我忽略掉它base model本身的这个基线是多少,
[00:05:49--00:05:52] 然后我只看它最后在剩余的空间提升了多少,
[00:05:52--00:05:55] 然后它都是可以带来更多的提升的,
[00:05:55--00:05:58] 也就是说更好的,更大的base model可以带来更好的pray,
[00:05:58--00:06:01] 然后第二就是学习率调整合适的时候,
[00:06:01--00:06:05] 其实lora rl的效果是可以逼近全量微调的,
[00:06:05--00:06:10] 这个是张修曼他做出来的一个实验的结果,
[00:06:10--00:06:13] 然后在右上角可以看到,
[00:06:13--00:06:16] 其实如果看最好的performance的话,
[00:06:16--00:06:19] 其实lora和全量得到的效果是类似的,
[00:06:19--00:06:23] 然后从实际产业的应用上面来讲,
[00:06:23--00:06:25] 然后lora它的训练成本更低,
[00:06:25--00:06:28] 像我们在做万亿参数的lora学习的时候,
[00:06:28--00:06:31] 我们当时只有64张h卡,
[00:06:31--00:06:36] 然后我们也实现了这样一个训练,
[00:06:36--00:06:39] 然后但是如果要是放在全量微调上,
[00:06:39--00:06:43] 你可能至少需要500到1000张卡才可以做到,
[00:06:43--00:06:45] 所以它的训练成本更低,
[00:06:45--00:06:47] 然后同时它的推理成本也更低,
[00:06:47--00:06:49] 就是因为lora天生有one base,
[00:06:49--00:06:52] 然后加上multi-lora serving这样一个性质,
[00:06:52--00:06:55] 然后这个是很早之前vm就实现的一些能力,
[00:06:55--00:06:58] 所以它更适合去做持续的迭代,
[00:06:58--00:07:03] 然后这就是我们做的这一系列工作的一个background,
[00:07:03--00:07:10] 就是围绕self-involution和lora rl去做的一些工作,
[00:07:10--00:07:15] 然后接下来就是可能我们讲一下我们拿这套东西做了哪些事情,
[00:07:15--00:07:18] 然后以及我们可能是这么想的,
[00:07:18--00:07:24] 对,然后我们high level的一个想法就是在试图去找到模型的下一个scrolling law,
[00:07:24--00:07:28] 就是大家都知道就是我们其实已经经过了两个比较,
[00:07:28--00:07:30] 现在已经被大家公认的scrolling law,
[00:07:30--00:07:37] 然后一个就是由hgbt带来的这个skill model size和data size的这样的一个scrolling law,
[00:07:37--00:07:40] 然后我们不停的去扩大这个模型的大小,
[00:07:40--00:07:43] 然后不停的去扩大这个数据的规模,
[00:07:43--00:07:46] 然后让模型的智力变得越来越高,
[00:07:46--00:07:49] 然后从deep seek r1开始,
[00:07:49--00:07:53] 就是我们开始就是全面转向了第二种scrolling law,
[00:07:53--00:07:55] 就是skill agentic rl,
[00:07:55--00:07:59] 然后我们让agentic的任务的数量变得越来越多,
[00:07:59--00:08:03] 然后同时在test time上面去做更多的reasoning,
[00:08:03--00:08:05] 然后解决越来越复杂的问题,
[00:08:05--00:08:12] 但是其实这两个方式都已经经历了大概一两年的迭代了,
[00:08:12--00:08:14] 然后都已经见到了一个瓶颈,
[00:08:14--00:08:16] 然后那我们有一个buy in的方向,
[00:08:16--00:08:18] 就是我们觉得在接下来的一段时间,
[00:08:18--00:08:22] 可能我们是时候去focus到这个skill number of models,
[00:08:22--00:08:26] 就是我们可能可以实现一个人一个大模型,
[00:08:26--00:08:30] 然后做模型level的这样的一个遗传进化,
[00:08:30--00:08:33] 然后这里有一个更详细形象的图,
[00:08:33--00:08:37] 跟对ideal的一个breakdown,
[00:08:37--00:08:40] 就是我们今天的topic是讲self-evolution,
[00:08:40--00:08:43] 然后但是我觉得我们可以先start fromevolution,
[00:08:43--00:08:45] 就是进化,
[00:08:45--00:08:47] 然后当我们看到进化的时候,
[00:08:47--00:08:49] 我们观察到一些非常有趣的一些现象,
[00:08:49--00:08:55] 就是更高智能的生物体,
[00:08:55--00:08:59] 然后它所带有的基因跟DNA的数量是越来越多的,
[00:08:59--00:09:03] 然后这个就感觉很像现在模型,
[00:09:03--00:09:05] 然后更强的模型即时参数也越多,
[00:09:05--00:09:11] 然后当我们把我们的这个参数skill到1p以后,
[00:09:11--00:09:13] 可能之前在4b,
[00:09:13--00:09:16] 然后在30b上观察到一些现象就没有了,
[00:09:16--00:09:19] 或者说我们强行去用4b或者30b,
[00:09:19--00:09:22] 去让它去完成一些辅答任务,
[00:09:22--00:09:25] 就好像说我们教小猫小狗去学数学一样,
[00:09:25--00:09:27] 就非常困难,
[00:09:27--00:09:29] 然后这个是不make sense的,
[00:09:29--00:09:31] 然后所以我们第一个scrap,
[00:09:31--00:09:34] 就是我们一定要先把我们的prayer搞大,
[00:09:34--00:09:35] 然后我们的模型搞大,
[00:09:35--00:09:40] 所以我们主要关注的也是在千亿到万亿这个skill上面的模型训练,
[00:09:40--00:09:46] 然后第二个点就是我们要想实现在模型level的这种遗传进化的话,
[00:09:46--00:09:48] 我们其实这个adapter要尽可能小,
[00:09:48--00:09:52] 这就好像是我们任意的两个人之间,
[00:09:52--00:09:55] 他们的基因的这个差距其实是非常非常的小的,
[00:09:55--00:09:59] 然后应该从这个理论上是不超过这个千分之五的,
[00:09:59--00:10:03] 然后即使我们跟大猩猩之间的这个基因差距其实也非常小,
[00:10:03--00:10:07] 然后是这个不超过这个2%的,
[00:10:07--00:10:09] 然后但是就是这2%的基因,
[00:10:09--00:10:12] 然后把这千分之五的基因决定了你才是你,
[00:10:12--00:10:15] 然后决定了你的这个所有的性状表现,
[00:10:15--00:10:16] 然后决定了你的性格,
[00:10:16--00:10:18] 然后决定了你的这个,
[00:10:18--00:10:19] 你的独特性,
[00:10:19--00:10:22] 然后剩下的百分之九十,
[00:10:22--00:10:23] 九点五,
[00:10:23--00:10:26] 然后都是在决定你有基础的这样reasing能力,
[00:10:26--00:10:28] 你有基础的这个去说话的能力,
[00:10:28--00:10:30] 你有基础感知的这些能力,
[00:10:30--00:10:32] 然后在模型level其实也是一样,
[00:10:32--00:10:35] 就是我们认为就是百分之九十九点五的能力,
[00:10:35--00:10:36] 应该来自于base model,
[00:10:36--00:10:38] 但是剩下百分之一的这个不同,
[00:10:38--00:10:41] 其实是带来了这个模型的这个diversity,
[00:10:41--00:10:44] 然后每个模型其实它可以有自己的skill,
[00:10:44--00:10:46] 然后它可以有自己的一些preference,
[00:10:46--00:10:48] 然后它可以有自己说话的风格,
[00:10:48--00:10:50] 然后可以有自己擅长的领域,
[00:10:50--00:10:53] 然后这部分可以由一个laura来表示,
[00:10:53--00:10:56] 然后或者是其他的这个paths的adapter去表示,
[00:10:56--00:10:59] 然后但是呢我们要把它做得尽量的小,
[00:10:59--00:11:01] 然后那第三个这个维度就是secure out,
[00:11:01--00:11:02] 就是尽量的多,
[00:11:02--00:11:08] 然后如果我们想让这个基因有一个非常meaningful的这个skill,
[00:11:08--00:11:12] 然后我们至少得在一个百万的一个量级上面去观察它的表现,
[00:11:12--00:11:15] 然后同样我们认为在未来的世界里面,
[00:11:15--00:11:19] 模型也会是一个百万量级的这样一个表现,
[00:11:19--00:11:24] 然后可能就是每个人都会有自己的这个像javis一样的这个助手,
[00:11:24--00:11:26] 然后它有自己的这个paths的模型,
[00:11:26--00:11:28] 但是他们share的都是同样的一个base model,
[00:11:28--00:11:33] 那我们有了这样一套high level的哲学的想法,
[00:11:33--00:11:35] 然后我们应该怎么去学习呢?
[00:11:35--00:11:41] 然后这里面就是我们提出来了一个应该说是一个meta algorithm,
[00:11:41--00:11:42] 就是contest learning,
[00:11:42--00:11:45] 然后大家都知道其实在去年的时候,
[00:11:45--00:11:49] 这个工业界里面最火的一个名词就是contest engineering,
[00:11:49--00:11:52] 然后大家在讲就是其实你不用train模型,
[00:11:52--00:11:55] 然后你只需要build更好的contest,
[00:11:55--00:11:58] 然后我就可以让模型表现的很好,
[00:11:58--00:12:00] 然后我去buildcontest,
[00:12:00--00:12:07] 然后其实带来的这个代价是要远远小于我去训一个一个EP的模型的,
[00:12:07--00:12:10] 然后我只需要等着这个模型变骚踏了以后,
[00:12:10--00:12:14] 我去把我原来的contest带进来就可以了,
[00:12:14--00:12:17] 然后但是可能就是随着模型能力逐渐去饱和,
[00:12:17--00:12:29] 然后我们其实会发现就是我们还是需要剩下可能contest engineering可以把一个基础的能力从0提升到80%,
[00:12:29--00:12:37] 然后剩下20%的能力可能我们还是需要去通过参数化的一些学习跟微调来去提升它的表现,
[00:12:37--00:12:39] 那我们具体怎么去选呢?
[00:12:39--00:12:43] 然后我觉得这个就是随着像OPD这样的一些方法,
[00:12:43--00:12:44] 这个算法的一些发展,
[00:12:44--00:12:46] 我们就有一个非常好的思路,
[00:12:46--00:12:47] 就是我们直接做contest learning,
[00:12:47--00:12:52] 我们把这个contest engineering看成是contest learning一个前面的前置的环节,
[00:12:52--00:12:55] 然后我们已经得到了大量比较好的这个skill,
[00:12:55--00:12:57] 然后已经得到了很多不错的memory,
[00:12:57--00:13:01] 然后我们通过contest learning的方式把它压缩到模型里面去,
[00:13:01--00:13:05] 然后这样的话我们就可以形成一个etration,
[00:13:05--00:13:06] 我们有了更好的模型,
[00:13:06--00:13:08] 我们就可以让它做更好的事情,
[00:13:08--00:13:11] 然后完了以后也可以得到更多的一些更优质的contest,
[00:13:11--00:13:18] 所以我们就尝试去拿laura做了一些关于memory上面的一些实验,
[00:13:18--00:13:23] 然后我们发现就是如果我在locomo上面做一个4B模型的训练,
[00:13:23--00:13:30] 然后就是我的basis把所有locomo前面的对话全部都放到contest里面去,
[00:13:30--00:13:35] 然后我的这个方法就是我让通过contest learning的方法,
[00:13:35--00:13:39] 把所有的这些上下文很长的对话全部都压到laura里面去,
[00:13:39--00:13:43] 然后结果他们的performance其实是几乎是没有损失的,
[00:13:43--00:13:45] 就是当我把contest都拿走的时候,
[00:13:45--00:13:48] 其实他们的这个能力是相似的,
[00:13:48--00:13:52] 所以就是说laura其实是有一定记忆的能力的,
[00:13:52--00:13:58] 然后但是同时我们也发现laura它记忆的能力是一个比较有限的一个,
[00:13:58--00:14:01] 一个记忆的量,
[00:14:01--00:14:05] 就是说我们又做了一个实验是关于laura-memory的一个scrolling law,
[00:14:05--00:14:06] 就是下面这个图,
[00:14:06--00:14:11] 然后我们不停的去扩展就是这个basis它的总的知识的量,
[00:14:11--00:14:15] 然后在这个实验里面我们做了一个比较理想化的设计,
[00:14:15--00:14:20] 就是我们设计了一种我们叫这个爆菜名的机制,
[00:14:20--00:14:23] 就是我们会每天去展示这个,
[00:14:23--00:14:26] 就是我们的这个divet sets就是全部都是用户每天吃的东西,
[00:14:26--00:14:28] 然后今天吃的什么明天吃的什么,
[00:14:28--00:14:31] 这样我可以无限的把这个表去扩大,
[00:14:31--00:14:36] 然后呢同时就是我可以去看就是最后它这个模型是不是真的全部都学到了,
[00:14:36--00:14:40] 而且这些知识是和prayer里面都的这个knowledge是无关的,
[00:14:40--00:14:53] 然后那这个时候我们就观察到就是它其实通过laura这种后训练的方式去寄一些新的knowledge的这个效率是远小于就是pretrain的时候记住的knowledge,
[00:14:53--00:15:00] 然后在pretrain的时候我们都知道可能根据寄设的laura大概一个parameter可以寄20个token左右,
[00:15:00--00:15:03] 然后但是在laura里面可能这个关系是反过来的,
[00:15:03--00:15:09] 然后在我们的最佳时间里可能需要这个100个parameter才能记住一个concept,
[00:15:09--00:15:11] 然后这个效率是很低的,
[00:15:11--00:15:14] 也就是说其实laura虽然它能作为一部分的memory,
[00:15:14--00:15:18] 但是它应该把它的attention放到一些更重要的位置上,
[00:15:18--00:15:22] 我觉得这个其实就是细想下来还是符合eituation的,
[00:15:22--00:15:27] 因为我们在座的每一个人没有一个人就是真的可以备注每一天自己吃了什么,
[00:15:27--00:15:30] 但是这个一点都不影响我们的生活,
[00:15:30--00:15:34] 我们只需要知道high level知道我喜欢吃哪些东西哪些店,
[00:15:34--00:15:38] 然后或者说比如说我们去记忆电话号码,
[00:15:38--00:15:44] 或者第一这个人名的时候我们也不是完全的把我们微信里面的这个几百几千个好友的名字全部都记住,
[00:15:44--00:15:46] 而是记住它的一些特征,
[00:15:46--00:15:49] 然后我搜索的时候是根据它的特征去进行搜索,
[00:15:49--00:15:54] 然后我觉得就是这部分的这个能力可能才是需要被学到laura里面去的,
[00:15:54--00:16:00] 然后我们还探索了一些就是怎么去用laura去学习的一些最佳的方式,
[00:16:00--00:16:04] 然后当然也是start from这个一些扫餐的实验,
[00:16:04--00:16:12] 然后我们主要关注了就是laura的rank大小和这个bash size之间的一些关系,
[00:16:12--00:16:16] 然后我们观察到就是laura的rank其实它是有tradeoff的,
[00:16:16--00:16:20] 当我们把计算量去固定就是说我们update的这个step去固定的话,
[00:16:20--00:16:30] 我们会观察到其实laura的rank是就是performance随laurarank变化的这样一个规律是一个先升后降的过程,
[00:16:30--00:16:35] 就是说当我在laurarank比较适中的时候,
[00:16:35--00:16:37] 其实它达到一个比较好的表现,
[00:16:37--00:16:40] 太小或者太大都不是非常好,
[00:16:40--00:16:43] 太大的话主要是它的efficiency比较差,
[00:16:43--00:16:45] 太小的话其实是它不太能记得住,
[00:16:45--00:16:48] 但是我没有发现一个非常有趣的事情就是,
[00:16:48--00:16:52] 就是当我们把同一个这个rank下面不同的seed,
[00:16:52--00:16:55] 然后去取一个maximum的话,
[00:16:55--00:16:57] 就是现在这个左下角的这个图,
[00:16:57--00:16:59] 然后我们去取一个maximum,
[00:16:59--00:17:03] 然后我们就会发现其实它的performance是变成了类似的了,
[00:17:03--00:17:06] 也就是说本来如果我们要是只观察均值的话,
[00:17:06--00:17:08] 我们会发现这个rank越小,
[00:17:08--00:17:11] 它的这个performance会drop非常多,
[00:17:11--00:17:13] 但是如果我们观察的是最优质的话,
[00:17:13--00:17:17] 其实它们的这个performance是比较接近的,
[00:17:17--00:17:21] 那就说明就是我们没有找到一个最好的一个学习方法,
[00:17:21--00:17:25] 然后让这个rank比较小的这些adapter去进行学习,
[00:17:25--00:17:28] 然后所以我们就dive in了这个laura,
[00:17:28--00:17:31] 怎么去init这样的一个方向的研究,
[00:17:31--00:17:34] 因为我们刚才观察到就是它跟seed的关系是非常大的,
[00:17:34--00:17:38] 那就说明其实我们硕实化的这个参数和怎么去对它进行优化,
[00:17:38--00:17:40] 是非常影响这个laura的表现的,
[00:17:40--00:17:46] 然后我们就把大部分之前做sft的一些方法迁移到ro上面,
[00:17:46--00:17:52] 然后我们会发现就是这些方法大部分都在训练的后期都claps掉了,
[00:17:52--00:17:56] 然后它确实在初期的时候会有一个非常好的表现,
[00:17:56--00:18:00] 但是它们的performance就是随着训练它会往下掉,
[00:18:00--00:18:04] 然后这个出现一些不稳定的一些情况,
[00:18:04--00:18:09] 然后所以我们在这个上面对这个算法做了一些分析跟改进,
[00:18:09--00:18:12] 然后提出来了一个叫olora tail的这个方法,
[00:18:12--00:18:16] 然后整体的想法是就是我们做qr分解以后,
[00:18:16--00:18:18] 尽量保留它这个tail的subspace,
[00:18:18--00:18:22] 然后但是我们去掉里面这个不稳定的scaling的一些因素,
[00:18:22--00:18:26] 就是说我们可能对ro来说要尽量保守一些,
[00:18:26--00:18:29] 那这个时候init的这个方法调好了,
[00:18:29--00:18:33] 我们会发现这个low rank上面的这个ro的性能也有一个比较大的提升,
[00:18:33--00:18:38] 然后至少我们会发现它不会随着batch size的这个性能去下降,
[00:18:38--00:18:42] 这说明就是说batch size大家都知道其实是一个denoise的过程,
[00:18:42--00:18:43] 然后batch size越大,
[00:18:43--00:18:47] 其实我的这个方向会这个越一致一些,
[00:18:47--00:18:49] 然后呢越频繁一些,
[00:18:49--00:18:54] 然后当我把这个init的方法调好,
[00:18:54--00:18:57] 其实我对这个batch size就没有那么敏感,
[00:18:57--00:19:00] 那就说明其实我找到了一个可能更好的方向,
[00:19:00--00:19:02] 然后无论这个batch size是多大,
[00:19:02--00:19:04] 然后我也可以做一个更好的诱化,
[00:19:04--00:19:09] 然后我们其实也做了一些模型架构上面的一些探索,
[00:19:09--00:19:12] 然后这里面就是最近也是比较火的一个工作,
[00:19:12--00:19:13] 叫这个dirtman,
[00:19:13--00:19:16] 然后我们的high level的想法是,
[00:19:16--00:19:21] 其实是我们很关注像linear tension这样的一些结构,
[00:19:21--00:19:25] 因为我们发现其实dirtnet和这个linear tension的一些架构,
[00:19:25--00:19:27] 其实是很memory native的,
[00:19:27--00:19:30] 然后它就是一个不断更新memory的这样的一个过程,
[00:19:30--00:19:31] 然后但是呢,
[00:19:31--00:19:37] 其实如果我单纯拿linear tension当成整个network股价的时候,
[00:19:37--00:19:40] 我会发现就是我可能只能extend到4k,
[00:19:40--00:19:42] 然后再远它就完全失效了,
[00:19:42--00:19:43] 然后呢,
[00:19:43--00:19:44] 但是呢,
[00:19:44--00:19:47] 我们这篇文章一个比较创新的思路就是,
[00:19:47--00:19:50] 也许我正确利用linear tension的方法,
[00:19:50--00:19:53] 不应该是让它去直接做骨干的这个network,
[00:19:53--00:19:56] 而是我应该把它作为memory的一个gate,
[00:19:56--00:19:59] 就好像是我们的这个海马体一样,
[00:19:59--00:20:03] 然后它会来去调节什么时候应该用到什么样的memory,
[00:20:03--00:20:05] 然后它本身的这个skill可能是很小的,
[00:20:05--00:20:08] 但是它的update可以是在不同的这个frequency上面去,
[00:20:08--00:20:13] 然后最底层的这个就是我们可以在token level去做更新,
[00:20:13--00:20:15] 然后每个token都去更新,
[00:20:15--00:20:20] 然后当然它其实本质上就是在这个forward tension上面去,
[00:20:20--00:20:22] 加了一路这个linear tension,
[00:20:22--00:20:25] 然后只是这个扩大了这个并行的五秒,
[00:20:25--00:20:26] 然后呢,
[00:20:26--00:20:30] 但是我们还可以在更粗的里面下面去更新,
[00:20:30--00:20:31] 然后在sequence level去更新,
[00:20:31--00:20:33] 然后也可以在这个,
[00:20:33--00:20:36] 我们还可以把这些这个不同的这个更新方式进行一些混合,
[00:20:36--00:20:39] 然后这样的话我们就可以保证就是这些,
[00:20:39--00:20:43] 就是我可以在不同的frequency下都可以capture到一些这个,
[00:20:43--00:20:45] 就是这个memory更新的一些feature,
[00:20:45--00:20:48] 然后这里面是一些实验的结果,
[00:20:48--00:20:51] 就是我们发现在这个一些问答的任务上面的话,
[00:20:51--00:20:56] 其实可能这个我们在sentence level去更新的表现就会变得更好,
[00:20:56--00:20:58] 然后但是跟memory更相关的一些任务,
[00:20:58--00:21:04] 其实我在这个就是我混合的更新方式可能会效果更好,
[00:21:04--00:21:07] 当然这里面还是一些非常粗步的这个初步的实验,
[00:21:07--00:21:12] 实际上我们完全可以在这里面去做更多更细致的一些分析跟研究,
[00:21:12--00:21:15] 然后提出一些更好的update它的一些方式,
[00:21:15--00:21:20] 其实就是如果大家就是经常用像cloud或者像那个这个codex的话,
[00:21:20--00:21:26] 这个codex的话也会发现就是这个它memory超长以后就会compact,
[00:21:26--00:21:32] 然后这个dirt mem的更新其实也是非常像compact这样一个过程,
[00:21:32--00:21:34] 然后在我们的真实想象里,
[00:21:34--00:21:40] 其实它是需要在不同的skill上面去更新不同frequency的memory,
[00:21:40--00:21:45] 然后我们还做了一个实验就是我们把前面所有的contest全部都去掉,
[00:21:45--00:21:48] 然后我们就看我们最后的state它能记住什么样的东西,
[00:21:48--00:21:51] 然后当然这个里面有一个前提,
[00:21:51--00:21:56] 就是实际上我们只在state里面就存了一个8乘8的矩阵,
[00:21:56--00:21:59] 然后它的整个维度是非常小的,
[00:21:59--00:22:06] 结果非常spressing的就是我们发现没有contest在很多任务上面的分数也不低,
[00:22:06--00:22:10] 然后当然它在很多任务上面有非常差的表现,
[00:22:10--00:22:15] 但是在很多的我们觉得可能会比较差的一些任务上面,
[00:22:15--00:22:16] 其实performance也不低,
[00:22:16--00:22:21] 尤其是像locomo上面就是可能它能recover60%到70%的表现,
[00:22:21--00:22:23] 就是说它真的记到了一些东西,
[00:22:23--00:22:26] 我觉得这个还是给了我们很强的一些信心,
[00:22:26--00:22:31] 就是如果我们真的可以在一个更长的sequence上面,
[00:22:31--00:22:38] 然后我们用一个8乘8的矩阵去记住可能1million之前的memory的一些信息,
[00:22:38--00:22:41] 然后哪怕它只能recover40%50%,
[00:22:41--00:22:45] 我觉得也会对体验有一个非常大的提升,
[00:22:45--00:22:50] 所以通过contest learning的这样的一些方式,
[00:22:50--00:22:53] 我们系统性的其实可以带来三个结果,
[00:22:53--00:22:57] 然后第一就是我们降低了training的门槃,
[00:22:57--00:23:02] 我们原来可能是只有researcher可以去training mode,
[00:23:02--00:23:04] 然后但是现在在我们团队里面,
[00:23:04--00:23:06] 其实我们的agent engineer,
[00:23:06--00:23:09] 还有我们的产品经理也开始在training模型了,
[00:23:09--00:23:11] 因为training模型的门槛变低了,
[00:23:11--00:23:14] 只要你能搭建contest engineer的pipeline,
[00:23:14--00:23:16] 你就可以让模型去进行自帖带,
[00:23:16--00:23:17] 然后第二就是,
[00:23:17--00:23:21] 其实产品经理和agent engineer做的这些工作,
[00:23:21--00:23:23] somehow模型自己也能做,
[00:23:23--00:23:28] 然后他就真的就是进入了一个selfie management的一个过程,
[00:23:28--00:23:30] 然后后面我也会讲一个kids,
[00:23:30--00:23:33] 然后第三就是说我们可能真的可以做到one person one lover
[00:23:33--00:23:40] 这样的一个真正意义上的个性化跟记忆偏好的一个时代的开启,
[00:23:40--00:23:43] 然后这里面就是我们做的一个非常有趣的一个,
[00:23:43--00:23:46] selfie inclusion的这样的一个结果,
[00:23:46--00:23:50] 就是说我们让模型自己去自己刷benchmark,
[00:23:50--00:23:53] 然后我们给一个4B的模型,
[00:23:53--00:23:55] 一个非常也不是非常简单,
[00:23:55--00:23:56] 就是一个lawbench,
[00:23:56--00:24:00] 只是一个法律相关的benchmark,
[00:24:00--00:24:03] 然后他自己要去浮现baseline,
[00:24:03--00:24:06] 然后在baseline上面去固定的迭代,
[00:24:06--00:24:08] 然后我们给他创建了一个smokebench,
[00:24:08--00:24:12] 其实是一个proxy的这样的一个benchmark,
[00:24:12--00:24:14] 然后里面可能只有10个case,
[00:24:14--00:24:17] 然后他要快速在这10个case上面进行测试,
[00:24:17--00:24:18] 然后不停的去迭代,
[00:24:18--00:24:22] 当他迭代到proxy的deaset的最佳表现的时候,
[00:24:22--00:24:24] 他就会测一次fullset的表现,
[00:24:24--00:24:30] 然后里面的曲线连着的蓝色的实现就是他在proxy上面测试的结果,
[00:24:30--00:24:35] 然后下面这条虚线就是他在fullset上面测试的结果,
[00:24:35--00:24:38] 然后我们发现就是他大概迭代了两天时间,
[00:24:38--00:24:41] 然后就迭代到了一个sauta的performance,
