[00:00:05--00:00:07] Hello大家好,我是小骏
[00:03:55--00:03:58] Opus 4.5到4.6这个模型的跨越吧
[00:03:58--00:04:05] 我觉得算是一个从GPT-3到GPT-4水平的叫跨时代的提升吧
[00:04:05--00:04:08] 就是让我们从chat问问题
[00:04:08--00:04:11] 变成了真正的agent模式
[00:04:11--00:04:13] 可以做高价值任务了
[00:04:13--00:04:16] 因为你做的任务的价值量提升了
[00:04:16--00:04:20] 所以它的价值就提升usage也在提升
[00:04:20--00:04:24] 我的体感是过去一个季度模型水平进步的幅度
[00:04:25--00:04:28] 超过了2025年全年的进步幅度
[00:04:28--00:04:33] 你包括Anthropic和OpenAI这两家都会有新的模型
[00:04:33--00:04:39] Misos跟Spard马上要发布对吧
[00:04:39--00:04:42] 我觉得这两个是真正的GPT-5的时刻吧
[00:04:42--00:04:45] 然后之前还不算是吧
[00:04:45--00:04:48] 对之前我感觉OpenAI的GPT-5一直跳票嘛
[00:04:48--00:04:51] 就是Opus 4.5 4.6有这个意思了
[00:04:51--00:04:53] 我感觉像半代
[00:04:53--00:04:55] 可能接下来的真的算是真正的GPT-5吧
[00:04:55--00:04:58] 真正意义上夸上了GPT-5吧
[00:04:58--00:05:00] 因为过去就是一个model
[00:05:00--00:05:02] 你可以跟他chat
[00:05:02--00:05:03] 可以对话问问题
[00:05:03--00:05:04] 可以联网搜索对吧
[00:05:04--00:05:08] 那今天是agentic能力上来了
[00:05:08--00:05:09] 可以帮我们做复杂任务了
[00:05:09--00:05:14] 复杂任务的高价值量就上来了吧
[00:05:14--00:05:16] 而且我感觉加速度特别快
[00:05:16--00:05:19] 有可能今年夏天六七月份之前
[00:05:19--00:05:23] 可能还有一个GPT-3到GPT-4的跨越
[00:05:25--00:05:30] 就即便说Anthropic OpenAI新的Mesos和Spark很强也好
[00:05:30--00:05:33] 但可能他们的下一代更强
[00:05:33--00:05:38] 因为下一代也已经开始在训练过程当中了
[00:05:38--00:05:42] 对所以过去一个季度的推背感非常强
[00:05:42--00:05:46] 我是感觉AI的基点时刻应该已经到了
[00:05:46--00:05:47] 过去一个季度
[00:05:47--00:05:49] 是的以前我们还觉得AGI挺遥远的
[00:05:49--00:05:54] 但是现在身边有些朋友也觉得两年内肯定AGI就实现了
[00:05:55--00:05:58] 你对硅谷一线的生态都很熟悉
[00:05:58--00:06:01] 有哪些真实的case能够给大家分享一下
[00:06:01--00:06:04] 让大家能够感受到这种真实的代际的跨越
[00:06:04--00:06:06] 可以描述的更有体感一点
[00:06:06--00:06:10] 对我觉得硅谷这边一线的体感
[00:06:10--00:06:14] 可以说一些case让大家更好的体会的
[00:06:14--00:06:19] 就是你在这边的朋友就是前沿实验室的这些AI的researcher们
[00:06:19--00:06:21] 包括很强的程序员
[00:06:21--00:06:23] 他们基本上不写代码了
[00:06:23--00:06:25] 去年可能一个系统上的设计计划是很强的
[00:06:25--00:06:28] 在这个系统当中可能还有七八成的代码是人写的
[00:06:28--00:06:30] 今年可能是小于1%的
[00:06:30--00:06:33] 大家日常的工作可能就是
[00:06:33--00:06:38] 就像leader或者教授带着学生和team member去工作一样
[00:06:38--00:06:40] AI来写人来审
[00:06:40--00:06:43] 可能人来审的能力都不够了
[00:06:43--00:06:46] 今天Cloud Code和Codex在很多任务上
[00:06:46--00:06:51] 其实已经到了很多公司的CTO或者首席架构师这个水平了
[00:06:51--00:06:54] 就对比一个Meta的R8或R9
[00:06:55--00:06:57] 看它开发一个feature
[00:06:57--00:07:00] 可能两三次的迭代就跑通了
[00:07:00--00:07:06] 我们认识的身边的人基本上每天都消耗几百美金的token
[00:07:06--00:07:08] 一周几千美金
[00:07:08--00:07:10] 这个量还是挺夸张的
[00:07:10--00:07:12] 所以这个就带来一个效果
[00:07:12--00:07:16] 就是你过去做研发和做研究
[00:07:16--00:07:20] 以前一个想法到跑通代码可能两三个星期
[00:07:20--00:07:22] 现在可能又一两天两三天
[00:07:22--00:07:24] 所以这是一个大幅的加速
[00:07:25--00:07:32] 就是coding和agentic变成了一个AGI加速最关键的一个要素之一了
[00:07:32--00:07:34] 可能仅次于GPU本身了
[00:07:34--00:07:37] 然后我觉得还有特别有意思的
[00:07:37--00:07:39] 也有朋友跟我说
[00:07:39--00:07:44] 最近很多AI research上的突破不是人类工程师带来的
[00:07:44--00:07:46] 而是Codex Cloud Code带来的
[00:07:46--00:07:49] 我觉得这是一个更质变的信号
[00:07:49--00:07:53] 就是说AI今天可以显著的加速AI
[00:07:53--00:07:54] 而且带来一些突破了
[00:07:55--00:07:59] 你以前解一个很难的数学AMO的题
[00:07:59--00:08:00] 可能解个半天
[00:08:00--00:08:03] 今天Codex把你解可能很快
[00:08:03--00:08:09] 也不是很多人都很擅长解题或者debug
[00:08:09--00:08:14] 你包括它对整个其他领域的研究加速也很大
[00:08:14--00:08:16] 你比如说做多模态的朋友说
[00:08:16--00:08:19] 他们以前做一个多模态的模型
[00:08:19--00:08:21] 整个数据迭代可能就一两个月
[00:08:21--00:08:24] 现在基本上几天或者一个星期
[00:08:24--00:08:26] 就是coding加速后
[00:08:26--00:08:29] 你发现对多模态的研究加速也很大
[00:08:29--00:08:35] 这个让整个数据处理的pipeline其实提效挺快的
[00:08:35--00:08:41] 主要的变化就是模型处理数据的效率是比人要高的
[00:08:41--00:08:45] 然后你包括还有一线的体感
[00:08:45--00:08:46] 这个是公开的
[00:08:46--00:08:53] 就是Anthropic他们过去50多个工作日发了70多款产品和features
[00:08:53--00:08:54] 对吧
[00:08:54--00:08:56] 现在网时代好像是根本做不到的
[00:08:56--00:08:59] 我估计大家可能在网上都看到过那张图
[00:08:59--00:09:04] 所以coding我觉得是过去一个季度最关键的关键词吧
[00:09:04--00:09:07] 它会让最顶尖的1%甚至千分之一的人
[00:09:07--00:09:11] 他的生产力放大了几十倍
[00:09:11--00:09:14] 我觉得这个是一个很大的变化
[00:09:14--00:09:18] 那你觉得coding和Agentic带来的变化这么大
[00:09:18--00:09:21] 有给这几家公司在营收上带来显著的变化吗
[00:09:21--00:09:23] 我觉得这个是一个更有意思的
[00:09:23--00:09:29] 就是说你看Anthropic他们已经官宣说AR超过了OpenAI
[00:09:29--00:09:30] 对吧
[00:09:30--00:09:34] 但更重要的是它可能头上的一两百万用户
[00:09:34--00:09:36] 贡献的收入超过了OpenAI
[00:09:36--00:09:40] 可能五六千万订阅的这些用户
[00:09:40--00:09:45] 所以之前你觉得ChatGP在C端已经赢了
[00:09:45--00:09:49] 但发现C端好像没有coding或者Agent这个更大
[00:09:49--00:09:52] 所以今天我感觉更有意思的是
[00:09:52--00:09:56] 不再是只追求DAU或者广告这个规模
[00:09:56--00:10:00] 而是追求token usage这个指标
[00:10:00--00:10:03] 尤其是超级开发者或者target的用户
[00:10:03--00:10:05] 这个感觉更重要
[00:10:05--00:10:08] 所以你看coding的爆发性
[00:10:08--00:10:11] 我感觉比ChatGP当年还要陡峭
[00:10:11--00:10:13] 就是如果这个势头下去
[00:10:13--00:10:18] 年底OpenAI和Anthropic他们的AR有可能就到800亿美金
[00:10:18--00:10:19] 或者1000亿美金
[00:10:19--00:10:21] 那明年可能就奔着2000亿美金了
[00:10:21--00:10:28] 其实他两个已经成为了新时代的Mega7这种公司了
[00:10:28--00:10:32] 所以你看他明年如果盖的一个2000多亿美金的AR
[00:10:32--00:10:35] 那其实给个十几倍的PS
[00:10:35--00:10:37] 好像也非常make sense对吧
[00:10:37--00:10:40] 所以你看历史上几乎没有出现过
[00:10:40--00:10:43] 两家公司齐头并进
[00:10:43--00:10:45] 这么短的时间内做到千亿美金营收
[00:10:45--00:10:46] 对吧
[00:10:46--00:10:50] coding的run rate从过去两三年就超过了google code
[00:10:50--00:10:54] 做了可能十七八年的一个规模
[00:10:54--00:10:57] 但那个google gemini其实规模也很大
[00:10:57--00:11:01] 所以你看模型的revenue增长是非常陡峭的
[00:11:01--00:11:05] 听起来coding是智能的一支非常重要的推手
[00:11:05--00:11:08] 突然让很多不可能的任务都变成了可能
[00:11:08--00:11:13] 也让产品形态从chatbot走向了agent
[00:11:13--00:11:16] 我们去年QE的播客就在聊AGI的主线任务
[00:11:16--00:11:19] 你当时就一直在说coding coding coding
[00:11:20--00:11:23] 你去年也跟很多人去说了coding coding coding
[00:11:23--00:11:26] 你觉得当时你对于coding的理解已经足够深刻了吗
[00:11:26--00:11:29] 那今天你对于coding的理解有什么新的变化
[00:11:29--00:11:35] 我觉得新的变化可能更多是几个强观点或者视角吧
[00:11:35--00:11:37] 我觉得第一个观点就是说
[00:11:37--00:11:42] 你相不相信code可以表达数字世界的绝大多数任务
[00:11:42--00:11:44] 因为自然语言是对世界的描述
[00:11:44--00:11:47] code是对solution的描述
[00:11:47--00:11:49] 就是语言即世界
[00:11:49--00:11:51] 代码即方案
[00:11:51--00:11:54] 因为语言和代码是高度的浓缩抽象
[00:11:54--00:11:56] 而且覆盖范围非常非常广
[00:11:56--00:12:00] 如果这个假设成立code agent做好了
[00:12:00--00:12:06] 是不是就可以把白领知识工作者的大部分任务都可以自动化了
[00:12:06--00:12:11] 就是今天我们在办公室电脑上操作的大部分工作任务
[00:12:11--00:12:13] 基本上都可以被自动化了
[00:12:13--00:12:15] 我觉得这是第一个观点吧
[00:12:15--00:12:17] 我觉得第二个观点是
[00:12:17--00:12:20] 如果领先的模型公司不重视coding
[00:12:20--00:12:23] 它大概率会掉出第一梯队的
[00:12:23--00:12:27] 而且也不存在只给自己用的coding model
[00:12:27--00:12:29] 因为你自家的任务数据分布是不够全的
[00:12:29--00:12:31] 肯定是落后的
[00:12:31--00:12:33] 而且如果你作为一个领先的模型公司
[00:12:33--00:12:35] 你过度依赖anthropic
[00:12:35--00:12:37] 一旦你做到第一梯队对它有威胁了
[00:12:37--00:12:39] anthropic大概率是给你断供的
[00:12:39--00:12:41] openapp被断供了
[00:12:41--00:12:43] xedit被断供了
[00:12:43--00:12:45] 可能google大部分被断供了
[00:12:45--00:12:49] 可能散步号哪一天meta也要被断供了
[00:12:49--00:12:51] 有可能coding这个跟GPU是一样的
[00:12:51--00:12:53] 所以你看coding它不只是一个行业
[00:12:53--00:12:55] 也不只是一个应用场景
[00:12:55--00:12:57] 也不是一个产品
[00:12:57--00:13:02] 其实它反而变成了AI整个路线途中一个重要的加速器
[00:13:02--00:13:07] 所以我觉得它应该是一个当下最主线的人物
[00:13:07--00:13:09] 你没有最领先的coding model
[00:13:09--00:13:11] 就像是没有最领先的GPU
[00:13:11--00:13:13] 你用A100跟别人用GB
[00:13:13--00:13:14] 这个差别是很大的
[00:13:14--00:13:15] 对吧
[00:13:15--00:13:17] 还是要追求先进生产力嘛
[00:13:17--00:13:21] 不然你研发上就是很落后的
[00:13:21--00:13:23] 我觉得第三个观点就是
[00:13:23--00:13:27] coding就很像亚马逊当年卖书一样
[00:13:27--00:13:34] 你借助卖书把所有的仓储物流用户供应链都拉通了
[00:13:34--00:13:36] 然后你再横向scale其他的SKU
[00:13:36--00:13:38] 这样就很容易
[00:13:38--00:13:40] 所以那你又从长期来看
[00:13:40--00:13:44] coding又只是整个AGS实现后可能很小的一部分
[00:13:44--00:13:48] 因为AGS自动化了全球大部分的GDP
[00:13:48--00:13:52] coding其实更多还是在整个AGS实现中
[00:13:52--00:13:55] 起到一个加速和打样的一个意义吧
[00:13:55--00:13:57] 我觉得之所以coding最先跑出来
[00:13:57--00:13:59] 还是因为反馈闭环最短
[00:13:59--00:14:03] 就是整个所谓的feedback loop最清晰
[00:14:03--00:14:07] 其实你看过去几年AI跑得最快的地方
[00:14:07--00:14:09] 都是feedback loop最清晰的
[00:14:09--00:14:13] 我觉得第四个还有一个比较有意思的观点就是
[00:14:13--00:14:18] coding在整个AGS的历史进程中到底处在什么位置
[00:14:18--00:14:21] 因为第一幕我们看到是chatbot对吧
[00:14:21--00:14:25] chatgpt模型可以对话了也可以联网搜索了
[00:14:25--00:14:28] 但其实整个商业价值还是有限的
[00:14:28--00:14:31] 第二幕今天走到了coding agent对吧
[00:14:31--00:14:34] agent帮我们直接完成任务
[00:14:34--00:14:36] 本质是能帮我们干活了
[00:14:36--00:14:38] 进而还可以加速整个AGS
[00:14:38--00:14:41] 或者说coding agent实现了
[00:14:41--00:14:42] 有可能
[00:14:43--00:14:45] 现在的90%已经实现了
[00:14:45--00:14:48] 我觉得好像也不用什么范式创新
[00:14:48--00:14:52] 就可以把大多数的知识工作者的任务自动化了
[00:14:52--00:14:56] 第三幕可能就是自动化的AI研究员了
[00:14:56--00:14:58] 这也是OpenAI可能最想做的
[00:14:58--00:15:01] 每个人可能都有一个强大的研究助理
[00:15:01--00:15:04] 你让研究助理去解决各种各样的问题
[00:15:04--00:15:07] 那时候可能会去解决基础科学的问题
[00:15:07--00:15:11] 比如说脑科学神经科学材料学对吧
[00:15:11--00:15:13] 所以我们画一个AGS的路线图
[00:15:13--00:15:16] 就像爬一座科学的高山
[00:15:16--00:15:19] 当然每个AI lab可能有自己的路线图
[00:15:19--00:15:21] 那今天我们处在什么样的位置
[00:15:21--00:15:23] coding也处在什么样的位置
[00:15:23--00:15:28] 有可能今天还只是整个科学的高山攀登的开始吧
[00:15:28--00:15:30] 对你说到这个我也觉得很感慨
[00:15:30--00:15:33] 因为去年其实你说coding coding coding的时候
[00:15:33--00:15:36] 很多人可能会觉得coding还只是一个垂直场景的事情
[00:15:36--00:15:40] 他没有意识到coding能带来这么强的繁华性
[00:15:40--00:15:42] 我觉得就一个精辟的总结叫
[00:15:43--00:15:46] 语言即世界代码即方案
[00:15:46--00:15:51] 因为只有这两个它的泛化性是充分被证明了的
[00:15:51--00:15:54] 其他领域的泛化性还没有被充分证明
[00:15:54--00:15:59] 你比如说我想通过数学来提升智能能力
[00:15:59--00:16:03] 可能可以但是数学能表达的东西太有限了
[00:16:03--00:16:07] 很明显我们今天是从第一幕走到了第二幕
[00:16:07--00:16:10] 那从chapot进入了coding agent的时代
[00:16:10--00:16:11] 据你观察
[00:16:11--00:16:14] 所有人已经充分的意识到coding非常重要了吗
[00:16:14--00:16:19] 那既然重要为什么有些人没有all in资源去做呢
[00:16:19--00:16:25] 我知道的好几个AI lab好像都把coding放到了最高最高优先级
[00:16:25--00:16:31] 但基本上也是过去一到三个月的事情
[00:16:31--00:16:34] 你发现实际做好好像也没有那么容易
[00:16:34--00:16:37] 所以我觉得大家心里可以打个分
[00:16:37--00:16:39] 就是做好coding的难度系数
[00:16:39--00:16:41] 一到十分你到底打几分
[00:16:41--00:16:43] 如果第一四分呢
[00:16:43--00:16:45] 那大家每家都能做好
[00:16:45--00:16:46] 非常居然对吧
[00:16:46--00:16:49] 如果高于八分九分呢
[00:16:49--00:16:52] 那有可能领先的anthropic可能会一家独大
[00:16:52--00:16:53] 大概率会继续领先
[00:16:53--00:16:58] 其实你也没有其他什么理由能继续超过它
[00:16:58--00:17:02] 我觉得取决于难度系数和竞争吧
[00:17:02--00:17:05] 那你觉得做好coding的难点到底在哪里啊
[00:17:05--00:17:07] 就是大家既然都知道coding很重要了
[00:17:07--00:17:09] 能不能给大家讲讲
[00:17:09--00:17:10] 就是如果要做好coding
[00:17:10--00:17:13] 应该最重视的最头目的三件事情是什么
[00:17:13--00:17:15] 我觉得最重要的可能就两件事
[00:17:15--00:17:17] 一个是组织和文化
[00:17:17--00:17:19] 第二个是数据
[00:17:19--00:17:23] 其实我觉得coding不只是一个技术knowhow的问题了
[00:17:23--00:17:25] 更多还是一个战略和组织的问题
[00:17:25--00:17:29] 我认识的研究院朋友好像都跟我说
[00:17:29--00:17:32] coding最重要的是数据这个壁垒
[00:17:32--00:17:35] 但问题是你觉得哪一个AI lab
[00:17:35--00:17:37] 能组织好最聪明的
[00:17:37--00:17:38] 非常有想法的几百个人
[00:17:38--00:17:40] 就all in搞coding一个事儿
[00:17:40--00:17:42] 因为这里面有很多脏活很多苦活
[00:17:42--00:17:44] 就是搞数据的活
[00:17:44--00:17:46] 因为每个lab里头最聪明的人
[00:17:46--00:17:47] 都想做自己的一些bat
[00:17:47--00:17:49] 搞自己的实验对吧
[00:17:49--00:17:51] 搞一些新的突破0到1
[00:17:51--00:17:53] 都想成为一例啊
[00:17:53--00:17:56] 我觉得这个可能是一个问题的根本
[00:17:56--00:17:59] 那anthropy可能不一样的点就是说
[00:17:59--00:18:01] 他们这几个founder可能
[00:18:01--00:18:05] 一开始就意识到数据可能是所有问题的根本
[00:18:05--00:18:08] 叫模型及应用数据及模型对吧
[00:18:08--00:18:09] 所以
[00:18:09--00:18:12] 他们重视数据可能是刻在骨子里的
[00:18:12--00:18:14] 有个rumor就说
[00:18:14--00:18:16] 他们的首席科学家Jarrett Kaplan
[00:18:16--00:18:18] 就亲自带着谈的过数据
[00:18:18--00:18:20] 这个好像是比较少见的
[00:18:20--00:18:22] 我觉得更重要的还是说
[00:18:22--00:18:24] 不做什么对吧
[00:18:24--00:18:27] 你看anthropic就完全放弃了多摩泰对吧
[00:18:27--00:18:30] 可能多摩泰不在科技书的主线上
[00:18:30--00:18:33] 也没有跟风做resilient model
[00:18:33--00:18:36] 那2C也放弃了对吧
[00:18:36--00:18:37] 然后
[00:18:37--00:18:39] 就是在coding比较专注
[00:18:39--00:18:41] 这是第一个
[00:18:41--00:18:44] 我感觉组织上和不做什么
[00:18:44--00:18:46] 第二个可能是数据吧
[00:18:46--00:18:47] 第二个就是说
[00:18:47--00:18:49] 数据这个点可能更难一些
[00:18:49--00:18:52] 以前chatbot就是chat那些文本类的数据
[00:18:52--00:18:53] 那今天呢
[00:18:53--00:18:54] 可能更复杂了
[00:18:54--00:18:56] 就coding和agentic它是一套的
[00:18:56--00:18:59] 它既有任务又有环境又有整个的评估
[00:18:59--00:19:01] 所以这个数据
[00:19:01--00:19:03] 比以前的数据难了很多
[00:19:03--00:19:05] 而且你要造出来很多数据
[00:19:05--00:19:07] 所以coding做好可能没有想象的那么简单
[00:19:07--00:19:09] 我觉得更重要的还是说
[00:19:09--00:19:12] 每个公司在战略组织文化上
[00:19:12--00:19:14] 其实并没有真的重视起来
[00:19:14--00:19:17] 其实你看过去半年
[00:19:17--00:19:20] Google和OpenAI是过去在争2C的
[00:19:20--00:19:23] 其实对coding也有很大的战略误判的
[00:19:23--00:19:27] 其实是严重低估了coding的重要性和优先级的
[00:19:27--00:19:28] 除了anthropic
[00:19:28--00:19:30] 当然现在一到三个月内
[00:19:30--00:19:33] 很多人都已经开始把它当作最重要的优先级了
[00:19:33--00:19:34] 那在之前呢
[00:19:34--00:19:36] 其他团队为什么没有专注的去做coding
[00:19:36--00:19:38] 他们没有意识到coding这么重要吗
[00:19:39--00:19:42] 我觉得每家都有自己的战略优先级的选择
[00:19:42--00:19:45] 包括过去的一些思维上的包袱
[00:19:45--00:19:48] 因为你看现在有两条AGI的路线
[00:19:48--00:19:50] 第一条是追求C端的流量
[00:19:50--00:19:52] ChatGPT Gemini 豆包
[00:19:52--00:19:55] 第二条是追求高价值的任务
[00:19:55--00:19:57] anthropic比较领先
[00:19:57--00:19:59] 那就看你想要哪个
[00:19:59--00:20:02] anthropic也许是被迫只能选coding了
[00:20:02--00:20:05] 因为C端窗口他错过了
[00:20:05--00:20:07] 其实你说C端重要吗
[00:20:07--00:20:08] 有可能也重要
[00:20:08--00:20:13] 就是有可能C端未来也是会覆盖掉高价值任务的
[00:20:13--00:20:17] 其实你看25年其实是C端窗口很关键的一年
[00:20:17--00:20:20] 其实很多模型公司都已经错过了C端的窗口了
[00:20:20--00:20:24] ChatGPT和Google忙着抢C端的这个窗口
[00:20:24--00:20:26] 才错过了coding这个窗口
[00:20:26--00:20:27] 对吧
[00:20:27--00:20:30] 我觉得可能战略你选择什么可能更重要
[00:20:30--00:20:35] 就是这个可能是每个模型公司管理层最高思考的问题
[00:20:35--00:20:37] 你今天资源很有限
[00:20:37--00:20:41] 你到底是搞C端还是搞coding
[00:20:41--00:20:42] 对吧
[00:20:42--00:20:43] 因为资源经历是有限的
[00:20:43--00:20:45] 然后可能是要放弃一些东西的
[00:20:45--00:20:47] 我觉得更多是战略选择
[00:20:47--00:20:48] 你到底优化一个什么样的目标
[00:20:48--00:20:49] 到底要什么
[00:20:49--00:20:51] 这个可能是更关键的
[00:20:51--00:20:53] 那你觉得这第一条路和第二条路
[00:20:53--00:20:54] 一个是C端窗口
[00:20:54--00:20:55] 一个是高价值任务
[00:20:55--00:20:57] 他们未来会marriage吗
[00:20:57--00:20:58] 他们会融合吗
[00:20:58--00:21:00] 他们会成为统一的一件事情吗
[00:21:00--00:21:02] 现在看还是两条路径
[00:21:02--00:21:04] 我觉得融合的概率是非常大的
[00:21:04--00:21:07] 包括ChatGPT和Google
[00:21:07--00:21:11] 然后后面把Chat跟agent code这些东西都融合起来
[00:21:11--00:21:12] all in one一个平台
[00:21:12--00:21:14] 本身是对的
[00:21:14--00:21:16] 但是有可能存在另外一种情况
[00:21:16--00:21:19] 就是说有的人只做塔尖的用户
[00:21:19--00:21:21] 塔尖的用户就像量化一样
[00:21:21--00:21:23] 只有极少数的人
[00:21:23--00:21:24] 可能一两百万人
[00:21:24--00:21:26] 贡献了很大的usage
[00:21:26--00:21:28] 这是有可能的
[00:21:28--00:21:33] 我也不知道未来C端的DAU还有没有意义
[00:21:33--00:21:34] 有可能有意义
[00:21:34--00:21:37] 但有可能塔尖用户的DAU
[00:21:37--00:21:39] token usage可能更有意义
[00:21:39--00:21:41] 因为它也是数据的一种
[00:21:41--00:21:43] 它其实补充了预训练的数据
[00:21:43--00:21:46] 数据的费能我觉得还不知道
[00:21:46--00:21:48] 因为我也不知道大多数人
[00:21:48--00:21:50] 在未来这个时代中的重要性
[00:21:50--00:21:52] 还有没有以前那么强
[00:21:52--00:21:55] 有可能塔尖的人会
[00:21:55--00:21:58] 贡献整个世界的生产力更加集中
[00:21:58--00:22:02] 我感觉强者横强是很残酷的
[00:22:02--00:22:04] 但这又是一个趋势
[00:22:04--00:22:07] 这是会带来整个社会的整个风功的变化
[00:22:07--00:22:09] 这个我们后面也会聊到
[00:22:09--00:22:11] 那接下来你能不能分别展开聊一聊
[00:22:11--00:22:14] 就是据你观察这每一家的模型公司
[00:22:14--00:22:16] 它的战略组织和文化特点
[00:22:16--00:22:18] 能不能分别跟我们讲一讲
[00:22:18--00:22:21] 第一个应该是Anthropic吧
[00:22:21--00:22:24] 因为你对Anthropic相对是熟悉的
[00:22:24--00:22:26] 你觉得他们是最早看到了什么迹象
[00:22:26--00:22:28] 就battle coding这个事情呢
[00:22:28--00:22:31] 是怎么做的这个关键的技术决策
[00:22:31--00:22:33] 关键的推动者是谁呀
[00:22:33--00:22:37] all in coding其实也不是他们的
[00:22:37--00:22:39] 他们day one就能想清楚的
[00:22:39--00:22:41] 我觉得一方面是C端没有机会了
[00:22:41--00:22:45] 第二是24年夏天我记得发了Sounet3.5
[00:22:45--00:22:48] 其实那个给了coding正反馈
[00:22:48--00:22:50] 其实也是在摸索的过程中
[00:22:50--00:22:53] 把coding这条路线给摸清楚了
[00:22:53--00:22:57] 但这个公司更值得关注的是它的几个特点
[00:22:57--00:23:01] 就是在那之后24年夏天在那之后
[00:23:01--00:23:03] 只all in了一件事就是coding
[00:23:03--00:23:05] 今天做成了而且巨大对吧
[00:23:05--00:23:07] 而且他们放弃了C端
[00:23:07--00:23:09] 放弃了多么泰
[00:23:09--00:23:11] 战略上是非常top down的
[00:23:11--00:23:13] OpenAI是特别bottom up的
[00:23:13--00:23:16] 所以Azorpiq有一个非常耳滥一致的目标
[00:23:16--00:23:18] 就是搞好这个东西
[00:23:18--00:23:21] 有一个自己的一个路线图对吧
[00:23:21--00:23:23] 而且创始人特别汉藏
[00:23:23--00:23:26] 懂技术带着大家搞数据搞工程对吧
[00:23:26--00:23:30] 重视数据可能是写在基因里刻在骨子里的
