[00:00:01--00:00:08] 我觉得在硅谷,大家都觉得机器人可能是即将发生的一个最重要的变革
[00:05:32--00:05:35] 然后那时候我其实还收到了很多就是好
[00:05:35--00:05:37] 很好的学校的这个interview
[00:05:37--00:05:38] 比如Cornel啊什么的
[00:05:38--00:05:41] 但那时候我就说这个我要用图音学的方法变革
[00:05:41--00:05:43] Robotics
[00:05:43--00:05:46] 我觉得那个时候大家是有很多很多怀疑的态度的
[00:05:46--00:05:47] 因为我也是刚开始这个领域嘛
[00:05:47--00:05:51] 我绝大多数的这个背景还是在图音学上
[00:05:51--00:05:53] 所以我并没有拿到我想要的教职
[00:05:53--00:05:55] 于是我就去硅谷工作了
[00:05:55--00:05:57] 然后我就去先去了一个startup
[00:05:57--00:06:00] 然后后来去了Google
[00:06:00--00:06:02] 当时Robotics处于什么阶段啊
[00:06:02--00:06:05] 你想用图形学变革Robotics
[00:06:05--00:06:08] 为什么图形学是变革Robotics的一个非常好的方法啊
[00:06:08--00:06:10] 因为之前来我们节目的嘉宾王赫也说过
[00:06:10--00:06:11] Robotics
[00:06:11--00:06:15] 都是图形学计算机视觉领域冒出来的
[00:06:15--00:06:17] 对我就举几个例子吧
[00:06:17--00:06:19] 就是我是图形学领域的
[00:06:19--00:06:23] 大家可能知道有一个非常著名的Berkeley教授叫Sergey Levine
[00:06:23--00:06:25] 就是他以前是做图形学的
[00:06:25--00:06:28] 就是我跟他经常是在Cgraph做presentation的时候
[00:06:28--00:06:29] 就是前脚后脚
[00:06:29--00:06:31] 可能是我先走然后他再做
[00:06:31--00:06:34] 然后但是我们都不约而同的转了Robotics
[00:06:34--00:06:37] 就说明这两个领域其实非常相关
[00:06:37--00:06:39] 然后在那个时候我觉得
[00:06:39--00:06:41] Robotics还是处在一个就是非常
[00:06:41--00:06:43] rural based
[00:06:43--00:06:45] 大家用传统的控制方法
[00:06:45--00:06:47] 比如说有个方法叫NPC
[00:06:47--00:06:48] model predictive control
[00:06:48--00:06:51] 就大家建一些物理模型
[00:06:51--00:06:53] 然后通过一些最后化的算法
[00:06:53--00:06:54] 然后计算比如运动轨迹
[00:06:54--00:06:57] 对就是这个其实有很多很多难点
[00:06:57--00:06:58] 就我经常跟别人说就是说
[00:06:58--00:07:01] 以前你做这个Robotics
[00:07:01--00:07:02] 你肯定要一个PhD
[00:07:02--00:07:04] 否则你那个数学都搞不明白
[00:07:04--00:07:05] 但是图形学呢
[00:07:05--00:07:09] 它其实就是有很多就是AI的算法在里面
[00:07:09--00:07:10] 就是那种图形学
[00:07:10--00:07:11] 因为很简单
[00:07:11--00:07:13] 因为你所有的东西在电脑里
[00:07:13--00:07:14] 都在simulation里面
[00:07:14--00:07:16] 所以你可以获得这个机器人的
[00:07:16--00:07:18] 所有的你需要的信息
[00:07:18--00:07:19] 比如说关节
[00:07:19--00:07:21] 利益各种各样的都可以
[00:07:21--00:07:23] 于是你就可以用AI的手段
[00:07:23--00:07:25] 来解决各种各样控制的问题
[00:07:25--00:07:26] 然后我那时候觉得
[00:07:26--00:07:29] 其实simulation和真实世界
[00:07:29--00:07:31] 都是差不多的东西
[00:07:31--00:07:35] 所以说如果它在simulation里面能够work
[00:07:35--00:07:37] 那么它在真实世界应该能够work
[00:07:37--00:07:38] 然后在那个时候就说
[00:07:38--00:07:40] 机器人还是很傻的
[00:07:40--00:07:41] 那时候有个DAPA
[00:07:41--00:07:43] 就是那时候有很多人性机器人
[00:07:43--00:07:45] 去做一些比较简单的事情
[00:07:45--00:07:46] 比如过个坡
[00:07:46--00:07:47] 开个车
[00:07:47--00:07:49] 拧个阀门什么的
[00:07:49--00:07:51] 然后那个时候机器人都摔啊什么
[00:07:51--00:07:52] 就看上去很傻
[00:07:52--00:07:53] 但在图形学里面
[00:07:53--00:07:55] 就是在这个simulation里面
[00:07:55--00:07:56] 机器人能够翻跟斗
[00:07:56--00:07:58] 能够跑步什么都能做了
[00:07:58--00:08:01] 所以那时候我觉得两边的差距还是很明显的
[00:08:01--00:08:04] 所以我觉得如果说我们能把simulation的东西
[00:08:04--00:08:05] 放到真实世界里面
[00:08:05--00:08:08] 那么机器人会有非常非常长期的进步
[00:08:08--00:08:09] 这个就是为什么我觉得我要用Graphics的技术去做这个任务
[00:08:09--00:08:10] 这个就是为什么我觉得我要用Graphics的技术去做这个任务
[00:08:10--00:08:11] 这个就是为什么我觉得我要用Graphics的技术去做这个任务
[00:08:11--00:08:13] 来变革机器人的原因
[00:08:13--00:08:15] 多少人是已经发现这个方向是正确的
[00:08:15--00:08:17] 这个问题其实还挺难回答的
[00:08:17--00:08:18] 现在看肯定是正确的
[00:08:18--00:08:19] 对
[00:08:19--00:08:19] 就是
[00:08:19--00:08:20] 是在Google里发现的吗
[00:08:20--00:08:21] 对
[00:08:21--00:08:23] 就是我的第一篇在Google的论文
[00:08:23--00:08:25] 叫Sim2Real
[00:08:25--00:08:28] Learning Agile Locomotion for Quadruped Robots
[00:08:28--00:08:31] Sim2Real就是从仿真到真实世界
[00:08:31--00:08:33] 然后我用的方法也完全是
[00:08:33--00:08:35] 叫Deep Reinforcement Learning
[00:08:35--00:08:38] 那个对于哪怕对于Graphics也是比较新的技术
[00:08:38--00:08:39] 然后在机器人上
[00:08:39--00:08:39] 然后在机器人上
[00:08:39--00:08:41] 根本没有人用
[00:08:41--00:08:43] 然后第一篇paper出来以后
[00:08:43--00:08:44] 就是获得了很多好评
[00:08:44--00:08:47] 这个也是我觉得第一个
[00:08:47--00:08:48] 就在过去十年里面
[00:08:48--00:08:49] 第一个怎么说呢
[00:08:49--00:08:51] Paradigm Shift发生了
[00:08:51--00:08:53] 就是用强化学习
[00:08:53--00:08:56] 解决走路和步态的问题
[00:08:56--00:08:57] 哦
[00:08:57--00:08:58] 我给你描述一下
[00:08:58--00:08:59] 就是说
[00:08:59--00:09:01] 可能十年前大家觉得
[00:09:01--00:09:03] 最好的机器人是波士顿动力的机器人
[00:09:03--00:09:05] 他们的狗叫Spot
[00:09:05--00:09:07] 他们有人形叫Atlus
[00:09:07--00:09:09] 然后他们能够跑酷
[00:09:09--00:09:10] 非常厉害
[00:09:10--00:09:13] 但是整个学术界都不知道他们怎么做的
[00:09:13--00:09:15] 后来最近大家知道他们是用NPC
[00:09:15--00:09:16] 但做到了极致
[00:09:16--00:09:20] 但是就在可能五年之后
[00:09:20--00:09:22] 你觉得大家都能跑跑跳跳
[00:09:22--00:09:24] 大家都能打拳跳舞
[00:09:24--00:09:27] 比如今年你看到比如说语书啊什么
[00:09:27--00:09:28] 他能打拳击
[00:09:28--00:09:29] 能够跳舞
[00:09:29--00:09:32] 然后最近可能各种上墙翻跟斗都行
[00:09:32--00:09:35] 其实就是因为大家采用同样一个技术
[00:09:35--00:09:36] 叫强化学习
[00:09:36--00:09:37] 然后Sim2Real
[00:09:37--00:09:39] 所以其实我个人觉得就是我
[00:09:39--00:09:42] 开始那篇论文其实开创了整个强化学习
[00:09:42--00:09:46] 和Sim2Real在服饰机器人上的应用
[00:09:46--00:09:47] 所以现在回头来看
[00:09:47--00:09:49] 那篇论文或者说
[00:09:49--00:09:52] 计算机图音学的确彻彻底底地改变了
[00:09:52--00:09:55] 机器人最近5年到10年的发展
[00:09:55--00:09:58] 你当时用强化学习是从大圆模型里面
[00:09:58--00:09:59] 借鉴的这个方法吗
[00:09:59--00:10:00] 并没有
[00:10:00--00:10:01] 因为大圆模型的兴起
[00:10:01--00:10:03] 是可能是过去5年的事情
[00:10:03--00:10:06] 强化学习可能是8年
[00:10:06--00:10:07] 那是2018年
[00:10:07--00:10:08] 就是7、8年前的事情
[00:10:08--00:10:09] 那时候还没有了
[00:10:09--00:10:10] 大圆模型
[00:10:10--00:10:12] 那个时候是从哪里借鉴的方法呢
[00:10:12--00:10:13] 那个时候有个特别火的事件
[00:10:13--00:10:14] 叫AlphaGo
[00:10:14--00:10:16] 就是DMI的
[00:10:16--00:10:17] 它那个夏威夷
[00:10:17--00:10:18] 然后用深度强化学习
[00:10:18--00:10:20] 那时候有很多很多方法
[00:10:20--00:10:21] 其中一个方法叫PPO
[00:10:21--00:10:22] 对
[00:10:22--00:10:26] 然后那个就是我利用的一个技术
[00:10:26--00:10:29] 它离强化学习时间上还有点差距
[00:10:29--00:10:30] 但是我觉得第一个
[00:10:30--00:10:31] 就是过去10年里面
[00:10:31--00:10:32] 第一个Paradigm Shift
[00:10:32--00:10:34] 肯定是强化学习
[00:10:34--00:10:35] 第二个Paradigm Shift
[00:10:35--00:10:37] 是大圆模型
[00:10:37--00:10:38] 对于机器人领域也是这样
[00:10:38--00:10:39] 对吧
[00:10:39--00:10:40] 对
[00:10:40--00:10:42] 你们叫巨声智能还是叫机器人
[00:10:42--00:10:44] 巨声智能是国内说的比较多的
[00:10:44--00:10:45] 对
[00:10:45--00:10:45] 都可以
[00:10:45--00:10:46] 其实是这样子
[00:10:46--00:10:47] 就Robotics
[00:10:47--00:10:50] 就以前当我们说In-body AI的时候
[00:10:50--00:10:53] 它不代表一定有硬件的本体
[00:10:53--00:10:55] 你在Simulation里面做机器人
[00:10:55--00:10:57] 也叫In-body的AI
[00:10:57--00:10:57] 对
[00:10:57--00:10:58] 对于我们来说
[00:10:58--00:11:01] 就是我们不光在Simulation里要做Robotics
[00:11:01--00:11:03] 我们在真实世界里要做Robotics
[00:11:03--00:11:05] 所以我更倾向于这台机器人
[00:11:05--00:11:08] 那大圆模型出现以后
[00:11:08--00:11:09] 对于机器人领域
[00:11:09--00:11:11] 它带来的影响是什么样
[00:11:11--00:11:12] 就是在大圆模型出来之前
[00:11:12--00:11:16] 很多机器人还是在那种就是底层的控制
[00:11:16--00:11:19] 就是说你怎么能够好好的走个路
[00:11:19--00:11:21] 然后做一些什么路径规划
[00:11:21--00:11:24] 使得你手可以在不撞到任何东西的情况下
[00:11:24--00:11:27] 比如说抓到这个瓶子
[00:11:27--00:11:30] 但是机器人是没有common sense的
[00:11:30--00:11:31] 他也不懂这个语言
[00:11:31--00:11:33] 所以你要让机器人做一件事情
[00:11:33--00:11:35] 你得编个成是吧
[00:11:35--00:11:36] 然后他才能做一件事情
[00:11:36--00:11:39] 但是等你有了大圆模型以后
[00:11:39--00:11:42] 第一他理解人类语言了
[00:11:42--00:11:43] 所以说你要他做什么事情
[00:11:43--00:11:45] 你可以直接用就是natural language
[00:11:45--00:11:45] 跟他对话
[00:11:45--00:11:46] 然后做事情
[00:11:46--00:11:48] 而这个还是很重要的突破
[00:11:48--00:11:50] 就是任何人都可以指挥机器人做事了
[00:11:50--00:11:51] 这是第一件事情
[00:11:51--00:11:54] 第二件事情就是common sense
[00:11:54--00:11:56] 就是以前大家觉得这机器人好难
[00:11:56--00:11:57] 就是不仅是控制问题
[00:11:57--00:11:59] 因为机器人他没有common sense
[00:11:59--00:12:00] 对
[00:12:00--00:12:02] 就是你刚说你帮我做杯咖啡
[00:12:02--00:12:04] 非常简单的一个指令
[00:12:04--00:12:05] 其实完全不知道什么意思
[00:12:05--00:12:08] 他也不知道应该是哪些步骤可以做一杯咖啡
[00:12:09--00:12:10] 但是如果你就想
[00:12:10--00:12:12] 你就问Gemini或者问ChatGPT
[00:12:12--00:12:15] 你说如果我要做一杯咖啡有哪些步骤
[00:12:15--00:12:17] 那么他会告诉一步一步的列出来
[00:12:17--00:12:19] 然后你说我可能需要更细化的步骤
[00:12:19--00:12:21] 他可以给你列一个非常详细的plan
[00:12:21--00:12:24] 所以说当你用大圆模型来控制机器人的时候
[00:12:24--00:12:27] 这个机器人就有了common sense
[00:12:27--00:12:28] 他能理解要做一件事情
[00:12:28--00:12:30] 他需要哪些具体的步骤
[00:12:30--00:12:32] 而如果每个步骤都足够简单的话
[00:12:32--00:12:34] 他就能一步一步的把它做完
[00:12:34--00:12:35] 对这个就是说
[00:12:35--00:12:37] 以前的机器人是没有大脑的
[00:12:37--00:12:38] 就是有了大圆模型以后
[00:12:38--00:12:38] 你可以认为
[00:12:39--00:12:40] 有了大脑和认知
[00:12:40--00:12:42] 使得他可以做很多很复杂的事情
[00:12:42--00:12:44] 强化学习相当于是什么呢
[00:12:44--00:12:46] 这个就有点像大脑和小脑
[00:12:46--00:12:48] 对大脑是思维对吧
[00:12:48--00:12:51] 然后是推理是做计划
[00:12:51--00:12:54] 所以说大圆模型更像大脑
[00:12:54--00:12:55] 但小脑是执行
[00:12:55--00:12:56] 就是你要走路
[00:12:56--00:12:58] 你要控制平衡
[00:12:58--00:12:59] 然后你要控制你的双双手
[00:12:59--00:13:02] 你要做手上的manipulation
[00:13:02--00:13:05] 这个就是强化学习非常擅长的一部分
[00:13:05--00:13:07] 所以你可能大脑小脑都需要有
[00:13:07--00:13:08] 对我前几周在杭州
[00:13:08--00:13:09] 主持云气大会的
[00:13:09--00:13:10] 巨神智能分场
[00:13:10--00:13:11] 有个观点我印象很深
[00:13:11--00:13:12] 就是他们提出
[00:13:12--00:13:13] 巨神智能机座模型
[00:13:13--00:13:15] 不应该被视作大圆模型的
[00:13:15--00:13:16] 一个延伸或者分支
[00:13:16--00:13:17] 而是一个独立的方向
[00:13:17--00:13:20] 他们觉得就是为机器人训练的是
[00:13:20--00:13:22] 一个独立的机器人的机座模型
[00:13:22--00:13:23] 机器人大脑
[00:13:23--00:13:26] 就是他们在非常强烈的强调
[00:13:26--00:13:27] 自己这个学科的独立性
[00:13:27--00:13:29] 你怎么看待他们这个观点
[00:13:29--00:13:30] 我觉得没有对错可言
[00:13:30--00:13:33] 就是大家会有自己的不一样的偏念
[00:13:33--00:13:35] 从我的角度来说
[00:13:35--00:13:36] 我不得不承认
[00:13:36--00:13:38] 就是现在最近几年的
[00:13:38--00:13:38] 机器人智能的
[00:13:38--00:13:41] 发展主要还是依赖于
[00:13:41--00:13:43] 多模态的大模型
[00:13:43--00:13:44] 所以它不仅仅是圆模型
[00:13:44--00:13:46] 它是一个多模态模型
[00:13:46--00:13:48] 然后但是多模态模型
[00:13:48--00:13:48] 它缺什么呢
[00:13:48--00:13:51] 就是它缺就是robot action的输出
[00:13:51--00:13:53] 多模态模型它可以输入
[00:13:53--00:13:55] 比如说图像
[00:13:55--00:13:57] 它可以输入语言
[00:13:57--00:13:59] 然后它的输出可能是文本
[00:13:59--00:13:59] 对
[00:13:59--00:14:02] 但它不能输出对机器人的控制
[00:14:02--00:14:03] 于是我们经常做的事情
[00:14:03--00:14:06] 就是拿大圆模型作为一个基底模型
[00:14:06--00:14:08] 然后加上一些
[00:14:08--00:14:08] 就是
[00:14:08--00:14:10] 机器人动作的数据
[00:14:10--00:14:13] 使得它能够输出机器人的动作
[00:14:13--00:14:15] 使得它能够控制机器人
[00:14:15--00:14:16] 所以从我的角度来说
[00:14:16--00:14:20] 我做的很多工作还是说怎么样补全
[00:14:20--00:14:22] 现在这个多模态模型
[00:14:22--00:14:24] 使得它可以输出机器人的动作
[00:14:24--00:14:26] 使得它能够控制机器人
[00:14:26--00:14:28] 它到底是不是一个非常独立的
[00:14:28--00:14:30] 单独的学科
[00:14:30--00:14:31] so far not yet
[00:14:31--00:14:31] 对
[00:14:31--00:14:33] 我觉得未来可能当你碰到各种各样
[00:14:33--00:14:34] 瓶颈的时候
[00:14:34--00:14:38] 当你需要不一样的data的format的时候
[00:14:38--00:14:41] 当你需要可能一个更加完善的world model的时候
[00:14:41--00:14:43] 可能它会变成一个更加独立的学科
[00:14:43--00:14:46] 但现在我觉得绝大多数的在做VLA的
[00:14:46--00:14:49] 在做机器人大模型的
[00:14:49--00:14:53] 其实还是在大圆模型或者多模态圆模型上
[00:14:53--00:14:55] 做的一些怎么说fine tuning
[00:14:55--00:14:56] 对
[00:14:56--00:14:58] 所以 somehow它还是一个延伸
[00:14:58--00:14:59] so far
[00:14:59--00:14:59] so far
[00:14:59--00:15:00] 对
[00:15:00--00:15:01] 我觉得至今为止
[00:15:01--00:15:05] 我觉得它其实并没有一个什么质的改变
[00:15:05--00:15:05] 对
[00:15:05--00:15:07] 它更多的是采集更多的机器人的动作
[00:15:07--00:15:08] 更多的机器人数据
[00:15:08--00:15:12] 然后扔到大圆模型里面去做不同阶段的fine tuning
[00:15:12--00:15:15] 所以今天你觉得robotics它发展到哪个阶段了
[00:15:15--00:15:15] 你觉得
[00:15:15--00:15:18] 我觉得它的progress非常快
[00:15:18--00:15:20] 最近的一年
[00:15:20--00:15:23] 它的进展让我觉得非常的
[00:15:23--00:15:24] 怎么说
[00:15:24--00:15:26] impressed或者surprise
[00:15:26--00:15:28] 但是要解决这个局生智能
[00:15:28--00:15:31] 或者使得机器人有真正的应用
[00:15:31--00:15:34] 我觉得那个gap还是很大的
[00:15:34--00:15:37] 就是的确现在你可以说你让
[00:15:37--00:15:40] 机器人模型做一件事情做得非常好
[00:15:40--00:15:41] 我觉得是可以的
[00:15:41--00:15:43] 你其实看到很多网上的video
[00:15:43--00:15:45] 包括你可能在coro看到
[00:15:45--00:15:48] 就是Dyna的比如折衣服的demo
[00:15:48--00:15:50] 其实它做非常类似的
[00:15:50--00:15:53] 或者一个比较窄的领域的操作的话
[00:15:53--00:15:54] 它可以做得非常好
[00:15:54--00:15:55] 这是因为强化学习
[00:15:55--00:15:57] 大家好称是强化学习
[00:15:57--00:15:59] 但我觉得肯定不止强化学习
[00:15:59--00:16:03] 因为我相信Dyna那个可能也是VLA加上强化学习的方案
[00:16:03--00:16:05] 但是它依靠了多少
[00:16:05--00:16:06] VLA依靠了多少强化学习
[00:16:06--00:16:07] 这可能你就
[00:16:07--00:16:08] 我问他们才知道了
[00:16:08--00:16:09] 对
[00:16:09--00:16:11] 所以如果你是做一个任务
[00:16:11--00:16:13] 或者一系列非常接近的任务
[00:16:13--00:16:15] 现在可以做的挺好的
[00:16:15--00:16:17] 但是如果你要真正的generalization
[00:16:17--00:16:18] 就是说你要真正的泛化能力
[00:16:18--00:16:20] 你希望有一个就像人型机器人
[00:16:20--00:16:22] 它可以做好多事情
[00:16:22--00:16:23] 现在还差得很远
[00:16:23--00:16:26] 现在比如说哪怕像Gemini Robotics这样的模型
[00:16:26--00:16:28] 它非常强调泛化能力
[00:16:28--00:16:30] 那么它可以做很多事情
[00:16:30--00:16:34] 你可以用自然语言说你开水瓶盖子
[00:16:34--00:16:36] 或者把包整好或者怎么样
[00:16:36--00:16:37] 但是它成功率还不是很高
[00:16:37--00:16:42] 就是如果你更多的是像非常简单的pick and place
[00:16:42--00:16:44] 把什么抓起来放到什么地方
[00:16:44--00:16:46] 也许它成功率有百分之九十几百分之一百
[00:16:46--00:16:49] 但是对于很多就是需要精细操作的东西
[00:16:49--00:16:51] 比如说把这个拉链拉上
[00:16:51--00:16:52] 这个就是非常难
[00:16:52--00:16:53] 其实你要抓到对的地方
[00:16:53--00:16:56] 然后往一个特定的方向拉
[00:16:56--00:16:59] 像这个比如成功率可能就是百分之三四十
[00:16:59--00:17:01] 所以说百分之三四十的成功率
[00:17:01--00:17:03] 在现实生活中是不可用的
[00:17:03--00:17:03] 对
[00:17:03--00:17:06] 所以我觉得其实虽然我们的进展非常快
[00:17:06--00:17:07] 但是我们的进展非常快
[00:17:07--00:17:07] 但是我们的进展非常快
[00:17:07--00:17:09] 这个gap也非常的大
[00:17:09--00:17:12] 所以我觉得还需要好几年的时间
[00:17:12--00:17:14] 使得这个机器人能够足够的完善
[00:17:14--00:17:17] 然后进入到各行各业来帮助我们
[00:17:17--00:17:20] 大概如果定义成一个GPT的这种标识的话
[00:17:20--00:17:22] 大概到了那个时候
[00:17:22--00:17:24] 这个其实很难做对应
[00:17:25--00:17:25] 我是这么想的
[00:17:25--00:17:30] 就是说现在大家看到了足够的science life
[00:17:30--00:17:32] 说我们可能scale up
[00:17:32--00:17:35] 现在的这个training recipe是会work的
[00:17:35--00:17:37] 但是可能还需要两三年
[00:17:37--00:17:38] 两三年的时间
[00:17:38--00:17:42] 使得你能够达到一个GPT三GPT四的这样的一个水平
[00:17:42--00:17:43] 使得你可以真正觉得
[00:17:43--00:17:46] 哇这东西还是真的是会有用的
[00:17:46--00:17:48] 然后我觉得可能还需要额外的五到十年时间
[00:17:48--00:17:50] 使得它真正的落地
[00:17:50--00:17:51] 落地的时间更长
[00:17:51--00:17:52] 是这样子的
[00:17:52--00:17:54] 一般性就是说做research
[00:17:54--00:17:55] 做研究是这样子
[00:17:55--00:17:57] 你有个想法
[00:17:57--00:18:00] 然后从想法到一个prototype
[00:18:00--00:18:02] 然后那个是很快的
[00:18:02--00:18:03] 因为你做完一个prototype
[00:18:03--00:18:04] 你就可以写篇论文
[00:18:04--00:18:06] 所以那个周期可能是六个月
[00:18:06--00:18:07] 最多一年
[00:18:07--00:18:09] 当你写完一篇论文
[00:18:09--00:18:12] 到你有胆量拿出来做live demo
[00:18:12--00:18:14] 而不只是录一段视频
[00:18:14--00:18:16] 你有胆量拿出来做live demo
[00:18:16--00:18:18] 那可能需要一两年时间
[00:18:18--00:18:19] 就是你有很多
[00:18:19--00:18:20] 因为你在写论文的时候
[00:18:20--00:18:22] 你有很多很多 assumption
