[00:00:01--00:00:15] Hello 大家好 我是小骏
[00:00:15--00:00:18] 今天我们来到了美国硅谷
[00:01:47--00:01:48] 你们反正问题也是一样的
[00:01:48--00:01:49] 这个
[00:01:49--00:01:50] 但是呢
[00:01:50--00:01:52] 就是从这一些大量的
[00:01:52--00:01:55] 比较无聊的这个过程中
[00:01:55--00:01:58] 有一些让人很激动的谈话
[00:01:58--00:02:00] 通常这一些谈话是你最终选择的
[00:02:00--00:02:01] 选择的同志
[00:02:01--00:02:03] 比如说我印象特别深刻的
[00:02:03--00:02:05] 我们最后的领头方B Capital
[00:02:05--00:02:07] 我跟Howard Morgan
[00:02:07--00:02:07] 呃
[00:02:07--00:02:15] 就是有一个对话
[00:02:15--00:02:16] Hello 乐彤
[00:02:16--00:02:18] 还是先给观众朋友们打个招呼
[00:02:18--00:02:20] 并且做一个简单的自我介绍
[00:02:20--00:02:20] 好
[00:02:20--00:02:21] Hello 小俊
[00:02:21--00:02:22] 谢谢你邀请我
[00:02:22--00:02:22] 啊
[00:02:22--00:02:23] 我是洪乐彤
[00:02:23--00:02:26] AXIOM的创始人和CEO
[00:02:26--00:02:26] 啊
[00:02:26--00:02:27] 对
[00:02:27--00:02:28] 嗯
[00:02:28--00:02:31] 我想我们的聊天可以从一个故事开始
[00:02:31--00:02:35] 就很多数学家在说自己被数学打动的那个时刻
[00:02:35--00:02:36] 都叫做被数学击中的时刻
[00:02:36--00:02:38] 比如说高斯就是说像闪电一样
[00:02:38--00:02:40] 你自己有过这样的时刻吗
[00:02:40--00:02:43] 我就是自己解题的过程中
[00:02:43--00:02:43] 这个
[00:02:43--00:02:44] 稍微
[00:02:44--00:02:45] 就是低频率一些
[00:02:45--00:02:48] 但是我经常在看别人结果的时候有一种
[00:02:48--00:02:48] 哇
[00:02:48--00:02:50] 这个东西怎么这么美的一个感受
[00:02:50--00:02:50] 啊
[00:02:50--00:02:52] 我印象中特别深
[00:02:52--00:02:54] 其中一个例子就是说啊
[00:02:54--00:02:58] 第一次看到这个啊模型式椭圆曲线定理
[00:02:58--00:03:01] 就是说每一个这种啊模型式
[00:03:01--00:03:03] 它都对应着一个啊椭圆曲线
[00:03:03--00:03:12] 相当于是把啊一个比较代数性的一些一个一个表达式和一个啊更几何性的一种几何呃呃物
[00:03:12--00:03:13] 我几何物
[00:03:13--00:03:15] 体呃就是联系起来
[00:03:15--00:03:18] 然后我觉得就是数学中这种两个领域
[00:03:18--00:03:26] 然后他们相当于中间有一个交集的这样的一个例子还是每一次我都是觉得非常非常非常优美的
[00:03:26--00:03:30] 然后呃我印象中就是还有另外的比如说概率
[00:03:30--00:03:36] 然后物理那里面又有一堆的可以就是呃让我觉得非常就是有意思的结果
[00:03:36--00:03:40] 呃然后我自己解题的话还是就是小的时候可能见的不太多
[00:03:40--00:03:42] 就是觉得数学还能还能这么玩
[00:03:42--00:03:43] 就是当时从
[00:03:43--00:03:46] 初等数论的时候一直推推到这个二次互反率
[00:03:46--00:03:49] 我当时在美国的一个叫罗斯夏令营
[00:03:49--00:03:53] 然后他每一天就给你每一天给你一个题集
[00:03:53--00:03:55] 然后你要把它全部做完还挺多题呢
[00:03:55--00:03:58] 全部做完才能拿第二天的提及像游戏打怪一样
[00:03:58--00:04:01] 然后如果你做不完所有的题他就不给你下一个提及
[00:04:01--00:04:08] 然后你就看你隔壁的那个同学已经就比你就是多了三个提及有更多有意思的可能是正确的东西
[00:04:08--00:04:10] 但是由于你的证明能力还没有跟上
[00:04:10--00:04:11] 你一直到不了
[00:04:11--00:04:13] 然后到最后到二次互反率的时候
[00:04:13--00:04:15] 就是他给你呈现了很多的证明
[00:04:15--00:04:18] 我在这个过程中一定是觉得有被数学击中的时刻
[00:04:18--00:04:22] 然后呃就是觉得非常表达非常简洁的东西
[00:04:22--00:04:24] 他后面的这个证明可以很深
[00:04:24--00:04:26] 然后也可以有很创造力的一些解法
[00:04:26--00:04:28] 我有一个问题他可能会很好回答
[00:04:28--00:04:30] 也可能会很不好回答
[00:04:30--00:04:32] 就是有一天我跟AI在谈论数学的时候
[00:04:32--00:04:35] 他提到数学是一种结构的语言
[00:04:35--00:04:38] 所以我想知道从你的视角来定义数学到底是什么
[00:04:38--00:04:41] 对啊这个确实不太好回答
[00:04:41--00:04:42] 我觉得
[00:04:43--00:04:49] 他有一点像是说是人类我们决定说去创造一个文明的体系
[00:04:49--00:04:52] 然后在这个文明的体系里面
[00:04:52--00:05:00] 由于一些就是我们愿意去说是呃我们认为是是对的一些公理
[00:05:00--00:05:01] 然后往上去搭建
[00:05:01--00:05:04] 就是我们我们他其实某种程度上是数学家
[00:05:04--00:05:04] 他有一个契约
[00:05:04--00:05:09] 就是说哪一些东西我们是愿意接受是呃理所当然的
[00:05:09--00:05:12] 然后在这些东西上面最少的理所当然
[00:05:12--00:05:13] 或者说
[00:05:13--00:05:14] 不一定是最少
[00:05:14--00:05:15] 看你从哪一个角度去看
[00:05:15--00:05:19] 有一些人他会去从compression压缩这里去去看
[00:05:19--00:05:20] 他希望是最少的公理
[00:05:20--00:05:27] 有一些人是去希望能找最有意思的或者说就是搭搭配最合理的一套公理系统
[00:05:27--00:05:29] 然后往上再搭建
[00:05:29--00:05:31] 然后往上搭建的这个过程中
[00:05:31--00:05:34] 其实我觉得这个过程是很多人觉得数学是解题
[00:05:34--00:05:35] 就是我有一道题
[00:05:35--00:05:36] 然后我把它做出来
[00:05:36--00:05:39] 但就是往上搭理论的这个过程其实很有意思
[00:05:39--00:05:43] 一般是先从一些数学的一些例子出发
[00:05:43--00:05:43] 一些
[00:05:43--00:05:48] 因为它就是呃比如说是一个一个序列或者说是一个集合
[00:05:48--00:05:50] 然后你去发现一些规律
[00:05:50--00:05:55] 然后这个时候你觉得很自然而然的下面的一个题应该是怎么样的
[00:05:55--00:05:56] 然后再去证明它
[00:05:56--00:05:58] 所以这个过程其实有一点点像艺术
[00:05:58--00:06:01] 我觉得数学是一个鉴于艺术与科学之间的一个存在
[00:06:01--00:06:05] 所以数学到底是一个被发现的过程还是一个被创造的过程
[00:06:05--00:06:09] 这是一个这个千古千古千古的难题的辩论辩论点
[00:06:09--00:06:11] 嗯你是哪一派
[00:06:11--00:06:12] 我觉得就是呃
[00:06:12--00:06:18] 如果就是一些数学家他们有一套比较相似的训练背景
[00:06:18--00:06:20] 或者说他们在同一个领域里面
[00:06:20--00:06:24] 他们阅读了同样的一批呃代表作
[00:06:24--00:06:28] 他们会有一个某种程度上比较大的一个默契
[00:06:28--00:06:31] 去说我们认为这个很自然而然的
[00:06:31--00:06:33] 他应该是是什么样的
[00:06:33--00:06:39] 然后如果说出现了一个比如说最有意思的就是当拉玛努金他从印度来到了英国
[00:06:39--00:06:42] 他遇到了这个哈代和littlewood
[00:06:42--00:06:47] 他们就是hardy littlewood他们两个人就是一直就他们两个写paper
[00:06:47--00:06:48] 他们写了很多很多的文章
[00:06:48--00:06:51] 然后拉玛努金来到这里就是像一个外星人一样
[00:06:51--00:06:53] 他说嘿这是我的这个草稿本
[00:06:53--00:06:55] 上面这些东西全都是对的
[00:06:55--00:06:57] 我从来没有接受过数学的这个训练
[00:06:57--00:06:59] 我不知道怎么去证明他
[00:06:59--00:07:04] 然后哈代和littlewood我就会觉得这些东西看起来很有意思
[00:07:04--00:07:04] 他们很新
[00:07:04--00:07:09] 然后他们和我们之前做的东西又感觉是又感觉这个东西是对的
[00:07:09--00:07:11] 但是所以他们就开始用证明
[00:07:11--00:07:20] 所以某种程度上证明是一个与原来的这一群数学家所不太一样的一个一些一些人
[00:07:20--00:07:23] 他们可以用证明来来来说服他们证明
[00:07:23--00:07:25] 其实某种程度上它是影响力
[00:07:25--00:07:29] 就是我只要能够去把这个东西严丝合缝的逻辑证明出来
[00:07:29--00:07:31] 我这个数学的发现就是可以被接受的
[00:07:31--00:07:33] 然后在他被接受的这个情况下
[00:07:33--00:07:38] 当然了就是又会说你这个证明是美还是不美是自然还是不自然
[00:07:38--00:07:41] 这个我们之前看到很多国际的数论学家
[00:07:41--00:07:45] 去看张艺唐先生的这个的的数论证明
[00:07:45--00:07:52] 他们就觉得这个证明是和他们熟悉的一些学派非常不一样的一种证明方式
[00:07:52--00:08:00] 但是在就是非常著名的那一个那个结果就是素数的这个固定的这个差
[00:08:00--00:08:01] 这个他们觉得是是正确的
[00:08:01--00:08:03] 所以他们又接受了这件事情
[00:08:03--00:08:08] 于是就是又开始去互相的去去学习和整理他们的证明方式
[00:08:08--00:08:11] 比如说James Maynard 2022年的菲尔兹奖
[00:08:11--00:08:14] 他有另外的他的一套的证明的这个技巧
[00:08:14--00:08:17] 然后他的学生们去继承他的证明的技巧
[00:08:17--00:08:20] 然后他他和这个张艺唐先生的这些就可以进行
[00:08:20--00:08:22] 大家可以进行比较
[00:08:22--00:08:23] 也可以进行简化
[00:08:23--00:08:27] 这个过程其实是非常非常有意思的一个一个治理过程
[00:08:27--00:08:29] 你是哪一派呀
[00:08:29--00:08:32] 你是那种直觉派天才派还是证明派
[00:08:32--00:08:36] 我一直就是非常希望能当直觉派天才派
[00:08:36--00:08:39] 然后这其实我很小就是痛苦的一个根源
[00:08:39--00:08:40] 就是我一直发现
[00:08:40--00:08:41] 我自己没有什么证明方式
[00:08:41--00:08:42] 我没有什么特别大的数学天赋
[00:08:42--00:08:44] 就我是一个蛮力行选手
[00:08:44--00:08:46] 对我是蛮力行选手
[00:08:46--00:08:49] 就是你给我我小时候在打数学奥赛的时候
[00:08:49--00:08:52] 我记得他们说就是每个卷子的第一道题几何题
[00:08:52--00:08:56] 欧式几何题欧式几何题是必拿的分
[00:08:56--00:08:57] 你如果不拿欧式几何题
[00:08:57--00:09:00] 你连这个三等奖你都拿不到
[00:09:00--00:09:02] 然后我就一直做不出来欧式几何题
[00:09:02--00:09:04] 我我我倒是可能能做代数不等式
[00:09:04--00:09:08] 我的大脑可能更偏代数的符号的表达
[00:09:08--00:09:10] 然后几何和拓扑实在是差
[00:09:10--00:09:13] 所以我一般就是去把每一个点
[00:09:13--00:09:15] 然后每一条线就用这个复数法
[00:09:15--00:09:16] 就是大力出奇迹
[00:09:16--00:09:19] 我最后我不需要去理解这个几何题
[00:09:19--00:09:20] 它背后的几何意义
[00:09:20--00:09:23] 我就把它完全是就是照本宣科的
[00:09:23--00:09:26] 去拿一个套非常复杂的复数法
[00:09:26--00:09:27] 就把它就是解决出来
[00:09:27--00:09:30] 我可能会需要比别人多两到三倍的时间
[00:09:30--00:09:32] 导致我可能其他题目的时间分配不均
[00:09:32--00:09:34] 但是这是我做这个几何题的唯一方式
[00:09:34--00:09:37] 其实最有意思的是2021年开始
[00:09:37--00:09:39] 就是Google DeepMind
[00:09:39--00:09:39] 他们从
[00:09:40--00:09:42] 他们很秘密的开始一个这个
[00:09:42--00:09:44] Alpha Geometry的这个项目
[00:09:44--00:09:47] 就是说如果我们这个拿AI去证明
[00:09:47--00:09:49] 欧式几何题非常困难
[00:09:49--00:09:49] 感到困难
[00:09:49--00:09:51] 能否把它变成符号表达
[00:09:51--00:09:52] 它这个不是复数法
[00:09:52--00:09:54] 跟我说的这个人类
[00:09:54--00:09:56] 我这个人类做的方式是不一样
[00:09:56--00:09:58] 但它这个背后的哲学是一样的
[00:09:58--00:10:01] 我把几何的图形变成这个符号表达式
[00:10:01--00:10:04] 于是这就是他们就能够通过这个东西去解决
[00:10:04--00:10:07] 好像81%的就是AI
[00:10:07--00:10:10] 就是AI能够解决81%历史上IMO的几何题
[00:10:10--00:10:11] 就这是一个很有意思
[00:10:11--00:10:15] 这是一个我不是天赋型选手的这个解释
[00:10:15--00:10:15] 解释一
[00:10:15--00:10:16] 我有一个解释二
[00:10:16--00:10:18] 就是我在MIT的时候
[00:10:18--00:10:20] 我身边所有人他们都是天赋型选手
[00:10:20--00:10:22] 所以你只要就是看看左边
[00:10:22--00:10:24] 看看右边就知道自己不是天赋型选手
[00:10:24--00:10:25] 但是呢
[00:10:25--00:10:26] 我不放弃
[00:10:26--00:10:27] 我是打不死的小强
[00:10:27--00:10:28] 就是你给我一道题
[00:10:28--00:10:29] 我三个月我做不出来
[00:10:29--00:10:29] 我继续想
[00:10:29--00:10:31] 我记得当时Henry Kong教授
[00:10:31--00:10:33] 他给了我一道Sphere Packing
[00:10:33--00:10:37] 让我去想一些关于28位的这个Sphere Packing的一些小的问题
[00:10:37--00:10:39] 这个东西当然不可能
[00:10:39--00:10:40] 就是期待一个本科生
[00:10:40--00:10:41] 完全解决
[00:10:41--00:10:43] 然后我六个月我什么都没有想出来
[00:10:43--00:10:44] 但是我每一周我就去说
[00:10:44--00:10:45] 我这是我试过的
[00:10:45--00:10:46] 我没有成功
[00:10:46--00:10:47] 然后我又试了一周
[00:10:47--00:10:48] 我又没有成功
[00:10:48--00:10:50] 所以但这个这种蛮力型
[00:10:50--00:10:54] 其实某种程度上会和一些天赋型选手存在一个互补
[00:10:54--00:10:57] 就是说他们可能有一些脏活泪或不愿意干的
[00:10:57--00:10:58] 我可以把它去干完
[00:10:58--00:11:00] 所以你的这个过程
[00:11:00--00:11:02] 有点类似于AI的过程
[00:11:02--00:11:04] AI是这种蛮力型选手
[00:11:04--00:11:05] AI是直觉派吗
[00:11:05--00:11:06] 现在AI里面
[00:11:06--00:11:09] 它也分了这个比较天赋型
[00:11:09--00:11:10] 聪明型的
[00:11:10--00:11:13] AI和这个和这个比较蛮力型的AI
[00:11:13--00:11:16] 比如说我们现在这个我们公司的这个AI系统
[00:11:16--00:11:18] 它里面就是它是一个系统
[00:11:18--00:11:19] 所以它中间有很多的模型
[00:11:19--00:11:25] 它有一些模型就是能够很很快的去认定
[00:11:25--00:11:30] 这个题目应该是被1234567部这么大概证明出来
[00:11:30--00:11:33] 然后就是偏形式化
[00:11:33--00:11:35] 见到了很多另这种形式化语言的AI
[00:11:35--00:11:37] 他就会说
[00:11:37--00:11:39] 哎反正我就是一个tactic
[00:11:39--00:11:40] 一个tactic的
[00:11:40--00:11:43] tactic是另里面的一个步骤或者说是策略
[00:11:43--00:11:49] 它能够让你就是从把你的一个很复杂的问题一步一步的去把它解决
[00:11:49--00:11:51] 它更是这种严丝合缝
[00:11:51--00:11:53] 就是小步小步走
[00:11:53--00:11:56] 然后不是之前刚才讲的那一个能够列提纲的AI
[00:11:56--00:12:01] 所以其实AI这系统里面两种就是类型的AI数学家
[00:12:01--00:12:03] 他也能相辅相成
[00:12:03--00:12:04] 某种情况下
[00:12:04--00:12:05] 其实最有意思的是
[00:12:05--00:12:07] 当看到一道题
[00:12:07--00:12:09] 就是我们发现在我们最近呃
[00:12:09--00:12:12] 我们公司在这个普特兰大学生数学竞赛中
[00:12:12--00:12:16] 就是这个Action Prover AI拿了满分
[00:12:16--00:12:20] 然后是人类历史上有五个满分
[00:12:20--00:12:21] 过去的98年
[00:12:21--00:12:25] 1927年开始第一次普特兰数学竞赛
[00:12:25--00:12:27] 然后这是第六个满分
[00:12:27--00:12:28] 是一个AI拿到的
[00:12:28--00:12:31] 然后我们就有看这个AI的解法
[00:12:31--00:12:33] 有一道题我印象特别深刻
[00:12:33--00:12:35] 我们队伍中有这么一个同学
[00:12:35--00:12:36] 他叫做Evan Chen
[00:12:36--00:12:37] 他是美国
[00:12:37--00:12:39] 就是IMO数学竞赛队
[00:12:39--00:12:41] 的这个教练
[00:12:41--00:12:43] 所以他是非常天赋型的一个选手
[00:12:43--00:12:44] 他看到这道题
[00:12:44--00:12:45] 他画了一个图
[00:12:45--00:12:47] 然后我们所有人当时在那个会议室一看到这个图
[00:12:47--00:12:48] 我们就说哦
[00:12:48--00:12:49] 那你是把它做出来了
[00:12:49--00:12:51] 就一个图的一个解法
[00:12:51--00:12:54] 这个AI果然就没有找到这个一个图的解法
[00:12:54--00:12:57] 我们看到了就是几千行的这个Lin代码
[00:12:57--00:13:01] 他是就是硬生生的把它某种类似枚举
[00:13:01--00:13:02] 类似分类讨论
[00:13:02--00:13:08] 然后呃就是一步一步一步核实去把它就是干出来的
[00:13:08--00:13:09] 所以就是
[00:13:09--00:13:11] 一个大力出奇迹的AI
[00:13:11--00:13:12] 他可以看到这个机器
[00:13:12--00:13:18] 他会去就算是一道很明显可以去做创造力解法的一道题目
[00:13:18--00:13:23] 他可以去通过他自己擅长的东西去给出给出一个完全不一样的解法
[00:13:23--00:13:30] 其实我觉得去比较人类与AI就是得到的这个证明解法的背后的数学是一个非常有意思的过程
[00:13:30--00:13:30] 嗯
[00:13:30--00:13:33] 所以数学不是人类的特权
[00:13:33--00:13:33] 对吧
[00:13:33--00:13:34] 呃
[00:13:34--00:13:37] 现在感觉上这个自动定理证明
[00:13:37--00:13:39] 这个领域呃
[00:13:39--00:13:39] 发展的很好
[00:13:39--00:13:44] 其实这个领域他呃不能够叫是AI的胜利
[00:13:44--00:13:49] 他在呃没有AI没有这个深度神经网络的时候
[00:13:49--00:13:52] 就有一群呃呃电脑计算机科学家
[00:13:52--00:14:03] 他们就是去希望能够使得呃基于规则的电脑系统能够去帮助人类去解决呃能够解决的数学问题
[00:14:03--00:14:06] 然后这就叫做自动定理证明ATP
[00:14:06--00:14:09] 然后ITP就是交互性定理证明互动性定理证明
[00:14:09--00:14:26] 就是毕竟有一些ATP无法解决的就是过去会有一些人类他们是数学家他们也会去呃写这种令这种特定的这种呃程序编程语言他们就会去与这个电脑系统一起去合作证明这件事情
[00:14:26--00:14:31] 现在其实我们只是把这个ITP中的这个人类换成了一个AI而已
[00:14:31--00:14:38] 他这个这个这个古老的这个学科其实某种程度上是ATP与AI的这样的一个一个交集
[00:14:38--00:14:39] 嗯
[00:14:39--00:14:42] 我相信很多人都还是会对你很好奇
[00:14:42--00:14:44] 你虽然一直在说你不是天赋型选手
[00:14:44--00:14:46] 你是一个蛮力型选手
[00:14:46--00:14:48] 但是你的过往的背景非常的强
[00:14:48--00:14:48] 嗯
[00:14:48--00:14:50] 所以还是想聊聊你自己
[00:14:50--00:14:54] 你在广州长大广州是一座非常有烟火气的城市
[00:14:54--00:14:57] 所以你的小说的成长环境是什么样的
[00:14:57--00:15:01] 对呃广州是一个非常非常有烟火气的城市
[00:15:01--00:15:05] 呃其中我最深刻的一个童年记忆就是确实有很多好吃的
[00:15:05--00:15:08] 就是感觉呃到了后面长大就是留学
[00:15:08--00:15:09] 感觉就是食物上的食物上的食物
[00:15:09--00:15:10] 比较比较匮乏
[00:15:10--00:15:13] 尤其是和家乡的家乡的美食比起来
[00:15:13--00:15:17] 呃我爸爸妈妈呃我们是在广州啊
[00:15:17--00:15:18] 我在广州出生长大
[00:15:18--00:15:20] 然后我们住在就是离学校很近
[00:15:20--00:15:22] 所以就是每天可以走路去上学
[00:15:22--00:15:26] 然后有些时候上学的时候就也会想想数学体育
[00:15:26--00:15:28] 然后也走到不知道哪里去
[00:15:28--00:15:33] 就是这种呃呃说是就是想数学的同学们经常犯的这样的这个习惯
[00:15:33--00:15:36] 我也有呃走路到学校多多远
[00:15:36--00:15:37] 呃就十分钟
[00:15:37--00:15:39] 然后就是有时候会会开始游的啊
[00:15:39--00:15:43] 因为就是就是有时候脑子会想想别的事情
[00:15:43--00:15:46] 其实我觉得这是一个非常快乐的一个状态
[00:15:46--00:15:49] 呃后面就是我最近创业
[00:15:49--00:15:52] 呃我有一个这个呃呃导师
[00:15:52--00:15:57] 他讲到一个概念就叫做呃bonded attention和free attention
[00:15:57--00:16:01] bonded attention的意思是说呃被框架住的注意力
[00:16:01--00:16:04] 然后free attention是说自由注意力
[00:16:04--00:16:07] 比如说我们呃每一天早上起来我们会看到很多邮件
[00:16:07--00:16:09] 然后我们会有很多我必须要执行的事情
[00:16:09--00:16:12] 因为我不执行这些事情可能说有一个期限性
[00:16:12--00:16:14] 你必须要把它执行掉
[00:16:14--00:16:19] 这个时候你的大脑是在一个呃被框架住的注意力的这样的一个情况下
[00:16:19--00:16:27] 对然后呃很多很成功的企业家他们是非常有纪律性的执行家
[00:16:27--00:16:31] 他们就是每一天日复一日的去肯胖复利他的这个执行
[00:16:31--00:16:33] 呃呃这个很好
[00:16:33--00:16:38] 然后所以我一开始就是创业的时候非常希望我每一天能做多少事情做多少事情
[00:16:38--00:16:51] 但是就是后面这一个自由注意力其实是能够区分一个平均的一个创业者和一个很很好的一个很有呃策略性和决策性的一个创业者的一个区别
[00:16:51--00:16:58] 其实是在自由注意力这里或者说一个数学家自由注意力这里是可以把人与人之间的这个差距拉开的点
[00:16:58--00:17:05] 所以当你所有的时间呃自愿的去由于说我要做一个像呃就是像军训一样
[00:17:05--00:17:06] 我每一天就是要干掉多少活
[00:17:06--00:17:08] 你可能会使得你这个
[00:17:08--00:17:11] 自由注意力这一块呃反而是欠学了
[00:17:11--00:17:13] 你丧失了很多的机会成本
[00:17:13--00:17:18] 所以我就是特别有时候怀念小时候就是走路上学的时候就是有很多这种自由注意力
[00:17:18--00:17:23] 某种程度上呃就是就是人家说爱因斯坦的洗澡事件
[00:17:23--00:17:29] 这个这个过程中其实能够呃有很多很有意思的一些就是大脑能到一些很有意思的地方去
[00:17:29--00:17:33] 这可能是灵感和直觉来到你的大脑里的时候
[00:17:33--00:17:37] 对但是呃这个事情是他不是一个线性的
[00:17:37--00:17:38] 不是说你投入多少
[00:17:38--00:17:44] 自由注意力的时间呃你其实也有可能自由注意力的时间你什么都没有想到
[00:17:44--00:17:49] 然后在后面的你可能在被逼迫做一些任务的时候
[00:17:49--00:17:57] 在中间你会就是有一个call back就是回到了你其实自由注意力给你大脑里面打下的这样的一个一个一个基础
[00:17:57--00:18:01] 你反而会在那一刻可能可能你大脑也不想做那些无聊的事情
[00:18:01--00:18:05] 他就说哎我想到了这样的一个呃比较有创造性的一个一个想法
[00:18:05--00:18:08] 所以自由注意力和邦利的层渗和限制性的注意力
[00:18:08--00:18:08] 他应该是
[00:18:08--00:18:14] 结合的他有配比吗呃不知道我觉得大家的配比不一样人家说有三种创业者
[00:18:14--00:18:19] 第一种叫visionary就是有前瞻性的野心家第二种叫做呃
[00:18:19--00:18:22] 这executionexecutor就是执行他就是能够
[00:18:22--00:18:30] 呃其实扎克伯格我们在这个facebook小屋今天特别特别有意思的一个场地呃扎克伯格他就是一个执行狂
[00:18:30--00:18:36] 就是他是一个执行执行执行执行执行的一个人然后你可以看到他呃
[00:18:36--00:18:38] 每隔一段时间会有
[00:18:38--00:18:44] 一些呃行动去弥补可能前瞻性的决策落后
[00:18:44--00:18:53] 所以他是一个非常就是执行的执行派的一个企业家然后第三种就是销售派就是他是呃能够呃销售派其实并不是一个
[00:18:53--00:19:01] 负面的词就是他有非常好的沟通能力他有非常强的与不同的这个受众沟通能力然后他能够去
[00:19:01--00:19:08] 影响别人引领别人然后把一个队伍就是这么建起来呃我我一直从来不觉得我是销售派这个是肯定肯定不
[00:19:08--00:19:13] 是的呃然后我呃也不是一个多好的执行派其实我也
[00:19:13--00:19:17] 我可能就是也不能叫做前瞻性这个前瞻性是说是对的
[00:19:17--00:19:21] 我就是想做一些事情然后我想做一些事情会极度乐观
[00:19:21--00:19:30] 然后我极度乐观的情况下呃就算是往下就是跌一点他好像也也还也还行也还达成了一个一个kpi
[00:19:30--00:19:36] 所以你觉得你是第一种victionary我觉得我是为什么我我反正肯定不是销售或者是execute
[00:19:36--00:19:38] 你刚才说扎克伯格是属于第二类
[00:19:38--00:19:38] 属于他是第二类的
[00:19:38--00:19:40] 是第二类对
[00:19:40--00:19:44] 然后你觉得像其他的一些企业家呢在美国这边一些知名的企业家
[00:19:44--00:19:50] 知名的企业家啊马斯克是是是是visionary这个是绝对的然后
[00:19:50--00:19:51] sam elman是salesman
[00:19:51--00:19:56] 啊然后啊我觉得一定要互补就是
[00:19:56--00:19:56] 嗯
[00:19:56--00:20:02] 也比如说扎克伯格他身边全是梦想家看shrap这个cto梦想家
[00:20:02--00:20:03] 嗯
[00:20:03--00:20:08] 他也有其他很好的执行的其他执行的人就是我觉得光互补也不行
[00:20:08--00:20:11] 你要有一些是你的同类然后有一些是互补
[00:20:11--00:20:16] 呃啊桑德伯格做了很长时间的很好的执行家呃稳健的去
[00:20:16--00:20:21] 呃把零到三千人的情况下这个文化都把持的很好
[00:20:21--00:20:31] 其实我觉得facebook非常强的一个点是就是每一个facebook的人他们都bleed purple就是他们的血液里面就是紫色就是就是facebook的这个颜色
[00:20:31--00:20:32] 他们紫色
[00:20:32--00:20:33] 对紫色代表什么
[00:20:33--00:20:36] 呃紫色就是facebook的办公室有很多呃很疯狂的颜色
[00:20:36--00:20:36] 呃紫色就是facebook的办公室有很多呃很疯狂的颜色
[00:20:36--00:20:36] 呃紫色就是facebook的办公室有很多呃很疯狂的颜色
[00:20:36--00:20:38] 呃很疯狂的颜色
[00:20:38--00:20:41] 其中有一个很明显的是紫色
[00:20:41--00:20:47] 其实这个是因为扎克伯格他是他是呃color blind他是呃有一些颜色光谱无法区分
[00:20:47--00:20:56] 所以说他的那个就是办公室有非常大胆的大胆的颜色和其实去看那个facebook的这个园区像是一个梦工厂
[00:20:56--00:20:58] 他有二十四小时的这个雪糕店
[00:20:58--00:20:59] 就冰淇淋店
[00:20:59--00:21:04] 然后有地方让呃就是大家去玩鼓玩吉他玩乐队
[00:21:04--00:21:06] 呃我们公司大部分的人其实之前都是在facebook的
[00:21:06--00:21:07] 所以你很了解他们
[00:21:07--00:21:12] 对他们有一个非常强的一个叫做bottoms of the culture
[00:21:12--00:21:13] 就是由下往上
[00:21:13--00:21:13] 嗯
[00:21:13--00:21:15] 而不是往而不是上行下效
[00:21:15--00:21:16] 他是就不是top down
[00:21:16--00:21:17] 就是top down非常google
