[00:00:04--00:00:08] 这个我还没答完,因为我觉得这还不是终极实力
[00:04:09--00:04:10] 但身上头是一个被动的眼睛
[00:04:10--00:04:11] 激光雷达呢
[00:04:11--00:04:14] 我会把它描述成是一个主动的眼睛
[00:04:14--00:04:15] 就是它主动会发光
[00:04:15--00:04:17] 主动会接收
[00:04:17--00:04:17] 这样的话呢
[00:04:17--00:04:18] 它的好处就是说
[00:04:18--00:04:20] 会不受很多
[00:04:20--00:04:21] 比如说外界光线啊
[00:04:21--00:04:22] 黑暗中的影响
[00:04:22--00:04:23] 还有一个好处就是
[00:04:23--00:04:25] 我们叫激光雷达
[00:04:25--00:04:26] 其实是一个
[00:04:26--00:04:27] 用飞行时间
[00:04:27--00:04:29] 就是光飞行时间来测距的
[00:04:29--00:04:30] 也就是说
[00:04:30--00:04:32] 那摄像头不给出你准确的距离
[00:04:32--00:04:34] 它是来猜出来的
[00:04:34--00:04:35] 而激光雷达有点像一个尺度
[00:04:35--00:04:37] 要求准确的测量的距离
[00:04:37--00:04:40] 而对很多机器人和汽车的应用
[00:04:40--00:04:41] 你能够准确的知道
[00:04:41--00:04:42] 前方的距离和
[00:04:42--00:04:44] 前方物体障碍物的距离
[00:04:44--00:04:46] 是决定生死的
[00:04:46--00:04:48] 所以它就会变得非常的重要
[00:04:48--00:04:50] 这个产业大概的一个发展历史
[00:04:50--00:04:52] 有好多年了
[00:04:52--00:04:52] 就是其实
[00:04:52--00:04:55] 用激光和用雷达技术
[00:04:55--00:04:56] 去做一个产品
[00:04:56--00:04:58] 对面是肯定是有几十年的吧
[00:04:58--00:05:01] 但最近的一轮是在
[00:05:01--00:05:02] 差不多十年前
[00:05:02--00:05:04] 就国赛创立之后的几年内呢
[00:05:04--00:05:05] 我们看到
[00:05:05--00:05:07] 在自动驾驶技术
[00:05:07--00:05:09] 开始普及的过程中
[00:05:09--00:05:09] 大家发现
[00:05:09--00:05:11] 对于做出足够安全的
[00:05:11--00:05:12] 自动驾驶技术
[00:05:12--00:05:13] 必须这样的传感器
[00:05:13--00:05:15] 而那个年代
[00:05:15--00:05:18] 尤其在中国玩家入场之前呢
[00:05:18--00:05:21] 行业其实是被美国公司垄断的
[00:05:21--00:05:22] 所以那些东西呢
[00:05:22--00:05:24] 其实坦白讲是又贵
[00:05:24--00:05:26] 又质量没那么好
[00:05:26--00:05:31] 那这大概是从10809到1516
[00:05:31--00:05:33] 都还是这个状态
[00:05:33--00:05:35] 然后差不多1718
[00:05:35--00:05:36] 中国玩家开始入场
[00:05:36--00:05:37] 全球也有其他玩家了
[00:05:37--00:05:39] 但是大家就快速的发现
[00:05:39--00:05:40] 原来的设计
[00:05:41--00:05:42] 包括制造方法
[00:05:42--00:05:45] 包括这个里面的新电化程度
[00:05:45--00:05:46] 都还比较延迟
[00:05:46--00:05:48] 所以有大量的资金的投入
[00:05:48--00:05:50] 和研发的和创新投入
[00:05:50--00:05:51] 所以我们就快速的
[00:05:51--00:05:53] 把行业的质量做上去
[00:05:53--00:05:54] 性能做上去
[00:05:54--00:05:55] 成本降下来
[00:05:55--00:05:56] 有一个数字能够体现
[00:05:56--00:05:58] 就是我们最早
[00:05:58--00:06:00] 和在17年出货的时候
[00:06:00--00:06:01] 我记得特别清楚
[00:06:01--00:06:03] 就是不论是国内还是海外
[00:06:03--00:06:04] 我们的价格都是在
[00:06:04--00:06:06] 二三十万人民币
[00:06:06--00:06:07] 一台这样的东西
[00:06:07--00:06:08] 挺吓人的
[00:06:08--00:06:09] 跟个汽车一样
[00:06:09--00:06:10] 然后呢
[00:06:10--00:06:11] 过去的
[00:06:11--00:06:13] 你看1718年到现在吧
[00:06:13--00:06:14] 六七年的时间内呢
[00:06:14--00:06:18] 我们现在做到了200美金
[00:06:18--00:06:19] 还希望能够再往低做
[00:06:19--00:06:21] 但这个已经是
[00:06:21--00:06:26] 大数上是99.5%的降等
[00:06:26--00:06:29] 在绝大多数行业
[00:06:29--00:06:31] 能够把一个工业品
[00:06:31--00:06:34] 99.5%的成本降低
[00:06:34--00:06:35] 是一件不可思议的事情
[00:06:35--00:06:37] 你能想象一下汽车
[00:06:37--00:06:40] 如果谁靠创新能降9.5%
[00:06:40--00:06:41] 那大家会有多开心呢
[00:06:41--00:06:42] 对吧
[00:06:42--00:06:43] 但确实是这样
[00:06:43--00:06:44] 就是我们实际
[00:06:44--00:06:47] 当然也是因为它初始价格太高了
[00:06:47--00:06:47] 不合理
[00:06:47--00:06:49] 但在这个过程中
[00:06:49--00:06:51] 我们有大量的创新和研发投入
[00:06:51--00:06:53] 和因为这个激光雷达
[00:06:53--00:06:57] 在从自动驾驶到辅助驾驶
[00:06:57--00:06:58] 这个过程中呢
[00:06:58--00:07:00] 有越来越多的被应用
[00:07:00--00:07:02] 确实一方面是创新
[00:07:02--00:07:03] 一方面也是体量上
[00:07:03--00:07:07] 在美国主导的那个时代下
[00:07:07--00:07:08] 他们的产品性能还是怎样的
[00:07:08--00:07:09] 然后经历了17年
[00:07:09--00:07:11] 这个巨大转折之后
[00:07:11--00:07:13] 现在产品形态变成什么样子
[00:07:13--00:07:17] 应该说是17年是开始转折
[00:07:17--00:07:19] 因为它是一个创新的过程
[00:07:19--00:07:20] 也是一步一步来的
[00:07:20--00:07:23] 但可以简单描述为
[00:07:23--00:07:24] 历史上这个产品
[00:07:24--00:07:28] 它是一个极度的原始的产品
[00:07:28--00:07:29] 原始有几个含义
[00:07:29--00:07:30] 第一肯定又贵又大
[00:07:30--00:07:31] 这就不说了
[00:07:31--00:07:33] 还有就是说它是用的那些
[00:07:33--00:07:34] 我们叫分力器件
[00:07:34--00:07:36] 就是说你所有的东西呢
[00:07:36--00:07:39] 都是买到原材料
[00:07:39--00:07:40] 然后呢
[00:07:40--00:07:40] 有点像是
[00:07:40--00:07:41] 长下来的
[00:07:41--00:07:43] 并且这个船的这个工艺呢
[00:07:43--00:07:43] 也是
[00:07:43--00:07:45] 基本是全手工
[00:07:45--00:07:47] 台船链和塞最早期的产品
[00:07:47--00:07:48] 也是全手工开始的
[00:07:48--00:07:50] 然后在这个过程中呢
[00:07:50--00:07:52] 我觉得以和塞雷代表
[00:07:52--00:07:53] 我觉得行业做了几件事
[00:07:53--00:07:54] 但是这件事
[00:07:54--00:07:56] 我认为我们都是做最好的
[00:07:56--00:07:58] 第一件事呢就是
[00:07:58--00:07:59] 我们意识到
[00:07:59--00:08:01] 你如果为了做到更高的质量标准
[00:08:01--00:08:04] 一定要做自动化生产
[00:08:04--00:08:05] 这件事确实是有
[00:08:05--00:08:05] 我觉得
[00:08:05--00:08:07] 作为一家中国企业有天然的优势
[00:08:07--00:08:09] 我们在这种大批量高质量的
[00:08:09--00:08:10] 自动化生产上
[00:08:10--00:08:11] 做得非常好
[00:08:11--00:08:13] 但这个还不是最重要的
[00:08:13--00:08:14] 最重要的是
[00:08:14--00:08:16] 你为了做大规模的自动化生产
[00:08:16--00:08:19] 其实你的产品结构也会需要变化
[00:08:19--00:08:19] 就是
[00:08:19--00:08:21] 原来为手工
[00:08:21--00:08:23] 制造工艺设计的产品
[00:08:23--00:08:24] 其实是不太可能
[00:08:24--00:08:26] 直接进入自动化生产的
[00:08:26--00:08:28] 你会发现里面很多原基件设计都不合理
[00:08:28--00:08:30] 所以我们投了大量的
[00:08:30--00:08:32] 工作和资源
[00:08:32--00:08:33] 去做
[00:08:33--00:08:34] 我们叫芯片化
[00:08:34--00:08:36] 芯片化呢这个
[00:08:36--00:08:38] 听起来感觉非常玄学啊
[00:08:38--00:08:39] 就是
[00:08:39--00:08:40] 每次说到芯片化
[00:08:40--00:08:40] 大家都觉得
[00:08:40--00:08:41] 好像是一个
[00:08:41--00:08:43] 特别黑出了印的科技
[00:08:43--00:08:44] 它确实也是
[00:08:44--00:08:46] 但是在我心中倒没那么神秘
[00:08:46--00:08:48] 其实在我看来所谓的芯片化呢
[00:08:48--00:08:50] 翻译成英文反而是一个更
[00:08:50--00:08:52] 另外一个更具体的词叫ASIC
[00:08:52--00:08:54] ASIC
[00:08:54--00:08:55] 现在用的也比较多了
[00:08:55--00:08:57] 它叫做application specific
[00:08:57--00:08:59] IC就是芯片
[00:08:59--00:09:02] application意思就是说你根据这个应用
[00:09:02--00:09:04] 去重新设计了一套
[00:09:04--00:09:05] 集成好的
[00:09:05--00:09:06] 芯片系统
[00:09:06--00:09:09] 这套系统呢你就可以大批量的复制
[00:09:09--00:09:10] 有点像质板印刷
[00:09:10--00:09:13] 那这样的话它就可以
[00:09:13--00:09:15] 大幅降低成本和大幅提高性能
[00:09:15--00:09:16] 并且都特别小
[00:09:16--00:09:19] 所以后来雷达这么大后来现在越做越小
[00:09:19--00:09:22] 在这个过程中你提升了性能降低了成本
[00:09:22--00:09:24] 就是你们自己设计和制造了芯片
[00:09:24--00:09:25] 对对对
[00:09:25--00:09:26] 是自己设计和制造
[00:09:26--00:09:27] 制造没法造
[00:09:27--00:09:29] 因为制造是由各个代工厂的
[00:09:29--00:09:31] 因为我们是成熟制产的
[00:09:31--00:09:32] 所以有很多人都可以做
[00:09:32--00:09:34] 但设计是必须要自己做的
[00:09:34--00:09:36] 这个是我们从
[00:09:36--00:09:38] 其实坦开讲17年就意识到
[00:09:38--00:09:40] 17年我们刚造出第一代
[00:09:40--00:09:42] 没有自营的芯片
[00:09:42--00:09:45] 没有自动化生产的雷达的时候
[00:09:45--00:09:48] 我们就问了一个灵魂考问的问题
[00:09:48--00:09:49] 就是说
[00:09:49--00:09:52] 长期来看我们如何把一个几十万的东西
[00:09:52--00:09:54] 做到
[00:09:54--00:09:55] 当时还没有想到200美金
[00:09:55--00:09:57] 当时可能想先做1000美金
[00:09:57--00:10:00] 但是即使在1000美金量级你也意识到
[00:10:00--00:10:04] 你如果纯粹靠量上升其实是实现不了的
[00:10:04--00:10:05] 既做不小
[00:10:05--00:10:06] 也做不便利
[00:10:06--00:10:08] 因为没有那么大的水分了
[00:10:08--00:10:10] 就是你几十万的东西
[00:10:10--00:10:13] 只靠商量就能解决你所有的问题了
[00:10:13--00:10:14] 本质上讲
[00:10:14--00:10:16] 我经常在行业内跟大家说一句话
[00:10:16--00:10:18] 我觉得绝大多数人认可的就是说
[00:10:18--00:10:19] 我觉得绝大多数我们今天
[00:10:19--00:10:21] 看到的硬件的降本
[00:10:21--00:10:23] 其实不来自于量
[00:10:23--00:10:25] 来自于设计
[00:10:25--00:10:27] 就是你的设计能力变强了
[00:10:27--00:10:29] 你更懂得把那些
[00:10:29--00:10:31] 这个东西集成的更好
[00:10:31--00:10:33] 做新变化以后
[00:10:33--00:10:35] 你才能够实现真正的降本
[00:10:35--00:10:37] 坦白讲如果你今天看
[00:10:37--00:10:37] 比如说
[00:10:37--00:10:39] 像特斯拉这样的公司
[00:10:39--00:10:40] 它对汽车行业最大的
[00:10:40--00:10:42] 影响我觉得也不是说
[00:10:42--00:10:44] 它用了更好的自动化生产
[00:10:44--00:10:46] 而是我觉得它肯定提出了一些
[00:10:46--00:10:48] 更先进的汽车的设计理念
[00:10:48--00:10:50] 导致于从设计上的降本
[00:10:50--00:10:52] 包括大家后来谈的比较多的
[00:10:52--00:10:53] 品华家驻呀
[00:10:53--00:10:54] 包括他自己做
[00:10:54--00:10:55] 他自己也做AC卡
[00:10:55--00:10:57] 我觉得本质上大家思路是一致的
[00:10:57--00:10:58] 就是说
[00:10:58--00:11:02] 你如果为了实现如此规模的降本
[00:11:02--00:11:03] 你只能靠
[00:11:03--00:11:05] 很强的设计能力来去搞
[00:11:05--00:11:07] 你去设计出了一个本质上
[00:11:07--00:11:09] 就是成本结构更低的东西
[00:11:09--00:11:10] 然后你再去对
[00:11:10--00:11:11] 自动化生产做大量生产
[00:11:11--00:11:12] 去提高质量
[00:11:12--00:11:14] 我觉得这个是
[00:11:14--00:11:16] 我们17年提出的
[00:11:16--00:11:18] 或者说17年意识到
[00:11:18--00:11:20] 这是长期唯一的方法
[00:11:20--00:11:22] 那当我们
[00:11:22--00:11:24] 想到这一点以后呢
[00:11:24--00:11:25] 那很天然的就是
[00:11:25--00:11:27] 你就不能作为一个
[00:11:27--00:11:29] 所谓的组装厂
[00:11:29--00:11:31] 组装厂是不做这种设计的降本的
[00:11:31--00:11:33] 那我们就必须把自己
[00:11:33--00:11:34] 在做组装厂的同时呢
[00:11:34--00:11:37] 一定成不成变成一家芯片公司
[00:11:37--00:11:38] 所以我们
[00:11:38--00:11:39] 今天
[00:11:39--00:11:40] 我们看到的合赛
[00:11:40--00:11:42] 已经是在量产的第四代芯片
[00:11:42--00:11:43] 每代芯片都有
[00:11:43--00:11:46] 就是最早可能你从一个模块开始做
[00:11:46--00:11:49] 到现在我们已经是把激光链它的
[00:11:49--00:11:52] 绝大多数的核心的
[00:11:52--00:11:53] 零部件
[00:11:53--00:11:55] 已经变成自研的芯片了
[00:11:55--00:11:57] 所以其实在这个过程中
[00:11:57--00:11:59] 我们自己把这些东西都做了
[00:11:59--00:12:01] 这是最核心的方法
[00:12:01--00:12:02] 我们往前聊聊
[00:12:02--00:12:02] 好
[00:12:02--00:12:04] 你是怎么长大的
[00:12:04--00:12:07] 吃东西喝水你喝
[00:12:07--00:12:08] 怎么做
[00:12:08--00:12:10] 你说家庭是吗
[00:12:10--00:12:11] 对
[00:12:11--00:12:15] 这个说法要打一些引号
[00:12:15--00:12:19] 我父亲是中国的第一代人工智能工程师
[00:12:19--00:12:21] 那这就是一个玩笑
[00:12:21--00:12:22] 就是
[00:12:22--00:12:23] 我父亲是
[00:12:23--00:12:25] 应该是中国的第一代大学生
[00:12:25--00:12:26] 然后呢
[00:12:26--00:12:29] 他大学时候学的专业叫做
[00:12:29--00:12:31] 工业企业自动化控制
[00:12:31--00:12:34] 然后他那个年代就叫做模糊数学
[00:12:34--00:12:36] 就是其实俏皮话说就是今天的
[00:12:36--00:12:37] 人工智能
[00:12:37--00:12:40] 所以我从小长大我母亲是
[00:12:40--00:12:42] 学医的才是医学院教授
[00:12:42--00:12:43] 所以我从小长大呢
[00:12:43--00:12:46] 因为我对医学医疗医学那边没有那么感兴趣
[00:12:46--00:12:47] 生物呀什么
[00:12:47--00:12:49] 我记不住那些东西
[00:12:49--00:12:51] 但我天然对科学很大兴趣
[00:12:51--00:12:52] 所以那个
[00:12:52--00:12:54] 我
[00:12:54--00:12:55] 我人生我是86年生的
[00:12:55--00:12:58] 我人生第一台电脑是91年的
[00:12:58--00:12:59] 有的这个应该是
[00:12:59--00:13:00] 帅
[00:13:00--00:13:01] 比学都几乎不帅
[00:13:01--00:13:03] 你91年没有多少人家里面有电脑
[00:13:03--00:13:07] 然后那个时候就是我父亲就说就是他认为
[00:13:07--00:13:09] 我们这一代的小朋友长大
[00:13:09--00:13:12] 如果没有写代码的能力
[00:13:12--00:13:12] 是
[00:13:12--00:13:14] 没法生存的
[00:13:14--00:13:17] 所以我差不多是从9198年就开始了
[00:13:17--00:13:20] 我爸的原话叫做光屁的时候就写代码
[00:13:20--00:13:21] 然后
[00:13:21--00:13:26] 后来就一路就特别喜欢数学物理和编程
[00:13:26--00:13:27] 然后那个
[00:13:27--00:13:27] 反正
[00:13:27--00:13:29] 快进就是
[00:13:29--00:13:30] 我是早速的
[00:13:30--00:13:35] 我也是靠物理奥赛和信息学奥赛进行这个写代码
[00:13:35--00:13:36] 我是靠这个早速的
[00:13:36--00:13:38] 就是我其实并没有三条脑筒
[00:13:38--00:13:39] 我后来在
[00:13:39--00:13:41] 新华读的呢是
[00:13:41--00:13:43] 所以你刚成绩好吗
[00:13:43--00:13:44] 我是第一名
[00:13:44--00:13:46] 我可以明确说我们高中有成绩比我好的
[00:13:46--00:13:48] 但我也是读的省里最好的高中
[00:13:48--00:13:50] 所以厉害的人还挺多的
[00:13:50--00:13:51] 但那个时候我就是班长
[00:13:51--00:13:54] 然后那个后来就保送完
[00:13:54--00:13:55] 然后就
[00:13:55--00:13:58] 我大学读的专业是比较精密一切
[00:13:58--00:14:00] 就很多学校也没有这个专业
[00:14:00--00:14:02] 其实很多认为是机械
[00:14:02--00:14:03] 也差不多但是
[00:14:03--00:14:04] 我确实对
[00:14:04--00:14:07] 这个就跟光电这种
[00:14:07--00:14:09] 其实甚至包括机械人技术
[00:14:09--00:14:10] 我从小就感兴趣了
[00:14:10--00:14:13] 就一个喜欢物理喜欢写电脑的
[00:14:13--00:14:14] 理工科的学生长大
[00:14:14--00:14:16] 你说你梦想是什么
[00:14:16--00:14:16] 对吧
[00:14:16--00:14:18] 其实就是这个方向
[00:14:18--00:14:19] 所以我
[00:14:19--00:14:20] 上大学学的是精力一切
[00:14:20--00:14:22] 然后呢我后来去美国读博士
[00:14:22--00:14:24] 学的是机器人
[00:14:24--00:14:26] 所以呢我在读博士的时候
[00:14:26--00:14:28] 就是那个时代
[00:14:28--00:14:28] 从
[00:14:28--00:14:31] 08 09到
[00:14:31--00:14:33] 13年博士毕业
[00:14:33--00:14:35] 我一直是
[00:14:35--00:14:38] 激光雷达的U
[00:14:38--00:14:39] 因为我们做机器人
[00:14:39--00:14:40] 是一个技术
[00:14:40--00:14:43] 你控制这些所谓路呀
[00:14:43--00:14:44] 控制机械地呀什么的
[00:14:44--00:14:47] 你天然需要对它周围的环境进行三维感知
[00:14:47--00:14:50] 所以就是说我从那个时间点其实已经开始用
[00:14:50--00:14:51] 激光雷达
[00:14:51--00:14:53] 当然用的肯定不是佛赛牌的
[00:14:53--00:14:57] 用的是那个当时也是德国的牌子和美国的牌子
[00:14:57--00:14:58] 所以我对这个还是
[00:14:58--00:14:59] 就是
[00:14:59--00:15:02] 那个时候没有想到过自己会造极光雷达
[00:15:02--00:15:03] 但就觉得这个技术
[00:15:03--00:15:04] 挺好的
[00:15:04--00:15:05] 挺有用的
[00:15:05--00:15:06] 比上头有很多优势
[00:15:06--00:15:07] 然后内容里特别贵
[00:15:07--00:15:09] 我听说
[00:15:09--00:15:12] 你在留学的时候是个蜂蜜人吗
[00:15:12--00:15:13] 大家开玩笑
[00:15:13--00:15:14] 是这样的
[00:15:14--00:15:15] 就是
[00:15:15--00:15:16] 我是07年去美国的
[00:15:16--00:15:18] 你回忆一下07年的
[00:15:18--00:15:19] 科技
[00:15:19--00:15:20] 其实你跟你朋友交流
[00:15:20--00:15:21] 是很难的
[00:15:21--00:15:24] 大家那个时候唯一就是MSN Messenger
[00:15:24--00:15:26] 然后可能后来也有QQ
[00:15:26--00:15:27] 也就这样
[00:15:27--00:15:31] 但其实我刚去美国其实是一种孤独
[00:15:31--00:15:32] 就我觉得我在
[00:15:32--00:15:34] 上大学的时候就特别开心
[00:15:34--00:15:35] 你好多朋友
[00:15:35--00:15:36] 然后去了美国就在他的
[00:15:36--00:15:38] 社会里就感觉朋友没那么多
[00:15:38--00:15:41] 我就很希望能跟朋友们连接
[00:15:41--00:15:43] 那点其实没有任何的工序
[00:15:43--00:15:45] 你不能天天MSN跟人聊天
[00:15:45--00:15:46] 连接还是时差不算
[00:15:46--00:15:49] 那个时候就是我们刚开始用的一个东西叫
[00:15:49--00:15:51] 校内网后来叫人人网
[00:15:51--00:15:54] 我呢就把我在美国的
[00:15:54--00:15:56] 有点像就是所见所闻
[00:15:56--00:15:58] 就是我跟谁聊天
[00:15:58--00:16:00] 想到了什么内容
[00:16:00--00:16:01] 然后去哪里玩
[00:16:01--00:16:02] 写一个攻略
[00:16:02--00:16:04] 就对比一下文化
[00:16:04--00:16:05] 觉得美国人也挺有意思
[00:16:05--00:16:08] 就这些文章和照片呢就
[00:16:08--00:16:08] 就作为跟朋友
[00:16:08--00:16:10] 交流的方式发在网上
[00:16:10--00:16:12] 然后那个年代也没有什么知名博主呀
[00:16:12--00:16:13] 什么那种东西
[00:16:13--00:16:15] 因为微博都是后来的事
[00:16:15--00:16:17] 一度还是挺多人
[00:16:17--00:16:18] 就是一度
[00:16:18--00:16:19] 我的
[00:16:19--00:16:21] 我每天出门玩的邮寄
[00:16:21--00:16:23] 我每天晚上九点发出来
[00:16:23--00:16:24] 就是
[00:16:24--00:16:26] 应该是有几十万人在线等
[00:16:26--00:16:29] 他就想去看我的邮寄
[00:16:29--00:16:30] 这么多人
[00:16:30--00:16:33] 因为那个年代高频道内容其实没有那么多的
[00:16:33--00:16:34] 传播的机会
[00:16:34--00:16:35] 因为你的
[00:16:35--00:16:37] 你的那个我的竞争对手
[00:16:37--00:16:38] 不是那个
[00:16:38--00:16:39] 我们竞争对手
[00:16:39--00:16:41] 我的应该就是政大增益
[00:16:41--00:16:42] 能力
[00:16:42--00:16:43] 开玩笑说
[00:16:43--00:16:45] 但就是没有其他渠道
[00:16:45--00:16:47] 获取这种衣袖的
[00:16:47--00:16:49] 不同国家的文化的
[00:16:49--00:16:50] 的
[00:16:50--00:16:52] 照片视频和文字
[00:16:52--00:16:53] 他当时有多少follower
[00:16:53--00:16:54] 他当时多少follower
[00:16:54--00:16:55] 没有这个东西
[00:16:55--00:16:59] 但就是说我很多照片下面都是成千上万的人留言
[00:16:59--00:17:00] 这倒是真的
[00:17:00--00:17:02] 还是挺有意思的一个
[00:17:02--00:17:04] 影响了当网红吗
[00:17:04--00:17:07] 那个年代我已经是网红了呀
[00:17:07--00:17:08] 只是
[00:17:08--00:17:10] 那个年代的网红跟钱没关系
[00:17:10--00:17:12] 就那个年代我就觉得挺好的就是
[00:17:12--00:17:13] 我写这篇文章
[00:17:13--00:17:14] 就有可能
[00:17:14--00:17:15] 很多人转发
[00:17:15--00:17:18] 然后那个在街上会被就在留学嘛
[00:17:18--00:17:20] 女学生就有人认识我
[00:17:20--00:17:21] 然后那个
[00:17:22--00:17:24] 就包括我的原来的同学们也就挺有意思的
[00:17:24--00:17:26] 我一朋友去了美国以后
[00:17:26--00:17:27] 把他的生活分享给我们
[00:17:27--00:17:29] 我们就能看看美国什么样
[00:17:29--00:17:30] 挺好的
[00:17:30--00:17:30] 没有想过挣钱
[00:17:31--00:17:32] 如果
[00:17:32--00:17:34] 如果是现在的商业环境
[00:17:34--00:17:35] 可能就不需要创业了
[00:17:36--00:17:37] 我感觉网红的这个经济是
[00:17:38--00:17:40] 这个状况比我们创业者好多
[00:17:40--00:17:41] 所以估计就没有机会再创业了
[00:17:42--00:17:44] 博士期间你主要在做什么呀
[00:17:44--00:17:45] 除了发这个
[00:17:46--00:17:47] 类似Blog
[00:17:47--00:17:50] 对对对还是有主业的啊那个
[00:17:50--00:17:52] 博士期间我读书那个地方
[00:17:52--00:17:53] UIC呢它是一个
[00:17:53--00:17:54] 开玩笑一般人叫玉米地
[00:17:55--00:17:55] 就是一个
[00:17:56--00:17:57] 就就是学校
[00:17:57--00:17:57] 没有别的东西
[00:17:58--00:18:00] 所以也没有那么多的社交运动活动
[00:18:00--00:18:01] 除了自己写一些东西
[00:18:01--00:18:03] 就真的就是在运动和做科研
[00:18:03--00:18:04] 没有别的事
[00:18:04--00:18:06] 然后呢我科研的方向特别有意思
[00:18:07--00:18:08] 因为我特别喜欢这东西
[00:18:08--00:18:10] 所以我科研的方向本质上其实是在
[00:18:11--00:18:12] 就是做各种各样的机器人的控制
[00:18:13--00:18:14] 但那个年代没有
[00:18:15--00:18:16] 人工智能这个词
[00:18:16--00:18:17] 我们还是叫做
[00:18:17--00:18:19] 叫做先进的控制理念
[00:18:19--00:18:23] 就是你就想一下一个人走路机器人怎么不会摔倒
[00:18:24--00:18:25] 然后如何能抓住东西
[00:18:26--00:18:27] 如何能估计
[00:18:27--00:18:29] 你是不是正在摔倒
[00:18:29--00:18:31] 就就我这几条论文就写这事
[00:18:31--00:18:33] 就你摔到了百分之多少这种感觉
[00:18:33--00:18:35] 有好多好多这样的研究
[00:18:35--00:18:37] 对我来讲就是一个挺有意思的体验
[00:18:37--00:18:38] 因为我特别感兴趣
[00:18:38--00:18:40] 我确实对
[00:18:40--00:18:44] 就是我反而对纯数字世界的很多东西没有那么感兴趣
[00:18:44--00:18:46] 一定程度上解释了我既不会去买比特币
[00:18:47--00:18:49] 也不太会去炒股
[00:18:49--00:18:52] 甚至也不太会去做股占
[00:18:52--00:18:55] 然后因为我觉得那个解决的问题不如
[00:18:55--00:18:59] 实体世界中能够造一个东西更有趣
[00:18:59--00:19:00] 一直都是这样的
[00:19:01--00:19:02] 然后所以我就
[00:19:02--00:19:03] 我就觉得这是一个很
[00:19:04--00:19:06] 就让我觉得很有成就感的事
[00:19:06--00:19:07] 所以那在机器人行业
[00:19:07--00:19:08] 我们后来
[00:19:08--00:19:10] 科研的方向也是这样
[00:19:10--00:19:12] 就是如何能把这些机器能够控制好
[00:19:13--00:19:13] 所以
