[00:00:06--00:00:07] 在现在来说的话
[00:01:54--00:01:56] 但一定害怕断电
[00:01:56--00:01:58] 这期节目我邀请了
[00:01:58--00:02:00] 中国可控核聚变的创业公司
[00:02:00--00:02:02] 能量起点的创始人杨昭来聊聊
[00:02:02--00:02:04] 相比AI
[00:02:04--00:02:06] 可控核聚变是一条更漫长
[00:02:06--00:02:09] 更人际罕至的创业之地
[00:02:09--00:02:11] 它几乎是面对人类
[00:02:11--00:02:14] 有史以来最复杂的物理难题之一
[00:02:14--00:02:17] 站在科技与人类文明的边界上
[00:02:17--00:02:18] 做技术摸索
[00:02:18--00:02:21] 节目中杨昭帮我们做了一次
[00:02:21--00:02:24] 关于可控核聚变的前沿技术科普
[00:02:24--00:02:26] 作为中国可控核聚变事业的参与者
[00:02:26--00:02:29] 他也相对清晰地计算出了
[00:02:29--00:02:31] 人类驯服可控核聚变
[00:02:31--00:02:33] 还需要多少资金要消耗
[00:02:33--00:02:35] 还有多少路程要走
[00:02:35--00:02:36] 我们也聊了聊
[00:02:36--00:02:38] 在更远处的未来
[00:02:38--00:02:39] 当能源成为无限
[00:02:39--00:02:40] 我们的世界
[00:02:40--00:02:41] 我们的文明
[00:02:41--00:02:43] 又将怎样
[00:02:43--00:02:44] 2025
[00:02:44--00:02:45] 让我们和AI
[00:02:45--00:02:47] 共同进步
[00:02:47--00:02:59] Hello杨昭
[00:02:59--00:03:01] 先给听众朋友们打个招呼
[00:03:01--00:03:01] 大家好
[00:03:02--00:03:04] 开始几个快问快答
[00:03:04--00:03:04] 好
[00:03:04--00:03:05] 公司名字
[00:03:05--00:03:06] 能量起点
[00:03:06--00:03:07] 公司创立时间
[00:03:07--00:03:09] 2021年6月份
[00:03:09--00:03:10] 融资轮次
[00:03:10--00:03:11] 共融了两轮
[00:03:11--00:03:12] 目前的估值
[00:03:12--00:03:13] 22
[00:03:13--00:03:14] 不到23亿
[00:03:14--00:03:14] 对
[00:03:14--00:03:15] 好的
[00:03:15--00:03:16] 盈利还是亏损
[00:03:16--00:03:18] 现在还在研发投入阶段
[00:03:18--00:03:19] 你的年龄
[00:03:19--00:03:20] 34岁
[00:03:20--00:03:21] 你的PPTI
[00:03:21--00:03:23] 应该是INTJ
[00:03:23--00:03:25] 此刻我们在位于上海领港的能量起点
[00:03:25--00:03:27] 特斯拉的上海工厂在这附近对吗
[00:03:27--00:03:28] 我记得我来过
[00:03:28--00:03:29] 有一段距离
[00:03:29--00:03:30] 对
[00:03:30--00:03:31] 是有一段距离的
[00:03:31--00:03:32] 但是都在领港这边
[00:03:32--00:03:32] 都在领港
[00:03:32--00:03:34] 为什么选在领港
[00:03:34--00:03:36] 其实主要是我们的
[00:03:36--00:03:38] 当时为了赶第一台装置
[00:03:38--00:03:39] 两年的时间建成运行
[00:03:39--00:03:42] 所以我们对于厂房的要求
[00:03:42--00:03:45] 以及厂房供电这些基础设施的要求的时间点
[00:03:45--00:03:46] 是要求的比较紧的
[00:03:46--00:03:48] 所以这件事情的话
[00:03:48--00:03:50] 使我们能够选择的区域并不是特别多
[00:03:50--00:03:52] 然后当时领港这边的话
[00:03:52--00:03:53] 给我们提供了
[00:03:53--00:03:54] 就是现在所在这个厂房
[00:03:54--00:03:57] 非常完善的这么一套基础设施
[00:03:57--00:04:00] 而且基本上厂房属于另包入住的状态
[00:04:00--00:04:01] 并且供电这些东西
[00:04:01--00:04:02] 都已经很好
[00:04:02--00:04:02] 所以我们在领港这边
[00:04:02--00:04:03] 是一个很好的一个提供
[00:04:03--00:04:06] 所以当时这是一个比较重要的原因
[00:04:06--00:04:08] 我们选定在了领港这块这个地方
[00:04:08--00:04:09] 在这期开始之前
[00:04:09--00:04:11] 因为我们要聊的是可控和聚变
[00:04:11--00:04:12] 有一些关键词
[00:04:12--00:04:14] 可能离听众和我都比较的遥远
[00:04:14--00:04:17] 那我们先从一些比较高频
[00:04:17--00:04:19] 会出现且很重要的词汇开始聊起
[00:04:19--00:04:22] 给大家先做一个重点的科普的扫盲
[00:04:22--00:04:25] 首先先能不能讲一些最基本的概念
[00:04:25--00:04:26] 比如说什么是和劣变
[00:04:26--00:04:27] 什么是和聚变
[00:04:27--00:04:28] 它们的区别是什么
[00:04:28--00:04:30] 和劣变还是和聚变
[00:04:30--00:04:31] 这都是属于和能
[00:04:31--00:04:32] 和能是一个很重要的词
[00:04:32--00:04:35] 和能的话基本的想法就是通过和反应
[00:04:35--00:04:39] 然后使得反应产物的总质量
[00:04:39--00:04:42] 是小于反应的原料的总质量的
[00:04:42--00:04:43] 这样的话质量的差距
[00:04:43--00:04:47] 就最终带来的是会根据爱因斯坦的能量方程
[00:04:47--00:04:49] 就会变成能量释放出来
[00:04:49--00:04:52] 只不过劣变和聚变的区别在于
[00:04:52--00:04:55] 劣变使用的是较重的原子核
[00:04:55--00:04:59] 通过原子核分裂成几个较轻的原子核
[00:04:59--00:05:00] 这个反应过程
[00:05:00--00:05:01] 使得最终的产物
[00:05:01--00:05:02] 它的反应是较强的
[00:05:02--00:05:05] 反应的总质量低于原来那个较重的原子核
[00:05:05--00:05:07] 这样的一个过程
[00:05:07--00:05:08] 一般来说
[00:05:08--00:05:13] 劣变使用的原料都是这种放射性比较强的
[00:05:13--00:05:16] 且原子叙述比较大的这样的元素
[00:05:16--00:05:16] 而聚变的话
[00:05:16--00:05:17] 它是相反的
[00:05:17--00:05:21] 是使用几个单个的质量较轻的原子核
[00:05:21--00:05:23] 一般两个左右
[00:05:23--00:05:24] 然后让它们相互碰撞
[00:05:24--00:05:28] 然后融合成为一个质量较重的一个原子核
[00:05:28--00:05:31] 但是最终的反应产物的总质量
[00:05:31--00:05:32] 比这个反应前的
[00:05:32--00:05:34] 几个原子核的总质量加起来还是要小
[00:05:34--00:05:38] 所以这个过程也是一个把质量变成能量的过程
[00:05:38--00:05:41] 如果从大家相对来说听的更多的一个就是
[00:05:41--00:05:44] 劣变其实它是原子弹的一个原理
[00:05:44--00:05:48] 而聚变的话其实对应的是这个氢弹的一个原理
[00:05:48--00:05:51] 为什么大家说核聚变的时候都会加两个字限定语
[00:05:51--00:05:52] 就是可控核聚变
[00:05:52--00:05:54] 如果核聚变不可控会怎么样
[00:05:54--00:05:55] 那就变成了原子弹和氢弹
[00:05:55--00:05:56] 对
[00:05:56--00:06:02] 所以就是基本上核能的使用都是首先先去把这个能量放出来
[00:06:02--00:06:07] 我们最开始算第一步无论是劣变来说先做出了原子弹
[00:06:07--00:06:12] 然后后来的话再将这个能量按照我们的需求相对稳定的
[00:06:12--00:06:13] 按照设计的放出来
[00:06:13--00:06:15] 这就是后来的劣变核电站
[00:06:15--00:06:19] 而聚变的话最开始也是先做出来的是氢弹
[00:06:19--00:06:23] 那么下一步的话就是如何去将聚变的反应原理
[00:06:23--00:06:24] 根据我们的设计
[00:06:24--00:06:26] 按照我们需要的这个功率
[00:06:26--00:06:28] 按照我们这个需求
[00:06:28--00:06:30] 然后去稳定的去输出
[00:06:30--00:06:32] 这就是可控核聚变在做的事情
[00:06:32--00:06:33] 那接下来解释两个词
[00:06:33--00:06:35] 一个是托卡马克
[00:06:35--00:06:36] 一个是高温超导托卡马克
[00:06:36--00:06:38] 它也会是我们的高频词汇
[00:06:38--00:06:45] 托卡马克是属于在可控核聚变的实现可控核聚变技术路线里面中的一种
[00:06:45--00:06:46] 对整体来说的话
[00:06:46--00:06:49] 实现可控核聚变大体分三个路线
[00:06:49--00:06:51] 比如说我们大家最常见的一个可控核聚变的这个东西
[00:06:51--00:06:53] 其实是太阳恒星
[00:06:53--00:06:57] 对恒星的话是靠重力将大量的原子聚集
[00:06:57--00:07:00] 然后使得它的密度足够高
[00:07:00--00:07:01] 最终就产生了这个聚变的反应
[00:07:01--00:07:02] 然后它就不停的在生成了这个反应
[00:07:02--00:07:03] 它就不停的在生成了这个反应
[00:07:03--00:07:04] 比如说我们的太阳
[00:07:04--00:07:07] 那么地球上的话没有办法去产生这么大的重力
[00:07:07--00:07:09] 所以这条路线肯定走不通的
[00:07:09--00:07:11] 那么人类去使用了两种方法
[00:07:11--00:07:12] 一个叫做磁约束
[00:07:12--00:07:14] 一个叫做惯性约束
[00:07:14--00:07:15] 那么在这个分之内的
[00:07:15--00:07:19] 其实托卡马克是属于磁约束的这么一个大的范畴
[00:07:19--00:07:22] 磁约束的核心的想法是
[00:07:22--00:07:26] 我通过产生一个特定位型的磁场
[00:07:26--00:07:31] 将反应的温度非常高的等离子体约束在这个磁场中
[00:07:31--00:07:32] 不要让它跟
[00:07:32--00:07:36] 其他的固体的这些设备产生直接的接触
[00:07:36--00:07:38] 这是磁约束的基本想法
[00:07:38--00:07:41] 但是磁场到底长成什么样子
[00:07:41--00:07:44] 这件事情其实就是在磁约束下面的不同分支
[00:07:44--00:07:46] 它们的区别了
[00:07:46--00:07:49] 其中现在研究最为广泛
[00:07:49--00:07:52] 并且从拿到的实验结果上来说
[00:07:52--00:07:53] 参数最高
[00:07:53--00:07:57] 并且已经达到了可以作为能量盈亏平衡的技术路线
[00:07:57--00:07:58] 就是托卡马克
[00:07:58--00:08:00] 托卡马克的核心想法是
[00:08:00--00:08:02] 这是最开始苏联提出来的
[00:08:02--00:08:04] 这么一套技术路线
[00:08:04--00:08:07] 首先它的磁场长得像一个甜甜圈
[00:08:07--00:08:09] 这个甜甜圈的话
[00:08:09--00:08:10] 因为它是一个圆环
[00:08:10--00:08:11] 它是个封闭的
[00:08:11--00:08:15] 所以用这样的一个磁场位型去将高温的等离子体
[00:08:15--00:08:17] 就约束在这个甜甜圈内
[00:08:17--00:08:21] 然后我们通过提高等离子体的温度
[00:08:21--00:08:24] 并且我们用磁场就不断地去约束住这个等离子体
[00:08:24--00:08:27] 让整个的高温等离子体在这个范围内
[00:08:27--00:08:29] 在我设计的甜甜圈的这个范围内
[00:08:29--00:08:31] 去发生这种碰撞
[00:08:31--00:08:32] 产生聚变并释放能量
[00:08:32--00:08:34] 这是托克马克的一个基本想法
[00:08:34--00:08:37] 当然了它除了有一个环向的
[00:08:37--00:08:39] 就是甜甜圈方向的磁场之外
[00:08:39--00:08:40] 它还有一个环向的电流
[00:08:40--00:08:42] 这是它的一个非常关键的一个组成部分
[00:08:42--00:08:44] 具备有这种环向磁场
[00:08:44--00:08:47] 且有环向电流的二维轴对称的
[00:08:47--00:08:48] 这样的一种磁场位型
[00:08:48--00:08:50] 我们它命名为托克马克
[00:08:50--00:08:51] 那高温超导托克马克
[00:08:51--00:08:56] 刚刚其实说了托克马克是需要很强的磁场的
[00:08:56--00:08:58] 这个磁场用来约束等离子体
[00:08:58--00:09:00] 那怎么去产生这样的一个磁场
[00:09:00--00:09:02] 其实做法就是
[00:09:02--00:09:05] 我们通过通入造一个磁体
[00:09:05--00:09:07] 这个磁体里面通入很大的电流
[00:09:07--00:09:09] 通过电流产生磁场
[00:09:09--00:09:14] 那么用来做磁体的这个材料是什么样子
[00:09:14--00:09:16] 这就又出现了几代托克马克了
[00:09:16--00:09:19] 对磁体其实就是对于托克马克
[00:09:19--00:09:22] 或者对于磁约束来说最关键的一个系统部件了
[00:09:22--00:09:24] 它的核心材料的变化
[00:09:24--00:09:26] 就其实会影响到整个装置
[00:09:26--00:09:30] 其他所有的子系统的设计和它的对接
[00:09:30--00:09:31] 整个来说的话
[00:09:31--00:09:32] 托克马克大概
[00:09:32--00:09:34] 有这么经历了三个阶段
[00:09:34--00:09:35] 对最早的话
[00:09:35--00:09:38] 因为大家只是为了做一个实验
[00:09:38--00:09:38] 看看这个性能
[00:09:38--00:09:43] 所以绝大部分早期的托克马克都是用铜做的磁体
[00:09:43--00:09:45] 那么铜作为一个常规导体
[00:09:45--00:09:47] 它其实它会在运行的过程中
[00:09:47--00:09:48] 因为你通了很大的电流
[00:09:48--00:09:49] 它就会发热
[00:09:49--00:09:52] 所以当参数比较高的时候
[00:09:52--00:09:54] 大家就发现用铜导体做的托克马克
[00:09:54--00:09:56] 其实它并不能很长时间的运行
[00:09:56--00:09:59] 大概就在秒级十几秒这个量级
[00:09:59--00:10:00] 它就得必须
[00:10:00--00:10:05] 否则铜自身发热就会造成这个磁体本身甚至会被融化掉
[00:10:05--00:10:08] 所以它只能是短时间脉冲的去做一个短脉冲的实验
[00:10:08--00:10:13] 当然了因为铜这个东西它是可以在室温下当然也可以去降温去做
[00:10:13--00:10:17] 但是它的大部分都是水冷的这种降温的方式
[00:10:17--00:10:22] 所以铜导体的装置的话它的工程的复杂度是相对较低的
[00:10:22--00:10:24] 它并不需要去营造出一个真空
[00:10:24--00:10:28] 且很低温的环境才能够运行相比于超导装置
[00:10:28--00:10:32] 这也是为什么早期我们为了去探索等离磁体性能的时候
[00:10:32--00:10:34] 在工程上先用一个最简单的方法
[00:10:34--00:10:38] 就是先用铜去做这样装置短时间拿到实验结果
[00:10:38--00:10:42] 但是等到后面的话围着这个参数越来越高
[00:10:42--00:10:45] 且我们要考虑未来真正做聚变商业化的时候
[00:10:45--00:10:47] 你不可能用铜这种东西再去做这个装置了
[00:10:47--00:10:49] 否则它的运行时间也不够
[00:10:49--00:10:53] 而且它铜自身消耗的能量可能比你发出来的能量还要大
[00:10:53--00:10:57] 所以的话人们就开始去思考我用这种超导材料
[00:10:57--00:10:58] 去做这种装置
[00:10:58--00:11:00] 这个的话其实也经历过
[00:11:00--00:11:02] 比如说一部分磁体用超导材料
[00:11:02--00:11:04] 一部分磁体用铜
[00:11:04--00:11:06] 但是这个第一个极大成者的话
[00:11:06--00:11:09] 其实就是我们合肥的EAST这台装置
[00:11:09--00:11:13] 它是第一个全低温超导的一台托克马克
[00:11:13--00:11:16] 它的意思就是说我的所有的磁体线圈
[00:11:16--00:11:20] 都是用低温超导这种材料去做的完整的托克马克
[00:11:20--00:11:23] 为了做一台超导的托克马克
[00:11:23--00:11:26] 那么你就需要去营造一个高真空的环境
[00:11:26--00:11:28] 让磁体在这个真空中
[00:11:28--00:11:29] 去运行
[00:11:29--00:11:31] 否则的话光空间的漏热
[00:11:31--00:11:32] 什么热对流
[00:11:32--00:11:38] 这个热传导就已经没有办法去产生一个磁体能够运行的零下269度
[00:11:38--00:11:40] 这样一个极低温的环境
[00:11:40--00:11:43] 同时你还是为了防止热辐射
[00:11:43--00:11:44] 所以你会造冷瓶
[00:11:44--00:11:48] 就是一个低温的用来减少热辐射的包裹
[00:11:48--00:11:49] 在磁体外部的这样的环境
[00:11:49--00:11:52] 所以一台超导的托克马克
[00:11:52--00:11:53] 低温超导托克马克
[00:11:53--00:11:55] 它的工程的复杂性是很高的
[00:11:55--00:11:56] 对
[00:11:56--00:11:58] 这也是在大概2000年
[00:11:58--00:11:59] 之后
[00:11:59--00:12:01] EAST是一个02年开建
[00:12:01--00:12:03] 大概06 07年建成的一台装置
[00:12:03--00:12:04] 后面的话
[00:12:04--00:12:06] 比如说韩国还有台装置叫KSTAR
[00:12:06--00:12:07] 也是一台低温超导的装置
[00:12:07--00:12:08] 再往后的话
[00:12:08--00:12:12] 你像这日本的最近建成的一台新的大很高参数的装置
[00:12:12--00:12:13] 叫JT60SA
[00:12:13--00:12:15] 也是一台低温超导的装置
[00:12:15--00:12:17] 全世界的全低温超导的装置就这三台
[00:12:17--00:12:18] 低温超导的话
[00:12:18--00:12:20] 它虽然可以在很低的温度下的话
[00:12:20--00:12:22] 它可以去长时间运行了
[00:12:22--00:12:25] 比如说我们可以看到有一些什么1000秒
[00:12:25--00:12:26] 这样的运行的记录
[00:12:26--00:12:27] 对
[00:12:27--00:12:29] 但是它的一个大的问题是在于
[00:12:29--00:12:35] 如果我用这条技术路线去做一台可以商业化发电的装置的话
[00:12:35--00:12:38] 一个核心参数就是我需要有足够多的输出能量
[00:12:38--00:12:40] 输出能量远高于它消耗的能量
[00:12:40--00:12:42] 对这是发电装置
[00:12:42--00:12:47] 那么它的大概尺寸就是现在正在建设的法国的这台装置叫Ether
[00:12:47--00:12:49] 这台装置的话是由欧盟牵头
[00:12:49--00:12:53] 然后中国美国等还有其他加起6个国家一起参与的
[00:12:53--00:12:56] 一个投入资金已经250亿欧元的这样的一台装置
[00:12:56--00:12:57] 对吧
[00:12:57--00:12:59] 而且这个商品历史很长
[00:12:59--00:13:02] 它的设计是在90年代完成的
[00:13:02--00:13:04] 然后真正开建是06年
[00:13:04--00:13:07] 现在最新的消息已经延期到了三四年
[00:13:07--00:13:09] 所以大概是一个建设周期就是30年的这样一个装置
[00:13:09--00:13:10] 因为它非常大
[00:13:10--00:13:13] 那么这就说到了低温超导的一个弊端
[00:13:13--00:13:17] 就是用这种材料去做的一台托克马克的话
[00:13:17--00:13:21] 由于这种低温超导材料的磁场它是有限制的
[00:13:21--00:13:22] 它不能太高
[00:13:22--00:13:24] 否则它就会变成像铜一样的东西
[00:13:24--00:13:25] 它就有电阻了
[00:13:25--00:13:26] 它就不能长时间运行了
[00:13:26--00:13:29] 那么就使得这个装置必须做的非常大
[00:13:29--00:13:31] 才能做到足够大的能量增益
[00:13:31--00:13:35] 那么结果就是它的建造周期会特别长
[00:13:35--00:13:36] 成本会极高
[00:13:36--00:13:37] 甚至这个东西做出来
[00:13:37--00:13:39] 你的读电成本可能是火电的100倍以上
[00:13:39--00:13:42] 它是一个科学研究科学装置
[00:13:42--00:13:45] 而不是一个真正在我们看来的话
[00:13:45--00:13:47] 如果你的目标是要比火电成本低
[00:13:47--00:13:48] 甚至未来远低的话
[00:13:48--00:13:50] 那么这条技术路线的难度挑战是非常大的
[00:13:50--00:13:52] 怎么把成本从100倍
[00:13:52--00:13:54] 两个数量级以上降下来
[00:13:54--00:13:55] 所以在18年之后的话
[00:13:55--00:13:57] 就是有这么一个新的想法
[00:13:57--00:13:59] 我们用一种新的超导材料
[00:13:59--00:14:02] 这也是在其实是15年之后18年左右吧
[00:14:02--00:14:05] 才在工程上工业上实现量产的
[00:14:05--00:14:06] 叫高温超导材料
[00:14:06--00:14:09] 这种新的材料它的好处是在于
[00:14:09--00:14:12] 它的在低温下运行的时候
[00:14:12--00:14:15] 它的临界磁场强度是比低温超导会高很多
[00:14:15--00:14:18] 可以高一倍以上至少一倍
[00:14:18--00:14:22] 那么高磁场带来的好处就是
[00:14:22--00:14:24] 我们可以去建造一个在同样的性能上
[00:14:24--00:14:27] 比如说同样的能量增益的条件下
[00:14:27--00:14:30] 我可以将装置的体积缩小两个数量级
[00:14:30--00:14:34] 这也就意味着其实你的建造的成本大约缩小了两个数量级
[00:14:34--00:14:36] 因为对于任何一台飞镖的设备来说
[00:14:36--00:14:40] 你的质量或者说体积其实决定了它的成本
[00:14:40--00:14:45] 所以这是用高温超导这个材料相比于低温超导来说
[00:14:45--00:14:46] 它们都是超导
[00:14:46--00:14:49] 而且其实它们的运行的温度也区别不大
[00:14:49--00:14:53] 大概就是4K到10K 20K的这个高温超导材料
[00:14:53--00:14:58] 10K 20K的这个区别就是零下269度到可能零下259度
[00:14:58--00:15:01] 这样的一个区域都是温度都很低
[00:15:01--00:15:06] 但是它的磁场强度就是临界磁场强度是完全不一样的
[00:15:06--00:15:10] 那么通过显著的去提升磁场强度
[00:15:10--00:15:14] 然后去显著的缩小装置的尺寸
[00:15:14--00:15:17] 那么我们得到的好处就是我最终这台装置的造价
[00:15:17--00:15:20] 换句话说我用聚变发出的度电成本
[00:15:20--00:15:22] 它就可以显著的降低了
[00:15:22--00:15:25] 它就能达到可能跟火电差不多的水平
[00:15:25--00:15:29] 甚至未来规模化生产的时候是火电一个数量级以下的这样一个成本
[00:15:29--00:15:32] 所以高温超导和低温超导都是材料名称
[00:15:32--00:15:35] 然后用这两种不同的材料去做托卡马克装置
[00:15:35--00:15:37] 高温超导的体积更小成本更低
[00:15:37--00:15:40] 那种可以成本更低体积更小
[00:15:40--00:15:45] 这个的话其实是在过去六七十年聚变的研究过程中
[00:15:45--00:15:50] 大家通过张百台装置上千次实验的总结出来的这样一个规律
[00:15:50--00:15:52] 我为了去达到一个规律
[00:15:52--00:15:54] 我为了去达到一个足够高的能量增益
[00:15:54--00:15:58] 所谓能量增益就是我的输出功率除以输入功率
[00:15:58--00:16:00] 就是我产生的能量除以我消耗的能量
[00:16:00--00:16:01] 这叫做能量增益
[00:16:01--00:16:03] 就是是不是break even的那个关键的指导
[00:16:03--00:16:04] 对的
[00:16:04--00:16:06] 这个如果等于一的话那就是break even
[00:16:06--00:16:08] 当然你要做电站你就要远大于一
[00:16:08--00:16:12] 比如说等于十就是你的输出的能量功率是输入的十倍
[00:16:12--00:16:16] 毕竟你在真正的运行过程中会有损耗嘛
[00:16:16--00:16:18] 所以能量增益这件事的话
[00:16:18--00:16:22] 它实际上是被一个物理上的参数叫做三成绩
[00:16:22--00:16:23] 所决定的
[00:16:23--00:16:26] 简单的说就是它的等于字体的密度乘以温度乘以约束时间
[00:16:26--00:16:27] 这三个数一乘
[00:16:27--00:16:28] 所以叫三成绩
[00:16:28--00:16:32] 这三个数一乘之后在一个相对一个非常复杂的一个单位下的话
[00:16:32--00:16:34] 达到10的21次方的话
[00:16:34--00:16:37] 这么就可以就是物理学第一性原理能告诉你
[00:16:37--00:16:40] 就是无论你用什么样的手段去实现
[00:16:40--00:16:42] 用刀和铲作为原料的话
[00:16:42--00:16:46] 当这个三成绩到10的21次方大概就是q在1
[00:16:46--00:16:50] 当然你再稍微高一点点就是21到22次方这个数量级以内的话
[00:16:50--00:16:52] 能量增益q就从1甚至到无穷
[00:16:52--00:16:53] 就可以涨得非常快
[00:16:53--00:16:54] 就类似于雪崩一样
[00:16:54--00:16:56] 一旦过了这个break even的线
[00:16:56--00:16:58] 它就会往上提一点点参数
[00:16:58--00:17:00] 它的能量增益倍数就能提得很高
[00:17:00--00:17:02] 那么这个逻辑告诉我们什么呢
[00:17:02--00:17:04] 如果你想去提高能量增益
[00:17:04--00:17:05] 你就是提高三成绩就行
[00:17:05--00:17:07] 因为三成绩会决定能量增益
[00:17:07--00:17:11] 那么三成绩在过去六七十年的研究里面
[00:17:11--00:17:16] 大家发现工程上最有效去提升三成绩的方法
[00:17:16--00:17:18] 实际上要么你把装置做的足够大
[00:17:18--00:17:20] 要么你把磁场做的足够强
[00:17:20--00:17:21] 就是这两条手段
[00:17:21--00:17:25] 它不是温度密度和能量约束时间的成绩吗
[00:17:25--00:17:26] 对的
[00:17:26--00:17:29] 那不是应该改变这三个数值中的一个吗
[00:17:29--00:17:31] 这三个数值不能直接的去改变
[00:17:31--00:17:36] 它相当于是一个由于装置它的一些性能决定的一些结果
[00:17:36--00:17:38] 装置更大能改变的是哪个数值
[00:17:38--00:17:40] 其实它都会有影响
[00:17:40--00:17:43] 而且三成绩的一个很典型的特点
[00:17:43--00:17:45] 就是你单纯的提升任何一个参数
[00:17:45--00:17:48] 大概率剩下两个参数都会往下掉
[00:17:48--00:17:51] 而且会导致你的整个转向
[00:17:51--00:17:54] 装置的三成绩的总性能会往下掉
[00:17:54--00:17:57] 所以你的优化实际上是优化的是这个成绩的结果
[00:17:57--00:18:01] 然后这个成绩的结果会跟这一台装置
[00:18:01--00:18:03] 它的很多很多的参数都相关
[00:18:03--00:18:05] 它是一个比较复杂的东西
[00:18:05--00:18:09] 并且我们并没有一个很好的一行原理的理论去推导出来
[00:18:09--00:18:10] 它到底跟啥相关
[00:18:10--00:18:14] 所以最终的做法就是通过上千次的实验
[00:18:14--00:18:17] 然后我们去拟合出来这样一个定标率
[00:18:17--00:18:19] 因为不同的装置它有不同的大小
[00:18:19--00:18:20] 它有不同的磁场
[00:18:20--00:18:22] 它等于字体会有不同的形状
[00:18:22--00:18:24] 它等于字体的电流会有不同的大小等等等等
[00:18:24--00:18:26] 会有很多的参数
[00:18:26--00:18:29] 然后人们总结出来的一些基本的规律
[00:18:29--00:18:31] 对于托克马克来说
[00:18:31--00:18:34] 不同的类型的技术路线它会有不同的定标率
[00:18:34--00:18:36] 对于托克马克来说的话
[00:18:36--00:18:38] 三成机正比于磁场的3.5次方
[00:18:38--00:18:40] 正比于装置的线性尺寸吧
[00:18:40--00:18:42] 虽然在物理学上大半径
[00:18:42--00:18:45] 但它大概就是等价于装置的线性尺寸
[00:18:45--00:18:48] 正比于装置线性尺寸的2.5次方
[00:18:48--00:18:49] 那什么意思呢
[00:18:49--00:18:52] 就是如果我能够把磁场提高一倍
[00:18:52--00:18:57] 我大概可以将装置的线性尺寸缩小到30%左右
[00:18:57--00:19:00] 而我们知道一台装置一台飞镖设备
[00:19:00--00:19:03] 它的造价实际上是正比于体积
[00:19:03--00:19:05] 也就是这个30%的3次方
[00:19:05--00:19:07] 那么这就变成了2%左右了
[00:19:07--00:19:11] 所以核心就是把磁场的数值加大
[00:19:11--00:19:14] 这样可以减小尺寸和造价
[00:19:14--00:19:15] 对的
[00:19:15--00:19:16] 我们刚才其实已经聊到了
[00:19:16--00:19:18] 还有一个关键词叫Q值
[00:19:18--00:19:19] 其实就是能量质量
[00:19:19--00:19:21] 如果它还是1就是不是Given了
[00:19:21--00:19:22] 一般大家的两个关键指标
[00:19:22--00:19:24] 一个是大于1一个是大于10
[00:19:24--00:19:25] 对大于1它是一个基本点
[00:19:25--00:19:28] 否则你想要的它必定是个耗电装置
[00:19:28--00:19:30] 但其实你刚刚大于1它也是个耗电装置
