[00:00:12--00:00:14] Hello 大家好,我是小骏
[00:00:14--00:00:17] 今天这期节目我们来到了美国纽约
[00:06:10--00:06:12] 因为我觉得当然不知道
[00:06:12--00:06:14] 我觉得现在孩子可能在这种眼里呢
[00:06:14--00:06:16] AI的时代也会有同样的感受吧
[00:06:16--00:06:20] 但我那时候我大概九岁的时候有自己的第一台电脑
[00:06:20--00:06:24] 然后那时候开始啊不用来干正事的吧
[00:06:24--00:06:26] 也是一盒一盒的买游戏
[00:06:26--00:06:27] 然后打游戏
[00:06:27--00:06:29] 然后后来有了互联网啊
[00:06:29--00:06:31] 然后第一次感觉到这种信息爆炸
[00:06:31--00:06:35] 所以那时候第一次知道什么叫做内容啊
[00:06:35--00:06:38] 然后那时候就会觉得自己突然有了更多的表达
[00:06:38--00:06:42] 因为你看书还是单向的这种学习的过程啊
[00:06:42--00:06:44] 虽然也是很开阔的
[00:06:44--00:06:47] 但到网上当初有这些BBS
[00:06:47--00:06:49] 然后你可以上网去发表意见
[00:06:49--00:06:52] 我还记得有这种新浪博客
[00:06:52--00:06:54] 现在可能都没有了
[00:06:54--00:06:56] 但我写了很多很多的博客
[00:06:56--00:06:57] 哦 是吗
[00:06:57--00:07:00] 关于各种各样的乱七八糟的topic
[00:07:00--00:07:04] 现在肯定回头看过去都会很好笑
[00:07:04--00:07:07] 最popular的一篇文章是什么呀
[00:07:07--00:07:09] 很多吧
[00:07:09--00:07:13] 我记得有点
[00:07:13--00:07:17] 后面为复兴词强说愁的感觉吧
[00:07:17--00:07:20] 可能那时候包括QQ空间
[00:07:20--00:07:24] 大家总会有一个想要有一个平台去表达自己
[00:07:24--00:07:28] 然后到后面其实还有更多的这种新兴的媒介出现
[00:07:28--00:07:29] 包括有博客
[00:07:29--00:07:31] 然后有微博
[00:07:31--00:07:33] 但那时候其实不是微博
[00:07:33--00:07:34] 是范否
[00:07:34--00:07:35] 不知道听没听说过
[00:07:35--00:07:37] 是王兴
[00:07:37--00:07:40] 然后那时候我也是范否的众多用户啊
[00:07:40--00:07:41] 上面
[00:07:41--00:07:43] 范否现在还能登录
[00:07:43--00:07:45] 但是实在是不忍直视
[00:07:45--00:07:48] 有时候看了看我想要不要赶紧删掉
[00:07:48--00:07:50] 最后想想还是留在那吧
[00:07:50--00:07:54] 让它变成互联网GDE的一部分
[00:07:54--00:07:59] 但是我觉得那时候
[00:07:59--00:08:02] 我觉得这种互联网的爆炸式的增长
[00:08:02--00:08:07] 让我变成了一个对很多事情都很感兴趣的人
[00:08:07--00:08:08] 我觉得是这样
[00:08:08--00:08:10] 所以你爸爸 妈妈
[00:08:10--00:08:11] 你妈妈是做生意的
[00:08:11--00:08:13] 你们是一个商人家庭吗
[00:08:13--00:08:16] 也不是
[00:08:16--00:08:17] 对
[00:08:17--00:08:19] 反正我爸爸基本上也是他
[00:08:19--00:08:21] 他是本科是学心理学的
[00:08:21--00:08:24] 他之前也从事一些教育工作
[00:08:24--00:08:29] 后来也在一些这种电视台上的传媒工作
[00:08:29--00:08:31] 可能跟你是同行
[00:08:31--00:08:33] 所以他小时候我的记忆
[00:08:33--00:08:36] 对他的记忆是他扛着摄像机到处跑
[00:08:36--00:08:38] 这个有趣
[00:08:38--00:08:42] 但我家里确实没有人是学纯理工的
[00:08:43--00:08:46] 所以让你的性格我觉得还有一部分是蛮文艺的
[00:08:46--00:08:48] 可能吧
[00:08:48--00:08:52] 但是但我觉得我一想说的还是
[00:08:52--00:08:56] 在这种非常轻松的家庭环境成长起来
[00:08:56--00:08:59] 确实让我的自己的这个世界模型
[00:08:59--00:09:04] 我觉得我自己对它我还是觉得蛮proud of的
[00:09:04--00:09:05] 蛮骄傲的
[00:09:05--00:09:07] 因为我觉得我会
[00:09:07--00:09:09] 或者说你刚刚问为什么会来纽约
[00:09:09--00:09:11] 我觉得这也是其中一部分
[00:09:11--00:09:12] 嗯
[00:09:12--00:09:14] 我可能会希望自己
[00:09:14--00:09:18] 或者希望身边的人都更加open-minded的去看待这个世界吧
[00:09:18--00:09:20] 你是学习成绩一直很好吗
[00:09:20--00:09:22] 因为你是保送到较大ACM班的
[00:09:22--00:09:24] 完全不是的
[00:09:24--00:09:26] 我是从高中
[00:09:26--00:09:27] 对我觉得这件事情是这样
[00:09:27--00:09:28] 就是说
[00:09:28--00:09:30] 你可以看我现在身边有很多很多的朋友
[00:09:30--00:09:34] 大家其实都是A class一路走上来的
[00:09:34--00:09:35] 对
[00:09:35--00:09:36] 最好的高中对吧
[00:09:36--00:09:38] 然后最好的文科
[00:09:38--00:09:40] 参加竞赛最好的文科
[00:09:40--00:09:42] 然后最好的PhD
[00:09:42--00:09:44] 然后结束了之后去比如私大教书
[00:09:44--00:09:47] 就有一个非常清晰的主线对吧
[00:09:47--00:09:49] 然后我也很崇敬他们
[00:09:49--00:09:50] 我完全不是这样
[00:09:50--00:09:52] 我是一个
[00:09:52--00:09:56] 最多是一个B class的这样的一个trajectory
[00:09:56--00:09:57] 你像你像
[00:09:57--00:09:59] 而且很多我的这些决策其实还是蛮玄学的
[00:09:59--00:10:01] 因为我觉得我并没有
[00:10:01--00:10:02] 刻意的
[00:10:02--00:10:03] 在某种
[00:10:03--00:10:08] 这种幽寂主义的这种这种这种这种setting下框架下面
[00:10:08--00:10:10] 去努力追求一些事情
[00:10:10--00:10:12] 很多时候其实还是挺随机的
[00:10:12--00:10:15] 然后可能也是这个没办法
[00:10:15--00:10:17] 这个智商不够
[00:10:17--00:10:20] 但是确实比如说像保送的时候对吧
[00:10:20--00:10:21] 这个也是很偶然
[00:10:21--00:10:26] 然后反正有有两个这种心理学跟数学的竞赛的讲
[00:10:26--00:10:28] 然后这时候恰好
[00:10:28--00:10:31] 交大有这么一个计划
[00:10:31--00:10:33] 就是说可以提前进校
[00:10:33--00:10:34] 就是想收割一些同学
[00:10:34--00:10:36] 然后让大家不要去高考
[00:10:36--00:10:40] 对其实我当初还是蛮顺着高考的这个框架去培养
[00:10:40--00:10:41] 其实我
[00:10:41--00:10:46] 本身应该是应该是要去参加高考的
[00:10:46--00:10:49] 所以当当初还纠结了很很长一段时间
[00:10:49--00:10:51] 学校老师都会说
[00:10:51--00:10:52] 这个不行啊
[00:10:52--00:10:54] 你怎么能这个临阵脱逃呢
[00:10:54--00:10:56] 你看你的成绩也很好
[00:10:56--00:10:57] 对吧
[00:10:57--00:10:59] 你当然应该冲一冲清华北大
[00:10:59--00:11:02] 然后我的内心想法是
[00:11:02--00:11:03] 交大挺好
[00:11:03--00:11:06] 我觉得我去我去上海待过
[00:11:06--00:11:10] 我觉得我跟这个城市跟这个学校都气质相投
[00:11:10--00:11:12] 并且我就是想学计算机
[00:11:12--00:11:16] 然后我觉得交大那个时候计算机也很不错
[00:11:16--00:11:18] 我也听说过有ACM这样的一个计划
[00:11:18--00:11:21] 虽然那时候这个选拔的过程其实是要到
[00:11:21--00:11:23] 你你提前进校进去之后
[00:11:23--00:11:26] 有一个夏令营之类的这样一个一个program
[00:11:26--00:11:27] 对吧
[00:11:27--00:11:29] 然后你进行一些测试
[00:11:29--00:11:32] 然后然后才能进入到这个班级里面
[00:11:32--00:11:35] 对但这里面有很多很有趣的事情发生
[00:11:35--00:11:37] 当然首先话又说回来
[00:11:37--00:11:38] 我觉得我还是蛮
[00:11:38--00:11:39] 怎么说呢
[00:11:39--00:11:40] 就让我再选一次的话
[00:11:40--00:11:41] 我完全不会后悔
[00:11:41--00:11:44] 对我觉得提前进校的那个暑假
[00:11:44--00:11:47] 是我这人生中的高光时刻
[00:11:47--00:11:48] 为什么
[00:11:48--00:11:50] 因为那两个月啥也没干
[00:11:50--00:11:52] 就在寝室里面打游戏
[00:11:52--00:11:54] 这为什么是高光时刻
[00:11:54--00:11:57] 因为这辈子在之后再也没有出现过这样的时刻了
[00:11:57--00:11:58] 当时打什么游戏
[00:11:58--00:11:59] 很多啊
[00:11:59--00:12:01] 打刀他什么的就是宿舍里面
[00:12:01--00:12:04] 就是那种我在高中时候
[00:12:04--00:12:07] 从互联网上看到的那种大学生活
[00:12:07--00:12:08] 你知道吗
[00:12:08--00:12:09] 啊
[00:12:10--00:12:12] 就是有好好学习的一部分
[00:12:12--00:12:15] 但也有一些这些找寻自己
[00:12:15--00:12:22] 然后在这种漫无天日的虚度时光的这样的一个经历
[00:12:22--00:12:26] 所以现在您的人生高光时刻是在虚度时光是吗
[00:12:26--00:12:27] 在寝室里
[00:12:27--00:12:29] 可以这么认为
[00:12:29--00:12:30] 你很有意思啊
[00:12:30--00:12:33] 你一直在说你不是成绩最好的那些人
[00:12:33--00:12:35] 但是你也很顺呀
[00:12:35--00:12:38] 你似乎也是成绩最好的那一批
[00:12:38--00:12:40] 为什么你对你自己心里的认知是
[00:12:40--00:12:42] 我的成绩其实是一半呢
[00:12:42--00:12:44] 我其实就是说我看跟谁比对吧
[00:12:44--00:12:46] 跟那些最顶尖的竞赛选手
[00:12:46--00:12:49] 像我刚描述的这颗非常顺利的这个对吧
[00:12:49--00:12:50] 摇班大神
[00:12:50--00:12:53] 然后四大PhD四大教授来比
[00:12:53--00:12:56] 那我真的是啊远远远远不如
[00:12:56--00:12:58] 但另一方面我觉得
[00:12:58--00:13:01] 我还蛮感恩我所有这一段经历的
[00:13:01--00:13:03] 因为我会觉得
[00:13:03--00:13:05] 啊就接下来往后讲的话
[00:13:05--00:13:07] 其实我觉得还蛮还蛮有意思的
[00:13:07--00:13:11] 啊比如说在我去交大的时候
[00:13:11--00:13:13] 其实交大也不一定是一个
[00:13:13--00:13:16] 在计算机方面人工智能方面
[00:13:16--00:13:19] 一个特别特别领先的这样一个学校
[00:13:19--00:13:23] 然后到现在比如像A3班已经变成了一个
[00:13:23--00:13:25] 啊当然跟我没什么关系
[00:13:25--00:13:26] 但我的学弟学妹们
[00:13:26--00:13:28] 包括我的学长们对吧
[00:13:28--00:13:31] 不管是做创业还是在做学术
[00:13:31--00:13:33] 然后在各个地方发光发热
[00:13:33--00:13:35] 然后并且我们有一个很强的
[00:13:35--00:13:37] 这样一个校友的网络啊
[00:13:37--00:13:38] 联系在一起
[00:13:38--00:13:39] 然后做事情
[00:13:39--00:13:43] 我觉得啊我觉得还是
[00:13:43--00:13:46] 啊是一个向上的这样一个trajectory吧
[00:13:46--00:13:47] 向上的一个轨迹
[00:13:47--00:13:48] 嗯
[00:13:48--00:13:49] 再到后来
[00:13:49--00:13:51] 哎这里面还有一个很有很有意思的事情
[00:13:51--00:13:52] 我想提一下
[00:13:52--00:13:53] 就A3班会面试
[00:13:53--00:13:55] 然后面试的过程
[00:13:55--00:13:57] 会有这种老教授的
[00:13:57--00:14:00] 当初是这个神恩少教授面试我们
[00:14:00--00:14:02] 啊这个面试
[00:14:02--00:14:04] 其实不是不是问你一些technical的问题
[00:14:04--00:14:06] 他会问你你喜欢读什么书
[00:14:06--00:14:07] 嗯
[00:14:07--00:14:11] 然后我觉得这件事情是明明注定有一些缘分
[00:14:11--00:14:14] 因为啊我当初非常着急
[00:14:14--00:14:16] 差点答不上来啊
[00:14:16--00:14:17] 然后我跟他说
[00:14:17--00:14:19] 我其实啊很喜欢看那本书
[00:14:19--00:14:21] 也是我最近刚看完那本书
[00:14:21--00:14:24] 是这个这本书叫what is mathematics
[00:14:24--00:14:26] 就是什么是数学
[00:14:26--00:14:28] 然后神恩少老师就接着就问说
[00:14:28--00:14:30] 哎那你这本书的作者是谁
[00:14:30--00:14:32] 要考考我啊
[00:14:32--00:14:34] 然后我有点懵
[00:14:34--00:14:36] 对然后你这个对吧一个高中生
[00:14:36--00:14:39] 人家这个对外国人名我也记不住
[00:14:39--00:14:41] 想了想哎这最终还是打出来了
[00:14:41--00:14:43] 是这个Richard Cron
[00:14:43--00:14:44] 就是理查德科朗
[00:14:44--00:14:46] 然后沈老师就是说
[00:14:46--00:14:48] 啊对你一定要记住这个名字
[00:14:48--00:14:50] 因为这是相当于二十世纪
[00:14:50--00:14:52] 最伟大的一名数学家啊
[00:14:52--00:14:54] 为什么这件事情让我觉得
[00:14:54--00:14:55] 冥冥之中自有天意
[00:14:55--00:14:57] 或者有一些巧合在这里面呢
[00:14:57--00:14:59] 是因为现在在NYU我在的这个
[00:14:59--00:15:00] 这个系这个院
[00:15:00--00:15:03] 就是科朗数学科学研究所啊
[00:15:03--00:15:05] 就是Richard Cron啊
[00:15:05--00:15:07] 拿铲子挖的第一勺土
[00:15:07--00:15:09] 对他建起来的这个系
[00:15:09--00:15:10] 嗯
[00:15:10--00:15:12] 所以啊我觉得还蛮有意思的
[00:15:12--00:15:13] 对吧
[00:15:13--00:15:15] 然后到后面申请其实也是一样
[00:15:15--00:15:17] 我觉得啊
[00:15:17--00:15:18] 嗯
[00:15:18--00:15:20] 或者从另外一个角度来来说这件事吧
[00:15:20--00:15:22] 我觉得我觉得好像
[00:15:22--00:15:26] 这个世界总是不想让我去做我想做的事情
[00:15:26--00:15:29] 但是但是我偏偏要做我想做的事情
[00:15:29--00:15:30] 哦
[00:15:30--00:15:32] 啊比如说本科的时候
[00:15:32--00:15:34] 我一开始就对
[00:15:34--00:15:35] 计算机视觉对吧
[00:15:35--00:15:39] 或者说对人工智能产生了一些兴趣
[00:15:39--00:15:41] 啊那时候也是
[00:15:41--00:15:46] 刚开始就是在A3班大家会在大二开始进行这种这种科研实习
[00:15:46--00:15:49] 然后会到这个学校里面的不同实验室里面去
[00:15:49--00:15:51] 然后我去的这个实验室就是一个做
[00:15:51--00:15:52] 啊
[00:15:52--00:15:55] 神经科学加AI的这样一个实验室
[00:15:55--00:15:57] 啊叫BCMI
[00:15:57--00:16:00] 然后书架上放着很多很多
[00:16:00--00:16:03] 关于意识关于大脑关于
[00:16:03--00:16:04] 图像啊
[00:16:04--00:16:06] 然后关于我们怎么样对
[00:16:06--00:16:07] 真实世界
[00:16:07--00:16:09] 产生认知这样的书
[00:16:09--00:16:12] 啊我看了之后觉得哇太有意思了
[00:16:12--00:16:13] 然后
[00:16:13--00:16:14] 呃
[00:16:14--00:16:15] 后来
[00:16:15--00:16:17] 在在这个过程中我还认识了
[00:16:17--00:16:21] 我的一个学长啊这个学长是这个侯小迪
[00:16:21--00:16:22] 啊
[00:16:22--00:16:27] 然后他他对他也是丁颖大名他之前也创业然后现在也在创业啊
[00:16:27--00:16:29] 然后我每每跟他聊起来
[00:16:29--00:16:30] 他总会说
[00:16:30--00:16:31] 这个世界也变了
[00:16:31--00:16:32] 但我们都没有了啊
[00:16:32--00:16:33] 但我们都没变啊
[00:16:33--00:16:34] 我们特指我跟他
[00:16:35--00:16:40] 因为因为我觉得我们每次聊的东西就像我们十几年前聊的东西一模一样
[00:16:40--00:16:41] 对那时候
[00:16:41--00:16:43] 他是这个学校的一个传奇
[00:16:44--00:16:47] 对然后他干了两件传奇的事啊
[00:16:47--00:16:51] 第一件传奇的事是他作为一个本科生啊
[00:16:51--00:16:54] 发表了一篇CVPR的论文
[00:16:54--00:16:57] 对然后这个论文里面啊
[00:16:57--00:17:00] 呃是一个非常精巧的算法啊
[00:17:00--00:17:02] 一共只有七行代码解决了这些问题
[00:17:02--00:17:04] 然后发表了一个很重要的问题
[00:17:04--00:17:05] 然后发表了一篇论文
[00:17:05--00:17:06] 嗯
[00:17:06--00:17:10] 现在CVPR已经每年接收可能几千几千几千篇论文对吧
[00:17:10--00:17:11] 好几万篇投稿
[00:17:11--00:17:12] 所以现在
[00:17:12--00:17:14] 你像我们要招本科生
[00:17:14--00:17:19] 然后大家人手都三篇四篇五篇CVPR已经不算什么了啊
[00:17:19--00:17:20] 但在那个时候
[00:17:20--00:17:23] 在大陆的学校啊
[00:17:23--00:17:27] 能发表这样一个鼎会的工作其实是非常非常困难的
[00:17:27--00:17:28] 非常罕见
[00:17:28--00:17:29] 非常罕见
[00:17:29--00:17:30] 然后
[00:17:30--00:17:32] 如果是一个本科生发表这样的工作
[00:17:32--00:17:34] 我闻所未闻啊
[00:17:34--00:17:37] 所以所以真的是每一个人都非常非常佩服他
[00:17:37--00:17:38] 嗯
[00:17:38--00:17:41] 但是呢他又做了第二件非常厉害的事情是
[00:17:41--00:17:43] 他啊带领一个team
[00:17:43--00:17:46] 呃撰写了一个东西叫做交大生存手册
[00:17:46--00:17:47] 交大学生生存手册
[00:17:47--00:17:49] 哦这还是一个team写的
[00:17:49--00:17:51] 呃应该是他主笔啊
[00:17:51--00:17:54] 我不知道后面应该有一个团队跟他一起啊
[00:17:54--00:17:57] 然后这个东西现在网上还有存档啊
[00:17:57--00:18:01] 我觉得欢迎大家呃线下可以去看一下
[00:18:01--00:18:02] 对
[00:18:02--00:18:04] 这个手册里面讲了什么东西
[00:18:04--00:18:08] 然后有些有些话对我前两天又回头又重温了一下
[00:18:08--00:18:10] 啊我觉得非常非常有意思
[00:18:10--00:18:12] 对呃他讲的事情是什么
[00:18:12--00:18:15] 就是讲说人为什么要学习
[00:18:15--00:18:19] 中国的教育体制大学的模式到底哪里错了
[00:18:19--00:18:22] 你应该把时间花在什么样的地方上
[00:18:22--00:18:24] 去达到你想要的人生
[00:18:24--00:18:25] 嗯啊
[00:18:25--00:18:28] 或者说他也指导大家说怎么样做研究
[00:18:28--00:18:29] 做研究的目的是什么
[00:18:29--00:18:30] 做研究的目的
[00:18:30--00:18:32] 不是要灌水发霉啊
[00:18:32--00:18:35] 而是真的对这种无限的未知的探索
[00:18:35--00:18:36] 啊类似于这样的事情
[00:18:36--00:18:40] 啊当然里面也会教大家什么怎么样逃课啊
[00:18:40--00:18:41] 怎么样
[00:18:41--00:18:42] 啊
[00:18:42--00:18:45] 呃完成作业比较比较快速的方式完成一些作业
[00:18:45--00:18:46] 对
[00:18:46--00:18:47] 是一个这种小册子
[00:18:47--00:18:49] 呃我也去读了一下
[00:18:49--00:18:52] 他说如果一个人把政策评分作为自己的至高追求
[00:18:52--00:18:55] 那么他就是这个政策的牺牲品
[00:18:55--00:18:56] 嗯我完全同意
[00:18:56--00:18:57] 对
[00:18:57--00:18:58] 我觉得这些事情
[00:18:58--00:19:01] 现在回想起来可能潜移默化真的影响了我
[00:19:01--00:19:03] 对很多事情的认知
[00:19:03--00:19:05] 他在发表这个的时候你大几啊
[00:19:05--00:19:07] 呃大一大二吧
[00:19:07--00:19:08] 大一大二
[00:19:08--00:19:09] 对
[00:19:09--00:19:10] 大一大二你就认识他了是吗
[00:19:10--00:19:12] 呃那时候他已经申请成功
[00:19:12--00:19:14] 然后去了呃加州理工读PhD
[00:19:14--00:19:15] 哦
[00:19:15--00:19:16] 所以我跟他是在
[00:19:16--00:19:19] 因为他也是这个这个实验室毕业的
[00:19:19--00:19:21] 所以我跟他相当于在网上沟通
[00:19:21--00:19:24] 呃何小迪当初是在这个加州理工
[00:19:24--00:19:25] 然后就已经读PhD了
[00:19:25--00:19:27] 对他也申请到了很好的学校
[00:19:27--00:19:29] 然后我们都非常非常羡慕啊
[00:19:29--00:19:30] 在那个时候
[00:19:30--00:19:31] 然后我跟他还是
[00:19:31--00:19:33] 会在这个当初是在Google Chat上
[00:19:33--00:19:35] 然后跟他聊很多很多的话
[00:19:35--00:19:37] 然后他真的是也是
[00:19:37--00:19:38] 啊
[00:19:38--00:19:40] 给了我很多很多的建议吧
[00:19:40--00:19:41] 对
[00:19:41--00:19:43] 现在还记得有什么建议啊
[00:19:43--00:19:46] 呃没有更多的时候在网上跟他聊的时候
[00:19:46--00:19:47] 更多是聊research
[00:19:47--00:19:48] 对
[00:19:48--00:19:49] 到底应该做什么事情
[00:19:49--00:19:50] 嗯
[00:19:50--00:19:51] 跟他讲一下我自己的迷茫
[00:19:51--00:19:52] 啊
[00:19:52--00:19:54] 然后呃然后怎么样
